lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Abgesang	NN	1811	1	grimm_meistergesang_1811-478-13	 	1. 107: früntliche lag rc. scheint der Refrain und darin der Abgesang zu mangeln.	61:69	0:81	1. 107 : fruͤntliche lag ꝛc . ſcheint der Refrain und darin der Abgeſang zu mangeln .	13	0:17	1. 107 : freundlich liegen et_cetera . scheinen d Refrain und darin d Abgesang zu mangeln .	ADV CARD $. ADJA VVFIN ADV $. VVFIN ART NN KON PAV ART NN PTKZU VVINF $.	1. 107 : freundliche lag etc . scheint der Refrain und darin der Abgesang zu mangeln .
Abgesang	NN	1882	1	beyer_poetik01_1882-17319-55	 	3. Jnteressant wäre der Nachweis, wie sich die einzelnen Strophenformen bis in die Neuzeit auseinander entfaltet haben: wie also z. B. die dreizeilige Strophe durch Hinzufügung eines einzeiligen Abgesangs aus dem Reimpaare sich bildete, wie die vierzeilige Strophe durch Brechung des Langzeilen-Reimpaars entstand, wie die fünfzeilige Strophe durch Anfügen eines einzeiligen Abgesangs aus der vierzeiligen Strophe sich entwickelte, wie ferner die fünfzeilige Strophe a a │ b b │ c ─ oder a b │ a b │ a ─ durch Hinzufügung des c oder b Reimes zur sechszeiligen Strophe hindrängte, wie die 4 zeilige mit 3zeiligem Abgesang eine siebenzeilige, in ihrer Verdoppelung aber eine achtzeilige Strophe bildete u. s. w.	375:384	0:709	3. Jnteressant wäre der Nachweis , wie sich die einzelnen Strophenformen bis in die Neuzeit auseinander entfaltet haben : wie also z. B. die dreizeilige Strophe durch Hinzufügung eines einzeiligen Abgesangs aus dem Reimpaare sich bildete , wie die vierzeilige Strophe durch Brechung des Langzeilen-Reimpaars entstand , wie die fünfzeilige Strophe durch Anfügen eines einzeiligen Abgesangs aus der vierzeiligen Strophe sich entwickelte , wie ferner die fünfzeilige Strophe a a │ b b │ c ─ oder a b │ a b │ a ─ durch Hinzufügung des c oder b Reimes zur sechszeiligen Strophe hindrängte , wie die 4 zeilige mit 3zeiligem Abgesang eine siebenzeilige , in ihrer Verdoppelung aber eine achtzeilige Strophe bildete u. s. w .	55	0:119	3. interessant sein d Nachweis , wie sich d einzeln Strophenform bis in d Neuzeit auseinander entfalten haben : wie also z. B. d dreizeileig Strophe durch Hinzufügung eine einzeileig Abgesang aus d Reimpaar sich bilden , wie d vierzeileig Strophe durch Brechung d Langzeilen-Reimpaar entstehen , wie d fünfzeileig Strophe durch Anfügen eine einzeileig Abgesang aus d vierzeileig Strophe sich entwickeln , wie ferner d fünfzeileig Strophe a a │ b b │ c ─ oder a b │ a b │ a ─ durch Hinzufügung d c oder b Reimes zur sechszeileig Strophe hindrängen , wie d 4 Zeilige mit 3zeiligem Abgesang eine siebenzeileig , in ihr Verdoppelung aber eine achtzeileig Strophe bilden u. s. W .	ADV ADJD VAFIN ART NN $, PWAV PRF ART ADJA NN APPR APPR ART NN ADV VVPP VAINF $. PWAV ADV APPRART NN ART ADJA NN APPR NN ART ADJA NN APPR ART NN PRF VVFIN $, PWAV ART ADJA NN APPR NN ART NN VVFIN $, PWAV ART ADJA NN APPR NN ART ADJA NN APPR ART ADJA NN PRF VVFIN $, PWAV ADV ART ADJA NN XY XY XY XY XY XY XY XY KON XY XY XY XY XY FM FM FM APPR NN ART XY KON XY NE APPRART ADJA NN VVFIN $, PWAV ART CARD NN APPR NE NN ART ADJA $, APPR PPOSAT NN ADV ART ADJA NN VVFIN APPR VVIMP NE $.	Jedes Metrum läßt aber wieder je nach der Taktanzahl der einzelnen Verse eine beliebige Anzahl von Strophenverschiedenheiten zu .
Abgesang	NN	1811	1	grimm_meistergesang_1811-1993-54	 	In Frauenlobs blauem Ton reimt die zweite Silbe des ersten Stollen mit der vorletzten Zeile des Abgesangs — in seinem neuen, die erste Silbe des ersten Stollen mit der letzten des Abgesangs, und ferner die ersten Silben der ersten und zweiten Zeile des Abgesangs mit der letzten Silbe der vorletzten Zeile des Abgesangs — in Caspar Ottendörfers hoher Jünglingsweis die erste Silbe der ersten und letzte der zweiten Zeile jedwedes Stollen — in Walters langem Ton (wie ihn die späteren Schulen singen) reimen die ersten Silben jedes Stollen zusammen.	310:319	0:548	In Frauenlobs blauem Ton reimt die zweite Silbe des erſten Stollen mit der vorletzten Zeile des Abgeſangs — in ſeinem neuen , die erſte Silbe des erſten Stollen mit der letzten des Abgeſangs , und ferner die erſten Silben der erſten und zweiten Zeile des Abgeſangs mit der letzten Silbe der vorletzten Zeile des Abgeſangs — in Caſpar Ottendoͤrfers hoher Juͤnglingsweis die erſte Silbe der erſten und letzte der zweiten Zeile jedwedes Stollen — in Walters langem Ton ( wie ihn die ſpaͤteren Schulen ſingen ) reimen die erſten Silben jedes Stollen zuſammen .	54	0:94	in Frauenlob blau Ton reimen d zweit Silbe d erst Stollen mit d vorletzt Zeile d Abgesang -- in seine neu , d erst Silbe d erst Stollen mit d letzte d Abgesang , und ferner d erst Silbe d erst und zweit Zeile d Abgesang mit d letzte Silbe d vorletzt Zeile d Abgesang -- in Caspar Ottendörfers hoch Jünglingsweiß d erst Silbe d erst und letzte d zweit Zeile jedwede Stollen -- in Walters lang Ton ( wie er d spät Schule singen ) reimen d erst Silbe jede Stollen zusammen .	APPR NN ADJA NN VVFIN ART ADJA NN ART ADJA NN APPR ART ADJA NN ART NN $( APPR PPOSAT ADJA $, ART ADJA NN ART ADJA NN APPR ART ADJA ART NN $, KON ADV ART ADJA NN ART ADJA KON ADJA NN ART NN APPR ART ADJA NN ART ADJA NN ART NN $( APPR NE NE ADJA NN ART ADJA NN ART ADJA KON ADJA ART ADJA NN PIAT NN $( APPR NE ADJA NN $( PWAV PPER ART ADJA NN VVINF $( VVFIN ART ADJA NN PIAT NN PTKVZ $.	In Frauenlobs blauem Ton reimt die zweite Silbe des ersten Stollen mit der vorletzten Zeile des Abgesangs -- in seinem neuen , die erste Silbe des ersten Stollen mit der letzten des Abgesangs , und ferner die ersten Silben der ersten und zweiten Zeile des Abgesangs mit der letzten Silbe der vorletzten Zeile des Abgesangs -- in Caspar Ottendörfers hoher Jünglingsweiss die erste Silbe der ersten und letzte der zweiten Zeile jedwedes Stollen -- in Walters langem Ton ( wie ihn die späteren Schulen singen ) reimen die ersten Silben jedes Stollen zusammen .
Abgesang	NN	1884	1	beyer_poetik03_1884-2034-4	 	4. Durch Anfügen dieses Abgesangs an die Vierzeile entsteht die Fünfzeile, welche zur Sechszeile hindrängt, sofern ihre ersten vier Zeilen aus Reimpaaren bestehen.	24:33	0:163	4. Durch Anfügen dieses Abgesangs an die Vierzeile entsteht die Fünfzeile , welche zur Sechszeile hindrängt , sofern ihre ersten vier Zeilen aus Reimpaaren bestehen .	4	0:26	4. durch Anfügen diese Abgesang an d Vierzeile entstehen d Fünfzeile , welche zur Sechszeile hindrängen , sofern ihr erst vier Zeile aus Reimpaar bestehen .	ADV APPR NN PDAT NN APPR ART NN VVFIN ART NN $, PRELS APPRART NN VVFIN $, KOUS PPOSAT ADJA CARD NN APPR NN VVINF $.	4. Durch Anfügen dieses Abgesangs an die Vierzeile entsteht die Fünfzeile , welche zur Sechszeile hindrängt , sofern ihre ersten vier Zeilen aus Reimpaaren bestehen .
Abgesang	NN	1882	1	beyer_poetik01_1882-14241-24	 	An beide Strophenteile schloß sich häufig ein dritter meist ungleicher Teil, Epodos (ἐπῳδός), der zumeist das Lied wie ein Refrain oder Abgesang abschloß.	136:144	0:154	An beide Strophenteile schloß sich häufig ein dritter meist ungleicher Teil , Epodos (ἐπῳδός ) , der zumeist das Lied wie ein Refrain oder Abgesang abschloß .	24	0:27	an beide Strophenteil schließen sich häufig eine dritt meist ungleich Teil , Epodos (epodos ) , die zumeist d Lied wie eine Refrain oder Abgesang abschließen .	APPR PIAT NN VVFIN PRF ADJD ART ADJA ADV ADJA NN $, NE NE $( $, PRELS ADV ART NN KOKOM ART NN KON NN VVFIN $.	─ In den Chorliedern der Tragödie kehrten nämlich die Chormitglieder am Ende der Strophe in feierlich abgemessenen Schritten zur Hälfte nach rechts , zur Hälfte nach links um , ähnlich wie es z. B. im Menuett français Tanzfiguren gibt ; daher der Name στροφή == Wendung .
Abgesang	NN	1893	1	wilamowitz_aristoteles02_1893-1605-313	 	Das buch ist so geordnet, dass zuerst die gedichte in dem gewöhnlichen skolientone stehn, einer zwar aeolischen, aber nicht mehr wirklich ächt aeolischen strophe. die stollen werden durch je einen phalaeceischen elfsylbler gebildet, in dem jedoch bereits ein dreisylbiger, anapaestischer anlaut statt des aeolischen zweisylbigen, hier nie mehr doppelkurzen, vorkommt (ὑγιαί / νειν), und, allerdings unter dem drucke von unbequemen eigennamen, eine verdoppelung der zweisylbigen senkung (Ἁϱμόδιος καὶ Ἀϱιστογείτων). beides ist in der sylbenzählenden metrik von Lesbos undenkbar. der abgesang ist in den meisten fällen durch synaphie gebunden. von den vier gliedern die ihn bilden ist das zweite einmal durch hiat abgesetzt, oder vielmehr durch unerlaubten hiat, da er ein proklitikon abtrennt (ἀγαϑούς τε καὶ / εὐπατϱίδας 24), ebenso auch nur einmal das dritte (κλῄσαντα πάλιν / ἄνδϱα 6), so dass man die vollen dativformen in der elision herzustellen berechtigt ist (ἐμαῖσ̕ / εὔφϱοσι 4, ϑυσίαισ̕ ἄνδϱα 12; ebenso natürlich im verse στεφανηφόϱοισ̕ ἐν 3, βϱομίαισ̕ οὐδέ 5, δειλοῖσ̕ ὀλίγη 14, ἀγαϑοῖσ̕ ἀνδϱάσι 23, βϱοτοῖσ̕ ἐν 25; die vocalisirung der dative der ersten declination ist mir zweifelhaft). wortschluss suchen alle dichter hinter dem zweiten gliede, etwa die hälfte hinter dem ersten, niemand zwischen den gliedern drei und vier. denn der abgesang in sich ist wieder eine kleine trias, von der form a + b c c. sein stollen ist das kleine sechssylbige glied, das die eine der normalformen des dochmius geworden ist, uns am geläufigsten aus dem stollen der alkaischen strophe ἐκ δ̕ ὀϱάνω μέγας, stat nive candidem. ein dichter (10) hat sich die abwechselung erlaubt, statt seiner das um eine sylbe kürzere glied zu verdoppeln, das uns aus dem abgesang der sapphischen strophe am geläufigsten ist, ὢ τὸν Ἄδωνιν, terruit urbem. schon Sappho hat es in pare verbunden stichisch wiederholt, μαψυλάκαν γλῶσσαν πεφυ-λάχϑαι; Pindar schliesst damit die kleine strophe des liedes auf den Acharner Timodemides ἐν πολυυμνήτῳ Διὸς ἄλσει. des abgesanges abgesang ist ein seltsames ding; zwar sein zweites glied ist nur wieder um eine sylbe kürzer als der adoneus, sieht also einem choriamben gleich, aber davor steht das glied ἐκ δ̕ ὀϱάνω μέγας ohne die erste sylbe, also eine jener in Lesbos unerhörten, auch bei Pindar seltenen und in den aeolischen strophen der tragoedie wenigstens nicht häufigen glieder mit anlautender obligatorischer doppelkürze. ich fasse sie in der tat als apokopirt, wie ich die ersten glieder in dochmien, daktyloepitriten, ja selbst in ionikern vereinzelt, ansehe.	1750:1758	0:2586	Das buch ist so geordnet , daſs zuerst die gedichte in dem gewöhnlichen skolientone stehn , einer zwar aeolischen , aber nicht mehr wirklich ächt aeolischen strophe . die stollen werden durch je einen phalaeceischen elfsylbler gebildet , in dem jedoch bereits ein dreisylbiger , anapaestischer anlaut statt des aeolischen zweisylbigen , hier nie mehr doppelkurzen , vorkommt (ὑγιαί / νειν ) , und , allerdings unter dem drucke von unbequemen eigennamen , eine verdoppelung der zweisylbigen senkung (Ἁϱμόδιος καὶ Ἀϱιστογείτων ) . beides ist in der sylbenzählenden metrik von Lesbos undenkbar . der abgesang ist in den meisten fällen durch synaphie gebunden . von den vier gliedern die ihn bilden ist das zweite einmal durch hiat abgesetzt , oder vielmehr durch unerlaubten hiat , da er ein proklitikon abtrennt (ἀγαϑούς τε καὶ / εὐπατϱίδας 24 ) , ebenso auch nur einmal das dritte (κλῄσαντα πάλιν / ἄνδϱα 6 ) , so daſs man die vollen dativformen in der elision herzustellen berechtigt ist (ἐμαῖσ̕ / εὔφϱοσι 4 , ϑυσίαισ̕ ἄνδϱα 12 ; ebenso natürlich im verse στεφανηφόϱοισ̕ ἐν 3 , βϱομίαισ̕ οὐδέ 5 , δειλοῖσ̕ ὀλίγη 14 , ἀγαϑοῖσ̕ ἀνδϱάσι 23 , βϱοτοῖσ̕ ἐν 25 ; die vocalisirung der dative der ersten declination ist mir zweifelhaft ) . wortschluſs suchen alle dichter hinter dem zweiten gliede , etwa die hälfte hinter dem ersten , niemand zwischen den gliedern drei und vier . denn der abgesang in sich ist wieder eine kleine trias , von der form a + b c c. sein stollen ist das kleine sechssylbige glied , das die eine der normalformen des dochmius geworden ist , uns am geläufigsten aus dem stollen der alkaischen strophe ἐκ δ̕ ὀϱάνω μέγας , stat nive candidem . ein dichter ( 10 ) hat sich die abwechselung erlaubt , statt seiner das um eine sylbe kürzere glied zu verdoppeln , das uns aus dem abgesang der sapphischen strophe am geläufigsten ist , ὢ τὸν Ἄδωνιν , terruit urbem . schon Sappho hat es in pare verbunden stichisch wiederholt , μαψυλάκαν γλῶσσαν πεφυ- λάχϑαι ; Pindar schlieſst damit die kleine strophe des liedes auf den Acharner Timodemides ἐν πολυυμνήτῳ Διὸς ἄλσει . des abgesanges abgesang ist ein seltsames ding ; zwar sein zweites glied ist nur wieder um eine sylbe kürzer als der adoneus , sieht also einem choriamben gleich , aber davor steht das glied ἐκ δ̕ ὀϱάνω μέγας ohne die erste sylbe , also eine jener in Lesbos unerhörten , auch bei Pindar seltenen und in den aeolischen strophen der tragoedie wenigstens nicht häufigen glieder mit anlautender obligatorischer doppelkürze . ich fasse sie in der tat als apokopirt , wie ich die ersten glieder in dochmien , daktyloepitriten , ja selbst in ionikern vereinzelt , ansehe .	313	0:457	d Buch sein so ordnen , dass zuerst d Gedicht in d gewöhnlich Skolientone stehen , eine zwar äolisch , aber nicht mehr wirklich echt äolisch Strophe . d stollen werden durch je eine Phalaeceischen Elfsylbler bilden , in die jedoch bereits eine dreisilbeig , anapästisch Anlaut statt d äolisch zweisilbeig , hier nie mehr doppelkurz , vorkommen (ugiai / nein ) , und , allerdings unter d drucken von unbequem Eigenname , eine Verdoppelung d zweisilbeig Senkung (Armodios Καὶ Ἀϱιστογείτων ) . beide sein in d silbenzählend Metrik von Lesbos undenkbar . d Abgesang sein in d meiste fällen durch Synaphie binden . von d vier gliedern d er bilden sein d zweit einmal durch Hiat absetzen , oder vielmehr durch unerlaubt Hiat , da er eine Proklitikon abtrennen (agathous Τε Καὶ / εὐπατϱίδας 24 ) , ebenso auch nur einmal d dritt (klesanta Πάλιν / ἄνδϱα 6 ) , so dass man d voll Dativform in d Elision herstellen berechtigt sein (emais / Εὔφϱοσι 4 , Θυσίαισ̕ Ἄνδϱα 12 ; ebenso natürlich im verse στεφανηφόϱοισ̕ ἐν 3 , Βϱομίαισ̕ Οὐδέ 5 , Δειλοῖσ̕ Ὀλίγη 14 , Ἀγαϑοῖσ̕ Ἀνδϱάσι 23 , Βϱοτοῖσ̕ Ἐν 25 ; d Vokalisierung d Dative d erst Deklination sein ich zweifelhaft ) . Wortschluß suchen alle dicht hinter d zweit Glied , etwa d hälften hinter d erst , niemand zwischen d gliedern drei und vier . denn d Abgesang in sich sein wieder eine klein Trias , von d Form a + b c C. sein stollen sein d klein sechssilbeig Glied , die d eine d Normalform d Dochmius werden sein , wir am geläufig aus d stollen d alkaischen strophe ἐκ δ̕ ὀϱάνω μέγας , statt nive candidem . eine dicht ( 10 ) haben sich d Abwechselung erlauben , statt seine d um eine Silbe kurz Glied zu verdoppeln , die wir aus d Abgesang d sapphisch Strophe am geläufig sein , Ὢ Ton Ἄδωνιν , terruit urbem . schon Sappho haben es in Pare verbinden stichisch wiederholt , μαψυλάκαν γλῶσσαν πεφυ- λάχϑαι ; Pindar schließen damit d klein Strophe d Lied auf d Acharner timodemides ἐν πολυυμνήτῳ διὸς ἄλσει . d Abgesang Abgesang sein eine seltsam Ding ; zwar sein zweit Glied sein nur wieder um eine Silbe kurz als d Adoneus , sehen also eine Choriambus gleich , aber davor stehen d Glied ἐκ δ̕ ὀϱάνω μέγας ohne d erst Silbe , also eine jen in Lesbos unerhört , auch bei Pindar selten und in d äolisch Strophe d Tragödie wenigstens nicht häufig Glied mit anlautend obligatorisch Doppelkürze . ich fassen sie in d tun als apokopieren , wie ich d erst Glied in Dochmius , Daktyloepitritt , ja selbst in Ionikern vereinzelt , ansehen .	ART NN VAFIN ADV VVPP $, KOUS ADV ART NN APPR ART ADJA NN VVFIN $, ART ADV ADJA $, ADV PTKNEG ADV ADJD ADJD ADJA NN $. ART VVINF VAFIN APPR ADV ART NE NE VVPP $, APPR PRELS ADV ADV ART ADJA $, ADJA NN APPR ART ADJA ADJA $, ADV ADV PIAT ADJA $, VVFIN NE $( PTKANT $( $, KON $, ADV APPR ART VVFIN APPR ADJA NN $, ART NN ART ADJA NN NE NE NE $( $. PIS VAFIN APPR ART ADJA NN APPR NE ADJD $. ART NN VAFIN APPR ART PIS VVINF APPR NN VVPP $. APPR ART CARD VVFIN ART PPER VVINF VAFIN ART ADJA ADV APPR NE VVPP $, KON ADV APPR ADJA NE $, KOUS PPER ART NN VVFIN NE NE NE $( XY CARD $( $, ADV ADV ADV ADV ART ADJA NE NE $( XY CARD $( $, ADV KOUS PIS ART ADJA NN APPR ART NN VVIZU ADJD VAFIN NE $( NE CARD $, NE NE CARD $. ADV ADV APPRART FM FM FM CARD $, NE NE CARD $, NE NE CARD $, NE NE CARD $, NE NE CARD $. ART NN ART NE ART ADJA NN VAFIN PPER ADJD $( $. NN VVFIN PIAT ADJA APPR ART ADJA NN $, ADV ART VVFIN APPR ART ADJA $, PIS APPR ART VVFIN CARD KON CARD $. KON ART NN APPR PRF VAFIN ADV ART ADJA NN $, APPR ART NN XY XY XY XY NE VAINF VVINF VAFIN ART ADJA ADJA NN $, PRELS ART ART ART NN ART NE VAPP VAFIN $, PPER APPRART ADJA APPR ART VVFIN ART FM FM FM FM FM FM $, APPR FM FM $. ART ADJA $( CARD $( VAFIN PRF ART NN VVPP $, KOUI PPOSAT ART APPR ART NN ADJA NN PTKZU VVINF $, PRELS PPER APPR ART NN ART ADJA NN APPRART ADJA VAFIN $, NE NN NE $, FM FM $. ADV NE VAFIN PPER APPR NE VVPP ADJD ADJD $, FM FM FM FM $. NE VVFIN PAV ART ADJA NN ART NN APPR ART NN FM FM FM FM FM $. ART NN NN VAFIN ART ADJA NN $. ADV PPOSAT ADJA NN VAFIN ADV ADV APPR ART NN ADJD KOKOM ART NE $, VVFIN ADV ART NN ADV $, KON PAV VVFIN ART NN FM FM FM FM APPR ART ADJA NN $, ADV ART PDAT APPR NE ADJA $, ADV APPR NE ADJA KON APPR ART ADJA NN ART NN ADV PTKNEG ADJA NN APPR ADJA ADJA NN $. PPER VVFIN PPER APPR ART VVFIN KOKOM VVPP $, PWAV PPER ART ADJA NN APPR NN $, NN $, ADV ADV APPR NE ADJD $, VVFIN $.	Das Buch ist so geordnet , dass zuerst die Gedichte in dem gewöhnlichen skolientone stehen , einer zwar äolischen , aber nicht mehr wirklich echt äolischen Strophe . die stollen werden durch je einen phalaeceischen elfsylbler gebildet , in dem jedoch bereits ein dreisilbiger , anapästischer Anlaut statt des äolischen zweisilbigen , hier nie mehr doppelkurzen , vorkommt (ugiai / nein ) , und , allerdings unter dem drucke von unbequemen Eigennamen , eine Verdoppelung der zweisilbigen Senkung (Armodios καὶ Ἀϱιστογείτων ) . beides ist in der silbenzählenden Metrik von Lesbos undenkbar . der Abgesang ist in den meisten fällen durch Synaphie gebunden . von den vier gliedern die ihn bilden ist das zweite einmal durch hiat abgesetzt , oder vielmehr durch unerlaubten hiat , da er ein proklitikon abtrennt (agathous τε καὶ / εὐπατϱίδας 24 ) , ebenso auch nur einmal das dritte (klesanta πάλιν / ἄνδϱα 6 ) , so dass man die vollen Dativformen in der elision herzustellen berechtigt ist (emais / εὔφϱοσι 4 , ϑυσίαισ̕ ἄνδϱα 12 ; ebenso natürlich im verse στεφανηφόϱοισ̕ ἐν 3 , βϱομίαισ̕ οὐδέ 5 , δειλοῖσ̕ ὀλίγη 14 , ἀγαϑοῖσ̕ ἀνδϱάσι 23 , βϱοτοῖσ̕ ἐν 25 ; die Vokalisierung der dative der ersten Deklination ist mir zweifelhaft ) . Wortschluss suchen alle dichter hinter dem zweiten Gliede , etwa die hälfte hinter dem ersten , niemand zwischen den gliedern drei und vier . denn der Abgesang in sich ist wieder eine kleine Trias , von der Form a + b c c. sein stollen ist das kleine sechssilbige Glied , das die eine der Normalformen des dochmius geworden ist , uns am geläufigsten aus dem stollen der alkaischen strophe ἐκ d ὀϱάνω μέγας , statt nive candidem . ein dichter ( 10 ) hat sich die Abwechselung erlaubt , statt seiner das um eine Silbe kürzere Glied zu verdoppeln , das uns aus dem Abgesang der sapphischen Strophe am geläufigsten ist , ὢ ton Ἄδωνιν , terruit urbem . schon Sappho hat es in pare verbunden stichisch wiederholt , μαψυλάκαν γλῶσσαν πεφυ- λάχϑαι ; Pindar schließt damit die kleine Strophe des Liedes auf den Acharner Timodemides ἐν πολυυμνήτῳ Διὸς ἄλσει . des Abgesanges Abgesang ist ein seltsames Ding ; zwar sein zweites Glied ist nur wieder um eine Silbe kürzer als der adoneus , sieht also einem Choriamben gleich , aber davor steht das Glied ἐκ d ὀϱάνω μέγας ohne die erste Silbe , also eine jener in Lesbos unerhörten , auch bei Pindar seltenen und in den äolischen Strophen der Tragödie wenigstens nicht häufigen Glieder mit anlautender obligatorischer Doppelkürze . ich fasse sie in der tat als apokopiert , wie ich die ersten Glieder in Dochmien , Daktyloepitritten , ja selbst in ionikern vereinzelt , ansehe .
Abgesang	NN	1882	1	beyer_poetik01_1882-17668-12	 	Diese Strophe ist eine Vierzeile (§ 172. 6) mit angefügtem Abgesange.	59:68	0:69	Diese Strophe ist eine Vierzeile ( § 172. 6 ) mit angefügtem Abgesange .	12	0:14	diese Strophe sein eine Vierzeile ( § 172. 6 ) mit angefügt Abgesang .	PDAT NN VAFIN ART NN $( XY ADJA CARD $( APPR ADJA NN $.	Beispiel :
Abgesang	NN	1811	1	grimm_meistergesang_1811-536-11	 	(In diesem reimverwirrten Lied werden überdem die Stollenreime erst im Abgesang vermählt.	71:79	0:89	( In dieſem reimverwirrten Lied werden uͤberdem die Stollenreime erſt im Abgeſang vermaͤhlt .	11	0:14	( in diese reimverwirrt Lied werden überdem d Stollenreim erst im Abgesang vermählen .	$( APPR PDAT ADJA NN VAFIN ADV ART NN ADV APPRART NN VVPP $.	( In diesem reimverwirrten Lied werden überdem die Stollenreime erst im Abgesang vermählt .
Abgesang	NN	1882	1	beyer_poetik01_1882-16991-19	 	Der letzte alleinstehende, ungleiche Teil, der oft mehr Zeilen hatte als die beiden Aufgesangsstollen zusammengenommen, hieß Abgesang.	125:133	0:134	Der letzte alleinstehende , ungleiche Teil , der oft mehr Zeilen hatte als die beiden Aufgesangsstollen zusammengenommen , hieß Abgesang .	19	0:21	d letzte alleinstehend , ungleich Teil , die oft mehr Zeile haben als d beide Aufgesangsstollen zusammennehmen , heißen Abgesang .	ART ADJA ADJA $, ADJA NN $, PRELS ADV PIAT NN VAFIN KOKOM ART PIAT NN VVPP $, VVFIN NN $.	( Aus dem Eckenlied . )
Abgesang	NN	1811	1	grimm_meistergesang_1811-2067-37	 	S. 135. Z. 3. Die maneßische Sammlung bekanntlich enthält nur zwölf solcher Brennberger (sollte aber nicht später die Weise mit des Tanhäusers Hofton verwechselt worden seyn, unerachtet der verkürzten zweiten und vierten Zeile des Abgesangs?), wovon wiederum nur neun zu der berühmten Liebesgeschichte des Dichters gehören.	231:240	0:323	S. 135. Z. 3 . Die maneßiſche Sammlung bekanntlich enthaͤlt nur zwoͤlf ſolcher Brennberger ( ſollte aber nicht ſpaͤter die Weiſe mit des Tanhaͤuſers Hofton verwechſelt worden ſeyn , unerachtet der verkuͤrzten zweiten und vierten Zeile des Abgeſangs ? ) , wovon wiederum nur neun zu der beruͤhmten Liebesgeſchichte des Dichters gehoͤren .	37	0:53	S. 135. Z. 3 . d maneßische Sammelung bekanntlich enthalten nur zwölf solch Brennberger ( sollen aber nicht spät d Weise mit d Tannhäuser Hofton verwechseln werden sein , unerachtet d verkürzt zweit und viert Zeile d Abgesang ? ) , wovon wiederum nur neun zu d berühmt Liebesgeschichte d Dichter gehören .	NN ADJA NN CARD $. ART ADJA NN ADV VVFIN ADV CARD PIAT NN $( VMFIN ADV PTKNEG ADJD ART NN APPR ART NN NN VVPP VAPP VAINF $, APPR ART ADJA ADJA KON ADJA NN ART NN $. $( $, PWAV ADV ADV CARD APPR ART ADJA NN ART NN VVFIN $.	S. 135. Z. 3 . Die maneßische Sammlung bekanntlich enthält nur zwölf solcher Brennberger ( sollte aber nicht später die Weise mit des Tannhäusers Hofton verwechselt worden sein , unerachtet der verkürzten zweiten und vierten Zeile des Abgesangs ? ) , wovon wiederum nur neun zu der berühmten Liebesgeschichte des Dichters gehören .
