identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1967-10-05_01_177.tcf.xml-66-36	26120215_1947_04_06_01_303.tcf.xml-150-10	annotator2	4.0	 	Ackergerät	2
baumstark_encyclopaedie_1835-7188-45	2532889X_1986-11-20_01_169.tcf.xml-4-4	annotator2	3.0	 	Ackergerät	2
2532889X_1951-03-21_01_058.tcf.xml-49-33	2532889X_1950-09-15_01_055.tcf.xml-44-5	annotator2	4.0	 	Ackergerät	2
2532889X_1947-09-05_01_041.tcf.xml-7-1	polenz_buettnerbauer_1895-6860-5	annotator2	4.0	 	Ackergerät	2
26120215_1969_08_08_01_291.tcf.xml-32-1	baumstark_encyclopaedie_1835-4056-9	annotator2	4.0	 	Ackergerät	2
26120215_1961_02_19_01_535.tcf.xml-74-16	polenz_buettnerbauer_1895-6860-5	annotator2	4.0	 	Ackergerät	2
brunner_rechtsgeschichte01_1887-1248-29	26120215_1958_07_22_01_160.tcf.xml-5-17	annotator2	4.0	 	Ackergerät	2
2532889X_1978-10-28_01_243.tcf.xml-26-21	26120215_1981_12_24_01_057.tcf.xml-13-9	annotator2	4.0	 	Ackergerät	2
26120215_1962_04_08_01_355.tcf.xml-1-7	26120215_1981_12_24_01_057.tcf.xml-13-9	annotator2	4.0	 	Ackergerät	2
26120215_1953_01_30_01_286.tcf.xml-3-9	26120215_1981_12_24_01_057.tcf.xml-13-9	annotator2	4.0	 	Ackergerät	2
baumstark_encyclopaedie_1835-4057-4	beck_eisen01_1884-6842-48	annotator2	4.0	 	Ackergerät	2
marx_kapital02_1885-5415-13	26120215_1950_02_28_01_241.tcf.xml-14-6	annotator2	4.0	 	Ackergerät	2
marx_kapital01_1867-866-27	26120215_1950_02_28_01_241.tcf.xml-14-6	annotator2	4.0	 	Ackergerät	2
beck_eisen01_1884-9992-5	2532889X_1975-07-12_01_244.tcf.xml-7-41	annotator2	4.0	 	Ackergerät	2
2532889X_1978-07-01_01_257.tcf.xml-3-44	2532889X_1986-11-20_01_169.tcf.xml-4-4	annotator2	4.0	 	Ackergerät	2
2532889X_1950-04-09_01_056.tcf.xml-5-30	mayer_verwaltungsrecht02_1896-2253-11	annotator2	4.0	 	Ackergerät	2
2532889X_1957-03-07_01_013.tcf.xml-20-2	2532889X_1975-07-12_01_244.tcf.xml-7-41	annotator2	4.0	 	Ackergerät	2
2532889X_1956-04-22_01_160.tcf.xml-55-19	26120215_1950_03_15_01_289.tcf.xml-3-11	annotator2	4.0	 	Ackergerät	2
2532889X_1983-10-08_01_374.tcf.xml-17-2	2532889X_1979-07-07_01_358.tcf.xml-5-50	annotator2	4.0	 	Ackergerät	2
krafft_landwirthschaft01_1875-1821-15	2532889X_1975-07-12_01_244.tcf.xml-7-41	annotator2	4.0	 	Ackergerät	2
2532889X_1974-09-21_01_337.tcf.xml-24-3	26120215_1950_02_28_01_241.tcf.xml-14-6	annotator2	4.0	 	Ackergerät	2
2532889X_1951-01-03_01_084.tcf.xml-23-17	26120215_1947_04_06_01_303.tcf.xml-150-10	annotator2	4.0	 	Ackergerät	2
2532889X_1949-12-07_01_018.tcf.xml-6-9	beck_eisen01_1884-12132-24	annotator2	4.0	 	Ackergerät	2
thaer_landwirthschaft03_1810-965-3	beck_eisen01_1884-12132-24	annotator2	4.0	 	Ackergerät	2
schauberg_freimaurerei01_1861-6416-33	26120215_1947_04_06_01_303.tcf.xml-150-10	annotator2	4.0	 	Ackergerät	2
26120215_1952_01_19_01_115.tcf.xml-10-27	mayer_verwaltungsrecht02_1896-2253-11	annotator2	4.0	 	Ackergerät	2
beck_eisen01_1884-6824-51	2532889X_1950-09-15_01_055.tcf.xml-44-5	annotator2	4.0	 	Ackergerät	2
2532889X_1984-08-10_01_050.tcf.xml-35-13	2532889X_1975-07-12_01_244.tcf.xml-7-41	annotator2	4.0	 	Ackergerät	2
beck_eisen01_1884-5475-37	2532889X_1947-02-12_01_011.tcf.xml-10-23	annotator2	4.0	 	Ackergerät	2
2532889X_1950-09-19_01_058.tcf.xml-130-3	2532889X_1950-09-15_01_055.tcf.xml-44-5	annotator2	4.0	 	Ackergerät	2
beck_eisen01_1884-4036-20	26120215_1958_07_22_01_160.tcf.xml-5-17	annotator2	4.0	 	Ackergerät	2
thaer_landwirthschaft03_1810-883-15	2532889X_1975-07-12_01_244.tcf.xml-7-41	annotator2	4.0	 	Ackergerät	2
baumstark_encyclopaedie_1835-4056-9	26120215_1981_12_24_01_057.tcf.xml-13-9	annotator2	4.0	 	Ackergerät	2
2532889X_1946-08-21_01_048.tcf.xml-28-11	baumstark_encyclopaedie_1835-7188-45	annotator2	4.0	 	Ackergerät	2
26120215_1951_06_21_01_165.tcf.xml-6-0	2532889X_1986-11-20_01_169.tcf.xml-4-4	annotator2	4.0	 	Ackergerät	2
2532889X_1975-06-28_01_336.tcf.xml-1-45	2532889X_1959-04-25_01_066.tcf.xml-5-26	annotator2	4.0	 	Ackergerät	2
