identifier1	identifier2	annotator	judgment	comment	lemma	round
nn_nrhz083_1848-36-10	2532889X_1963-03-19_01_054.tcf.xml-8-43	annotator2	4.0	 	Ausnahmegesetz	2
2532889X_1985-11-28_01_077.tcf.xml-45-9	2532889X_1955-10-18_01_088.tcf.xml-10-10	annotator2	4.0	 	Ausnahmegesetz	2
26120215_1985_01_24_01_143.tcf.xml-22-33	26120215_1979_05_03_01_278.tcf.xml-3-15	annotator2	4.0	 	Ausnahmegesetz	2
nn_nrhz083_1848-43-22	2532889X_1978-07-15_01_247.tcf.xml-23-19	annotator2	4.0	 	Ausnahmegesetz	2
2532889X_1948-10-22_01_041.tcf.xml-12-18	26120215_1953_01_27_01_217.tcf.xml-19-3	annotator2	4.0	 	Ausnahmegesetz	2
treitschke_geschichte02_1882-6355-47	26120215_1953_01_27_01_217.tcf.xml-19-3	annotator2	4.0	 	Ausnahmegesetz	2
26120215_1953_03_14_01_021.tcf.xml-45-22	2532889X_1952-05-10_01_037.tcf.xml-36-3	annotator2	4.0	 	Ausnahmegesetz	2
2532889X_1963-03-27_01_055.tcf.xml-3-4	26120215_1951_07_31_01_170.tcf.xml-30-16	annotator2	4.0	 	Ausnahmegesetz	2
2532889X_1948-10-21_01_062.tcf.xml-23-47	savigny_system08_1849-4652-10	annotator2	4.0	 	Ausnahmegesetz	2
2532889X_1960-11-14_01_029.tcf.xml-7-6	2532889X_1950-09-19_01_013.tcf.xml-10-15	annotator2	4.0	 	Ausnahmegesetz	2
treitschke_geschichte03_1885-129-10	26120215_1951_07_31_01_170.tcf.xml-30-16	annotator2	4.0	 	Ausnahmegesetz	2
2532889X_1948-10-22_01_041.tcf.xml-23-60	savigny_system08_1849-4652-10	annotator2	4.0	 	Ausnahmegesetz	2
26120215_1965_01_28_01_172.tcf.xml-5-15	2532889X_1950-09-19_01_013.tcf.xml-10-15	annotator2	4.0	 	Ausnahmegesetz	2
nn_nrhz126_1848-448-17	2532889X_1955-10-18_01_088.tcf.xml-10-10	annotator2	4.0	 	Ausnahmegesetz	2
