lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Ausnahmegesetz	NN	1846	1	aston_emancipation_1846-157-20	 	Beamte haben mir dies deutlich zu machen gesucht, wie die Regierung zu solchem Verfahren, zu Maßregeln, zu Ausnahmegesetzen berechtigt sei.	107:123	0:139	Beamte haben mir dies deutlich zu machen gesucht , wie die Regierung zu solchem Verfahren , zu Maßregeln , zu Ausnahmegesetzen berechtigt sei .	20	0:24	Beamte haben ich diese deutlich zu machen suchen , wie d Regierung zu solch Verfahren , zu Maßregel , zu Ausnahmegesetz berechtigen sein .	NN VAFIN PPER PDS ADJD PTKZU VVINF VVPP $, PWAV ART NN APPR PIAT NN $, APPR NN $, APPR NN VVPP VAFIN $.	Beamte haben mir dies deutlich zu machen gesucht , wie die Regierung zu solchem Verfahren , zu Maßregeln , zu Ausnahmegesetzen berechtigt sei .
Ausnahmegesetz	NN	1884	1	nn_maehrisches30_1884-96-11	 	wird erst nach Anhörung des Herrn Ministerpräsidenten im Ausschuße zu dem Ausnahmsgesetze Stellung nehmen.	74:89	0:106	wird erſt nach Anhörung des Herrn Miniſterpräſidenten im Ausſchuße zu dem Ausnahmsgeſetze Stellung nehmen .	11	0:15	werden erst nach Anhörung d Herr Ministerpräsident im Ausschuß zu d Ausnahmegesetz Stellung nehmen .	VAFIN ADV APPR NN ART NN NN APPRART NN APPR ART NN NN VVINF $.	wird erst nach Anhörung des Herrn Ministerpräsidenten im Ausschuß zu dem Ausnahmegesetze Stellung nehmen .
Ausnahmegesetz	NN	1819	1	goerres_revolution_1819-214-140	 	Indem man der Zeit einige wirkliche unabweisliche Einräumungen gestattete, war jenem guten Willen genug gethan, das Gewissen zur Ruh geredet, und der dringendste Ungestüm mit einer abschläglichen Zahlung abgewiesen; für die später einlaufenden Forderungen, die von Gerichtswegen, wie die französische Schuld, schon gemäßigt waren, wurde von jenen Papieren und Phrasen, die nie nach dem Nennwerth gelten, ein reichlicher Vor rath eingelegt, und ein wohlbestelltes Lager jener Quincailleriewaaren etablirt, die uns die Revolution gebracht, und mit denen der Zeitgeist, wie jener Vogel mit der Silberkugel, spielend sich vergnügt: Vergünstigungen, die nichts kosten, aber jedesmal zählen bey der Parade; Freyheiten, die sich entweder von selbst verstehen, oder bey der Willkühr als ihrem Brodherrn Hofedienst zu leisten sich entschließen; Bewilligungen durch Ausnahmegesetze weislich gezügelt; hohle Formeln und gleissende brillantirte Lügen, in die die Eitelkeit sich gern putzen mag, und wie die Behelfe heißen mögen, mit denen die Klugheit der Welt sich durchschlagen zu müssen glaubt.	856:871	0:1085	Indem man der Zeit einige wirkliche unabweisliche Einräumungen geſtattete , war jenem guten Willen genug gethan , das Gewiſſen zur Ruh geredet , und der dringendſte Ungeſtüm mit einer abſchläglichen Zahlung abgewieſen ; für die ſpäter einlaufenden Forderungen , die von Gerichtswegen , wie die franzöſiſche Schuld , ſchon gemäßigt waren , wurde von jenen Papieren und Phraſen , die nie nach dem Nennwerth gelten , ein reichlicher Vor rath eingelegt , und ein wohlbeſtelltes Lager jener Quincailleriewaaren etablirt , die uns die Revolution gebracht , und mit denen der Zeitgeiſt , wie jener Vogel mit der Silberkugel , ſpielend ſich vergnügt : Vergünſtigungen , die nichts koſten , aber jedesmal zählen bey der Parade ; Freyheiten , die ſich entweder von ſelbſt verſtehen , oder bey der Willkühr als ihrem Brodherrn Hofedienſt zu leiſten ſich entſchließen ; Bewilligungen durch Ausnahmegeſetze weislich gezügelt ; hohle Formeln und gleiſſende brillantirte Lügen , in die die Eitelkeit ſich gern putzen mag , und wie die Behelfe heißen mögen , mit denen die Klugheit der Welt ſich durchſchlagen zu müſſen glaubt .	140	0:179	indem man d Zeit einige wirklich unabweislich Einräumung gestatten , sein jen gut Willen genug tun , d Gewissen zur Ruhe gereden , und d dringend Ungestüm mit eine abschlaglich Zahlung abweisen ; für d spät einlaufend Forderung , die von gerichtswegen , wie d französisch Schuld , schon gemäßigt sein , werden von jen Papiere und Phrase , die nie nach d Nennwert gelten , eine reichlich vor Rat einlegen , und eine wohlbestellt Lager jen Quincailleriewaaren etablieren , die uns d Revolution bringen , und mit die d Zeitgeist , wie jen Vogel mit d Silberkugel , spielend sich vergnügen : Vergünstigung , die nichts kosten , aber jedesmal zählen bei d Parade ; Freiheit , die sich entweder von selbst verstehen , oder bei d Willkür als ihr Brotherr Hofdienst zu leisten sich entschließen ; Bewilligung durch Ausnahmegesetz weislich zügeln ; hohl Formel und gleißend brillantiert Lüge , in die d Eitelkeit sich gern putzen mögen , und wie d Behelf heißen mögen , mit die d Klugheit d Welt sich durchschlagen zu müssen glauben .	KOUS PIS ART NN PIAT ADJA ADJA NN VVFIN $, VAFIN PDAT ADJA NN ADV VVPP $, ART NN APPRART NN VVPP $, KON ART ADJA NN APPR ART ADJA NN VVPP $. APPR ART ADJD ADJA NN $, PRELS APPR ADV $, PWAV ART ADJA NN $, ADV ADJD VAFIN $, VAFIN APPR PDAT NN KON NN $, PRELS ADV APPR ART NN VVINF $, ART ADJA APPR NN VVPP $, KON ART ADJA NN PDAT NN VVPP $, PRELS PRF ART NN VVPP $, KON APPR PRELS ART NN $, PWAV PDAT NN APPR ART NN $, ADJD PRF VVPP $. NN $, PRELS PIS VVINF $, KON ADV VVFIN APPR ART NN $. NN $, PRELS PRF ADV APPR ADV VVINF $, KON APPR ART NN KOKOM PPOSAT NN NN PTKZU VVINF PRF VVFIN $. NN APPR NN ADJD VVPP $. ADJA NN KON ADJA ADJA NN $, APPR PRELS ART NN PRF ADV VVINF VMFIN $, KON PWAV ART NN VVINF VMFIN $, APPR PRELS ART NN ART NN PRF VVINF PTKZU VMINF VVFIN $.	Indem man der Zeit einige wirkliche unabweisliche Einräumungen gestattete , war jenem guten Willen genug getan , das Gewissen zur Ruhe geredet , und der dringendste Ungestüm mit einer abschläglichen Zahlung abgewiesen ; für die später einlaufenden Forderungen , die von Gerichtswegen , wie die französische Schuld , schon gemäßigt waren , wurde von jenen Papieren und Phrasen , die nie nach dem Nennwert gelten , ein reichlicher Vor Rat eingelegt , und ein wohlbestelltes Lager jener Quincailleriewaaren etabliert , die uns die Revolution gebracht , und mit denen der Zeitgeist , wie jener Vogel mit der Silberkugel , spielend sich vergnügt : Vergünstigungen , die nichts kosten , aber jedesmal zählen bei der Parade ; Freiheiten , die sich entweder von selbst verstehen , oder bei der Willkür als ihrem Brotherrn Hofdienst zu leisten sich entschließen ; Bewilligungen durch Ausnahmegesetze weislich gezügelt ; hohle Formeln und gleißende brillantierte Lügen , in die die Eitelkeit sich gern putzen mag , und wie die Behelfe heißen mögen , mit denen die Klugheit der Welt sich durchschlagen zu müssen glaubt .
Ausnahmegesetz	NN	1889	1	treitschke_geschichte04_1889-4219-5	 	Die Sechs Artikel waren kein Ausnahmegesetz, wie die Liberalen behaupteten, sie enthielten im Wesentlichen nur die authentische Interpretation bestehender Bundesgesetze.	29:43	0:169	Die Sechs Artikel waren kein Ausnahmegeſetz , wie die Liberalen behaupteten , ſie enthielten im Weſentlichen nur die authentiſche Interpretation beſtehender Bundesgeſetze .	5	0:23	d sechs Artikel sein keine Ausnahmegesetz , wie d Liberale behaupten , sie enthalten im Wesentliche nur d authentisch Interpretation bestehend Bundesgesetz .	ART CARD NN VAFIN PIAT NN $, PWAV ART NN VVFIN $, PPER VVFIN APPRART NN ADV ART ADJA NN ADJA NN $.	Die Sechs Artikel waren kein Ausnahmegesetz , wie die Liberalen behaupteten , sie enthielten im Wesentlichen nur die authentische Interpretation bestehender Bundesgesetze .
Ausnahmegesetz	NN	1848	1	nn_nrhz083_1848-32-29	 	Die Ausstellungen des Herrn Dahlmann würden nur dann gerechtfertigt sein, wenn die „Gleichheit vor dem Gesetz“ mehr als ein bloßes „Rechtssprüchwort“ werden und alle Ausnahmegesetze ausschließen solle.	166:181	0:201	Die Ausstellungen des Herrn Dahlmann würden nur dann gerechtfertigt sein , wenn die „ Gleichheit vor dem Gesetz “ mehr als ein bloßes „ Rechtssprüchwort “ werden und alle Ausnahmegesetze ausschließen solle .	29	0:33	d Ausstellung d Herr Dahlmann werden nur dann rechtfertigen sein , wenn d " Gleichheit vor d Gesetz " mehr als eine bloß " Rechtsspruchwort " werden und alle Ausnahmegesetz ausschließen sollen .	ART NN ART NN NE VAFIN ADV ADV VVPP VAINF $, KOUS ART $( NN APPR ART NN $( PIAT KOKOM ART ADJA $( NN $( VAINF KON PIAT NN VVINF VMFIN $.	Die Ausstellungen des Herrn Dahlmann würden nur dann gerechtfertigt sein , wenn die " Gleichheit vor dem Gesetz " mehr als ein bloßes " Rechtssprüchwort " werden und alle Ausnahmegesetze ausschließen solle .
Ausnahmegesetz	NN	1848	1	nn_nrhz213_1849-378-9	 	Deshalb muß man die Republik schaffen, damit die Ausnahmegesetze aufhören!	49:64	0:74	Deshalb muß man die Republik schaffen , damit die Ausnahmegesetze aufhören !	9	0:12	deshalb müssen man d Republik schaffen , damit d Ausnahmegesetz aufhören !	PAV VMFIN PIS ART NN VVINF $, KOUS ART NN VVINF $.	Deshalb muß man die Republik schaffen , damit die Ausnahmegesetze aufhören !
Ausnahmegesetz	NN	1894	1	treitschke_geschichte05_1894-3069-45	 	Die Baiern rühmten sich gern, daß bei ihnen allein die Karlsbader Beschlüsse nicht vollständig ausgeführt würden; und allerdings ließ der Münchener Hof nach wie vor nur politische und statistische Zeitschriften censiren, obgleich er doch selber einst am Bundestage die Verlängerung der Karlsbader Ausnahmegesetze durchgesetzt hatte.	297:312	0:332	Die Baiern rühmten ſich gern , daß bei ihnen allein die Karlsbader Beſchlüſſe nicht vollſtändig ausgeführt würden ; und allerdings ließ der Münchener Hof nach wie vor nur politiſche und ſtatiſtiſche Zeitſchriften cenſiren , obgleich er doch ſelber einſt am Bundestage die Verlängerung der Karlsbader Ausnahmegeſetze durchgeſetzt hatte .	45	0:49	d Bayern rühmen sich gern , daß bei sie allein d Karlsbader Beschluß nicht vollständig ausführen werden ; und allerdings lassen d münchener Hof nach wie vor nur politisch und statistisch Zeitschrift zensieren , obgleich er doch selber einst am Bundestag d Verlängerung d Karlsbader Ausnahmegesetz durchsetzen haben .	ART NE VVFIN PRF ADV $, KOUS APPR PPER ADV ART NN NN PTKNEG ADJD VVPP VAFIN $. KON ADV VVFIN ART ADJA NN APPR KOKOM APPR ADV ADJA KON ADJA NN VVINF $, KOUS PPER ADV ADV ADV APPRART NN ART NN ART NN NN VVPP VAFIN $.	Die Bayern rühmten sich gern , daß bei ihnen allein die Karlsbader Beschlüsse nicht vollständig ausgeführt würden ; und allerdings ließ der Münchener Hof nach wie vor nur politische und statistische Zeitschriften zensieren , obgleich er doch selber einst am Bundestage die Verlängerung der Karlsbader Ausnahmegesetze durchgesetzt hatte .
Ausnahmegesetz	NN	1876	1	laband_staatsrecht01_1876-2419-30	 	Durch die völlige Analogie der Fälle könnte die extensive Interpretation des § 4 cit. gerechtfertigt erscheinen, wenn ihr nicht der Charakter des Gesetzes vom 4. Mai 1874 als eines Ausnahmegesetzes entgegen stände.	181:197	0:214	Durch die völlige Analogie der Fälle könnte die extenſive Interpretation des § 4 cit. gerechtfertigt erſcheinen , wenn ihr nicht der Charakter des Geſetzes vom 4. Mai 1874 als eines Ausnahmegeſetzes entgegen ſtände .	30	0:34	durch d völlig Analogie d Fall können d extensiv Interpretation d § 4 Cit. rechtfertigen erscheinen , wenn sie nicht d Charakter d Gesetz vom 4. Mai 1874 als eine Ausnahmegesetz entgegen stehen .	APPR ART ADJA NN ART NN VMFIN ART ADJA NN ART $( CARD NN VVPP VVINF $, KOUS PPER PTKNEG ART NN ART NN APPRART ADJA NN CARD KOKOM ART NN APPO VVFIN $.	Durch die völlige Analogie der Fälle könnte die extensive Interpretation des § 4 cit. gerechtfertigt erscheinen , wenn ihr nicht der Charakter des Gesetzes vom 4. Mai 1874 als eines Ausnahmegesetzes entgegen stände .
Ausnahmegesetz	NN	1885	1	treitschke_geschichte03_1885-11386-19	 	Die jedem Preußen unvergeßliche Schmach jener Punctation liegt nicht in ihrem Inhalt; denn über die Nothwendigkeit der Karlsbader Ausnahmegesetze waren beide Mächte von vorn herein einverstanden, und auch der Artikel VII. über die preußische Verfassung sagte streng genommen nichts Neues.	130:145	0:288	Die jedem Preußen unvergeßliche Schmach jener Punctation liegt nicht in ihrem Inhalt ; denn über die Nothwendigkeit der Karlsbader Ausnahmegeſetze waren beide Mächte von vorn herein einverſtanden , und auch der Artikel VII. über die preußiſche Verfaſſung ſagte ſtreng genommen nichts Neues .	19	0:43	d jede Preuße unvergeßlich Schmach jen Punktation liegen nicht in ihr Inhalt ; denn über d Notwendigkeit d Karlsbader Ausnahmegesetz sein beide Macht von vorn herein einverstanden , und auch d Artikel Vii. über d preußisch Verfassung sagen streng nehmen nichts Neu .	ART PIAT NN ADJA NN PDAT NN VVFIN PTKNEG APPR PPOSAT NN $. KON APPR ART NN ART NN NN VAFIN PIAT NN APPR ADV PTKVZ ADJD $, KON ADV ART NN NE APPR ART ADJA NN VVFIN ADJD VVPP PIAT NN $.	Die jedem Preußen unvergeßliche Schmach jener Punktation liegt nicht in ihrem Inhalt ; denn über die Notwendigkeit der Karlsbader Ausnahmegesetze waren beide Mächte von vorn herein einverstanden , und auch der Artikel VII. über die preußische Verfassung sagte streng genommen nichts Neues .
Ausnahmegesetz	NN	1895	1	nn_maehrisches122_1895-141-18	 	Ja, derselbe Mann, der im vorigen Jahre als leitender Minister durch das Gewicht seiner Persönlichkeit scharfe Ausnahmegesetze gegen die Bomben schleudernden Anarchisten durchzudrücken verstand, versuchte sich damals selbst in der Fabrikation solcher Mordinstrumente!	111:126	0:267	Ja , derſelbe Mann , der im vorigen Jahre als leitender Miniſter durch das Gewicht ſeiner Perſönlichkeit ſcharfe Ausnahmegeſetze gegen die Bomben ſchleudernden Anarchiſten durchzudrücken verſtand , verſuchte ſich damals ſelbſt in der Fabrikation ſolcher Mordinſtrumente !	18	0:37	ja , dieselbe Mann , die im vorig Jahr als leitend Minister durch d Gewicht seine Persönlichkeit scharf Ausnahmegesetz gegen d Bombe schleudernd Anarchist durchdrücken verstehen , versuchen sich damals selbst in d Fabrikation solch Mordinstrument !	PTKANT $, PDAT NN $, PRELS APPRART ADJA NN KOKOM ADJA NN APPR ART NN PPOSAT NN ADJA NN APPR ART NN ADJA NN VVIZU VVFIN $, VVFIN PRF ADV ADV APPR ART NN PIAT NN $.	Ja , derselbe Mann , der im vorigen Jahre als leitender Minister durch das Gewicht seiner Persönlichkeit scharfe Ausnahmegesetze gegen die Bomben schleudernden Anarchisten durchzudrücken verstand , versuchte sich damals selbst in der Fabrikation solcher Mordinstrumente !
