lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Behandlung	NN	1820	1	carus_gynaekologie02_1820-4963-3	 	Auch die weitere Behandlung richtet sich nach den be-sondern Ursachen.	17:27	0:70	Auch die weitere Behandlung richtet ſich nach den be- ſondern Urſachen .	3	0:12	auch d weit Behandlung richten sich nach d be- sondern Ursache .	ADV ART ADJA NN VVFIN PRF APPR ART TRUNC KON NN $.	Auch die weitere Behandlung richtet sich nach den be- sondern Ursachen .
Behandlung	NN	1880	1	laband_staatsrecht0301_1880-1648-10	 	In größeren Garnisonsorten werden überdies Garnisonärzte angestellt, denen die Behandlung aller in den Garnisonen vorhandenen nicht regimentirten Offiziere und Militair-Beamten, des Festungspersonals und der Arbeitssoldaten, sowie der Fuß-Artillerie-Regimenter und Train-Bataillone obliegt.	79:89	0:290	In größeren Garniſonsorten werden überdies Garniſonärzte angeſtellt , denen die Behandlung aller in den Garniſonen vorhandenen nicht regimentirten Offiziere und Militair-Beamten , des Feſtungsperſonals und der Arbeitsſoldaten , ſowie der Fuß-Artillerie-Regimenter und Train- Bataillone obliegt .	10	0:36	in groß Garnisonsorte werden überdies Garnisonarzt anstellen , die d Behandlung alle in d Garnison vorhanden nicht Regimenthirte Offizier und Militair-Beamten , d Festungspersonal und d Arbeitssoldat , sowie d Fuß-Artillerie-Regiment und train- Bataillon obliegen .	APPR ADJA NN VAFIN ADV NN VVPP $, PRELS ART NN PIAT APPR ART NN ADJA PTKNEG NN NN KON NE $, ART NN KON ART NN $, KON ART NN KON TRUNC NN VVFIN $.	In größeren Garnisonsorten werden überdies Garnisonärzte angestellt , denen die Behandlung aller in den Garnisonen vorhandenen nicht Regimenthirten Offiziere und Militair-Beamten , des Festungspersonals und der Arbeitssoldaten , sowie der Fuß-Artillerie-Regimenter und Train- Bataillone obliegt .
Behandlung	NN	1883	1	dilthey_geisteswissenschaften_1883-1419-20	 	Zwei Wendungen treten ein, welche beide zu diesem Zweck die Metaphysik zu Hilfe rufen und beide jede wirklich wissenschaftliche Behandlung des Problems ausschließen.	128:138	0:165	Zwei Wendungen treten ein , welche beide zu dieſem Zweck die Metaphyſik zu Hilfe rufen und beide jede wirklich wiſſenſchaftliche Behandlung des Problems ausſchließen .	20	0:25	zwei Wendung treten ein , welche beide zu diese Zweck d Metaphysik zu Hilfe rufen und beide jede wirklich wissenschaftlich Behandlung d Problem ausschließen .	CARD NN VVFIN PTKVZ $, PRELS PIS APPR PDAT NN ART NN APPR NN VVINF KON PIS PIAT ADJD ADJA NN ART NN VVINF $.	Zwei Wendungen treten ein , welche beide zu diesem Zweck die Metaphysik zu Hilfe rufen und beide jede wirklich wissenschaftliche Behandlung des Problems ausschließen .
Behandlung	NN	1875	1	sachs_botanik_1875-1922-53	 	Die Ernährung und Saftbewegung der Pflanzen trat immer mehr in den Vordergrund und Hales zeigte, wie viel sich in dieser Richtung auch ohne mikroskopische Untersuchung leisten läßt; das Interesse concentrirte sich daher bei den Wenigen, die überhaupt mit Pflanzenphysiologie sich beschäftigten, wie Bonnet und Du Hamel auf die experimentelle Behandlung derselben.	342:352	0:363	Die Ernährung und Saftbewegung der Pflanzen trat immer mehr in den Vordergrund und Hales zeigte , wie viel ſich in dieſer Richtung auch ohne mikroſkopiſche Unterſuchung leiſten läßt ; das Intereſſe concentrirte ſich daher bei den Wenigen , die überhaupt mit Pflanzenphyſiologie ſich beſchäftigten , wie Bonnet und Du Hamel auf die experimentelle Behandlung derſelben .	53	0:56	d Ernährung und Saftbewegung d Pflanze treten immer mehr in d Vordergrund und Hales zeigen , wie viel sich in diese Richtung auch ohne mikroskopisch Untersuchung leisten lassen ; d Interesse konzentriert sich daher bei d wenige , die überhaupt mit Pflanzenphysiologie sich beschäftigen , wie Bonnet und Du Hamel auf d experimentell Behandlung dieselbe .	ART NN KON NN ART NN VVFIN ADV ADV APPR ART NN KON NE VVFIN $, PWAV PIS PRF APPR PDAT NN ADV APPR ADJA NN VVINF VVFIN $. ART NN ADJA PRF PAV APPR ART PIS $, PRELS ADV APPR NN PRF VVFIN $, PWAV NE KON NE NE APPR ART ADJA NN PDAT $.	Die Ernährung und Saftbewegung der Pflanzen trat immer mehr in den Vordergrund und Hales zeigte , wie viel sich in dieser Richtung auch ohne mikroskopische Untersuchung leisten läßt ; das Interesse konzentrierte sich daher bei den Wenigen , die überhaupt mit Pflanzenphysiologie sich beschäftigten , wie Bonnet und Du Hamel auf die experimentelle Behandlung derselben .
Behandlung	NN	1830	1	mueller_kunst_1830-12071-40	 	Doch wer über diesen Gegenstand ordentlich richten will, muß durchaus das in der ersten Auflage der Epochen, Abh. ii. Anm. S. 82., dann die Recension in den Wiener Jahrb. xxxix. S. 133, u. nun die neue Behandlung S. 278. im Zusammenhang nachlesen; er wird finden, daß sich wirklich in dieser Manier eben so gut beweisen läßt, daß Tarquinius Superbus der fünfte König von Romulus war.	202:212	0:383	Doch wer über dieſen Gegenſtand ordentlich richten will , muß durchaus das in der erſten Auflage der Epochen , Abh. ii. Anm. S. 82. , dann die Recenſion in den Wiener Jahrb. xxxix. S. 133 , u. nun die neue Behandlung S. 278. im Zuſammenhang nachleſen ; er wird finden , daß ſich wirklich in dieſer Manier eben ſo gut beweiſen läßt , daß Tarquinius Superbus der fünfte König von Romulus war .	40	0:73	doch wer über diese Gegenstand ordentlich richten wollen , müssen durchaus d in d erst Auflage d Epoche , Abh. Ii. Anm. S. 82. , dann d Rezension in d Wiener Jahrb. Xxxix. S. 133 , u. nun d neu Behandlung S. 278. im Zusammenhäng nachlesen ; er werden finden , daß sich wirklich in diese Manier eben so gut beweisen lassen , daß Tarquinius Superbus d fünft König von Romulus sein .	KON PWS APPR PDAT NN ADJD VVINF VMFIN $, VMFIN ADV ART APPR ART ADJA NN ART NN $, NE NE NN NN ADJA $, ADV ART NN APPR ART ADJA NN NE NE CARD $, KON ADV ART ADJA NN NN ADV APPRART NN VVINF $. PPER VAFIN VVINF $, KOUS PRF ADJD APPR PDAT NN ADV ADV ADJD VVINF VVFIN $, KOUS NE NN ART ADJA NN APPR NE VAFIN $.	Doch wer über diesen Gegenstand ordentlich richten will , muß durchaus das in der ersten Auflage der Epochen , Abh. ii. Anm. S. 82. , dann die Rezension in den Wiener Jahrb. xxxix. S. 133 , u. nun die neue Behandlung S. 278. im Zusammenhäng nachlesen ; er wird finden , daß sich wirklich in dieser Manier eben so gut beweisen läßt , daß Tarquinius Superbus der fünfte König von Romulus war .
Behandlung	NN	1857	1	vischer_poetik_1857-2472-55	 	Es wird sich zwar zeigen, daß sie das Objective im Sinne der bildenden Phantasie, des Epischen, nicht ausschließt, daß vielmehr gewisse Gebilde der lyrischen Dicht-Art, worin dieß Element recht bestimmte Gestalt annimmt, gerade ihr angehören; aber eben hier, wo der Stoff objectiv gesetzt ist, wird die Behandlung um so entschiedener den rein subjectiven Empfindungscharakter tragen.	303:313	0:383	Es wird sich zwar zeigen , daß sie das Objective im Sinne der bildenden Phantasie , des Epischen , nicht ausschließt , daß vielmehr gewisse Gebilde der lyrischen Dicht-Art , worin dieß Element recht bestimmte Gestalt annimmt , gerade ihr angehören ; aber eben hier , wo der Stoff objectiv gesetzt ist , wird die Behandlung um so entschiedener den rein subjectiven Empfindungscharakter tragen .	55	0:65	es werden sich zwar zeigen , daß sie d Objektiv im Sinn d bildend Phantasie , d Epische , nicht ausschließen , daß vielmehr gewiß Gebilde d lyrisch Dicht-Art , worin diese Element recht bestimmt Gestalt annehmen , gerade sie angehören ; aber eben hier , wo d Stoff objektiv setzen sein , werden d Behandlung um so entschieden d rein subjektiv Empfindungscharakter tragen .	PPER VAFIN PRF ADV VVINF $, KOUS PPER ART NN APPRART NN ART ADJA NN $, ART NN $, PTKNEG VVFIN $, KOUS ADV ADJA NN ART ADJA NN $, PWAV PDS NN ADJD ADJA NN VVFIN $, ADV PPER VVINF $. ADV ADV ADV $, PWAV ART NN ADJD VVPP VAFIN $, VAFIN ART NN APPR ADV ADJA ART ADJD ADJA NN VVINF $.	Es wird sich zwar zeigen , daß sie das Objektive im Sinne der bildenden Phantasie , des Epischen , nicht ausschließt , daß vielmehr gewisse Gebilde der lyrischen Dicht-Art , worin dies Element recht bestimmte Gestalt annimmt , gerade ihr angehören ; aber eben hier , wo der Stoff objektiv gesetzt ist , wird die Behandlung um so entschiedener den rein subjektiven Empfindungscharakter tragen .
Behandlung	NN	1843	1	beseler_volksrecht_1843-2086-56	 	Daß aber diese fast absolute Geltung des Juristenrechts gerade in diesem Rechtstheile so oft hat verkannt werden können, erklärt sich wohl zur Genüge aus dem Umstande, daß er mehr in der stille wirkenden Kraft der Praxis, als in der leichter erkennbaren Thätigkeit der Theorie seine Ausbildung erlangt hat, und daß die wissenschaftliche Behandlung, welche ihm zu Theil geworden, im Ganzen eine so wenig befriedigende gewesen ist.	337:347	0:429	Daß aber dieſe faſt abſolute Geltung des Juriſtenrechts gerade in dieſem Rechtstheile ſo oft hat verkannt werden koͤnnen , erklaͤrt ſich wohl zur Genuͤge aus dem Umſtande , daß er mehr in der ſtille wirkenden Kraft der Praxis , als in der leichter erkennbaren Thaͤtigkeit der Theorie ſeine Ausbildung erlangt hat , und daß die wiſſenſchaftliche Behandlung , welche ihm zu Theil geworden , im Ganzen eine ſo wenig befriedigende geweſen iſt .	56	0:73	daß aber diese fast absolut Geltung d Juristenrecht gerade in diese Rechtsteil so oft haben verkennen werden können , erklären sich wohl zur Genüge aus d Umstand , daß er mehr in d still wirkend Kraft d Praxis , als in d leicht erkennbar Tätigkeit d Theorie seine Ausbildung erlangen haben , und daß d wissenschaftlich Behandlung , welche er zu Teil werden , im Ganze eine so wenig befriedigend sein sein .	KOUS ADV PDAT ADV ADJA NN ART NN ADV APPR PDAT NN ADV ADV VAFIN VVPP VAINF VMFIN $, VVFIN PRF ADV APPRART NN APPR ART NN $, KOUS PPER ADV APPR ART ADJA ADJA NN ART NN $, KOKOM APPR ART ADJD ADJA NN ART NN PPOSAT NN VVPP VAFIN $, KON KOUS ART ADJA NN $, PRELS PPER APPR NN VAPP $, APPRART NN ART ADV PIAT ADJA VAPP VAFIN $.	Daß aber diese fast absolute Geltung des Juristenrechts gerade in diesem Rechtsteile so oft hat verkannt werden können , erklärt sich wohl zur Genüge aus dem Umstande , daß er mehr in der stille wirkenden Kraft der Praxis , als in der leichter erkennbaren Tätigkeit der Theorie seine Ausbildung erlangt hat , und daß die wissenschaftliche Behandlung , welche ihm zu Teil geworden , im Ganzen eine so wenig befriedigende gewesen ist .
Behandlung	NN	1835	1	baumstark_encyclopaedie_1835-7672-12	 	Ueber Buchenwaldungen s. m. v. Seutter, Ueber Wachsthum, Bewirthschaftung und Behandlung der Buchenwaldungen.	78:88	0:109	Ueber Buchenwaldungen ſ. m. v. Seutter , Ueber Wachsthum , Bewirthſchaftung und Behandlung der Buchenwaldungen .	12	0:16	über Buchenwaldung s. m. v. Seutter , über Wachstum , Bewirtschaftung und Behandlung d Buchenwaldung .	APPR NN VVIMP APPR APPR NE $, APPR NN $, NN KON NN ART NN $.	Über Buchenwaldungen s. m. v. Seutter , Über Wachstum , Bewirtschaftung und Behandlung der Buchenwaldungen .
Behandlung	NN	1820	1	carus_gynaekologie01_1820-2038-1	 	Die Behandlung der Metritis muß gleichfalls nach Ursachen, Grad und Charakter der Krankheit verschieden seyn.	4:14	0:109	Die Behandlung der Metritis muß gleichfalls nach Urſachen , Grad und Charakter der Krankheit verſchieden ſeyn .	1	0:17	d Behandlung d Metritis müssen gleichfalls nach Ursache , Grad und Charakter d Krankheit verschieden sein .	ART NN ART NN VMFIN ADV APPR NN $, NN KON NN ART NN ADJD VAINF $.	Die Behandlung der Metritis muß gleichfalls nach Ursachen , Grad und Charakter der Krankheit verschieden sein .
Behandlung	NN	1889	1	ganswindt_faerberei_1889-10369-58	 	Selbst die chemische Zusammensetzung wird von verschiedenen Autoren noch verschieden angegeben; in der Mehrzahl der Lehrbücher findet sich die Formel H2SO2; Knecht (Färberei und Bleicherei der Gespinnstfasern) gibt als Formel H2 S2 O4 an; ob mit Recht, möchte ich bezweifeln; denn die hypothetische hyposchweflige Säure bildet sich aus schwefliger Säure durch Behandlung mit Wasserstoff im Entstehungszustande, und zwar in hermetisch geschlossenen Räumen, also ohne Sauerstoffzufuhr.	360:370	0:483	Selbſt die chemiſche Zuſammenſetzung wird von verſchiedenen Autoren noch verſchieden angegeben ; in der Mehrzahl der Lehrbücher findet ſich die Formel H2SO2 ; Knecht ( Färberei und Bleicherei der Geſpinnſtfaſern ) gibt als Formel H2 S2 O4 an ; ob mit Recht , möchte ich bezweifeln ; denn die hypothetiſche hypoſchweflige Säure bildet ſich aus ſchwefliger Säure durch Behandlung mit Waſſerſtoff im Entſtehungszuſtande , und zwar in hermetiſch geſchloſſenen Räumen , alſo ohne Sauerſtoffzufuhr .	58	0:75	selbst d chemisch Zusammensetzung werden von verschieden Autor noch verschieden angeben ; in d Mehrzahl d Lehrbuch finden sich d Formel H2so2 ; Knecht ( Färberei und Bleicherei d Gespinstfaser ) geben als Formel H2 S2 O4 an ; ob mit Recht , mögen ich bezweifeln ; denn d hypothetisch Hyposchweflige Säure bilden sich aus schweflig Säure durch Behandlung mit Wasserstoff im Entstehungszustand , und zwar in hermetisch geschließen Raum , also ohne Sauerstoffzufuhr .	ADV ART ADJA NN VAFIN APPR ADJA NN ADV ADJD VVPP $. APPR ART NN ART NN VVFIN PRF ART NN NE $. NE $( NN KON NN ART NN $( VVFIN KOKOM NN NE NE NE PTKVZ $. KOUS APPR NN $, VMFIN PPER VVINF $. KON ART ADJA NN NN VVFIN PRF APPR ADJA NN APPR NN APPR NN APPRART NN $, KON ADV APPR ADJD ADJA NN $, ADV APPR NN $.	Selbst die chemische Zusammensetzung wird von verschiedenen Autoren noch verschieden angegeben ; in der Mehrzahl der Lehrbücher findet sich die Formel H2SO2 ; Knecht ( Färberei und Bleicherei der Gespinstfasern ) gibt als Formel H2 S2 O4 an ; ob mit Recht , möchte ich bezweifeln ; denn die hypothetische Hyposchweflige Säure bildet sich aus schwefliger Säure durch Behandlung mit Wasserstoff im Entstehungszustande , und zwar in hermetisch geschlossenen Räumen , also ohne Sauerstoffzufuhr .
