identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1948_01_24_01_104.tcf.xml-53-15	savigny_system06_1847-2502-21	annotator2	4.0	 	Einreichung	2
stein_handbuch_1870-5048-13	savigny_system04_1841-4689-21	annotator2	4.0	 	Einreichung	2
2532889X_1954-02-13_01_068.tcf.xml-12-2	laband_staatsrecht0301_1880-3509-3	annotator2	4.0	 	Einreichung	2
26120215_1958_10_23_01_199.tcf.xml-13-19	heckert_schulgesetzgebung_1847-658-25	annotator2	4.0	 	Einreichung	2
laband_staatsrecht02_1878-3567-4	savigny_system06_1847-2587-12	annotator2	4.0	 	Einreichung	2
2532889X_1952-01-24_01_057.tcf.xml-7-26	heckert_schulgesetzgebung_1847-577-25	annotator2	4.0	 	Einreichung	2
2532889X_1958-10-04_01_010.tcf.xml-4-7	unknown_civilprozessordnung_1877-3522-39	annotator2	4.0	 	Einreichung	2
2532889X_1957-06-13_01_032.tcf.xml-45-21	26120215_1986_04_30_01_142.tcf.xml-1-36	annotator2	4.0	 	Einreichung	2
26120215_1948_06_23_01_008.tcf.xml-79-24	eckermann_goethe02_1836-2770-19	annotator2	4.0	 	Einreichung	2
26120215_1986_04_30_01_142.tcf.xml-1-36	2532889X_1976-08-31_01_079.tcf.xml-12-10	annotator2	4.0	 	Einreichung	2
26120215_1975_11_11_01_025.tcf.xml-6-14	26120215_1976_06_25_01_127.tcf.xml-117-26	annotator2	4.0	 	Einreichung	2
2532889X_1958-10-04_01_010.tcf.xml-5-28	heckert_schulgesetzgebung_1847-4769-41	annotator2	4.0	 	Einreichung	2
urbanitzky_electricitaet_1885-17050-10	unknown_civilprozessordnung_1877-3522-39	annotator2	4.0	 	Einreichung	2
2532889X_1954-08-20_01_010.tcf.xml-8-2	savigny_system06_1847-2587-12	annotator2	4.0	 	Einreichung	2
2532889X_1947-05-10_01_133.tcf.xml-15-14	2532889X_1952-09-20_01_060.tcf.xml-21-13	annotator2	4.0	 	Einreichung	2
2532889X_1950-12-18_01_047.tcf.xml-17-8	heckert_schulgesetzgebung_1847-4769-41	annotator2	4.0	 	Einreichung	2
2532889X_1957-01-24_01_029.tcf.xml-25-7	savigny_system06_1847-2502-21	annotator2	4.0	 	Einreichung	2
savigny_system04_1841-4495-5	heckert_schulgesetzgebung_1847-577-25	annotator2	4.0	 	Einreichung	2
2532889X_1956-07-25_01_013.tcf.xml-8-15	26120215_1976_06_25_01_127.tcf.xml-117-26	annotator2	4.0	 	Einreichung	2
2532889X_1955-04-02_01_031.tcf.xml-10-48	26120215_1976_06_25_01_127.tcf.xml-117-26	annotator2	4.0	 	Einreichung	2
heckert_schulgesetzgebung_1847-7608-6	2532889X_1952-09-20_01_060.tcf.xml-21-13	annotator2	4.0	 	Einreichung	2
2532889X_1990-01-09_01_057.tcf.xml-59-3	2532889X_1950-09-09_01_143.tcf.xml-23-5	annotator2	4.0	 	Einreichung	2
2532889X_1956-04-17_01_038.tcf.xml-23-26	savigny_system06_1847-2587-12	annotator2	4.0	 	Einreichung	2
laband_staatsrecht01_1876-2116-29	26120215_1950_08_31_01_030.tcf.xml-2-24	annotator2	4.0	 	Einreichung	2
26120215_1954_08_05_01_146.tcf.xml-64-5	savigny_system04_1841-4689-21	annotator2	4.0	 	Einreichung	2
2532889X_1946-09-13_01_008.tcf.xml-177-9	heckert_schulgesetzgebung_1847-577-25	annotator2	4.0	 	Einreichung	2
26120215_1947_07_08_01_270.tcf.xml-2-3	eckermann_goethe02_1836-2770-19	annotator2	4.0	 	Einreichung	2
26120215_1952_05_24_01_039.tcf.xml-6-8	heckert_schulgesetzgebung_1847-577-25	annotator2	4.0	 	Einreichung	2
stein_handbuch_1870-5042-4	26120215_1986_04_30_01_142.tcf.xml-1-36	annotator2	4.0	 	Einreichung	2
2532889X_1947-12-05_01_045.tcf.xml-119-6	laband_staatsrecht0301_1880-3509-3	annotator2	4.0	 	Einreichung	2
ichenhaeuser_gleichberechtigung_1898-424-30	2532889X_1952-03-14_01_018.tcf.xml-17-12	annotator2	4.0	 	Einreichung	2
savigny_system06_1847-2501-20	26120215_1984_04_18_01_058.tcf.xml-13-5	annotator2	4.0	 	Einreichung	2
26120215_1951_06_20_01_037.tcf.xml-30-8	2532889X_1952-03-14_01_018.tcf.xml-17-12	annotator2	4.0	 	Einreichung	2
26120215_1962_02_24_01_028.tcf.xml-5-25	savigny_system04_1841-4689-21	annotator2	4.0	 	Einreichung	2
26120215_1950_08_11_01_494.tcf.xml-80-5	2532889X_1952-09-20_01_060.tcf.xml-21-13	annotator2	4.0	 	Einreichung	2
2532889X_1948-06-23_01_009.tcf.xml-66-23	laband_staatsrecht0301_1880-3509-3	annotator2	4.0	 	Einreichung	2
nn_maehrisches201_1893-105-13	26120215_1986_04_30_01_142.tcf.xml-1-36	annotator2	4.0	 	Einreichung	2
savigny_system06_1847-2497-65	2532889X_1952-09-20_01_060.tcf.xml-21-13	annotator2	4.0	 	Einreichung	2
heckert_schulgesetzgebung_1847-5682-6	eckermann_goethe02_1836-2770-19	annotator2	4.0	 	Einreichung	2
savigny_system06_1847-2536-15	26120215_1976_06_25_01_127.tcf.xml-117-26	annotator2	4.0	 	Einreichung	2
26120215_1947_07_12_01_199.tcf.xml-5-3	heckert_schulgesetzgebung_1847-577-25	annotator2	4.0	 	Einreichung	2
urbanitzky_electricitaet_1885-15226-14	laband_staatsrecht0301_1880-3509-3	annotator2	4.0	 	Einreichung	2
nn_nrhz076_1848-331-18	2532889X_1952-03-14_01_018.tcf.xml-17-12	annotator2	4.0	 	Einreichung	2
26120215_1947_12_09_01_199.tcf.xml-14-4	26120215_1954_08_05_01_146.tcf.xml-64-5	annotator2	4.0	 	Einreichung	2
2532889X_1976-08-31_01_079.tcf.xml-12-10	2532889X_1952-03-14_01_018.tcf.xml-17-12	annotator2	4.0	 	Einreichung	2
2532889X_1950-08-26_01_095.tcf.xml-16-8	heckert_schulgesetzgebung_1847-4769-41	annotator2	4.0	 	Einreichung	2
heckert_schulgesetzgebung_1847-3899-19	26120215_1986_04_30_01_142.tcf.xml-1-36	annotator2	4.0	 	Einreichung	2
hc_1360906_1832-95-6	2532889X_1951-07-27_01_023.tcf.xml-41-37	annotator2	4.0	 	Einreichung	2
heckert_schulgesetzgebung_1847-3900-16	26120215_1976_06_25_01_127.tcf.xml-117-26	annotator2	4.0	 	Einreichung	2
26120215_1963_06_10_02_079.tcf.xml-16-7	eckermann_goethe02_1836-2770-19	annotator2	4.0	 	Einreichung	2
heckert_schulgesetzgebung_1847-4439-0	26120215_1986_04_30_01_142.tcf.xml-1-36	annotator2	4.0	 	Einreichung	2
heckert_schulgesetzgebung_1847-6236-33	laband_staatsrecht01_1876-2116-29	annotator2	4.0	 	Einreichung	2
26120215_1957_10_04_01_183.tcf.xml-24-11	26120215_1984_04_18_01_058.tcf.xml-13-5	annotator2	4.0	 	Einreichung	2
2532889X_1947-07-12_01_038.tcf.xml-8-3	unknown_civilprozessordnung_1877-3522-39	annotator2	4.0	 	Einreichung	2
2532889X_1950-03-23_01_056.tcf.xml-63-13	eckermann_goethe02_1836-2770-19	annotator2	4.0	 	Einreichung	2
26120215_1966_06_29_01_274.tcf.xml-13-2	laband_staatsrecht0301_1880-3509-3	annotator2	4.0	 	Einreichung	2
2532889X_1981-06-13_01_381.tcf.xml-15-31	heckert_schulgesetzgebung_1847-4769-41	annotator2	4.0	 	Einreichung	2
treitschke_geschichte02_1882-3109-17	heckert_schulgesetzgebung_1847-4769-41	annotator2	4.0	 	Einreichung	2
laband_staatsrecht02_1878-4846-46	26120215_1986_04_30_01_142.tcf.xml-1-36	annotator2	4.0	 	Einreichung	2
26120215_1989_04_15_01_004.tcf.xml-28-39	2532889X_1952-09-20_01_060.tcf.xml-21-13	annotator2	4.0	 	Einreichung	2
2532889X_1951-07-27_01_023.tcf.xml-41-37	laband_staatsrecht0301_1880-3509-3	annotator2	4.0	 	Einreichung	2
2532889X_1950-09-09_01_143.tcf.xml-25-13	2532889X_1952-03-14_01_018.tcf.xml-17-12	annotator2	4.0	 	Einreichung	2
2532889X_1950-09-09_01_143.tcf.xml-23-5	26120215_1976_06_25_01_127.tcf.xml-117-26	annotator2	4.0	 	Einreichung	2
26120215_1950_08_31_01_030.tcf.xml-6-2	2532889X_1961-09-24_01_057.tcf.xml-18-17	annotator2	4.0	 	Einreichung	2
2532889X_1954-09-18_01_030.tcf.xml-35-1	eckermann_goethe02_1836-2770-19	annotator2	4.0	 	Einreichung	2
2532889X_1959-03-12_01_011.tcf.xml-3-4	2532889X_1961-09-24_01_057.tcf.xml-18-17	annotator2	4.0	 	Einreichung	2
2532889X_1962-02-24_01_023.tcf.xml-9-11	2532889X_1952-03-14_01_018.tcf.xml-17-12	annotator2	4.0	 	Einreichung	2
