lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Einreichung	NN	1832	1	hc_1360906_1832-95-6	 	Die Folge war, daß die Einreichung einer Addresse an die Stände-Versammlung beschlossen wurde, die gegenwärtig in lithographirten Abschriften beim hiesigen Publicum zur Unterschrift circulirt, und wörtlich also lautet:	23:34	0:218	Die Folge war , daß die Einreichung einer Addreſſe an die Stände-Verſammlung beſchloſſen wurde , die gegenwärtig in lithographirten Abſchriften beim hieſigen Publicum zur Unterſchrift circulirt , und wörtlich alſo lautet :	6	0:32	d Folge sein , daß d Einreichung eine Adresse an d Stande-Versammlung beschließen werden , die gegenwärtig in lithographiert Abschrift beim hiesig Publikum zur Unterschrift zirkulieren , und wörtlich also lauten :	ART NN VAFIN $, KOUS ART NN ART NN APPR ART NN VVPP VAFIN $, PRELS ADJD APPR ADJA NN APPRART ADJA NN APPRART NN VVPP $, KON ADJD ADV VVFIN $.	Die Folge war , daß die Einreichung einer Adresse an die Stände-Versammlung beschlossen wurde , die gegenwärtig in lithographierten Abschriften beim hiesigen Publikum zur Unterschrift zirkuliert , und wörtlich also lautet :
Einreichung	NN	1847	1	savigny_system06_1847-2502-21	 	Diese fingirte L. C. wäre eine leere Formalität, und es erscheint als ganz willkührlich und grundlos, gerade an die Einreichung der ersten Schrift des Beklagten, ohne Rücksicht auf deren Inhalt, wichtige materielle Wirkungen zu knüpfen.	116:127	0:236	Dieſe fingirte L. C. wäre eine leere Formalität , und es erſcheint als ganz willkührlich und grundlos , gerade an die Einreichung der erſten Schrift des Beklagten , ohne Rückſicht auf deren Inhalt , wichtige materielle Wirkungen zu knüpfen .	21	0:40	diese fingiert L. C. sein eine leer Formalität , und es erscheinen als ganz willkürlich und grundlos , gerade an d Einreichung d erst Schrift d Beklagte , ohne Rücksicht auf die Inhalt , wichtig materiell Wirkung zu knüpfen .	PDAT ADJA NE NE VAFIN ART ADJA NN $, KON PPER VVFIN KOKOM ADV ADJD KON ADJD $, ADV APPR ART NN ART ADJA NN ART NN $, KOUI NN APPR PRELAT NN $, ADJA ADJA NN PTKZU VVINF $.	Diese fingierte L. C. wäre eine leere Formalität , und es erscheint als ganz willkürlich und grundlos , gerade an die Einreichung der ersten Schrift des Beklagten , ohne Rücksicht auf deren Inhalt , wichtige materielle Wirkungen zu knüpfen .
Einreichung	NN	1848	1	nn_nrhz076_1848-331-18	 	Ich will auf Ihren Vortrag genehmigen, daß auch in der Armee, gleichwie im Civil-Staatsdienste, die Einreichung geheimer Konduitenlisten aufhöre.	100:111	0:145	Ich will auf Ihren Vortrag genehmigen , daß auch in der Armee , gleichwie im Civil-Staatsdienste , die Einreichung geheimer Konduitenlisten aufhöre .	18	0:23	ich wollen auf ihr Vortrag genehmigen , daß auch in d Armee , gleichwie im Civil-Staatsdienst , d Einreichung geheim Konduiteliste aufhören .	PPER VMFIN APPR PPOSAT NN VVINF $, KOUS ADV APPR ART NN $, KON APPRART NN $, ART NN ADJA NN VVFIN $.	Ich will auf Ihren Vortrag genehmigen , daß auch in der Armee , gleichwie im Civil-Staatsdienste , die Einreichung geheimer Konduitelisten aufhöre .
Einreichung	NN	1867	1	klostermann_eigenthum01_1867-3938-17	 	In Frankreich werden die im Auslande erschienenen Werke gleich der inländischen Production geschützt, wenn sie durch Einreichung von zwei Exemplaren bei der Pariser Bibliothek zum Schutze angemeldet werden.	117:128	0:206	In Frankreich werden die im Auslande erschienenen Werke gleich der inländischen Production geschützt , wenn sie durch Einreichung von zwei Exemplaren bei der Pariser Bibliothek zum Schutze angemeldet werden .	17	0:30	in Frankreich werden d im Ausland erscheinen Werk gleich d inländisch Produktion schützen , wenn sie durch Einreichung von zwei Exemplar bei d Pariser Bibliothek zum Schutz anmelden werden .	APPR NE VAFIN ART APPRART NN ADJA NN ADV ART ADJA NN VVPP $, KOUS PPER APPR NN APPR CARD NN APPR ART ADJA NN APPRART NN VVPP VAINF $.	In Frankreich werden die im Auslande erschienenen Werke gleich der inländischen Produktion geschützt , wenn sie durch Einreichung von zwei Exemplaren bei der Pariser Bibliothek zum Schutze angemeldet werden .
Einreichung	NN	1878	1	laband_staatsrecht02_1878-4574-30	 	In Sachen, in denen die zu verhängende Geldstrafe den Betrag von 150 Mark übersteigt, ist dem Angeschuldigten auf Verlangen eine Frist von 8 Tagen bis 4 Wochen zur Einreichung einer schriftlichen Vertheidigung zu gestatten.	164:175	0:223	In Sachen , in denen die zu verhängende Geldſtrafe den Betrag von 150 Mark überſteigt , iſt dem Angeſchuldigten auf Verlangen eine Friſt von 8 Tagen bis 4 Wochen zur Einreichung einer ſchriftlichen Vertheidigung zu geſtatten .	30	0:37	in Sache , in die d zu verhängend Geldstrafe d Betrag von 150 Mark übersteigen , sein d Angeschuldigte auf Verlangen eine Frist von 8 Tag bis 4 Woche zur Einreichung eine schriftlich Verteidigung zu gestatten .	APPR NN $, APPR PRELS ART PTKZU ADJA NN ART NN APPR CARD NN VVFIN $, VAFIN ART NN APPR NN ART NN APPR CARD NN APPR CARD NN APPRART NN ART ADJA NN PTKZU VVINF $.	In Sachen , in denen die zu verhängende Geldstrafe den Betrag von 150 Mark übersteigt , ist dem Angeschuldigten auf Verlangen eine Frist von 8 Tagen bis 4 Wochen zur Einreichung einer schriftlichen Verteidigung zu gestatten .
Einreichung	NN	1898	1	ichenhaeuser_gleichberechtigung_1898-424-30	 	Dieses Vorgehen des Congresses wirkte so einschüchternd auf das Territorium, dass, als es im November 1889 zum Rang eines Staates erhoben wurde, es nicht wagte, bei Einreichung seiner Verfassung an den Congress darin das Frauenstimmrecht aufzustellen.	165:176	0:251	Dieses Vorgehen des Congresses wirkte so einschüchternd auf das Territorium , dass , als es im November 1889 zum Rang eines Staates erhoben wurde , es nicht wagte , bei Einreichung seiner Verfassung an den Congress darin das Frauenstimmrecht aufzustellen .	30	0:41	diese Vorgehen d Kongreß wirken so einschüchternd auf d Territorium , dass , als es im November 1889 zum Rang eine Staat erheben werden , es nicht wagen , bei Einreichung seine Verfassung an d Kongreß darin d Frauenstimmrecht aufstellen .	PDAT NN ART NN VVFIN ADV ADJD APPR ART NN $, KOUS $, KOUS PPER APPRART NN CARD APPRART NN ART NN VVPP VAFIN $, PPER PTKNEG VVFIN $, APPR NN PPOSAT NN APPR ART NN PAV ART NN VVIZU $.	Dieses Vorgehen des Kongresses wirkte so einschüchternd auf das Territorium , dass , als es im November 1889 zum Rang eines Staates erhoben wurde , es nicht wagte , bei Einreichung seiner Verfassung an den Kongreß darin das Frauenstimmrecht aufzustellen .
Einreichung	NN	1847	1	heckert_schulgesetzgebung_1847-7608-6	 	20. Juli. Rescr., betr. die Einreichung der Listen von Candidaten Seitens der Regierungen.	28:39	0:90	20. Juli. Reſcr. , betr. die Einreichung der Liſten von Candidaten Seitens der Regierungen .	6	0:15	20. Juli. Rescr. , Betr. d Einreichung d Liste von Kandidat seitens d Regierung .	ADJA NN NE $, NN ART NN ART NN APPR NN APPR ART NN $.	20. Juli. Rescr. , betr. die Einreichung der Listen von Kandidaten Seitens der Regierungen .
Einreichung	NN	1870	1	stein_handbuch_1870-5042-4	 	Sie beginnt mit der Einreichung, für welche Tag und Stunde als Grundlage der Priorität angemerkt werden, darauf folgt die Eingabe an das Gericht, der Bescheid desselben, und dann die Eintragung oder Löschung.	20:31	0:208	Sie beginnt mit der Einreichung , für welche Tag und Stunde als Grundlage der Priorität angemerkt werden , darauf folgt die Eingabe an das Gericht , der Beſcheid deſſelben , und dann die Eintragung oder Löſchung .	4	0:37	sie beginnen mit d Einreichung , für welche Tag und Stunde als Grundlage d Priorität anmerken werden , darauf folgen d Eingabe an d Gericht , d Bescheid dieselbe , und dann d Eintragung oder Löschung .	PPER VVFIN APPR ART NN $, APPR PWAT NN KON NN KOKOM NN ART NN VVPP VAINF $, PAV VVFIN ART NN APPR ART NN $, ART NN PDS $, KON ADV ART NN KON NN $.	Sie beginnt mit der Einreichung , für welche Tag und Stunde als Grundlage der Priorität angemerkt werden , darauf folgt die Eingabe an das Gericht , der Bescheid desselben , und dann die Eintragung oder Löschung .
Einreichung	NN	1877	1	unknown_civilprozessordnung_1877-2082-4	 	Die Einlegung erfolgt durch Einreichung einer Beschwerdeschrift; die Einlegung kann auch durch Erklärung zum Protokolle des Gerichtsschreibers erfolgen, wenn der Rechtsstreit bei einem Amtsgericht anhängig ist oder anhängig war, wenn die Beschwerde das Armenrecht betrifft oder von einem Zeugen oder Sachverständigen erhoben wird.	28:39	0:330	Die Einlegung erfolgt durch Einreichung einer Beſchwerdeſchrift ; die Einlegung kann auch durch Erklärung zum Protokolle des Gerichtsſchreibers erfolgen , wenn der Rechtsſtreit bei einem Amtsgericht anhängig iſt oder anhängig war , wenn die Beſchwerde das Armenrecht betrifft oder von einem Zeugen oder Sachverſtändigen erhoben wird .	4	0:47	d Einlegung erfolgen durch Einreichung eine Beschwerdeschrift ; d Einlegung können auch durch Erklärung zum Protokoll d Gerichtsschreiber erfolgen , wenn d Rechtsstreit bei eine Amtsgericht anhängig sein oder anhängig sein , wenn d Beschwerde d Armenrecht betreffen oder von eine Zeuge oder Sachverständige erheben werden .	ART NN VVFIN APPR NN ART NN $. ART NN VMFIN ADV APPR NN APPRART NN ART NN VVINF $, KOUS ART NN APPR ART NN ADJD VAFIN KON ADJD VAFIN $, KOUS ART NN ART NN VVFIN KON APPR ART NN KON NN VVPP VAFIN $.	Die Einlegung erfolgt durch Einreichung einer Beschwerdeschrift ; die Einlegung kann auch durch Erklärung zum Protokolle des Gerichtsschreibers erfolgen , wenn der Rechtsstreit bei einem Amtsgericht anhängig ist oder anhängig war , wenn die Beschwerde das Armenrecht betrifft oder von einem Zeugen oder Sachverständigen erhoben wird .
Einreichung	NN	1848	1	nn_nrhz058_1848-302-3	 	Am Tage der Einreichung des Ausschußberichtes über diese Sache sei eine Deputation bei v. Gagern gewesen, die einen neuen bevorstehenden Aufruhr in Polen denuncirt hätte.	12:23	0:170	Am Tage der Einreichung des Ausschußberichtes über diese Sache sei eine Deputation bei v. Gagern gewesen , die einen neuen bevorstehenden Aufruhr in Polen denuncirt hätte .	3	0:27	am Tag d Einreichung d Ausschußbericht über diese Sache sein eine Deputation bei v. Gagern sein , die eine neu bevorstehend Aufruhr in Polen denunzieren haben .	APPRART NN ART NN ART NN APPR PDAT NN VAFIN ART NN APPR APPR NE VAPP $, PRELS ART ADJA ADJA NN APPR NE VVPP VAFIN $.	Am Tage der Einreichung des Ausschußberichtes über diese Sache sei eine Deputation bei v. Gagern gewesen , die einen neuen bevorstehenden Aufruhr in Polen denunziert hätte .
