identifier1	identifier2	annotator	judgment	comment	lemma	round
droysen_alexander_1833-1875-74	justi_velazquez02_1888-6324-22	annotator1	4.0	 	Engpaß	3
treitschke_geschichte01_1879-6920-26	humboldt_aequinoktial04_1859-2015-25	annotator1	4.0	 	Engpaß	3
nn_nrhz193_1849-455-27	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
26120215_1957_12_04_01_004.tcf.xml-22-12	26120215_1977_02_03_01_293.tcf.xml-15-22	annotator1	4.0	 	Engpaß	3
mommsen_roemische01_1854-4630-10	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
humboldt_aequinoktial04_1859-2214-70	justi_velazquez02_1888-6324-22	annotator1	4.0	 	Engpaß	3
26120215_1990_02_17_01_042.tcf.xml-36-13	2532889X_1952-07-11_01_128.tcf.xml-816-23	annotator1	4.0	 	Engpaß	3
humboldt_beschluesse_1827-111-22	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
26120215_1950_03_31_01_313.tcf.xml-13-19	nn_nrhz037_1848-385-30	annotator1	2.0	 	Engpaß	3
2532889X_1958-07-25_01_035.tcf.xml-90-18	vischer_aesthetik030203_1854-1875-31	annotator1	2.0	 	Engpaß	3
humboldt_aequinoktial04_1859-1452-20	justi_velazquez02_1888-6324-22	annotator1	4.0	 	Engpaß	3
meyer_jenatsch_1876-3353-38	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
2532889X_1950-03-07_01_127.tcf.xml-15-18	justi_velazquez02_1888-6324-22	annotator1	2.0	 	Engpaß	3
humboldt_aequinoktial02_1859-811-59	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
26120215_1948_08_13_01_091.tcf.xml-15-17	steub_tirol_1846-7242-15	annotator1	2.0	 	Engpaß	3
2532889X_1967-11-03_01_048.tcf.xml-16-12	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
rosegger_waldschulmeister_1875-2590-4	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
26120215_1953_10_13_01_030.tcf.xml-16-34	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
humboldt_aequinoktial03_1859-1873-33	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
26120215_1970_04_23_01_044.tcf.xml-22-26	vischer_aesthetik030203_1854-1875-31	annotator1	2.0	 	Engpaß	3
vischer_auch02_1879-1069-21	justi_velazquez02_1888-6324-22	annotator1	4.0	 	Engpaß	3
26120215_1990_02_17_01_042.tcf.xml-36-13	mommsen_roemische01_1854-4630-10	annotator1	4.0	 	Engpaß	3
schubin_vollmondzauber02_1899-783-5	vischer_aesthetik030203_1854-1875-31	annotator1	4.0	 	Engpaß	3
fontane_stechlin_1899-7913-12	2532889X_1983-07-12_01_127.tcf.xml-18-2	annotator1	2.0	 	Engpaß	3
nn_nrhz182_1848-353-31	justi_velazquez02_1888-6324-22	annotator1	4.0	 	Engpaß	3
humboldt_aequinoktial04_1859-2016-11	justi_velazquez02_1888-6324-22	annotator1	4.0	 	Engpaß	3
brehm_thierleben06_1869-19570-31	justi_velazquez02_1888-6324-22	annotator1	4.0	 	Engpaß	3
humboldt_aequinoktial01_1859-1063-13	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
26120215_1970_04_23_01_044.tcf.xml-22-26	vischer_aesthetik030203_1854-1875-31	annotator6	2.0	 	Engpaß	3
2532889X_1949-12-01_01_071.tcf.xml-24-5	vischer_aesthetik030203_1854-1875-31	annotator6	2.0	 	Engpaß	3
2532889X_1978-06-20_01_044.tcf.xml-42-17	vischer_aesthetik030203_1854-1875-31	annotator6	2.0	 	Engpaß	3
berg_ostasien03_1873-2619-4	justi_velazquez02_1888-6324-22	annotator6	4.0	 	Engpaß	3
nn_nrhz193_1849-455-27	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
26120215_1988_08_16_01_035.tcf.xml-12-21	2532889X_1948-12-07_01_055.tcf.xml-31-27	annotator6	3.0	 	Engpaß	3
humboldt_aequinoktial04_1859-1451-6	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
fontane_stechlin_1899-7913-12	2532889X_1983-07-12_01_127.tcf.xml-18-2	annotator6	2.0	 	Engpaß	3
mommsen_roemische01_1854-4605-25	justi_velazquez02_1888-6324-22	annotator6	4.0	 	Engpaß	3
brehm_thierleben05_1869-4422-6	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
justi_velazquez02_1888-6257-25	justi_velazquez02_1888-6324-22	annotator6	4.0	 	Engpaß	3
2532889X_1952-07-13_01_005.tcf.xml-48-34	2532889X_1953-09-05_01_039.tcf.xml-19-9	annotator6	4.0	 	Engpaß	3
pfeiffer_frauenfahrt01_1850-1876-7	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
2532889X_1952-12-13_01_116.tcf.xml-15-13	justi_velazquez02_1888-6324-22	annotator6	1.0	 	Engpaß	3
2532889X_1967-11-03_01_048.tcf.xml-16-12	droysen_alexander_1833-1874-35	annotator6	2.0	 	Engpaß	3
vischer_auch02_1879-1069-21	justi_velazquez02_1888-6324-22	annotator6	4.0	 	Engpaß	3
steub_tirol_1846-7242-15	26120215_1977_02_03_01_293.tcf.xml-15-22	annotator6	1.0	 	Engpaß	3
droysen_alexander_1833-3035-13	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
2532889X_1971-11-28_01_047.tcf.xml-25-13	vischer_aesthetik030203_1854-1875-31	annotator6	1.0	 	Engpaß	3
2532889X_1952-07-11_01_128.tcf.xml-816-23	droysen_alexander_1833-1874-35	annotator6	1.0	 	Engpaß	3
humboldt_aequinoktial04_1859-2214-70	justi_velazquez02_1888-6324-22	annotator6	4.0	 	Engpaß	3
schweiger_armenien_1878-1576-41	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
humboldt_aequinoktial04_1859-2059-31	justi_velazquez02_1888-6324-22	annotator6	3.0	 	Engpaß	3
nn_nrhz300i_1849-169-15	justi_velazquez02_1888-6324-22	annotator6	4.0	 	Engpaß	3
droysen_alexander_1833-2064-57	26120215_1948_12_21_01_020.tcf.xml-6-1	annotator6	1.0	 	Engpaß	3
treitschke_geschichte01_1879-7305-11	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
humboldt_aequinoktial04_1859-2011-13	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
humboldt_aequinoktial04_1859-2016-1	vischer_aesthetik030203_1854-1875-31	annotator6	3.0	 	Engpaß	3
mommsen_roemische03_1856-1182-27	vischer_aesthetik030203_1854-1875-31	annotator6	4.0	 	Engpaß	3
brehm_thierleben05_1869-4422-6	vischer_aesthetik030203_1854-1875-31	annotator3	4.0	 	Engpaß	3
2532889X_1958-07-25_01_035.tcf.xml-90-18	vischer_aesthetik030203_1854-1875-31	annotator3	2.0	 	Engpaß	3
