lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Engpaß	NN	1848	1	nn_nrhz037_1848-385-30	 	Setzen wir 1000 Klubs voraus, jeden durchschnittlich zu 300 Mann durch ganz Irland verbreitet; ihre Klubsäle den Kasernen in Stadt und Land gegenüber; ihre Vorposten in jedem Engpaß aufgestellt; ihre Tausende in jeder Stadt bataillonsweise disziplinirt.	175:181	0:253	Setzen wir 1000 Klubs voraus , jeden durchschnittlich zu 300 Mann durch ganz Irland verbreitet ; ihre Klubsäle den Kasernen in Stadt und Land gegenüber ; ihre Vorposten in jedem Engpaß aufgestellt ; ihre Tausende in jeder Stadt bataillonsweise disziplinirt .	30	0:41	setzen wir 1000 Klub voraus , jede durchschnittlich zu 300 Mann durch ganz Irland verbreiten ; ihr Klubsaal d Kaserne in Stadt und Land gegenüber ; ihr Vorposten in jede Engpaß aufstellen ; ihr Tausend in jede Stadt bataillonsweise disziplinieren .	VVFIN PPER CARD NN PTKVZ $, PIAT ADJD APPR CARD NN APPR ADV NE VVPP $. PPOSAT NN ART NN APPR NN KON NN PTKVZ $. PPOSAT NN APPR PIAT NN VVPP $. PPOSAT NN APPR PIAT NN ADJD VVPP $.	Setzen wir 1000 Klubs voraus , jeden durchschnittlich zu 300 Mann durch ganz Irland verbreitet ; ihre Klubsäle den Kasernen in Stadt und Land gegenüber ; ihre Vorposten in jedem Engpaß aufgestellt ; ihre Tausende in jeder Stadt bataillonsweise diszipliniert .
Engpaß	NN	1833	1	droysen_alexander_1833-3035-13	 	Polyän IV. 3. 21. Dieß ist vielleicht der von Elphinstone I. 129. bezeichnete Engpaß und derselbe Hohlweg von Hambatu, den Baber passirte, in dessen Memoiren (p. 255) man überhaupt den Weg, den Alexander nahm, wiederkennt.	78:84	0:222	Polyän IV. 3. 21. Dieß iſt vielleicht der von Elphinstone I. 129. bezeichnete Engpaß und derſelbe Hohlweg von Hambatu , den Baber paſſirte , in deſſen Memoiren ( p. 255 ) man uͤberhaupt den Weg , den Alexander nahm , wiederkennt .	13	0:42	Polyän Iv. 3. 21. diese sein vielleicht d von Elphinstone I. 129. bezeichnet Engpaß und dieselbe Hohlweg von Hambatu , d Babeer passieren , in die Memoiren ( p. 255 ) man überhaupt d Weg , d Alexander nehmen , wiederkennen .	NE NE ADJA ADJA PDS VAFIN ADV ART APPR NE NE ADJA ADJA NN KON PDAT NN APPR NE $, ART NN VVFIN $, APPR PRELAT NN $( XY CARD $( PIS ADV ART NN $, ART NE VVFIN $, VVFIN $.	Polyän IV. 3. 21. Dies ist vielleicht der von Elphinstone I. 129. bezeichnete Engpaß und derselbe Hohlweg von Hambatu , den Baber passierte , in dessen Memoiren ( p. 255 ) man überhaupt den Weg , den Alexander nahm , wiederkennt .
Engpaß	NN	1854	1	vischer_aesthetik030203_1854-1875-31	 	So befand sich auf der Kunstausstellung zu Berlin 1852 ein Sittenbild von Lessing: wehrhafte Gebirgsmänner in der Tracht am Ausgang des Mittelalters, von Felsen herab auf Ritter in einem Engpaß schießend, ein Gefangener in vornehmer Kleidung unter ihnen; alles so auffallend porträtartig, bei vortrefflicher Ausführung so local und speziell interessant behandelt, daß man durchaus meinte, im Katalog die Angabe einer bestimmten Begebenheit lesen zu müssen; das Bild wirkte bei allem Werth aus diesem Grunde beunruhigend.	187:193	0:520	So befand ſich auf der Kunſtausſtellung zu Berlin 1852 ein Sittenbild von Leſſing : wehrhafte Gebirgsmänner in der Tracht am Ausgang des Mittelalters , von Felſen herab auf Ritter in einem Engpaß ſchießend , ein Gefangener in vornehmer Kleidung unter ihnen ; alles ſo auffallend porträtartig , bei vortrefflicher Ausführung ſo local und ſpeziell intereſſant behandelt , daß man durchaus meinte , im Katalog die Angabe einer beſtimmten Begebenheit leſen zu müſſen ; das Bild wirkte bei allem Werth aus dieſem Grunde beunruhigend .	31	0:84	so befinden sich auf d Kunstausstellung zu Berlin 1852 eine Sittenbild von Lessing : wehrhaft Gebirgesmann in d Tracht am Ausgang d Mittelalter , von Felsen herab auf Ritter in eine Engpaß schießen , eine Gefangene in vornehm Kleidung unter sie ; alle so auffallend porträtartig , bei vortrefflich Ausführung so lokal und speziell interessant behandeln , daß man durchaus meinen , im Katalog d Angabe eine bestimmt Begebenheit lesen zu müssen ; d Bild wirken bei alle Wert aus diese Grund beunruhigend .	ADV VVFIN PRF APPR ART NN APPR NE CARD ART NN APPR NE $. ADJA NN APPR ART NN APPRART NN ART NN $, APPR NN ADV APPR NN APPR ART NN VVPP $, ART NN APPR ADJA NN APPR PPER $. PIS ADV ADJD ADJD $, APPR ADJA NN ADV ADJD KON ADJD ADJD VVPP $, KOUS PIS ADV VVFIN $, APPRART NN ART NN ART ADJA NN VVINF PTKZU VMINF $. ART NN VVFIN APPR PIS NN APPR PDAT NN ADJD $.	So befand sich auf der Kunstausstellung zu Berlin 1852 ein Sittenbild von Lessing : wehrhafte Gebirgsmänner in der Tracht am Ausgang des Mittelalters , von Felsen herab auf Ritter in einem Engpaß schießend , ein Gefangener in vornehmer Kleidung unter ihnen ; alles so auffallend porträtartig , bei vortrefflicher Ausführung so lokal und speziell interessant behandelt , daß man durchaus meinte , im Katalog die Angabe einer bestimmten Begebenheit lesen zu müssen ; das Bild wirkte bei allem Wert aus diesem Grunde beunruhigend .
Engpaß	NN	1846	1	steub_tirol_1846-7242-15	 	Als eine ungeheure Festung, Deutschland und Italien beherrschend, unüberwindlich durch seine Felsenwälle und Engpässe, durch eine eigene mannhafte Besatzung und durch die unerschütterliche Anhänglichkeit derselben an ihren Fürsten sowohl als an ihr Vaterland, ist es ein festes Bollwerk gegen jeden nach dem Innern der Monarchie eindringenden Feind, ein sicherer Stützpunkt für jede Operation nach außen.	109:117	0:404	Als eine ungeheure Festung , Deutschland und Italien beherrschend , unüberwindlich durch seine Felsenwälle und Engpässe , durch eine eigene mannhafte Besatzung und durch die unerschütterliche Anhänglichkeit derselben an ihren Fürsten sowohl als an ihr Vaterland , ist es ein festes Bollwerk gegen jeden nach dem Innern der Monarchie eindringenden Feind , ein sicherer Stützpunkt für jede Operation nach außen .	15	0:61	als eine ungeheuer Festung , Deutschland und Italien beherrschen , unüberwindlich durch seine Felsenwall und Engpaß , durch eine eigen mannhaft Besatzung und durch d unerschütterlich Anhänglichkeit dieselbe an ihr Fürst sowohl als an ihr Vaterland , sein es eine fest Bollwerk gegen jede nach d Innere d Monarchie eindringend Feind , eine sicher Stützpunkt für jede Operation nach außen .	KOUS ART ADJA NN $, NE KON NE VVPP $, ADJD APPR PPOSAT NN KON NN $, APPR ART ADJA ADJA NN KON APPR ART ADJA NN PDAT APPR PPOSAT NN KON KOKOM APPR PPOSAT NN $, VAFIN PPER ART ADJA NN APPR PIAT APPR ART NN ART NN ADJA NN $, ART ADJA NN APPR PIAT NN APPR ADV $.	Als eine ungeheure Festung , Deutschland und Italien beherrschend , unüberwindlich durch seine Felsenwälle und Engpässe , durch eine eigene mannhafte Besatzung und durch die unerschütterliche Anhänglichkeit derselben an ihren Fürsten sowohl als an ihr Vaterland , ist es ein festes Bollwerk gegen jeden nach dem Inneren der Monarchie eindringenden Feind , ein sicherer Stützpunkt für jede Operation nach außen .
Engpaß	NN	1833	1	droysen_alexander_1833-1200-62	 	Von hier steigt der Weg bergauf, bald gelangt man an den Sihoun (Sarus), an dem der Weg nach Cilicien hinführt; ungefähr sieben Meilen seitwärts von Tyana theilt sich der Weg, südöstlich gen Adana, südlich gen Tarsus; auf dem letzteren zog Alexander und Cyrus; drittehalb Meilen von der bezeichneten Stelle südwärts beginnt der eigentliche Engpaß, wird immer enger und gefährlicher, bis er zwei Meilen weiter durch ein Castell auf dem hohen Felsen zur Seite gesperrt wird; cf. Kinneir p. 118 und 120., der die Schwierigkeiten dieses Terrains genau beschreibt.	340:346	0:559	Von hier ſteigt der Weg bergauf , bald gelangt man an den Sihoun ( Sarus ) , an dem der Weg nach Cilicien hinführt ; ungefähr ſieben Meilen ſeitwärts von Tyana theilt ſich der Weg , ſüdöſtlich gen Adana , ſüdlich gen Tarſus ; auf dem letzteren zog Alexander und Cyrus ; drittehalb Meilen von der bezeichneten Stelle ſüdwärts beginnt der eigentliche Engpaß , wird immer enger und gefährlicher , bis er zwei Meilen weiter durch ein Caſtell auf dem hohen Felſen zur Seite geſperrt wird ; cf. Kinneir p. 118 und 120. , der die Schwierigkeiten dieſes Terrains genau beſchreibt .	62	0:102	von hier steigen d Weg bergauf , bald gelangen man an d Sihoun ( Sarus ) , an die d Weg nach Cilicien hinführen ; ungefähr sieben Meile seitwärts von Tyana teilen sich d Weg , südenöstlich gen Adana , südlich gen Tarsus ; auf d letztere ziehen Alexander und Cyrus ; dritthalb Meile von d bezeichnet Stelle südwärts beginnen d eigentlich Engpaß , werden immer eng und gefährlich , bis er zwei Meile weiter durch eine Kastell auf d hoch Felsen zur Seite sperren werden ; cf. kinneir p. 118 und 120. , die d Schwierigkeit diese Terrain genau beschreiben .	APPR ADV VVFIN ART NN ADV $, ADV VVFIN PIS APPR ART NE $( NE $( $, APPR PRELS ART NN APPR NE VVFIN $. ADJD CARD NN ADV APPR NE VVFIN PRF ART NN $, ADJD APPR NE $, ADJD APPR NE $. APPR ART PIS VVFIN NE KON NE $. CARD NN APPR ART ADJA NN ADV VVFIN ART ADJA NN $, VAFIN ADV ADJD KON ADJD $, KOUS PPER CARD NN ADV APPR ART NN APPR ART ADJA NN APPRART NN VVPP VAFIN $. XY XY XY CARD KON ADJA $, PRELS ART NN PDAT NN ADJD VVFIN $.	Von hier steigt der Weg bergauf , bald gelangt man an den Sihoun ( Sarus ) , an dem der Weg nach Cilicien hinführt ; ungefähr sieben Meilen seitwärts von Tyana teilt sich der Weg , südöstlich gen Adana , südlich gen Tarsus ; auf dem letzteren zog Alexander und Cyrus ; dritthalb Meilen von der bezeichneten Stelle südwärts beginnt der eigentliche Engpaß , wird immer enger und gefährlicher , bis er zwei Meilen weiter durch ein Kastell auf dem hohen Felsen zur Seite gesperrt wird ; cf. Kinneir p. 118 und 120. , der die Schwierigkeiten dieses Terrains genau beschreibt .
Engpaß	NN	1848	1	nn_jaeger_1848-596-13	 	Standhaft ficht Letzt’rer (Preuß’ zollt ihm Applaus!) Und Hauptcorps aus Engpaß sich wickelt heraus.	73:79	0:100	Standhaft ficht Letzt’rer ( Preuß’ zollt ihm Applaus ! ) Und Hauptcorps aus Engpaß ſich wickelt heraus .	13	0:18	Standhaft fechten letztere ( Preuße zollen er Applaus ! ) und Hauptcorps aus Engpaß sich wickeln heraus .	NN VVFIN PIAT $( NN VVFIN PPER NN $. $( KON NN APPR NN PRF VVFIN PTKVZ $.	Standhaft ficht Letzterer ( Preuße zollt ihm Applaus ! ) Und Hauptcorps aus Engpaß sich wickelt heraus .
Engpaß	NN	1860	1	humboldt_aequinoktial03_1859-1873-33	 	Sodann, nachdem sie unter dem reißenden Toben des Nil und den sich begegnenden Wellen tüchtig herumgeschaukelt worden sind, halten sie sich endlich an die seichtesten Kanäle, durch die sie den Engpässen der Felsen entgehen, und mit der ganzen Strömung niederstürzend, lenken sie den schießenden Nachen.“	193:202	0:303	Sodann , nachdem ſie unter dem reißenden Toben des Nil und den ſich begegnenden Wellen tüchtig herumgeſchaukelt worden ſind , halten ſie ſich endlich an die ſeichteſten Kanäle , durch die ſie den Engpäſſen der Felſen entgehen , und mit der ganzen Strömung niederſtürzend , lenken ſie den ſchießenden Nachen . “	33	0:52	sodann , nachdem sie unter d reißend Toben d Nil und d sich begegnend Welle tüchtig herumschaukeln werden sein , halten sie sich endlich an d seicht Kanal , durch die sie d Engpaß d Felsen entgehen , und mit d ganz Strömung niederstürzen , lenken sie d schießend Nachen . "	ADV $, KOUS PPER APPR ART ADJA NN ART NE KON ART PRF ADJA NN ADJD VVPP VAPP VAFIN $, VVFIN PPER PRF ADV APPR ART ADJA NN $, APPR PRELS PPER ART NN ART NN VVINF $, KON APPR ART ADJA NN VVPP $, VVFIN PPER ART ADJA NN $. $(	Sodann , nachdem sie unter dem reißenden Toben des Nil und den sich begegnenden Wellen tüchtig herumgeschaukelt worden sind , halten sie sich endlich an die seichtesten Kanäle , durch die sie den Engpässen der Felsen entgehen , und mit der ganzen Strömung niederstürzend , lenken sie den schießenden Nachen . "
Engpaß	NN	1876	1	meyer_jenatsch_1876-3353-38	 	Ob er sie überschritt, das sah Waser nicht mehr, das Gedränge auf der Treppe wurde jetzt so groß, daß der Bürgermeister seiner ganzen Würde und Vorsicht bedurfte, um die verwirrte Amantia ungefährdet durch den Engpaß zu bringen.	210:216	0:228	Ob er ſie überſchritt , das ſah Waſer nicht mehr , das Gedränge auf der Treppe wurde jetzt ſo groß , daß der Bürgermeiſter ſeiner ganzen Würde und Vorſicht bedurfte , um die verwirrte Amantia ungefährdet durch den Engpaß zu bringen .	38	0:42	ob er sie überschreiten , die sehen Wasser nicht mehr , d Gedränge auf d Treppe werden jetzt so groß , daß d Bürgermeister seine ganz Würde und Vorsicht bedürfen , um d verwirren Amantia ungefährdet durch d Engpaß zu bringen .	KOUS PPER PPER VVFIN $, PDS VVFIN NN PTKNEG ADV $, ART NN APPR ART NN VAFIN ADV ADV ADJD $, KOUS ART NN PPOSAT ADJA NN KON NN VVFIN $, KOUI ART VVFIN NE ADJD APPR ART NN PTKZU VVINF $.	Ob er sie überschritt , das sah Wasser nicht mehr , das Gedränge auf der Treppe wurde jetzt so groß , daß der Bürgermeister seiner ganzen Würde und Vorsicht bedurfte , um die verwirrte Amantia ungefährdet durch den Engpaß zu bringen .
Engpaß	NN	1854	1	mommsen_roemische01_1854-1944-42	 	Nachdem 411 beide Consuln in Campanien eingerückt waren, erfocht zuerst der Consul Marcus Valerius Corvus am Berge Gaurus über die Samniten einen schweren und blutigen Sieg; alsdann auch der College Aulus Cornelius Cossus, nachdem er der Vernichtung in einem Engpass durch die Hingebung einer von dem Kriegstribun Publius Decius geführten Abtheilung entgangen war.	259:266	0:364	Nachdem 411 beide Consuln in Campanien eingerückt waren , erfocht zuerst der Consul Marcus Valerius Corvus am Berge Gaurus über die Samniten einen schweren und blutigen Sieg ; alsdann auch der College Aulus Cornelius Cossus , nachdem er der Vernichtung in einem Engpaſs durch die Hingebung einer von dem Kriegstribun Publius Decius geführten Abtheilung entgangen war .	42	0:57	nachdem 411 beide Konsul in Campanien einrücken sein , erfechten zuerst d Konsul Marcus Valerius Corvus am Berg Gaurus über d Samniten eine schwer und blutig Sieg ; alsdann auch d Kollege Aulus Cornelius Cossus , nachdem er d Vernichtung in eine Engpaß durch d Hingebung eine von d Kriegstribun Publius Decius geführt Abteilung entgehen sein .	KOUS CARD PIAT NN APPR NE VVPP VAFIN $, VVFIN ADV ART NN NE NE NE APPRART NN NE APPR ART NN ART ADJA KON ADJA NN $. ADV ADV ART NN NE NE NE $, KOUS PPER ART NN APPR ART NN APPR ART NN ART APPR ART NN NE NE ADJA NN VVPP VAFIN $.	Nachdem 411 beide Konsuln in Campanien eingerückt waren , erfocht zuerst der Konsul Marcus Valerius Corvus am Berge Gaurus über die Samniten einen schweren und blutigen Sieg ; alsdann auch der Kollege Aulus Cornelius Cossus , nachdem er der Vernichtung in einem Engpass durch die Hingebung einer von dem Kriegstribun Publius Decius geführten Abteilung entgangen war .
Engpaß	NN	1899	1	schubin_vollmondzauber02_1899-785-4	 	„Es ist kein Engpaß, es ist eine Sackgasse!“ rief er verzweifelt, „und es gibt keinen Weg hinaus.	13:19	0:97	„ Es ist kein Engpaß , es ist eine Sackgasse ! “ rief er verzweifelt , „ und es gibt keinen Weg hinaus .	4	0:24	" es sein keine Engpaß , es sein eine Sackgasse ! " rufen er verzweifelt , " und es geben keine Weg hinaus .	$( PPER VAFIN PIAT NN $, PPER VAFIN ART NN $. $( VVFIN PPER ADJD $, $( KON PPER VVFIN PIAT NN PTKVZ $.	" Es ist kein Engpaß , es ist eine Sackgasse ! " rief er verzweifelt , " und es gibt keinen Weg hinaus .
