lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Entscheidung	NN	1832	1	hc_1381306_1832-97-8	 	Er ließ ihnen nur 10 Minuten Zeit zur Entscheidung.	38:50	0:51	Er ließ ihnen nur 10 Minuten Zeit zur Entſcheidung .	8	0:10	er lassen sie nur 10 Minute Zeit zur Entscheidung .	PPER VVFIN PPER ADV CARD NN NN APPRART NN $.	Er ließ ihnen nur 10 Minuten Zeit zur Entscheidung .
Entscheidung	NN	1840	1	savigny_system01_1840-1059-32	 	Welche äußere Veranlassung solche Forschung hat, kann dabey als gleichgültig oder untergeordnet betrachtet werden: ob die Mittheilung des gewonnenen Resultats durch Lehre und Schrift, oder aber das Bedürfniß der Entscheidung eines entstandenen Rechtsstreits.	212:224	0:258	Welche äußere Veranlaſſung ſolche Forſchung hat , kann dabey als gleichgültig oder untergeordnet betrachtet werden : ob die Mittheilung des gewonnenen Reſultats durch Lehre und Schrift , oder aber das Bedürfniß der Entſcheidung eines entſtandenen Rechtsſtreits .	32	0:37	welche äußer Veranlaßung solch Forschung haben , können dabei als gleichgültig oder unterordnen betrachten werden : ob d Mitteilung d gewinnen Resultat durch Lehre und Schrift , oder aber d Bedürfnis d Entscheidung eine entstehen Rechtsstreit .	PWAT ADJA NN PIAT NN VAFIN $, VMFIN PAV KOKOM ADJD KON VVPP VVPP VAINF $. KOUS ART NN ART ADJA NN APPR NN KON NN $, KON ADV ART NN ART NN ART ADJA NN $.	Welche äußere Veranlassung solche Forschung hat , kann dabei als gleichgültig oder untergeordnet betrachtet werden : ob die Mitteilung des gewonnenen Resultats durch Lehre und Schrift , oder aber das Bedürfnis der Entscheidung eines entstandenen Rechtsstreits .
Entscheidung	NN	1848	1	nn_nrhz061_1848-259-17	 	Wie die Stimmung gegenwärtig in der Stadt und auch in den Provinzen ist, kann nur eine Entscheidung, die sich wirklich auf die eine oder auf die andere Seite stellt, die Aufregung wieder niederdrücken.	87:99	0:201	Wie die Stimmung gegenwärtig in der Stadt und auch in den Provinzen ist , kann nur eine Entscheidung , die sich wirklich auf die eine oder auf die andere Seite stellt , die Aufregung wieder niederdrücken .	17	0:37	wie d Stimmung gegenwärtig in d Stadt und auch in d Provinz sein , können nur eine Entscheidung , die sich wirklich auf d eine oder auf d ander Seite stellen , d Aufregung wieder niederdrücken .	PWAV ART NN ADJD APPR ART NN KON ADV APPR ART NN VAFIN $, VMFIN ADV ART NN $, PRELS PRF ADJD APPR ART ART KON APPR ART ADJA NN VVFIN $, ART NN ADV VVINF $.	Wie die Stimmung gegenwärtig in der Stadt und auch in den Provinzen ist , kann nur eine Entscheidung , die sich wirklich auf die eine oder auf die andere Seite stellt , die Aufregung wieder niederdrücken .
Entscheidung	NN	1822	1	treviranus_biologie06_1822-2998-1	 	Zur Entscheidung über die Richtigkeit unserer Ansicht würden Beobachtungen erforderlich seyn, die uns fehlen, über die Modifikation des Gehörs bey Unbeweglichkeit des Steigbügels, oder bey Verknöcherung der Haut eines der beyden Fenster des Labyrinths, Valsalva hat zwar einen Fall, wo das ovale Fenster verknöchert war, und Cotunni ein Beyspiel von Verschliessung des runden Fensters durch einen Knochen, wobey zugleich die Gehörknöchelchen doppelt so gross wie gewöhnlich waren.	4:16	0:480	Zur Entscheidung über die Richtigkeit unserer Ansicht würden Beobachtungen erforderlich seyn , die uns fehlen , über die Modifikation des Gehörs bey Unbeweglichkeit des Steigbügels , oder bey Verknöcherung der Haut eines der beyden Fenster des Labyrinths , Valsalva hat zwar einen Fall , wo das ovale Fenster verknöchert war , und Cotunni ein Beyspiel von Verschlieſsung des runden Fensters durch einen Knochen , wobey zugleich die Gehörknöchelchen doppelt so groſs wie gewöhnlich waren .	1	0:75	zur Entscheidung über d Richtigkeit unsere Ansicht werden Beobachtung erforderlich sein , die wir fehlen , über d Modifikation d Gehör bei Unbeweglichkeit d Steigbügel , oder bei Verknöcherung d Haut eine d beide Fenster d Labyrinth , Valsalva haben zwar eine Fall , wo d oval Fenster verknöchern sein , und Cotunni eine Beispiel von Verschließung d rund Fenster durch eine Knochen , wobei zugleich d Gehörknöchelchen doppelt so groß wie gewöhnlich sein .	APPRART NN APPR ART NN PPOSAT NN VAFIN NN ADJD VAINF $, PRELS PPER VVFIN $, APPR ART NN ART NN APPR NN ART NN $, KON APPR NN ART NN PIS ART PIAT NN ART NN $, NE VAFIN ADV ART NN $, PWAV ART ADJA NN VVPP VAFIN $, KON NE ART NN APPR NN ART ADJA NN APPR ART NN $, PWAV ADV ART NN ADJD ADV ADJD KOKOM ADJD VAFIN $.	Zur Entscheidung über die Richtigkeit unserer Ansicht würden Beobachtungen erforderlich sein , die uns fehlen , über die Modifikation des Gehörs bei Unbeweglichkeit des Steigbügels , oder bei Verknöcherung der Haut eines der beiden Fenster des Labyrinths , Valsalva hat zwar einen Fall , wo das ovale Fenster verknöchert war , und Cotunni ein Beispiel von Verschliessung des runden Fensters durch einen Knochen , wobei zugleich die Gehörknöchelchen doppelt so groß wie gewöhnlich waren .
Entscheidung	NN	1843	1	ranke_reformation04_1843-3017-30	 	Es konnte noch nicht genügen, blos die Execution eines Urtels gehindert und den Versuch einer solchen mit Waffengewalt verhindert zu haben: des Gerichtes selbst, von welchem diese Entscheidung ausgegangen, und das jetzt mit noch gefährlichern drohte (die Revision, welche beschlossen gewesen, war im Momente wo sie beginnen sollte, inhibirt worden), mußte man sich endlich einmal, und auf immer entledigen.	180:192	0:406	Es konnte noch nicht genügen , blos die Execution eines Urtels gehindert und den Verſuch einer ſolchen mit Waffengewalt verhindert zu haben : des Gerichtes ſelbſt , von welchem dieſe Entſcheidung ausgegangen , und das jetzt mit noch gefährlichern drohte ( die Reviſion , welche beſchloſſen geweſen , war im Momente wo ſie beginnen ſollte , inhibirt worden ) , mußte man ſich endlich einmal , und auf immer entledigen .	30	0:71	es können noch nicht genügen , bloß d Exekution eine Urtel hindern und d Versuch eine solch mit Waffengewalt verhindern zu haben : d Gericht selbst , von welche diese Entscheidung ausgehen , und die jetzt mit noch gefährlich drohen ( d Revision , welche beschließen sein , sein im Moment wo sie beginnen sollen , inhibieren werden ) , müssen man sich endlich einmal , und auf immer entledigen .	PPER VMFIN ADV PTKNEG VVINF $, ADV ART NN ART NE VVPP KON ART NN ART PIAT APPR NN VVPP PTKZU VAINF $. ART NN ADV $, APPR PRELS PDAT NN VVPP $, KON PDS ADV APPR ADV ADJA VVFIN $( ART NN $, PRELS VVPP VAPP $, VAFIN APPRART NN PWAV PPER VVINF VMFIN $, VVPP VAPP $( $, VMFIN PIS PRF ADV ADV $, KON APPR ADV VVINF $.	Es konnte noch nicht genügen , bloß die Exekution eines Urtels gehindert und den Versuch einer solchen mit Waffengewalt verhindert zu haben : des Gerichtes selbst , von welchem diese Entscheidung ausgegangen , und das jetzt mit noch gefährlicheren drohte ( die Revision , welche beschlossen gewesen , war im Momente wo sie beginnen sollte , inhibiert worden ) , mußte man sich endlich einmal , und auf immer entledigen .
Entscheidung	NN	1875	1	curtius_alterthum01_1875-3108-86	 	Seitdem kann man Ethik und wissenschaftliche Arbeit nicht mehr trennen, ohne den Charakter deutscher Wissenschaft zu verläugnen, und zu den treibenden Kräften, welche mit der Reformation in unserm Volke lebendig geworden sind, gehört vor Allem das Gefühl eigner Verantwortlichkeit, das Jeder in seinem Gewissen trägt, nicht als einen unbequemen Stachel, sondern als das Unterpfand voller Menschenwürde, als den Sporn rastloser Pflichttreue, als die Bürgschaft einer freien Persönlichkeit, welche die ewigen Gesetze des sittlichen Lebens nach eigener Entscheidung anerkennt.	550:562	0:573	Seitdem kann man Ethik und wiſſenſchaftliche Arbeit nicht mehr trennen , ohne den Charakter deutſcher Wiſſenſchaft zu verläugnen , und zu den treibenden Kräften , welche mit der Reformation in unſerm Volke lebendig geworden ſind , gehört vor Allem das Gefühl eigner Verantwortlichkeit , das Jeder in ſeinem Gewiſſen trägt , nicht als einen unbequemen Stachel , ſondern als das Unterpfand voller Menſchenwürde , als den Sporn raſtloſer Pflichttreue , als die Bürgſchaft einer freien Perſönlichkeit , welche die ewigen Geſetze des ſittlichen Lebens nach eigener Entſcheidung anerkennt .	86	0:89	seitdem können man Ethik und wissenschaftlich Arbeit nicht mehr trennen , ohne d Charakter deutsch Wissenschaft zu verleugnen , und zu d treibend Kraft , welche mit d Reformation in unsere Volk lebendig werden sein , gehören vor alle d Gefühl eigen Verantwortlichkeit , die jede in seine Gewissen tragen , nicht als eine unbequem Stachel , sondern als d Unterpfand voll Menschenwürde , als d Sporn rastlos Pflichttreue , als d Bürgschaft eine frei Persönlichkeit , welche d ewig Gesetz d sittlich Leben nach eigen Entscheidung anerkennen .	PAV VMFIN PIS NN KON ADJA NN PTKNEG ADV VVINF $, KOUI ART NN ADJA NN PTKZU VVINF $, KON APPR ART ADJA NN $, PRELS APPR ART NN APPR PPOSAT NN ADJD VAPP VAFIN $, VVFIN APPR PIS ART NN ADJA NN $, PRELS PIS APPR PPOSAT NN VVFIN $, PTKNEG KOKOM ART ADJA NN $, KON KOKOM ART NN ADJA NN $, KOUS ART NN ADJA NN $, KOUS ART NN ART ADJA NN $, PRELS ART ADJA NN ART ADJA NN APPR ADJA NN VVFIN $.	Seitdem kann man Ethik und wissenschaftliche Arbeit nicht mehr trennen , ohne den Charakter deutscher Wissenschaft zu verleugnen , und zu den treibenden Kräften , welche mit der Reformation in unserem Volke lebendig geworden sind , gehört vor Allem das Gefühl eigener Verantwortlichkeit , das Jeder in seinem Gewissen trägt , nicht als einen unbequemen Stachel , sondern als das Unterpfand voller Menschenwürde , als den Sporn rastloser Pflichttreue , als die Bürgschaft einer freien Persönlichkeit , welche die ewigen Gesetze des sittlichen Lebens nach eigener Entscheidung anerkennt .
Entscheidung	NN	1876	1	laband_staatsrecht01_1876-7656-8	 	Ist eine Prüfung erforderlich, so erfolgt eine Entscheidung über den Antrag durch die zuständige Behörde.	47:59	0:105	Iſt eine Prüfung erforderlich , ſo erfolgt eine Entſcheidung über den Antrag durch die zuſtändige Behörde .	8	0:17	sein eine Prüfung erforderlich , so erfolgen eine Entscheidung über d Antrag durch d zuständig Behörde .	VAFIN ART NN ADJD $, ADV VVFIN ART NN APPR ART NN APPR ART ADJA NN $.	Ist eine Prüfung erforderlich , so erfolgt eine Entscheidung über den Antrag durch die zuständige Behörde .
Entscheidung	NN	1854	1	vischer_aesthetik030203_1854-2807-33	 	Das geschichtliche Bild will eine Anspannung des Gemüths, wie Sittenbild und Landschaft sie nicht fordert; da genügt nicht die stille Vertiefung, sondern da gilt es, furchtbaren Entscheidungen mit der Entscheidung der eigenen, ganzen Seelenkraft zu folgen.	201:213	0:256	Das geſchichtliche Bild will eine Anſpannung des Gemüths , wie Sittenbild und Landſchaft ſie nicht fordert ; da genügt nicht die ſtille Vertiefung , ſondern da gilt es , furchtbaren Entſcheidungen mit der Entſcheidung der eigenen , ganzen Seelenkraft zu folgen .	33	0:42	d geschichtlich Bild wollen eine Anspannung d Gemüt , wie Sittenbild und Landschaft sie nicht fordern ; da genügen nicht d still Vertiefung , sondern da gelten es , furchtbar Entscheidung mit d Entscheidung d eigen , ganz Seelenkraft zu folgen .	ART ADJA NN VMFIN ART NN ART NN $, PWAV NN KON NN PPER PTKNEG VVFIN $. ADV VVFIN PTKNEG ART ADJA NN $, KON ADV VVFIN PPER $, ADJA NN APPR ART NN ART ADJA $, ADJA NN PTKZU VVINF $.	Das geschichtliche Bild will eine Anspannung des Gemüts , wie Sittenbild und Landschaft sie nicht fordert ; da genügt nicht die stille Vertiefung , sondern da gilt es , furchtbaren Entscheidungen mit der Entscheidung der eigenen , ganzen Seelenkraft zu folgen .
Entscheidung	NN	1840	1	savigny_system01_1840-1469-23	 	2. Die in ihnen enthaltene Regel ist bald mit der einzelnen Entscheidung verwebt, bald abgesondert ausgesprochen, und dann als Grund der Entscheidung benutzt, so daß sie in derselben Gestalt auch als Gesetz hätte aufgestellt werden können, was nur hier nicht geschehen ist.	137:149	0:273	2. Die in ihnen enthaltene Regel iſt bald mit der einzelnen Entſcheidung verwebt , bald abgeſondert ausgeſprochen , und dann als Grund der Entſcheidung benutzt , ſo daß ſie in derſelben Geſtalt auch als Geſetz hätte aufgeſtellt werden können , was nur hier nicht geſchehen iſt .	23	0:47	2. d in sie enthalten Regel sein bald mit d einzeln Entscheidung verweben , bald absondern aussprechen , und dann als Grund d Entscheidung benutzen , so daß sie in dieselbe Gestalt auch als Gesetz haben aufstellen werden können , was nur hier nicht geschehen sein .	ADV ART APPR PPER ADJA NN VAFIN ADV APPR ART ADJA NN VVPP $, ADV VVPP VVPP $, KON ADV KOKOM NN ART NN VVPP $, ADV KOUS PPER APPR PDAT NN ADV KOKOM NN VAFIN VVPP VAINF VMINF $, PRELS ADV ADV PTKNEG VVPP VAFIN $.	2. Die in ihnen enthaltene Regel ist bald mit der einzelnen Entscheidung verwebt , bald abgesondert ausgesprochen , und dann als Grund der Entscheidung benutzt , so daß sie in derselben Gestalt auch als Gesetz hätte aufgestellt werden können , was nur hier nicht geschehen ist .
Entscheidung	NN	1897	1	lasswitz_planeten02_1897-7417-13	 	Aber er, er selbst, sollte er nicht für sich auf die Entscheidung seines Schicksals dringen, indem er Ell benachrichtigte?	53:65	0:122	Aber er , er ſelbſt , ſollte er nicht für ſich auf die Entſcheidung ſeines Schickſals dringen , indem er Ell benachrichtigte ?	13	0:23	aber er , er selbst , sollen er nicht für sich auf d Entscheidung seine Schicksal dringen , indem er El benachrichtigen ?	KON PPER $, PPER ADV $, VMFIN PPER PTKNEG APPR PRF APPR ART NN PPOSAT NN VVFIN $, KOUS PPER NE VVFIN $.	Aber er , er selbst , sollte er nicht für sich auf die Entscheidung seines Schicksals dringen , indem er El benachrichtigte ?
Entscheidung	NN	1840	1	schwab_sagen03_1840-229-13	 	Die Ankunft der Wahrsagerin aber bestimmte die Königin und ihren Ehebrecher, die Entscheidung nicht auf diesen Hinterhalt auszusetzen, sondern rascher und einsamer zu Werke zu gehen.	81:93	0:182	Die Ankunft der Wahrſagerin aber beſtimmte die Königin und ihren Ehebrecher , die Entſcheidung nicht auf dieſen Hinterhalt auszuſetzen , ſondern raſcher und einſamer zu Werke zu gehen .	13	0:29	d Ankunft d Wahrsagerin aber bestimmen d Königin und ihr Ehebrecher , d Entscheidung nicht auf diese Hinterhalt aussetzen , sondern rasch und einsam zu Werk zu gehen .	ART NN ART NN ADV VVFIN ART NN KON PPOSAT NN $, ART NN PTKNEG APPR PDAT NN VVIZU $, KON ADJD KON ADJA APPR NN PTKZU VVINF $.	Die Ankunft der Wahrsagerin aber bestimmte die Königin und ihren Ehebrecher , die Entscheidung nicht auf diesen Hinterhalt auszusetzen , sondern rascher und einsamer zu Werke zu gehen .
Entscheidung	NN	1876	1	laband_staatsrecht01_1876-6003-16	 	Die untere Behörde und der niedriger gestellte Beamte hätte das Recht und die Pflicht, die Entscheidungen und Verfügungen der oberen Behörde und des vorgesetzten Beamten einer Ueberprüfung zu unterziehen und es würde demnach nicht das Reichs-Oberhandelsgericht, sondern der Kreisgerichts-Executor, nicht das Finanzministerium oder die Oberzolldirektion sondern der Zolleinnehmer in Wahrheit die letzte Instanz sein.	91:105	0:415	Die untere Behörde und der niedriger geſtellte Beamte hätte das Recht und die Pflicht , die Entſcheidungen und Verfügungen der oberen Behörde und des vorgeſetzten Beamten einer Ueberprüfung zu unterziehen und es würde demnach nicht das Reichs-Oberhandelsgericht , ſondern der Kreisgerichts-Executor , nicht das Finanzminiſterium oder die Oberzolldirektion ſondern der Zolleinnehmer in Wahrheit die letzte Inſtanz ſein .	16	0:58	d unter Behörde und d niedrig gestellt Beamte haben d Recht und d Pflicht , d Entscheidung und Verfügung d ober Behörde und d vorgesetzt Beamte eine Überprüfung zu unterziehen und es werden demnach nicht d Reichs-Oberhandelsgericht , sondern d Kreisgerichts-Executor , nicht d Finanzministerium oder d Oberzolldirektion sondern d Zolleinnehmer in Wahrheit d letzte Instanz sein .	ART ADJA NN KON ART ADJD ADJA NN VAFIN ART NN KON ART NN $, ART NN KON NN ART ADJA NN KON ART ADJA NN ART NN PTKZU VVINF KON PPER VAFIN PAV PTKNEG ART NN $, KON ART NN $, PTKNEG ART NN KON ART NN KON ART NN APPR NN ART ADJA NN VAINF $.	Die untere Behörde und der niedriger gestellte Beamte hätte das Recht und die Pflicht , die Entscheidungen und Verfügungen der oberen Behörde und des vorgesetzten Beamten einer Überprüfung zu unterziehen und es würde demnach nicht das Reichs-Oberhandelsgericht , sondern der Kreisgerichts-Executor , nicht das Finanzministerium oder die Oberzolldirektion sondern der Zolleinnehmer in Wahrheit die letzte Instanz sein .
Entscheidung	NN	1837	1	baer_thiere_1837-4140-16	 	Auch kann nur die Betrachtung des Einzelnen auf die Fragepunkte hinweisen, die noch einer festen Entscheidung harren.	97:109	0:117	Auch kann nur die Betrachtung des Einzelnen auf die Fragepunkte hinweisen , die noch einer festen Entscheidung harren .	16	0:19	auch können nur d Betrachtung d Einzelne auf d Fragepunkt hinweisen , die noch eine fest Entscheidung harren .	ADV VMFIN ADV ART NN ART NN APPR ART NN VVINF $, PRELS ADV ART ADJA NN VVINF $.	Auch kann nur die Betrachtung des Einzelnen auf die Fragepunkte hinweisen , die noch einer festen Entscheidung harren .
Entscheidung	NN	1876	1	laband_staatsrecht01_1876-5366-1	 	Die Entscheidung auf den Rekurs erfolgt endgültig durch die Reichs-Rayonkommission“	4:16	0:83	Die Entſcheidung auf den Rekurs erfolgt endgültig durch die Reichs-Rayonkommiſſion “	1	0:11	d Entscheidung auf d Rekurs erfolgen endgültig durch d Reichs-Rayonkommission "	ART NN APPR ART NN VVFIN ADJD APPR ART NN $(	Die Entscheidung auf den Rekurs erfolgt endgültig durch die Reichs-Rayonkommission "
Entscheidung	NN	1894	1	schwappach_forstpolitik_1894-3106-2	 	Nach den Entscheidungen des Reichsversicherungsamtes ist aber auch die in Staatswaldungen an den Revierverwalter wegen seiner dienstlichen Eigenschaft verpachtete Jagd versicherungspflichtig, da die Pachtbedingungen die Selbständigkeit des Pächters im Interesse der Forstverwaltung beschränken.	9:23	0:294	Nach den Entscheidungen des Reichsversicherungsamtes ist aber auch die in Staatswaldungen an den Revierverwalter wegen seiner dienstlichen Eigenschaft verpachtete Jagd versicherungspflichtig , da die Pachtbedingungen die Selbständigkeit des Pächters im Interesse der Forstverwaltung beschränken .	2	0:35	nach d Entscheidung d Reichsversicherungsamt sein aber auch d in Staatswaldung an d Revierverwalter wegen seine dienstlich Eigenschaft verpachtet Jagd versicherungspflichtig , da d Pachtbedingung d Selbständigkeit d Pächter im Interesse d Forstverwaltung beschränken .	APPR ART NN ART NN VAFIN ADV ADV ART APPR NN APPR ART NN APPR PPOSAT ADJA NN ADJA NN ADJD $, KOUS ART NN ART NN ART NN APPRART NN ART NN VVINF $.	Nach den Entscheidungen des Reichsversicherungsamtes ist aber auch die in Staatswaldungen an den Revierverwalter wegen seiner dienstlichen Eigenschaft verpachtete Jagd versicherungspflichtig , da die Pachtbedingungen die Selbständigkeit des Pächters im Interesse der Forstverwaltung beschränken .
Entscheidung	NN	1896	1	mayer_verwaltungsrecht02_1896-6535-15	 	Wir fingieren mit blindem Vertrauen, daß das geholfen haben würde; sonst wäre diese Entscheidung nicht zu erklären.	84:96	0:115	Wir fingieren mit blindem Vertrauen , daß das geholfen haben würde ; sonst wäre diese Entscheidung nicht zu erklären .	15	0:20	wir fingieren mit blind Vertrauen , daß die helfen haben werden ; sonst sein diese Entscheidung nicht zu erklären .	PPER VVFIN APPR ADJA NN $, KOUS PDS VVPP VAINF VAFIN $. ADV VAFIN PDAT NN PTKNEG PTKZU VVINF $.	Wir fingieren mit blindem Vertrauen , daß das geholfen haben würde ; sonst wäre diese Entscheidung nicht zu erklären .
