identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1953-08-20_01_067.tcf.xml-10-2	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator2	3.0	 	Festspiel	2
2532889X_1982-03-06_01_266.tcf.xml-51-12	26120215_1955_09_02_01_229.tcf.xml-45-23	annotator2	4.0	 	Festspiel	2
nn_maehrisches271_1898-247-1	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator2	3.0	 	Festspiel	2
menzel_literatur02_1828-2303-2	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator2	4.0	 	Festspiel	2
2532889X_1967-05-27_01_215.tcf.xml-17-9	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator2	4.0	 	Festspiel	2
2532889X_1972-01-02_01_324.tcf.xml-50-6	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator2	4.0	 	Festspiel	2
gottschalck_sagen_1814-440-24	vischer_aesthetik030205_1857-3552-48	annotator2	4.0	 	Festspiel	2
26120215_1954_03_19_01_176.tcf.xml-34-13	2532889X_1951-08-02_01_035.tcf.xml-108-6	annotator2	4.0	 	Festspiel	2
26120215_1968_06_05_01_084.tcf.xml-6-8	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
2532889X_1951-08-02_01_035.tcf.xml-14-2	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator2	4.0	 	Festspiel	2
curtius_alterthum01_1875-1090-17	2532889X_1990-09-20_01_250.tcf.xml-31-15	annotator2	4.0	 	Festspiel	2
26120215_1957_06_30_02_027.tcf.xml-13-15	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator2	4.0	 	Festspiel	2
droysen_alexander_1833-2158-11	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
26120215_1967_07_06_01_171.tcf.xml-7-55	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
26120215_1951_07_27_01_026.tcf.xml-45-21	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator2	4.0	 	Festspiel	2
2532889X_1972-07-06_01_064.tcf.xml-7-6	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator2	4.0	 	Festspiel	2
fontane_brandenburg01_1862-3224-55	curtius_alterthum01_1875-1090-17	annotator2	3.0	 	Festspiel	2
2532889X_1974-07-27_01_064.tcf.xml-8-2	curtius_alterthum01_1875-1090-17	annotator2	4.0	 	Festspiel	2
wilamowitz_aristoteles02_1893-63-174	26120215_1955_09_02_01_229.tcf.xml-45-23	annotator2	3.0	 	Festspiel	2
2532889X_1946-04-25_01_009.tcf.xml-4-16	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator2	4.0	 	Festspiel	2
2532889X_1980-04-21_01_062.tcf.xml-13-2	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator2	4.0	 	Festspiel	2
brunn_griechen01_1853-1238-14	26120215_1954_03_19_01_176.tcf.xml-6-16	annotator2	4.0	 	Festspiel	2
wilamowitz_tragoedie_1889-63-52	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator2	4.0	 	Festspiel	2
2532889X_1985-05-25_01_062.tcf.xml-40-30	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator2	4.0	 	Festspiel	2
wackernagel_poetik_1873-2038-21	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator2	4.0	 	Festspiel	2
boerne_paris05_1834-918-7	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator2	4.0	 	Festspiel	2
beck_eisen01_1884-7274-8	mueller_hellenische03_1824-4417-23	annotator2	4.0	 	Festspiel	2
treitschke_geschichte02_1882-542-20	curtius_alterthum01_1875-1090-17	annotator2	3.0	 	Festspiel	2
2532889X_1977-08-15_01_165.tcf.xml-2-24	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator2	4.0	 	Festspiel	2
2532889X_1955-09-04_01_151.tcf.xml-8-7	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator2	4.0	 	Festspiel	2
2532889X_1973-08-06_01_124.tcf.xml-23-10	2532889X_1960-05-03_01_046.tcf.xml-4-17	annotator2	4.0	 	Festspiel	2
beck_eisen01_1884-7269-3	26120215_1954_03_19_01_176.tcf.xml-6-16	annotator2	4.0	 	Festspiel	2
2532889X_1953-09-03_01_064.tcf.xml-2-2	2532889X_1960-05-03_01_046.tcf.xml-4-17	annotator2	4.0	 	Festspiel	2
2532889X_1971-05-09_01_065.tcf.xml-4-7	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator2	4.0	 	Festspiel	2
bauer_buehnenleben_1871-1040-5	mueller_hellenische03_1824-4417-23	annotator2	4.0	 	Festspiel	2
humboldt_kosmos01_1845-3053-33	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator2	4.0	 	Festspiel	2
26120215_1970_10_24_01_071.tcf.xml-25-17	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator2	4.0	 	Festspiel	2
2532889X_1986-08-25_01_062.tcf.xml-4-14	26120215_1954_03_19_01_176.tcf.xml-6-16	annotator2	4.0	 	Festspiel	2
beck_eisen01_1884-7276-2	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
2532889X_1967-08-17_01_179.tcf.xml-2-8	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator2	4.0	 	Festspiel	2
2532889X_1955-08-24_01_145.tcf.xml-47-31	treitschke_geschichte03_1885-7349-2	annotator2	4.0	 	Festspiel	2
2532889X_1953-10-24_01_054.tcf.xml-18-2	26120215_1955_09_02_01_229.tcf.xml-45-23	annotator2	4.0	 	Festspiel	2
2532889X_1982-12-08_01_033.tcf.xml-4-8	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator2	4.0	 	Festspiel	2
2532889X_1970-07-10_01_066.tcf.xml-23-4	rohde_psyche_1894-7308-29	annotator2	4.0	 	Festspiel	2
droysen_alexander_1833-2158-11	26120215_1955_08_18_01_031.tcf.xml-25-15	annotator2	4.0	 	Festspiel	2
26120215_1952_09_09_01_057.tcf.xml-61-10	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
2532889X_1949-10-14_01_040.tcf.xml-4-25	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator2	4.0	 	Festspiel	2
2532889X_1978-06-22_01_052.tcf.xml-39-10	mueller_hellenische03_1824-4417-23	annotator2	4.0	 	Festspiel	2
humboldt_kosmos01_1845-3053-33	26120215_1951_08_21_01_033.tcf.xml-79-2	annotator2	4.0	 	Festspiel	2
2532889X_1970-07-10_01_066.tcf.xml-23-4	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator2	4.0	 	Festspiel	2
26120215_1985_02_28_01_012.tcf.xml-1-4	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator2	4.0	 	Festspiel	2
mueller_kunst_1830-1688-16	curtius_alterthum01_1875-1090-17	annotator2	4.0	 	Festspiel	2
peschel_voelkerkunde_1874-5878-6	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator2	4.0	 	Festspiel	2
26120215_1957_07_04_01_038.tcf.xml-1-15	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator2	4.0	 	Festspiel	2
2532889X_1951-08-02_01_040.tcf.xml-11-4	treitschke_geschichte03_1885-7349-2	annotator2	4.0	 	Festspiel	2
2532889X_1961-05-28_01_045.tcf.xml-26-13	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator2	4.0	 	Festspiel	2
fontane_brandenburg03_1873-6567-7	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator2	4.0	 	Festspiel	2
2532889X_1970-09-03_01_083.tcf.xml-11-30	vischer_aesthetik030205_1857-3552-48	annotator2	4.0	 	Festspiel	2
2532889X_1981-08-28_01_193.tcf.xml-2-6	curtius_alterthum01_1875-1090-17	annotator2	4.0	 	Festspiel	2
26120215_1985_07_27_01_337.tcf.xml-5-2	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
2532889X_1958-09-06_01_084.tcf.xml-28-14	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator2	4.0	 	Festspiel	2
2532889X_1972-12-31_01_067.tcf.xml-7-1	curtius_alterthum01_1875-1090-17	annotator2	4.0	 	Festspiel	2
nn_maehrisches271_1898-246-20	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
nn_maehrisches166_1893-355-14	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator2	4.0	 	Festspiel	2
26120215_1978_03_23_01_093.tcf.xml-31-11	26120215_1954_03_19_01_176.tcf.xml-6-16	annotator1	4.0	 	Festspiel	2
peschel_voelkerkunde_1874-5878-6	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator1	4.0	 	Festspiel	2
26120215_1951_07_15_01_006.tcf.xml-34-10	2532889X_1972-06-19_01_185.tcf.xml-13-37	annotator1	4.0	 	Festspiel	2
mueller_kunst_1830-1688-16	curtius_alterthum01_1875-1090-17	annotator1	3.0	 	Festspiel	2
2532889X_1955-08-24_01_145.tcf.xml-47-31	treitschke_geschichte03_1885-7349-2	annotator1	3.0	 	Festspiel	2
laube_europa0101_1833-574-4	26120215_1954_03_19_01_176.tcf.xml-6-16	annotator1	2.0	 	Festspiel	2
curtius_alterthum01_1875-2666-12	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator1	3.0	 	Festspiel	2
vischer_poetik_1857-3598-48	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator1	3.0	 	Festspiel	2
26120215_1951_07_15_01_006.tcf.xml-34-10	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator1	4.0	 	Festspiel	2
26120215_1954_04_08_01_243.tcf.xml-3-2	curtius_alterthum01_1875-1090-17	annotator1	3.0	 	Festspiel	2
26120215_1952_09_09_01_057.tcf.xml-61-10	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator1	4.0	 	Festspiel	2
26120215_1957_07_09_01_142.tcf.xml-17-17	mueller_hellenische03_1824-4417-23	annotator1	3.0	 	Festspiel	2
26120215_1962_07_28_01_076.tcf.xml-10-6	curtius_alterthum01_1875-1090-17	annotator1	4.0	 	Festspiel	2
26120215_1989_05_02_01_228.tcf.xml-2-8	mueller_hellenische03_1824-4417-23	annotator1	3.0	 	Festspiel	2
26120215_1957_07_04_01_038.tcf.xml-1-15	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator1	4.0	 	Festspiel	2
2532889X_1982-12-08_01_033.tcf.xml-4-8	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator1	4.0	 	Festspiel	2
vischer_aesthetik030202_1853-626-37	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator1	3.0	 	Festspiel	2
beck_eisen01_1884-7276-2	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator1	3.0	 	Festspiel	2
2532889X_1966-05-24_01_254.tcf.xml-1-58	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator1	3.0	 	Festspiel	2
wackernagel_poetik_1873-2038-21	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator1	3.0	 	Festspiel	2
26120215_1966_04_14_01_082.tcf.xml-1-38	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator1	3.0	 	Festspiel	2
2532889X_1985-05-25_01_062.tcf.xml-40-30	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator1	4.0	 	Festspiel	2
26120215_1953_10_10_01_023.tcf.xml-9-13	2532889X_1960-05-03_01_046.tcf.xml-4-17	annotator1	3.0	 	Festspiel	2
26120215_1962_10_18_01_107.tcf.xml-43-2	vischer_aesthetik030205_1857-3552-48	annotator1	4.0	 	Festspiel	2
26120215_1985_07_27_01_337.tcf.xml-5-2	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator1	3.0	 	Festspiel	2
2532889X_1951-08-17_01_036.tcf.xml-6-12	curtius_alterthum01_1875-1090-17	annotator1	3.0	 	Festspiel	2
2532889X_1977-08-15_01_165.tcf.xml-2-24	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator1	3.0	 	Festspiel	2
nn_maehrisches271_1898-246-20	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator1	3.0	 	Festspiel	2
2532889X_1980-04-21_01_062.tcf.xml-13-2	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator1	4.0	 	Festspiel	2
26120215_1970_10_24_01_071.tcf.xml-25-17	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator1	3.0	 	Festspiel	2
2532889X_1972-07-01_01_321.tcf.xml-5-16	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator1	0.0	Satz 2 unverständlich	Festspiel	2
26120215_1957_06_30_02_027.tcf.xml-13-15	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator1	3.0	 	Festspiel	2
nn_maehrisches166_1893-356-13	26120215_1955_09_02_01_229.tcf.xml-45-23	annotator1	4.0	 	Festspiel	2
droysen_alexander_1833-2158-11	26120215_1955_08_18_01_031.tcf.xml-25-15	annotator1	3.0	 	Festspiel	2
wackernagel_poetik_1873-2055-14	2532889X_1960-05-03_01_046.tcf.xml-4-17	annotator1	2.0	 	Festspiel	2
26120215_1962_07_24_01_171.tcf.xml-131-8	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator1	4.0	 	Festspiel	2
2532889X_1961-05-28_01_045.tcf.xml-26-13	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator1	4.0	 	Festspiel	2
2532889X_1957-06-09_01_045.tcf.xml-3-9	2532889X_1972-06-14_01_032.tcf.xml-19-17	annotator1	4.0	 	Festspiel	2
vischer_aesthetik030202_1853-1767-20	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator1	3.0	 	Festspiel	2
treitschke_geschichte02_1882-542-20	curtius_alterthum01_1875-1090-17	annotator1	3.0	 	Festspiel	2
fontane_kinderjahre_1894-748-21	2532889X_1960-05-03_01_046.tcf.xml-4-17	annotator1	2.0	 	Festspiel	2
menzel_literatur02_1828-2303-2	26120215_1978_03_23_01_093.tcf.xml-31-11	annotator1	2.0	 	Festspiel	2
2532889X_1974-07-27_01_064.tcf.xml-8-2	curtius_alterthum01_1875-1090-17	annotator1	3.0	 	Festspiel	2
2532889X_1953-08-20_01_067.tcf.xml-10-2	26120215_1954_03_19_01_176.tcf.xml-34-13	annotator1	3.0	 	Festspiel	2
beck_eisen01_1884-8362-68	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator1	3.0	 	Festspiel	2
26120215_1951_07_05_01_008.tcf.xml-12-37	2532889X_1968-07-26_01_074.tcf.xml-23-4	annotator1	4.0	 	Festspiel	2
2532889X_1976-04-20_01_171.tcf.xml-2-8	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator1	3.0	 	Festspiel	2
varnhagen_rahel02_1834-3764-15	2532889X_1972-07-24_01_071.tcf.xml-3-4	annotator1	3.0	 	Festspiel	2
2532889X_1966-08-04_01_060.tcf.xml-64-2	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator1	3.0	 	Festspiel	2
2532889X_1970-07-10_01_066.tcf.xml-23-4	rohde_psyche_1894-7308-29	annotator1	3.0	 	Festspiel	2
2532889X_1962-07-06_01_161.tcf.xml-10-5	treitschke_geschichte03_1885-7349-2	annotator1	3.0	 	Festspiel	2
vischer_aesthetik030202_1853-1745-15	2532889X_1965-04-03_01_183.tcf.xml-2-10	annotator1	3.0	 	Festspiel	2
2532889X_1970-06-04_01_194.tcf.xml-12-5	26120215_1955_09_02_01_229.tcf.xml-45-23	annotator1	3.0	 	Festspiel	2
26120215_1951_07_27_01_026.tcf.xml-45-21	26120215_1951_07_04_01_011.tcf.xml-12-10	annotator1	3.0	 	Festspiel	2
26120215_1951_07_15_01_006.tcf.xml-34-10	fontane_brandenburg03_1873-6567-7	annotator1	3.0	 	Festspiel	2
rohde_psyche_1894-7308-29	treitschke_geschichte03_1885-7349-2	annotator1	3.0	 	Festspiel	2
nn_maehrisches271_1898-247-1	26120215_1968_06_06_01_028.tcf.xml-16-17	annotator1	2.0	 	Festspiel	2
2532889X_1986-08-25_01_062.tcf.xml-4-14	26120215_1954_03_19_01_176.tcf.xml-6-16	annotator1	3.0	 	Festspiel	2
