lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Festspiel	NN	1889	1	treitschke_geschichte04_1889-9927-22	 	Auch König Otto kam einmal in die alte Heimath, gastlich empfangen von der Muse der Charlotte Birch-Pfeiffer, die ihm ein Festspiel „der Liebe Streit“ widmete.	122:131	0:159	Auch König Otto kam einmal in die alte Heimath , gaſtlich empfangen von der Muſe der Charlotte Birch-Pfeiffer , die ihm ein Feſtſpiel „ der Liebe Streit “ widmete .	22	0:30	auch König Otto kommen einmal in d alt Heimat , gastlich empfangen von d Muse d Charlotte Birch-Pfeiffer , die er eine Festspiel " d lieb Streit " widmen .	ADV NE NE VVFIN ADV APPR ART ADJA NN $, ADJD VVPP APPR ART NN ART NN NE $, PRELS PPER ART NN $( ART ADJA NN $( VVFIN $.	Auch König Otto kam einmal in die alte Heimat , gastlich empfangen von der Muse der Charlotte Birch-Pfeiffer , die ihm ein Festspiel " der Liebe Streit " widmete .
Festspiel	NN	1857	1	vischer_aesthetik030205_1857-3552-48	 	Allein auf jenem Felde konnte sich die naive Dichtung neben der entwickelten Kunstpoesie nicht fortbehaupten; im ernsten Gebiete kennt das Volk keine andere Idealität, als die mythische, und bringt es nie vom halb Epischen zum ächt Dramatischen; die Hoffnungen, die man an die Festspiele im bairischen Gebirge knüpfte, waren irrig.	277:287	0:331	Allein auf jenem Felde konnte ſich die naive Dichtung neben der entwickelten Kunſtpoeſie nicht fortbehaupten ; im ernſten Gebiete kennt das Volk keine andere Idealität , als die mythiſche , und bringt es nie vom halb Epiſchen zum ächt Dramatiſchen ; die Hoffnungen , die man an die Feſtſpiele im bairiſchen Gebirge knüpfte , waren irrig .	48	0:57	allein auf jen Feld können sich d naiv Dichtung neben d entwickelt Kunstpoesie nicht Fortbehaupten ; im ernst Gebiet kennen d Volk keine ander Idealität , als d mythisch , und bringen es nie vom halb Epische zum echt Dramatische ; d Hoffnung , die man an d Festspiel im bayerisch Gebirge knüpfen , sein irrig .	ADV APPR PDAT NN VMFIN PRF ART ADJA NN APPR ART ADJA NN PTKNEG NN $. APPRART ADJA NN VVFIN ART NN PIAT ADJA NN $, KOKOM ART ADJA $, KON VVFIN PPER ADV APPRART ADJD NN APPRART ADJD NN $. ART NN $, PRELS PIS APPR ART NN APPRART ADJA NN VVFIN $, VAFIN ADJD $.	Allein auf jenem Felde konnte sich die naive Dichtung neben der entwickelten Kunstpoesie nicht Fortbehaupten ; im ernsten Gebiete kennt das Volk keine andere Idealität , als die mythische , und bringt es nie vom halb Epischen zum echt Dramatischen ; die Hoffnungen , die man an die Festspiele im bayerischen Gebirge knüpfte , waren irrig .
Festspiel	NN	1852	1	vischer_aesthetik030201_1852-999-44	 	Auf den großen Versammlungs-und Festräumen stehen nun aber naturgemäß auch die Denkmale für die großen Männer des Staats, der Wissenschaft, Kunst und, wo gleichmäßige Entwicklung der menschlichen Kräfte in ihrem unendlichen Werth erkannt ist, für die Sieger in den Festspielen.	265:276	0:277	Auf den großen Verſammlungs- und Feſträumen ſtehen nun aber naturgemäß auch die Denkmale für die großen Männer des Staats , der Wiſſenſchaft , Kunſt und , wo gleichmäßige Entwicklung der menſchlichen Kräfte in ihrem unendlichen Werth erkannt iſt , für die Sieger in den Feſtſpielen .	44	0:46	auf d groß versammlungs- und Festraum stehen nun aber naturgemäß auch d Denkmal für d groß Mann d Staat , d Wissenschaft , Kunst und , wo gleichmäßig Entwicklung d menschlich Kraft in ihr unendlich Wert erkennen sein , für d Sieger in d Festspiel .	APPR ART ADJA TRUNC KON NN VVFIN ADV ADV ADJD ADV ART NN APPR ART ADJA NN ART NN $, ART NN $, NN KON $, PWAV ADJA NN ART ADJA NN APPR PPOSAT ADJA NN VVPP VAFIN $, APPR ART NN APPR ART NN $.	Auf den großen Versammlungs- und Festräumen stehen nun aber naturgemäß auch die Denkmale für die großen Männer des Staats , der Wissenschaft , Kunst und , wo gleichmäßige Entwicklung der menschlichen Kräfte in ihrem unendlichen Wert erkannt ist , für die Sieger in den Festspielen .
Festspiel	NN	1857	1	vischer_poetik_1857-3598-48	 	Allein auf jenem Felde konnte sich die naive Dichtung neben der entwickelten Kunstpoesie nicht fortbehaupten; im ernsten Gebiete kennt das Volk keine andere Jdealität, als die mythische, und bringt es nie vom halb Epischen zum ächt Dramatischen; die Hoffnungen, die man an die Festspiele im bairischen Gebirge knüpfte, waren irrig.	277:287	0:331	Allein auf jenem Felde konnte sich die naive Dichtung neben der entwickelten Kunstpoesie nicht fortbehaupten ; im ernsten Gebiete kennt das Volk keine andere Jdealität , als die mythische , und bringt es nie vom halb Epischen zum ächt Dramatischen ; die Hoffnungen , die man an die Festspiele im bairischen Gebirge knüpfte , waren irrig .	48	0:57	allein auf jen Feld können sich d naiv Dichtung neben d entwickelt Kunstpoesie nicht Fortbehaupten ; im ernst Gebiet kennen d Volk keine ander Idealität , als d mythisch , und bringen es nie vom halb Epische zum echt Dramatische ; d Hoffnung , die man an d Festspiel im bairisch Gebirge knüpfen , sein irrig .	ADV APPR PDAT NN VMFIN PRF ART ADJA NN APPR ART ADJA NN PTKNEG NN $. APPRART ADJA NN VVFIN ART NN PIAT ADJA NN $, KOKOM ART ADJA $, KON VVFIN PPER ADV APPRART ADJD NN APPRART ADJD NN $. ART NN $, PRELS PIS APPR ART NN APPRART ADJA NN VVFIN $, VAFIN ADJD $.	Allein auf jenem Felde konnte sich die naive Dichtung neben der entwickelten Kunstpoesie nicht Fortbehaupten ; im ernsten Gebiete kennt das Volk keine andere Idealität , als die mythische , und bringt es nie vom halb Epischen zum echt Dramatischen ; die Hoffnungen , die man an die Festspiele im bairischen Gebirge knüpfte , waren irrig .
Festspiel	NN	1882	1	fontane_brandenburg04_1882-3285-49	 	Es ist wahr, daß er das Dichten zum Theil wie andre angenehme Unterhaltung trieb und er selber nannt’ es in seinen Briefen „die Kurzweil des Reimens,“ aber wir würden ihm doch sehr Unrecht thun, wenn wir nach jenen zahlreichen Reimereien, wie sie bei Festspielen, den sogenannten „Wirthschaften“ damals Mode waren, den Werth seiner Dichtung überhaupt abschätzen wollten.	251:262	0:370	Es iſt wahr , daß er das Dichten zum Theil wie andre angenehme Unterhaltung trieb und er ſelber nannt’ es in ſeinen Briefen „ die Kurzweil des Reimens , “ aber wir würden ihm doch ſehr Unrecht thun , wenn wir nach jenen zahlreichen Reimereien , wie ſie bei Feſtſpielen , den ſogenannten „ Wirthſchaften “ damals Mode waren , den Werth ſeiner Dichtung überhaupt abſchätzen wollten .	49	0:68	es sein wahr , daß er d Dichte zum Teil wie ander angenehm Unterhaltung treiben und er selber nennen es in seine Brief " d Kurzweil d Reimen , " aber wir werden er doch sehr Unrecht tun , wenn wir nach jen zahlreich Reimerei , wie sie bei Festspiel , d sogenannt " Wirtschaft " damals Mode sein , d Wert seine Dichtung überhaupt abschätzen wollen .	PPER VAFIN ADJD $, KOUS PPER ART NN APPRART NN KOKOM ADJA ADJA NN VVFIN KON PPER ADV VVFIN PPER APPR PPOSAT NN $( ART NN ART NN $, $( KON PPER VAFIN PPER ADV ADV NN VVINF $, KOUS PPER APPR PDAT ADJA NN $, PWAV PPER APPR NN $, ART ADJA $( NN $( ADV NN VAFIN $, ART NN PPOSAT NN ADV VVINF VMFIN $.	Es ist wahr , daß er das Dichten zum Teil wie andere angenehme Unterhaltung trieb und er selber nannte es in seinen Briefen " die Kurzweil des Reimens , " aber wir würden ihm doch sehr Unrecht tun , wenn wir nach jenen zahlreichen Reimereien , wie sie bei Festspielen , den sogenannten " Wirtschaften " damals Mode waren , den Wert seiner Dichtung überhaupt abschätzen wollten .
Festspiel	NN	1853	1	vischer_aesthetik030202_1853-1767-20	 	In aller Gymnastik bleiben die Griechen ebensosehr mustergültiges Ideal wie in der reinen, selbständigen Bildnerkunst, und ihre großen Festspiele glänzen selbst in der schwachen Vorstellung, die wir davon haben, als unerreichtes Bild der höchsten nationalen Herrlichkeit.	135:145	0:271	In aller Gymnaſtik bleiben die Griechen ebenſoſehr muſtergültiges Ideal wie in der reinen , ſelbſtändigen Bildnerkunſt , und ihre großen Feſtſpiele glänzen ſelbſt in der ſchwachen Vorſtellung , die wir davon haben , als unerreichtes Bild der höchſten nationalen Herrlichkeit .	20	0:41	in alle Gymnastik bleiben d Grieche ebensosehr mustergültig Ideal wie in d rein , selbständig Bildnerkunst , und ihr groß Festspiel glänzen selbst in d schwach Vorstellung , die wir davon haben , als unerreicht Bild d hoch national Herrlichkeit .	APPR PIAT NN VVFIN ART NN ADV ADJA NN KOKOM APPR ART ADJA $, ADJA NN $, KON PPOSAT ADJA NN VVFIN ADV APPR ART ADJA NN $, PRELS PPER PAV VAFIN $, KOKOM ADJA NN ART ADJA ADJA NN $.	In aller Gymnastik bleiben die Griechen ebensosehr mustergültiges Ideal wie in der reinen , selbständigen Bildnerkunst , und ihre großen Festspiele glänzen selbst in der schwachen Vorstellung , die wir davon haben , als unerreichtes Bild der höchsten nationalen Herrlichkeit .
Festspiel	NN	1828	1	menzel_literatur02_1828-2303-2	 	Alberne geistliche Festspiele und weltliche Fastnachtspossen waren die ersten ärmlichen Gaben derselben.	19:29	0:104	Alberne geiſtliche Feſtſpiele und weltliche Faſtnachtspoſſen waren die erſten aͤrmlichen Gaben derſelben .	2	0:13	albern geistlich Festspiel und weltlich Fastnachtspossen sein d erst ärmlich Gabe dieselbe .	ADJA ADJA NN KON ADJA NN VAFIN ART ADJA ADJA NN PDAT $.	Alberne geistliche Festspiele und weltliche Fastnachtspossen waren die ersten ärmlichen Gaben derselben .
Festspiel	NN	1898	1	boelsche_liebesleben01_1898-6334-13	 	Für dieses Werk erhielt der junge Maler ein Stipendium zum Besuch der Bayreuther Festspiele.	81:91	0:92	Für dieſes Werk erhielt der junge Maler ein Stipendium zum Beſuch der Bayreuther Feſtſpiele .	13	0:15	für diese Werk erhalten d jung Maler eine Stipendium zum Besuch d Bayreuther Festspiel .	APPR PDAT NN VVFIN ART ADJA NN ART NN APPRART NN ART ADJA NN $.	Für dieses Werk erhielt der junge Maler ein Stipendium zum Besuch der Bayreuther Festspiele .
Festspiel	NN	1873	1	wackernagel_poetik_1873-2038-21	 	Wir haben nämlich von ihm fast nur Epinikien und Enkomien: Siegeslieder und Lobgesänge, verfasst auf die Sieger bei nationalen Festspielen.	127:138	0:139	Wir haben nämlich von ihm fast nur Epinikien und Enkomien : Siegeslieder und Lobgesänge , verfasst auf die Sieger bei nationalen Festspielen .	21	0:23	wir haben nämlich von er fast nur Epinikien und Enkomion : Siegeslied und Lobgesang , verfassen auf d Sieger bei national Festspiel .	PPER VAFIN ADV APPR PPER ADV ADV NN KON NN $. NN KON NN $, VVPP APPR ART NN APPR ADJA NN $.	Wir haben nämlich von ihm fast nur Epinikien und Enkomien : Siegeslieder und Lobgesänge , verfasst auf die Sieger bei nationalen Festspielen .
Festspiel	NN	1884	1	beck_eisen01_1884-7269-3	 	Zu einem solchen Festspiele war der Dichter selbst gezogen und hatte einen Siegespreis durch sein Lied errungen.	17:27	0:112	Zu einem solchen Festspiele war der Dichter selbst gezogen und hatte einen Siegespreis durch sein Lied errungen .	3	0:18	zu eine solch Festspiel sein d Dichter selbst ziehen und haben eine Siegespreis durch sein Lied erringen .	APPR ART PIAT NN VAFIN ART NN ADV VVPP KON VAFIN ART NN APPR PPOSAT NN VVPP $.	Zu einem solchen Festspiele war der Dichter selbst gezogen und hatte einen Siegespreis durch sein Lied errungen .
