identifier1	identifier2	annotator	judgment	comment	lemma	round
spyri_heidi_1880-2122-99	brehm_thierleben01_1864-11119-20	annotator2	3.0	 	Frechheit	2
brehm_thierleben03_1866-13285-9	treitschke_geschichte03_1885-10519-16	annotator2	4.0	 	Frechheit	2
brehm_thierleben03_1866-9600-16	spielhagen_problematische04_1861-1156-23	annotator2	3.0	 	Frechheit	2
nn_nrhz293_1849-299-22	2532889X_1952-05-13_01_017.tcf.xml-3-3	annotator2	4.0	 	Frechheit	2
26120215_1954_03_25_01_202.tcf.xml-35-29	dickens_weihnachtsabend_1844-1236-21	annotator2	4.0	 	Frechheit	2
26120215_1965_05_30_01_007.tcf.xml-32-8	treitschke_geschichte02_1882-7198-10	annotator2	3.0	 	Frechheit	2
nn_nrhz129ii_1848-212-12	2532889X_1949-05-01_01_142.tcf.xml-10-44	annotator2	4.0	 	Frechheit	2
2532889X_1961-10-04_01_106.tcf.xml-4-1	spielhagen_problematische04_1861-1156-23	annotator2	4.0	 	Frechheit	2
berg_ostasien03_1873-3350-28	treitschke_geschichte03_1885-10519-16	annotator2	4.0	 	Frechheit	2
treitschke_geschichte03_1885-2424-33	2532889X_1955-07-07_01_017.tcf.xml-23-6	annotator2	4.0	 	Frechheit	2
fessler_eleusinien01_1802-1846-39	2532889X_1952-05-13_01_017.tcf.xml-3-3	annotator2	3.0	 	Frechheit	2
kuernberger_amerikamuede_1855-8417-6	2532889X_1952-05-13_01_017.tcf.xml-3-3	annotator2	4.0	 	Frechheit	2
brehm_thierleben03_1866-11423-7	2532889X_1955-07-07_01_017.tcf.xml-23-6	annotator2	4.0	 	Frechheit	2
26120215_1957_10_17_01_138.tcf.xml-4-11	2532889X_1948-07-16_01_071.tcf.xml-11-2	annotator2	4.0	 	Frechheit	2
26120215_1969_10_18_01_070.tcf.xml-12-5	26120215_1953_07_08_01_172.tcf.xml-21-16	annotator2	3.0	 	Frechheit	2
26120215_1970_02_12_01_239.tcf.xml-12-12	treitschke_geschichte03_1885-10519-16	annotator2	4.0	 	Frechheit	2
niebuhr_roemische01_1811-2788-26	treitschke_geschichte02_1882-7198-10	annotator2	4.0	 	Frechheit	2
2532889X_1963-04-09_01_169.tcf.xml-3-16	26120215_1953_07_08_01_172.tcf.xml-21-16	annotator2	3.0	 	Frechheit	2
hug_familie_1896-445-21	2532889X_1949-05-01_01_142.tcf.xml-10-44	annotator2	3.0	 	Frechheit	2
26120215_1962_03_30_01_144.tcf.xml-29-3	26120215_1952_05_24_01_029.tcf.xml-7-29	annotator2	4.0	 	Frechheit	2
lasswitz_planeten01_1897-5638-15	26120215_1952_05_24_01_029.tcf.xml-7-29	annotator2	4.0	 	Frechheit	2
2532889X_1962-02-10_01_106.tcf.xml-96-10	goerres_revolution_1819-435-18	annotator2	3.0	 	Frechheit	2
brehm_thierleben02_1865-2878-10	avelallemant_gaunerthum02_1858-1054-16	annotator2	4.0	 	Frechheit	2
nn_nrhz205_1849-62-11	2532889X_1966-07-22_01_171.tcf.xml-103-9	annotator2	4.0	 	Frechheit	2
2532889X_1972-10-11_01_065.tcf.xml-9-1	2532889X_1952-05-13_01_017.tcf.xml-3-3	annotator2	4.0	 	Frechheit	2
26120215_1956_01_29_02_024.tcf.xml-1-8	brehm_thierleben03_1866-17992-22	annotator2	3.0	 	Frechheit	2
26120215_1948_10_07_01_156.tcf.xml-11-15	spielhagen_problematische04_1861-1156-23	annotator2	4.0	 	Frechheit	2
26120215_1960_12_02_01_389.tcf.xml-24-4	treitschke_geschichte02_1882-7198-10	annotator2	4.0	 	Frechheit	2
26120215_1951_03_07_01_037.tcf.xml-9-10	spielhagen_problematische04_1861-1156-23	annotator2	4.0	 	Frechheit	2
2532889X_1960-06-16_01_074.tcf.xml-10-3	26120215_1962_02_18_01_407.tcf.xml-10-12	annotator2	4.0	 	Frechheit	2
26120215_1952_01_31_01_189.tcf.xml-2-15	avelallemant_gaunerthum02_1858-1054-16	annotator2	4.0	 	Frechheit	2
treitschke_geschichte05_1894-5574-2	brehm_thierleben01_1864-11119-20	annotator2	4.0	 	Frechheit	2
26120215_1968_05_16_01_104.tcf.xml-32-3	26120215_1965_01_01_01_366.tcf.xml-3-9	annotator2	4.0	 	Frechheit	2
26120215_1948_07_01_01_143.tcf.xml-12-5	nn_nrhz270_1849-116-3	annotator2	4.0	 	Frechheit	2
alexis_ruhe04_1852-3362-3	2532889X_1955-07-07_01_017.tcf.xml-23-6	annotator2	4.0	 	Frechheit	2
26120215_1954_04_04_01_047.tcf.xml-24-8	26120215_1962_02_18_01_407.tcf.xml-10-12	annotator2	4.0	 	Frechheit	2
2532889X_1958-01-04_01_059.tcf.xml-19-5	2532889X_1955-07-07_01_017.tcf.xml-23-6	annotator2	4.0	 	Frechheit	2
2532889X_1977-10-14_01_052.tcf.xml-19-9	droysen_alexander_1833-214-48	annotator2	4.0	 	Frechheit	2
2532889X_1971-08-13_01_059.tcf.xml-18-12	treitschke_geschichte02_1882-7198-10	annotator2	4.0	 	Frechheit	2
26120215_1954_04_08_01_012.tcf.xml-29-14	26120215_1952_05_24_01_029.tcf.xml-7-29	annotator2	4.0	 	Frechheit	2
26120215_1965_02_02_01_189.tcf.xml-20-17	nn_nrhz163b2_1848-87-17	annotator2	4.0	 	Frechheit	2
spielhagen_problematische04_1861-1156-23	nn_nrhz163b2_1848-87-17	annotator2	4.0	 	Frechheit	2
26120215_1989_11_06_01_027.tcf.xml-42-17	spielhagen_problematische04_1861-1156-23	annotator2	4.0	 	Frechheit	2
goethe_leben03_1814-1959-6	goerres_revolution_1819-435-18	annotator2	4.0	 	Frechheit	2
2532889X_1977-05-13_01_059.tcf.xml-35-10	26120215_1962_02_18_01_407.tcf.xml-10-12	annotator2	4.0	 	Frechheit	2
avelallemant_gaunerthum02_1858-4038-12	goerres_revolution_1819-435-18	annotator2	4.0	 	Frechheit	2
26120215_1955_11_04_01_278.tcf.xml-5-7	26120215_1953_07_08_01_172.tcf.xml-21-16	annotator2	4.0	 	Frechheit	2
26120215_1987_08_26_01_069.tcf.xml-21-11	26120215_1953_07_08_01_172.tcf.xml-21-16	annotator2	4.0	 	Frechheit	2
26120215_1973_04_30_01_074.tcf.xml-18-13	liebknecht_frage_1878-854-53	annotator2	4.0	 	Frechheit	2
otto_bauernsohn_1849-1156-2	brehm_thierleben01_1864-11119-20	annotator2	4.0	 	Frechheit	2
