identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1982_06_17_01_183.tcf.xml-8-7	26120215_1968_07_20_01_030.tcf.xml-0-14	annotator1	2.0	 	Gesichtsausdruck	3
brehm_thierleben01_1864-9054-18	peschel_voelkerkunde_1874-1318-12	annotator1	3.0	 	Gesichtsausdruck	3
26120215_1948_05_11_01_179.tcf.xml-21-15	steinthal_grammatik_1855-4882-16	annotator1	3.0	 	Gesichtsausdruck	3
fontane_brandenburg04_1882-5691-32	vischer_aesthetik030203_1854-2144-31	annotator1	3.0	 	Gesichtsausdruck	3
26120215_1948_05_11_01_179.tcf.xml-21-15	2532889X_1972-03-25_01_377.tcf.xml-48-24	annotator1	3.0	 	Gesichtsausdruck	3
26120215_1965_08_11_01_155.tcf.xml-5-5	beyer_poetik02_1883-12554-51	annotator6	4.0	 	Gesichtsausdruck	3
26120215_1970_05_24_01_438.tcf.xml-31-47	brehm_thierleben05_1869-9094-1	annotator6	0.0	In Satz 2 wird nach einem “Gesichtsausdruck” im Rahmen eines Kreuzworträtsels gesucht, das Wort ist aber nicht genauer defininiert; daher nicht entscheidbar 	Gesichtsausdruck	3
fontane_brandenburg04_1882-3133-1	beyer_poetik02_1883-12554-51	annotator6	4.0	 	Gesichtsausdruck	3
26120215_1948_05_11_01_179.tcf.xml-21-15	2532889X_1965-01-17_01_237.tcf.xml-5-8	annotator6	4.0	 	Gesichtsausdruck	3
fontane_brandenburg04_1882-5691-32	vischer_aesthetik030203_1854-2144-31	annotator6	4.0	 	Gesichtsausdruck	3
26120215_1974_08_31_01_260.tcf.xml-36-38	26120215_1972_12_28_01_110.tcf.xml-33-6	annotator6	4.0	 	Gesichtsausdruck	3
humboldt_aequinoktial02_1859-116-1	2532889X_1953-10-15_01_040.tcf.xml-56-9	annotator3	4.0	 	Gesichtsausdruck	3
26120215_1982_06_17_01_183.tcf.xml-8-7	26120215_1968_07_20_01_030.tcf.xml-0-14	annotator3	0.0	 	Gesichtsausdruck	3
