identifier1	identifier2	annotator	judgment	comment	lemma	round
stein_handbuch_1870-6666-3	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	4.0	 	Knotenpunkt	3
2532889X_1979-11-15_01_033.tcf.xml-3-4	2532889X_1965-01-30_01_172.tcf.xml-8-3	annotator1	4.0	 	Knotenpunkt	3
lehnert_seehaefen02_1892-669-22	2532889X_1972-08-22_01_060.tcf.xml-8-11	annotator1	2.0	 	Knotenpunkt	3
vischer_aesthetik030204_1857-1481-153	2532889X_1972-08-22_01_060.tcf.xml-8-11	annotator1	3.0	 	Knotenpunkt	3
mohr_fachwerk02_1875-131-82	2532889X_1988-04-19_01_171.tcf.xml-10-17	annotator1	2.0	 	Knotenpunkt	3
2532889X_1989-09-27_01_061.tcf.xml-15-5	2532889X_1988-04-19_01_171.tcf.xml-10-17	annotator1	2.0	 	Knotenpunkt	3
mohr_fachwerk02_1875-108-4	26120215_1948_06_19_01_181.tcf.xml-3-7	annotator1	2.0	 	Knotenpunkt	3
robert_griechische_1881-1128-27	26120215_1962_06_23_01_221.tcf.xml-6-4	annotator1	2.0	 	Knotenpunkt	3
robert_griechische_1881-978-16	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	2.0	 	Knotenpunkt	3
treitschke_geschichte05_1894-7592-14	2532889X_1970-04-02_01_150.tcf.xml-46-49	annotator1	2.0	 	Knotenpunkt	3
mueller_festigkeitslehre_1886-493-55	2532889X_1972-08-22_01_060.tcf.xml-8-11	annotator1	2.0	 	Knotenpunkt	3
2532889X_1984-11-24_01_174.tcf.xml-53-26	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	4.0	 	Knotenpunkt	3
2532889X_1988-04-14_01_148.tcf.xml-1-12	wundt_medizinische_1867-4735-4	annotator1	2.0	 	Knotenpunkt	3
2532889X_1950-06-28_01_038.tcf.xml-19-26	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	2.0	 	Knotenpunkt	3
wundt_medizinische_1867-4735-4	mohr_fachwerk02_1875-131-61	annotator1	4.0	 	Knotenpunkt	3
2532889X_1954-10-28_01_055.tcf.xml-70-10	2532889X_1965-01-30_01_172.tcf.xml-8-3	annotator1	4.0	 	Knotenpunkt	3
mohr_fachwerk02_1875-131-61	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	2.0	 	Knotenpunkt	3
2532889X_1963-08-01_01_131.tcf.xml-34-8	2532889X_1952-10-14_01_045.tcf.xml-56-28	annotator1	2.0	 	Knotenpunkt	3
2532889X_1966-09-18_01_163.tcf.xml-263-42	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	3.0	 	Knotenpunkt	3
2532889X_1979-11-15_01_033.tcf.xml-3-4	2532889X_1972-08-22_01_060.tcf.xml-8-11	annotator1	2.0	 	Knotenpunkt	3
2532889X_1974-08-03_01_051.tcf.xml-11-20	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	4.0	 	Knotenpunkt	3
26120215_1986_07_01_01_274.tcf.xml-1-19	mohr_fachwerk02_1875-108-4	annotator1	2.0	 	Knotenpunkt	3
26120215_1985_08_08_01_180.tcf.xml-27-1	2532889X_1980-02-09_01_592.tcf.xml-2-15	annotator1	4.0	 	Knotenpunkt	3
2532889X_1966-09-18_01_163.tcf.xml-263-42	mohr_fachwerk02_1875-108-4	annotator1	2.0	 	Knotenpunkt	3
schubert_naturwissenschaft_1808-2638-7	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	3.0	 	Knotenpunkt	3
mohr_fachwerk01_1874-34-32	2532889X_1952-10-14_01_045.tcf.xml-56-28	annotator1	2.0	 	Knotenpunkt	3
mueller_festigkeitslehre_1886-492-10	2532889X_1952-10-14_01_045.tcf.xml-56-28	annotator1	2.0	 	Knotenpunkt	3
mohr_fachwerk02_1875-108-4	2532889X_1970-02-13_01_086.tcf.xml-66-10	annotator1	2.0	 	Knotenpunkt	3
vischer_aesthetik030204_1857-1481-153	2532889X_1952-10-14_01_045.tcf.xml-56-28	annotator1	2.0	 	Knotenpunkt	3
mohr_fachwerk02_1875-108-4	2532889X_1958-11-30_01_011.tcf.xml-4-13	annotator1	2.0	 	Knotenpunkt	3
2532889X_1973-07-17_01_188.tcf.xml-64-4	2532889X_1965-01-30_01_172.tcf.xml-8-3	annotator1	4.0	 	Knotenpunkt	3
26120215_1962_08_28_01_163.tcf.xml-56-14	2532889X_1970-04-02_01_150.tcf.xml-46-49	annotator1	2.0	 	Knotenpunkt	3
2532889X_1951-12-29_01_058.tcf.xml-16-4	2532889X_1952-10-14_01_045.tcf.xml-56-28	annotator1	2.0	 	Knotenpunkt	3
2532889X_1973-07-17_01_188.tcf.xml-64-4	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	4.0	 	Knotenpunkt	3
2532889X_1990-07-30_01_020.tcf.xml-4-11	2532889X_1972-08-22_01_060.tcf.xml-8-11	annotator1	2.0	 	Knotenpunkt	3
mueller_festigkeitslehre_1886-493-55	2532889X_1988-04-19_01_171.tcf.xml-10-17	annotator1	3.0	 	Knotenpunkt	3
wundt_medizinische_1867-4089-20	2532889X_1988-04-19_01_171.tcf.xml-10-17	annotator1	2.0	 	Knotenpunkt	3
marx_kapital01_1867-6290-31	2532889X_1970-04-02_01_150.tcf.xml-46-49	annotator1	2.0	 	Knotenpunkt	3
2532889X_1958-11-27_01_040.tcf.xml-55-0	2532889X_1965-01-30_01_172.tcf.xml-8-3	annotator1	2.0	 	Knotenpunkt	3
2532889X_1985-02-22_01_025.tcf.xml-17-9	mohr_fachwerk02_1875-108-4	annotator1	2.0	 	Knotenpunkt	3
schubert_naturwissenschaft_1808-2614-51	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	2.0	 	Knotenpunkt	3
2532889X_1969-04-29_01_037.tcf.xml-3-10	2532889X_1965-01-30_01_172.tcf.xml-8-3	annotator1	4.0	 	Knotenpunkt	3
2532889X_1985-01-03_01_174.tcf.xml-17-1	2532889X_1970-04-02_01_150.tcf.xml-46-49	annotator1	2.0	 	Knotenpunkt	3
2532889X_1985-09-04_01_084.tcf.xml-10-18	26120215_1980_10_04_01_096.tcf.xml-49-5	annotator1	2.0	 	Knotenpunkt	3
mueller_festigkeitslehre_1886-493-55	mohr_fachwerk02_1875-108-4	annotator1	3.0	 	Knotenpunkt	3
