lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Knotenpunkt	NN	1874	1	mohr_fachwerk01_1874-150-3	 	Wenn man diesen Knotenpunkt mit Eins belastet und die sechs überzähligen Konstruktionstheile beseitigt, so erzeugt jene Belastung in dem übrig bleibenden einfachen Fachwerk die Spannungen u, welche im Kräfteplan Fig. 13 Blatt 610 konstruirt und in die vorletzte Vertikalreihe der Tabelle eingetragen sind.	16:27	0:305	Wenn man dieſen Knotenpunkt mit Eins belaſtet und die ſechs überzähligen Konſtruktionstheile beſeitigt , ſo erzeugt jene Belaſtung in dem übrig bleibenden einfachen Fachwerk die Spannungen u , welche im Kräfteplan Fig. 13 Blatt 610 konſtruirt und in die vorletzte Vertikalreihe der Tabelle eingetragen ſind .	3	0:46	wenn man diese Knotenpunkt mit Eins belasten und d sechs überzählig Konstruktionsteile beseitigen , so erzeugen jen Belastung in d übrig bleibend einfach Fachwerk d Spannung U , welche im Krafteplan Fig. 13 Blatt 610 konstruieren und in d vorletzt Vertikalreihe d Tabelle eintragen sein .	KOUS PIS PDAT NN APPR NN VVPP KON ART CARD ADJA NN VVPP $, ADV VVFIN PDAT NN APPR ART ADJD ADJA ADJA NN ART NN NE $, PRELS APPRART NN NN CARD NN CARD VVPP KON APPR ART ADJA NN ART NN VVPP VAFIN $.	Wenn man diesen Knotenpunkt mit Eins belastet und die sechs überzähligen Konstruktionsteile beseitigt , so erzeugt jene Belastung in dem übrig bleibenden einfachen Fachwerk die Spannungen u , welche im Kräfteplan Fig. 13 Blatt 610 konstruiert und in die vorletzte Vertikalreihe der Tabelle eingetragen sind .
Knotenpunkt	NN	1894	1	treitschke_geschichte05_1894-7592-14	 	Man wußte noch nicht und konnte nur durch die Erfahrung lernen, was ein Knotenpunkt im Bahnverkehr bedeutet.	72:83	0:108	Man wußte noch nicht und konnte nur durch die Erfahrung lernen , was ein Knotenpunkt im Bahnverkehr bedeutet .	14	0:19	man wissen noch nicht und können nur durch d Erfahrung lernen , was eine Knotenpunkt im Bahnverkehr bedeuten .	PIS VVFIN ADV PTKNEG KON VMFIN ADV APPR ART NN VVINF $, PRELS ART NN APPRART NN VVFIN $.	Man wußte noch nicht und konnte nur durch die Erfahrung lernen , was ein Knotenpunkt im Bahnverkehr bedeutet .
Knotenpunkt	NN	1881	1	rein_japan01_1881-1467-15	 	Die bewaldeten Rücken treten jedoch geschlossener und höher auf, je mehr man sich dem Knotenpunkte nähert.	86:98	0:106	Die bewaldeten Rücken treten jedoch geschlossener und höher auf , je mehr man sich dem Knotenpunkte nähert .	15	0:18	d bewaldet Rücken treten jedoch geschließen und hoch auf , je mehr man sich d Knotenpunkt nähern .	ART ADJA NN VVFIN ADV ADJD KON ADJD PTKVZ $, ADV ADV PIS PRF ART NN VVFIN $.	Die bewaldeten Rücken treten jedoch geschlossener und höher auf , je mehr man sich dem Knotenpunkte nähert .
Knotenpunkt	NN	1867	1	wundt_medizinische_1867-1513-1	 	Die Knotenpunkte schwingender Saiten lassen sich leicht ermitteln, indem man an verschiedenen Stellen leichte Körperchen, z. B. Holzsplitterchen, Papierstücke, auf die Saite legt.	4:16	0:179	Die Knotenpunkte schwingender Saiten lassen sich leicht ermitteln , indem man an verschiedenen Stellen leichte Körperchen , z. B. Holzsplitterchen , Papierstücke , auf die Saite legt .	1	0:28	d Knotenpunkt schwingend Saite lassen sich leicht ermitteln , indem man an verschieden Stelle leicht Körperchen , z. B. Holzsplitterchen , Papierstück , auf d Saite legen .	ART NN ADJA NN VVFIN PRF ADJD VVINF $, KOUS PIS APPR ADJA NN ADJA NN $, APPRART NN NN $, NN $, APPR ART NN VVFIN $.	Die Knotenpunkte schwingender Saiten lassen sich leicht ermitteln , indem man an verschiedenen Stellen leichte Körperchen , z. B. Holzsplitterchen , Papierstücke , auf die Saite legt .
Knotenpunkt	NN	1852	1	ludwig_physiologie01_1852-3219-21	 	Eine weitere Betrachtung unserer Figur zeigt, dass mit der wachsenden Entfernung des Punktes 1 auf der Sehachse K D vom Knotenpunkte K auch der Abstand der Punkte 3, 2 von 4 zunehmen muss, wenn sie verschwinden sollen.	120:132	0:218	Eine weitere Betrachtung unserer Figur zeigt , dass mit der wachsenden Entfernung des Punktes 1 auf der Sehachse K D vom Knotenpunkte K auch der Abstand der Punkte 3 , 2 von 4 zunehmen muss , wenn sie verschwinden sollen .	21	0:41	eine weit Betrachtung unsere Figur zeigen , dass mit d wachsend Entfernung d Punkt 1 auf d Sehachse K D vom Knotenpunkt K auch d Abstand d Punkt 3 , 2 von 4 zunehmen müssen , wenn sie verschwinden sollen .	ART ADJA NN PPOSAT NN VVFIN $, KOUS APPR ART ADJA NN ART NN CARD APPR ART NN NE NE APPRART NN NE ADV ART NN ART NN CARD $, CARD APPR CARD VVINF VMFIN $, KOUS PPER VVINF VMFIN $.	Eine weitere Betrachtung unserer Figur zeigt , dass mit der wachsenden Entfernung des Punktes 1 auf der Sehachse K D vom Knotenpunkte K auch der Abstand der Punkte 3 , 2 von 4 zunehmen muss , wenn sie verschwinden sollen .
Knotenpunkt	NN	1808	1	schubert_naturwissenschaft_1808-2613-18	 	Wir erhalten dann aber, wenn wir im ersteren Falle 51 ° 23 ′ 33 ″ von dem Knotenpunkte der Vesta aufwärts zählen, 51 ° 56 ′ 7 ″ der Länge, und genau eben so, wenn wir 84 ° 55 ′ 8″ von dem des Mercur abziehen, 51 ° 56 ′ 7 ″.	74:86	0:223	Wir erhalten dann aber , wenn wir im erſteren Falle 51 ° 23 ′ 33 ″ von dem Knotenpunkte der Veſta aufwaͤrts zaͤhlen , 51 ° 56 ′ 7 ″ der Laͤnge , und genau eben ſo , wenn wir 84 ° 55 ′ 8″ von dem des Mercur abziehen , 51 ° 56 ′ 7 ″ .	18	0:58	wir erhalten dann aber , wenn wir im erstere Falle 51 ° 23 ' 33 " von d Knotenpunkt d Vesta aufwärts zählen , 51 ° 56 ' 7 " d Länge , und genau eben so , wenn wir 84 ° 55 ' 8" von d d Merkur abziehen , 51 ° 56 ' 7 " .	PPER VVFIN ADV ADV $, KOUS PPER APPRART ADJA NN CARD $( CARD $( CARD $( APPR ART NN ART NE ADV VVFIN $, CARD $( CARD $( CARD $( ART NN $, KON ADJD ADV ADV $, KOUS PPER CARD $( CARD $( CARD APPR ART ART NN VVINF $, CARD $( CARD $( CARD $( $.	Wir erhalten dann aber , wenn wir im ersteren Falle 51 ° 23 ' 33 " von dem Knotenpunkte der Vesta aufwärts zählen , 51 ° 56 ' 7 " der Länge , und genau eben so , wenn wir 84 ° 55 ' 8" von dem des Merkur abziehen , 51 ° 56 ' 7 " .
Knotenpunkt	NN	1857	1	vischer_aesthetik030204_1857-1481-153	 	Es folgt daher auf diese erste Durchführung ein selbst wieder kunstreich ausgeführter, mit Thema und Gegensatz jedoch blos verwandter „Zwischensatz,“ der zu einer neuen Durchführung überleitet, in welcher die Ordnung des Eintritts der Stimmen und damit die contrapunctischen Verhältnisse unter ihnen andere sind als das erste Mal u. s. f. Wenn die Fuge dem Schluß sich nähert, tritt passend die sogen. Engführung ein, d. h. die Stimmen treten näher zusammen, fassen das Thema auf, und zwar in der Weise des strengern Kanons nicht gleichzeitig, sondern kurz nach einander eintretend, so daß eine eng verschlungene Stimmführung entsteht, die von sehr guter Wirkung ist; denn dieses nähere Zusammentreten der Stimmen und ihre Vereinigung im Thema stellt sowohl einen Einheits-und Beruhigungspunct dar, gegenüber den vielfachen und weiten Ausschreitungen, welche sie im Verlauf der Fuge unternommen haben, als zugleich einen Knotenpunct, an welchem die bis jetzt zerstreuten und freier wirkenden Kräfte zusammenrücken, auf einander eindringen, sich in einander verwickeln, um erst, nachdem so auch diese engste, gespannteste Form der Stimmenverflechtung erschöpft ist, in und mit der Lösung der Spannung vom Schauplatz abzutreten.	921:932	0:1226	Es folgt daher auf dieſe erſte Durchführung ein ſelbſt wieder kunſtreich ausgeführter , mit Thema und Gegenſatz jedoch blos verwandter „ Zwiſchenſatz , “ der zu einer neuen Durchführung überleitet , in welcher die Ordnung des Eintritts der Stimmen und damit die contrapunctiſchen Verhältniſſe unter ihnen andere ſind als das erſte Mal u. ſ. f. Wenn die Fuge dem Schluß ſich nähert , tritt paſſend die ſogen. Engführung ein , d. h. die Stimmen treten näher zuſammen , faſſen das Thema auf , und zwar in der Weiſe des ſtrengern Kanons nicht gleichzeitig , ſondern kurz nach einander eintretend , ſo daß eine eng verſchlungene Stimmführung entſteht , die von ſehr guter Wirkung iſt ; denn dieſes nähere Zuſammentreten der Stimmen und ihre Vereinigung im Thema ſtellt ſowohl einen Einheits- und Beruhigungspunct dar , gegenüber den vielfachen und weiten Ausſchreitungen , welche ſie im Verlauf der Fuge unternommen haben , als zugleich einen Knotenpunct , an welchem die bis jetzt zerſtreuten und freier wirkenden Kräfte zuſammenrücken , auf einander eindringen , ſich in einander verwickeln , um erſt , nachdem ſo auch dieſe engſte , geſpannteſte Form der Stimmenverflechtung erſchöpft iſt , in und mit der Löſung der Spannung vom Schauplatz abzutreten .	153	0:203	es folgen daher auf diese erst Durchführung eine selbst wieder kunstreich ausgeführt , mit Thema und Gegensatz jedoch bloß verwandt " Zwischensatz , " die zu eine neu Durchführung überleiten , in welche d Ordnung d Eintritt d Stimme und damit d kontrapunktisch Verhältnis unter sie andere sein als d erst Mal u. s. F. wenn d Fuge d Schluß sich nähern , treten paßend d Sogen. Engführung ein , d. h. d Stimme treten nah zusammen , fassen d Thema auf , und zwar in d Weise d streng Kanon nicht gleichzeitig , sondern kurz nach einander eintreten , so daß eine eng verschlingen Stimmeführung entstehen , die von sehr gut Wirkung sein ; denn diese nah Zusammentreten d Stimme und ihr Vereinigung im Thema stellen sowohl eine einheits- und Beruhigungspunkt dar , gegenüber d vielfach und weit Ausschreitung , welche sie im Verlauf d Fuge unternehmen haben , als zugleich eine Knotenpunkt , an welchem d bis jetzt zerstreut und frei wirkend Kraft zusammenrücken , auf einander eindringen , sich in einander verwickeln , um erst , nachdem so auch diese eng , gespannt Form d Stimmenverflechtung erschöpfen sein , in und mit d Lösung d Spannung vom Schauplatz abtreten .	PPER VVFIN PAV APPR PDAT ADJA NN ART ADV ADV ADJD ADJD $, APPR NN KON NN ADV ADV ADJA $( NN $, $( PRELS APPR ART ADJA NN VVFIN $, APPR PRELS ART NN ART NN ART NN KON PAV ART ADJA NN APPR PPER PIS VAFIN KOKOM ART ADJA NN APPR VVIMP NN KOUS ART NN ART NN PRF VVFIN $, VVFIN ADJD ART NN NN PTKVZ $, PDS VVFIN ART NN VVFIN ADJD PTKVZ $, VVFIN ART NN PTKVZ $, KON ADV APPR ART NN ART ADJA NN PTKNEG ADJD $, KON ADJD APPR PRF VVPP $, ADV KOUS ART ADJD ADJA NN VVFIN $, PRELS APPR ADV ADJA NN VAFIN $. KON PDAT ADJA NN ART NN KON PPOSAT NN APPRART NN VVFIN KON ART TRUNC KON NN PTKVZ $, APPR ART ADJA KON ADJA NN $, PRELS PPER APPRART NN ART NN VVPP VAINF $, KOUS ADV ART NN $, APPR PWAT ART APPR ADV ADJA KON ADJA ADJA NN VVINF $, APPR PRF VVINF $, PRF APPR PRF VVINF $, KOUI ADV $, KOUS ADV ADV PDAT ADJA $, ADJA NN ART NN VVPP VAFIN $, APPR KON APPR ART NN ART NN APPRART NN VVIZU $.	Es folgt daher auf diese erste Durchführung ein selbst wieder kunstreich ausgeführter , mit Thema und Gegensatz jedoch bloß verwandter " Zwischensatz , " der zu einer neuen Durchführung überleitet , in welcher die Ordnung des Eintritts der Stimmen und damit die kontrapunktischen Verhältnisse unter ihnen andere sind als das erste Mal u. s. f. Wenn die Fuge dem Schluß sich nähert , tritt passend die sogen. Engführung ein , d. h. die Stimmen treten näher zusammen , fassen das Thema auf , und zwar in der Weise des strengeren Kanons nicht gleichzeitig , sondern kurz nach einander eintretend , so daß eine eng verschlungene Stimmführung entsteht , die von sehr guter Wirkung ist ; denn dieses nähere Zusammentreten der Stimmen und ihre Vereinigung im Thema stellt sowohl einen Einheits- und Beruhigungspunkt dar , gegenüber den vielfachen und weiten Ausschreitungen , welche sie im Verlauf der Fuge unternommen haben , als zugleich einen Knotenpunkt , an welchem die bis jetzt zerstreuten und freier wirkenden Kräfte zusammenrücken , auf einander eindringen , sich in einander verwickeln , um erst , nachdem so auch diese engste , gespannteste Form der Stimmenverflechtung erschöpft ist , in und mit der Lösung der Spannung vom Schauplatz abzutreten .
Knotenpunkt	NN	1835	1	valentin_entwicklungsgeschichte_1835-6748-32	 	Während in dem Jejunum und Ileum jede zottenförmige Umkleidung der oberen Lage einer wahren Zotte der unteren Lage entspricht, so ist dieses in den dikken Gedärmen nur bei den in den Knotenpunkten befindlichen Zotten der Fall.	183:196	0:226	Während in dem Jejunum und Ileum jede zottenförmige Umkleidung der oberen Lage einer wahren Zotte der unteren Lage entspricht , so ist dieses in den dikken Gedärmen nur bei den in den Knotenpunkten befindlichen Zotten der Fall .	32	0:38	während in d Jejunum und Ileum jede zottenförmig Umkleidung d ober Lage eine wahr Zotte d unter Lage entsprechen , so sein diese in d dick Gedärm nur bei d in d Knotenpunkt befindlich Zotte d Fall .	KOUS APPR ART NN KON NN PIAT ADJA NN ART ADJA NN ART ADJA NN ART ADJA NN VVFIN $, ADV VAFIN PDAT APPR ART ADJA NN ADV APPR ART APPR ART NN ADJA NN ART NN $.	Während in dem Jejunum und Ileum jede zottenförmige Umkleidung der oberen Lage einer wahren Zotte der unteren Lage entspricht , so ist dieses in den dicken Gedärmen nur bei den in den Knotenpunkten befindlichen Zotten der Fall .
Knotenpunkt	NN	1867	1	wundt_medizinische_1867-4750-38	 	Da bei der letzteren Aufgabe die Wahl der Strahlen, deren Durchschnittspunkt aufgesucht wird, freigestellt ist, so verfolgt man am zweckmässigsten 1) denjenigen von a ausgehenden Strahl, der vor der Brechung nach dem ersten Knotenpunkt gerichtet ist, und 2) denjenigen Strahl, der vor der Brechung der Axe parallel ist: der erstere geht nach der Brechung seiner früheren Richtung parallel durch den zweiten Knotenpunkt, und der letztere geht nach der Brechung durch den zweiten Brennpunkt.	224:235	0:489	Da bei der letzteren Aufgabe die Wahl der Strahlen , deren Durchschnittspunkt aufgesucht wird , freigestellt ist , so verfolgt man am zweckmässigsten 1 ) denjenigen von a ausgehenden Strahl , der vor der Brechung nach dem ersten Knotenpunkt gerichtet ist , und 2 ) denjenigen Strahl , der vor der Brechung der Axe parallel ist : der erstere geht nach der Brechung seiner früheren Richtung parallel durch den zweiten Knotenpunkt , und der letztere geht nach der Brechung durch den zweiten Brennpunkt .	38	0:84	da bei d letztere Aufgabe d Wahl d Strahl , die Durchschnittspunkt aufsuchen werden , freistellen sein , so verfolgen man am zweckmässig 1 ) diejenige von A ausgehend Strahl , die vor d Brechung nach d erst Knotenpunkt richten sein , und 2 ) denjenig Strahl , die vor d Brechung d Achse parallel sein : d erstere gehen nach d Brechung seine früh Richtung parallel durch d zweit Knotenpunkt , und d letztere gehen nach d Brechung durch d zweit Brennpunkt .	ADV APPR ART ADJA NN ART NN ART NN $, PRELAT NN VVPP VAFIN $, VVPP VAFIN $, ADV VVFIN PIS APPRART ADJA CARD $( PDS APPR NE ADJA NN $, PRELS APPR ART NN APPR ART ADJA NN VVPP VAFIN $, KON CARD $( PDAT NN $, PRELS APPR ART NN ART NN ADJD VAFIN $. ART PIS VVFIN APPR ART NN PPOSAT ADJA NN ADJD APPR ART ADJA NN $, KON ART PIS VVFIN APPR ART NN APPR ART ADJA NN $.	Da bei der letzteren Aufgabe die Wahl der Strahlen , deren Durchschnittspunkt aufgesucht wird , freigestellt ist , so verfolgt man am zweckmässigsten 1 ) denjenigen von a ausgehenden Strahl , der vor der Brechung nach dem ersten Knotenpunkt gerichtet ist , und 2 ) denjenigen Strahl , der vor der Brechung der Achse parallel ist : der erstere geht nach der Brechung seiner früheren Richtung parallel durch den zweiten Knotenpunkt , und der letztere geht nach der Brechung durch den zweiten Brennpunkt .
Knotenpunkt	NN	1881	1	robert_griechische_1881-1128-27	 	Denn giebt die nähere oder weitere Beziehung, in welcher die Ereignisse zu dem Haupthelden Achilleus stehen, den Massstab für ihre Geltung als „Kern-und Knotenpunkte der Sage“ ab, wie das doch offenbar Brunns Anschauung ist, welcher Abschnitt der Ilias hat dann mehr Anspruch auf diesen Titel, als die grösste Heldenthat seines Freundes Patroklos, die dieser in den Waffen des Achilleus verrichtet, bei der Zeus selbst nicht hindernd einzuschreiten wagt, die seinem Tod unmittelbar vorhergeht und das Wiedereingreifen des Achilleus in den Kampf sowie seine Versöhnung mit Agamemnon vorbereitet?	153:165	0:594	Denn giebt die nähere oder weitere Beziehung , in welcher die Ereignisse zu dem Haupthelden Achilleus stehen , den Maſsstab für ihre Geltung als „ Kern- und Knotenpunkte der Sage “ ab , wie das doch offenbar Brunns Anschauung ist , welcher Abschnitt der Ilias hat dann mehr Anspruch auf diesen Titel , als die gröſste Heldenthat seines Freundes Patroklos , die dieser in den Waffen des Achilleus verrichtet , bei der Zeus selbst nicht hindernd einzuschreiten wagt , die seinem Tod unmittelbar vorhergeht und das Wiedereingreifen des Achilleus in den Kampf sowie seine Versöhnung mit Agamemnon vorbereitet ?	27	0:99	denn geben d nah oder weit Beziehung , in welche d Ereignis zu d Hauptheld Achilleus stehen , d Maßstab für ihr Geltung als " kern- und Knotenpunkt d Sage " ab , wie die doch offenbar Brunn Anschauung sein , welcher Abschnitt d Ilias haben dann mehr Anspruch auf diese Titel , als d groß Heldentat seine Freund Patroklos , die diese in d Waffe d Achilleus verrichten , bei d Zeus selbst nicht hindernd einschreiten wagen , die seine Tod unmittelbar vorhergehen und d Wiedereingreifen d Achilleus in d Kampf sowie seine Versöhnung mit Agamemnon vorbereiten ?	KON VVFIN ART ADJA KON ADJA NN $, APPR PRELS ART NN APPR ART NN NE VVFIN $, ART NN APPR PPOSAT NN KOKOM $( TRUNC KON NN ART NN $( PTKVZ $, PWAV PDS ADV ADJD NE NN VAFIN $, PWAT NN ART NE VAFIN ADV PIAT NN APPR PDAT NN $, KOKOM ART ADJA NN PPOSAT NN NE $, PRELS PDAT APPR ART NN ART NE VVPP $, APPR ART NE ADV PTKNEG ADJD VVIZU VVFIN $, PRELS PPOSAT NN ADJD VVFIN KON ART NN ART NE APPR ART NN KON PPOSAT NN APPR NE VVPP $.	Denn gibt die nähere oder weitere Beziehung , in welcher die Ereignisse zu dem Haupthelden Achilleus stehen , den Massstab für ihre Geltung als " Kern- und Knotenpunkte der Sage " ab , wie das doch offenbar Brunns Anschauung ist , welcher Abschnitt der Ilias hat dann mehr Anspruch auf diesen Titel , als die größte Heldentat seines Freundes Patroklos , die dieser in den Waffen des Achilleus verrichtet , bei der Zeus selbst nicht hindernd einzuschreiten wagt , die seinem Tod unmittelbar vorhergeht und das Wiedereingreifen des Achilleus in den Kampf sowie seine Versöhnung mit Agamemnon vorbereitet ?
