identifier1	identifier2	annotator	judgment	comment	lemma	round
clausius_waermetheorie_1856-722-15	26120215_1973_06_29_01_037.tcf.xml-13-9	annotator2	4.0	 	Kubikmeter	2
2532889X_1978-07-28_01_170.tcf.xml-3-27	26120215_1973_06_29_01_037.tcf.xml-13-9	annotator2	4.0	 	Kubikmeter	2
schliemann_trojanische_1874-748-99	2532889X_1974-12-07_01_192.tcf.xml-46-5	annotator2	4.0	 	Kubikmeter	2
2532889X_1970-12-06_01_041.tcf.xml-84-6	gerstner_mechanik03_1834-5451-16	annotator2	4.0	 	Kubikmeter	2
samter_erfindungen_1896-5213-70	schliemann_trojanische_1874-1801-4	annotator2	4.0	 	Kubikmeter	2
samter_erfindungen_1896-4398-19	liebig_agricultur_1840-588-50	annotator2	4.0	 	Kubikmeter	2
2532889X_1972-03-21_01_139.tcf.xml-4-7	schliemann_trojanische_1874-1801-4	annotator2	4.0	 	Kubikmeter	2
schliemann_trojanische_1874-608-8	2532889X_1971-08-29_01_184.tcf.xml-67-12	annotator2	4.0	 	Kubikmeter	2
26120215_1990_11_06_01_047.tcf.xml-21-13	liebig_agricultur_1840-214-15	annotator2	4.0	 	Kubikmeter	2
26120215_1987_02_10_01_008.tcf.xml-5-15	liebig_agricultur_1840-588-50	annotator2	4.0	 	Kubikmeter	2
lehnert_seehaefen01_1891-9541-17	2532889X_1976-07-10_01_007.tcf.xml-23-2	annotator2	4.0	 	Kubikmeter	2
2532889X_1953-11-12_01_042.tcf.xml-27-11	2532889X_1966-02-05_01_082.tcf.xml-14-15	annotator2	4.0	 	Kubikmeter	2
libelt_hs6623ii_1828-308-43	liebig_agricultur_1840-588-50	annotator2	4.0	 	Kubikmeter	2
ledebur_eisenhuettenkunde_1884-6556-7	schliemann_trojanische_1874-1801-4	annotator2	4.0	 	Kubikmeter	2
krafft_landwirthschaft03_1876-652-14	26120215_1947_05_25_01_284.tcf.xml-9-5	annotator2	4.0	 	Kubikmeter	2
gerstner_mechanik03_1834-5454-19	parthey_msgermqu1711_1828-1878-52	annotator2	4.0	 	Kubikmeter	2
26120215_1957_12_22_02_236.tcf.xml-4-31	ledebur_eisenhuettenkunde_1884-7412-20	annotator2	4.0	 	Kubikmeter	2
gerstner_mechanik03_1834-5991-5	2532889X_1974-12-07_01_192.tcf.xml-46-5	annotator2	4.0	 	Kubikmeter	2
26120215_1990_10_16_01_261.tcf.xml-1-9	2532889X_1974-12-07_01_192.tcf.xml-46-5	annotator2	4.0	 	Kubikmeter	2
schliemann_trojanische_1874-704-42	schliemann_trojanische_1874-1489-33	annotator2	4.0	 	Kubikmeter	2
2532889X_1952-03-18_01_078.tcf.xml-18-9	clausius_waermetheorie_1856-439-22	annotator2	4.0	 	Kubikmeter	2
26120215_1951_06_17_01_054.tcf.xml-33-17	26120215_1947_05_25_01_284.tcf.xml-9-5	annotator2	4.0	 	Kubikmeter	2
nn_nrhz168_1848-508-11	2532889X_1971-11-07_01_187.tcf.xml-12-14	annotator2	4.0	 	Kubikmeter	2
ledebur_eisenhuettenkunde_1884-6559-12	liebig_agricultur_1840-214-15	annotator2	4.0	 	Kubikmeter	2
gercke_torpedowaffe_1898-76-16	2532889X_1957-05-10_01_023.tcf.xml-8-16	annotator2	4.0	 	Kubikmeter	2
2532889X_1971-08-23_01_181.tcf.xml-9-7	lehnert_seehaefen01_1891-3583-47	annotator2	4.0	 	Kubikmeter	2
2532889X_1989-12-02_01_138.tcf.xml-3-9	gerstner_mechanik03_1834-5451-16	annotator2	4.0	 	Kubikmeter	2
26120215_1973_01_07_01_337.tcf.xml-3-20	2532889X_1985-05-15_01_048.tcf.xml-8-16	annotator2	4.0	 	Kubikmeter	2
gerstner_mechanik03_1834-5469-52	ledebur_eisenhuettenkunde_1884-6710-4	annotator2	4.0	 	Kubikmeter	2
gerstner_mechanik03_1834-5460-16	clausius_waermetheorie_1856-439-22	annotator2	4.0	 	Kubikmeter	2
2532889X_1983-03-21_01_010.tcf.xml-50-1	ledebur_eisenhuettenkunde_1884-6710-4	annotator2	4.0	 	Kubikmeter	2
schliemann_trojanische_1874-704-26	ledebur_eisenhuettenkunde_1884-6710-4	annotator2	4.0	 	Kubikmeter	2
krafft_landwirthschaft01_1875-5151-11	ledebur_eisenhuettenkunde_1884-6710-4	annotator2	4.0	 	Kubikmeter	2
ledebur_eisenhuettenkunde_1884-7045-8	2532889X_1971-11-07_01_187.tcf.xml-12-14	annotator2	4.0	 	Kubikmeter	2
samter_erfindungen_1896-5080-29	ledebur_eisenhuettenkunde_1884-6710-4	annotator2	4.0	 	Kubikmeter	2
samter_erfindungen_1896-4887-13	schliemann_trojanische_1874-1489-33	annotator2	4.0	 	Kubikmeter	2
lehnert_seehaefen01_1891-1060-29	2532889X_1971-08-29_01_184.tcf.xml-67-12	annotator2	4.0	 	Kubikmeter	2
26120215_1973_04_29_01_047.tcf.xml-8-42	ledebur_eisenhuettenkunde_1884-6710-4	annotator2	4.0	 	Kubikmeter	2
26120215_1951_09_02_03_019.tcf.xml-58-27	2532889X_1963-10-25_01_006.tcf.xml-18-20	annotator2	4.0	 	Kubikmeter	2
