identifier1	identifier2	annotator	judgment	comment	lemma	round
duehring_berufsbildung_1885-669-29	stein_verwaltungslehre05_1868-4815-41	annotator1	4.0	 	Lyzeum	3
2532889X_1980-10-18_01_198.tcf.xml-66-6	2532889X_1984-08-04_01_400.tcf.xml-7-5	annotator1	3.0	 	Lyzeum	3
lehnert_seehaefen01_1891-5452-49	lehnert_seehaefen02_1892-2876-25	annotator1	3.0	 	Lyzeum	3
2532889X_1978-03-21_01_078.tcf.xml-3-12	duehring_berufsbildung_1885-320-33	annotator1	3.0	 	Lyzeum	3
duehring_berufsbildung_1885-319-21	treviranus_biologie03_1805-2960-39	annotator1	0.0	anderes Wort in Satz 1	Lyzeum	3
duehring_berufsbildung_1885-679-30	lehnert_seehaefen01_1891-8104-4	annotator6	4.0	 	Lyzeum	3
2532889X_1952-04-18_01_079.tcf.xml-1-6	26120215_1985_10_16_01_036.tcf.xml-23-29	annotator6	4.0	 	Lyzeum	3
2532889X_1972-01-23_01_065.tcf.xml-3-22	stein_verwaltungslehre05_1868-4857-7	annotator6	4.0	 	Lyzeum	3
clodius_poetik01_1804-3192-5	nn_turnkunst02_1844-1190-15	annotator6	3.0	 	Lyzeum	3
duehring_berufsbildung_1885-319-21	2532889X_1977-04-22_01_071.tcf.xml-1-14	annotator6	4.0	 	Lyzeum	3
26120215_1950_04_06_01_040.tcf.xml-30-25	duehring_berufsbildung_1885-667-24	annotator6	4.0	 	Lyzeum	3
2532889X_1955-03-13_01_049.tcf.xml-6-38	sachs_botanik_1875-2121-30	annotator6	3.0	 	Lyzeum	3
stein_verwaltungslehre05_1868-4857-7	duehring_berufsbildung_1885-669-29	annotator6	4.0	 	Lyzeum	3
stein_verwaltungslehre05_1868-4712-12	lehnert_seehaefen02_1892-4171-12	annotator6	4.0	 	Lyzeum	3
2532889X_1972-07-15_01_308.tcf.xml-9-13	26120215_1976_06_10_01_086.tcf.xml-24-2	annotator3	4.0	 	Lyzeum	3
duehring_berufsbildung_1885-669-29	stein_verwaltungslehre05_1868-4815-41	annotator3	4.0	 	Lyzeum	3
clodius_poetik01_1804-3192-5	nn_turnkunst02_1844-1190-15	annotator3	4.0	 	Lyzeum	3
stein_verwaltungslehre05_1868-4857-7	2532889X_1977-04-22_01_071.tcf.xml-1-14	annotator3	4.0	 	Lyzeum	3
duehring_berufsbildung_1885-800-13	lehnert_seehaefen01_1891-2264-7	annotator3	4.0	 	Lyzeum	3
curtius_alterthum01_1875-2483-4	2532889X_1972-01-23_01_065.tcf.xml-3-22	annotator3	4.0	 	Lyzeum	3
lehnert_seehaefen02_1892-4171-12	duehring_berufsbildung_1885-310-5	annotator5	4.0	 	Lyzeum	3
