lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-318-48	 	Ein Curschen der Chemie von einem halben Dutzend Vorlesungen, deren jede anderthalb Stunden währt, sage also fünfhundertundvierzig Minuten der Chemie gewidmet, – das ist, zumal in der Universitätsmanier, eine komische Dosis; aber an solchen Musterstückchen von Kunstbethätigung der Berliner Universitätsprofessoren für das Lyceum hat es nicht gefehlt.	323:329	0:351	Ein Curschen der Chemie von einem halben Dutzend Vorlesungen , deren jede anderthalb Stunden währt , sage also fünfhundertundvierzig Minuten der Chemie gewidmet , – das ist , zumal in der Universitätsmanier , eine komische Dosis ; aber an solchen Musterstückchen von Kunstbethätigung der Berliner Universitätsprofessoren für das Lyceum hat es nicht gefehlt .	48	0:54	eine Kurschen d Chemie von eine halb Dutzend Vorlesung , die jede anderthalb Stunde währen , sagen also fünfhundertundvierzig Minute d Chemie widmen , - die sein , zumal in d Universitätsmanier , eine komisch Dosis ; aber an solch Musterstückchen von Kunstbetätigung d Berliner Universitätsprofessor für d Lyzeum haben es nicht fehlen .	ART NN ART NN APPR ART ADJA NN NN $, PRELAT PIAT CARD NN VVFIN $, VVFIN ADV CARD NN ART NN VVPP $, $( PDS VAFIN $, KOUS APPR ART NN $, ART ADJA NN $. ADV APPR PIAT NN APPR NN ART ADJA NN APPR ART NN VAFIN PPER PTKNEG VVPP $.	Ein Kurschen der Chemie von einem halben Dutzend Vorlesungen , deren jede anderthalb Stunden währt , sage also fünfhundertundvierzig Minuten der Chemie gewidmet , - das ist , zumal in der Universitätsmanier , eine komische Dosis ; aber an solchen Musterstückchen von Kunstbetätigung der Berliner Universitätsprofessoren für das Lyzeum hat es nicht gefehlt .
Lyzeum	NN	1890	1	drude_pflanzengeographie_1890-3994-33	 	Immergrüne Maquis fehlen noch als eigene Formation und bilden den grössten Gegensatz des reicheren Südens zu dem hier auf unfruchtbaren Hügeln waltenden Gestrüpp mit steifem Graswuchs von Zizyphus Kämpferi, Vitex incisa, Lycium chinense.	221:227	0:237	Immergrüne Maquis fehlen noch als eigene Formation und bilden den grössten Gegensatz des reicheren Südens zu dem hier auf unfruchtbaren Hügeln waltenden Gestrüpp mit steifem Graswuchs von Zizyphus Kämpferi , Vitex incisa , Lycium chinense .	33	0:36	immergrün Maquis fehlen noch als eigen Formation und bilden d groß Gegensatz d reich Süden zu d hier auf unfruchtbar Hügel waltend Gestrüpp mit steif Graswuchs von Zizyphus Kämpferi , Vitex Incisa , Lyzeum Chinese .	ADJA NN VVFIN ADV KOKOM ADJA NN KON VVFIN ART ADJA NN ART ADJA NN APPR ART ADV APPR ADJA NN ADJA NN APPR ADJA NN APPR NE NE $, NN NE $, NN NN $.	Immergrüne Maquis fehlen noch als eigene Formation und bilden den größten Gegensatz des reicheren Südens zu dem hier auf unfruchtbaren Hügeln waltenden Gestrüpp mit steifem Graswuchs von Zizyphus Kämpferi , Vitex incisa , Lyzeum Chinese .
Lyzeum	NN	1882	1	beyer_poetik01_1882-8419-70	 	Nachfolgende Fremdwörter mit logischer Bedeutung sind meist germanisiert: Abrahamītisch, accessōrisch, allopāthisch, Anāpher, Auspīzien, Baccalaūreus, balsamīeren, Basīlikum, Bramārbas, Charākter, charakterīstisch; Dēbitor, Definītum, Depōsitum, Diākonus; Extēmpore, Faksīmile; grammātisch, grammatikālisch; Herōentum, Hiātus, homöopāthisch; Jntermēzzo, Jubilǟum; Kalēnder, Kanīnchen, Kollektāneum (Plur.: Kollektanēen), Komītien; Lyzēum; Mahagōni; Mausolēum, Messīas, Metāpher, Miāsma, Moskīto, Musēum; Paradīgma, Parallāxe, platōnisch, Plebējer, privātim, Prokūra, Pronōmen, Propagānda; Quinquagēsima; Rapūnzel, Resēda, Revōlver, Rhabārber, Rhododēndron; Salpēter, Sēnior, Sexagēsima, sophoklēisch, Spondēus, Sultāna; Tarāntel, Tiāra; Ultimātum, Univērsum; Valūta, Verānda, Viātikum; Zodīakus.	433:439	0:797	Nachfolgende Fremdwörter mit logischer Bedeutung sind meist germanisiert : Abrahamītisch , accessōrisch , allopāthisch , Anāpher , Auspīzien , Baccalaūreus , balsamīeren , Basīlikum , Bramārbas , Charākter , charakterīstisch ; Dēbitor , Definītum , Depōsitum , Diākonus ; Extēmpore , Faksīmile ; grammātisch , grammatikālisch ; Herōentum , Hiātus , homöopāthisch ; Jntermēzzo , Jubilǟum ; Kalēnder , Kanīnchen , Kollektāneum ( Plur. : Kollektanēen ) , Komītien ; Lyzēum ; Mahagōni ; Mausolēum , Messīas , Metāpher , Miāsma , Moskīto , Musēum ; Paradīgma , Parallāxe , platōnisch , Plebējer , privātim , Prokūra , Pronōmen , Propagānda ; Quinquagēsima ; Rapūnzel , Resēda , Revōlver , Rhabārber , Rhododēndron ; Salpēter , Sēnior , Sexagēsima , sophoklēisch , Spondēus , Sultāna ; Tarāntel , Tiāra ; Ultimātum , Univērsum ; Valūta , Verānda , Viātikum ; Zodīakus .	70	0:142	nachfolgend Fremdwort mit logisch Bedeutung sein meist germanisieren : Abrahamitisch , akzessorisch , allopathisch , Anapher , Auspizien , Baccalaureus , balsamieren , Basilikum , Bramarbas , Charakter , charakteristisch ; Debitor , Definitum , Depositum , Diakonus ; Axtempore , Faksimile ; grammatisch , grammatikalisch ; Heroentum , Hiatus , homöopathisch ; Intermezzo , Jubilaum ; Kalender , Kaninchen , Kollektaneum ( Plur. : Kollektaneen ) , Komitien ; Lyzeum ; Mahagoni ; Mausoleum , Messias , Metapher , Miasma , Moskito , Museum ; Paradigma , Parallaxe , platonisch , Plebejer , privatim , Prokura , Pronomen , Propaganda ; Quinquagesima ; Rapunzel , Reseda , Revolver , Rhabarber , Rhododendron ; Salpeter , Senior , Sexagesima , sophoklesisch , Spondeus , Sultana ; Tarantel , Tiara ; Ultimatum , Universum ; Valuta , Veranda , Viatikum ; Zodiakus .	ADJA NN APPR ADJA NN VAFIN ADV VVPP $. NE $, ADJD $, ADJD $, NN $, NN $, NE $, VVFIN $, NN $, NN $, NN $, ADJD $. NN $, NE $, NN $, NN $. NN $, NN $. ADJD $, ADJD $. NN $, NN $, ADJD $. NN $, NE $. NN $, NN $, NE $( NE $( NN $( $, NN $. NN $. NN $. NN $, NE $, NE $, NN $, NN $, NN $. NN $, NN $, ADJD $, NN $, ADV $, NN $, NN $, NN $. NN $. NE $, NE $, NN $, NN $, NN $. NN $, NN $, NN $, ADJD $, NN $, NN $. NN $, NN $. NN $, NN $. NN $, NN $, NN $. NN $.	α .
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-725-48	 	„Wir haben zu unserm lebhaftesten Bedauern mitzutheilen, dass Herr Professor Dr. Wattenbach wegen überhäufter wissenschaftlicher Arbeiten diesen Winter seine Vorlesungen am Victoria-Lyceum zu halten behindert ist; wir hoffen indess, dass dieser ausgezeichnete Gelehrte und anregende Lehrer in nicht allzuferner Zeit wieder thätig wirksam dem Lyceum zur Seite stehen wird.“	342:348	0:372	„ Wir haben zu unserm lebhaftesten Bedauern mitzutheilen , dass Herr Professor Dr. Wattenbach wegen überhäufter wissenschaftlicher Arbeiten diesen Winter seine Vorlesungen am Victoria-Lyceum zu halten behindert ist ; wir hoffen indess , dass dieser ausgezeichnete Gelehrte und anregende Lehrer in nicht allzuferner Zeit wieder thätig wirksam dem Lyceum zur Seite stehen wird . “	48	0:55	" wir haben zu unsere lebhaft Bedauern mitteilen , dass Herr Professor Dr. Wattenbach wegen überhäuft wissenschaftlich Arbeit diese Winter seine Vorlesung am Victoria-Lyzeum zu halten behindern sein ; wir hoffen indes , dass diese ausgezeichnet Gelehrte und anregend Lehrer in nicht allzufern Zeit wieder tätig wirksam d Lyzeum zur Seite stehen werden . "	$( PPER VAFIN APPR PPOSAT ADJA NN VVIZU $, KOUS NN NN NN NN APPR ADJA ADJA NN PDAT NN PPOSAT NN APPRART NN PTKZU VVINF VVPP VAFIN $. PPER VVFIN ADV $, KOUS PDAT ADJA NN KON ADJA NN APPR PTKNEG ADJA NN ADV ADJD ADJD ART NN APPRART NN VVINF VAFIN $. $(	" Wir haben zu unserem lebhaftesten Bedauern mitzuteilen , dass Herr Professor Dr. Wattenbach wegen überhäufter wissenschaftlicher Arbeiten diesen Winter seine Vorlesungen am Victoria-Lyzeum zu halten behindert ist ; wir hoffen indes , dass dieser ausgezeichnete Gelehrte und anregende Lehrer in nicht allzuferner Zeit wieder tätig wirksam dem Lyzeum zur Seite stehen wird . "
Lyzeum	NN	1835	1	dahlmann_politik_1835-2361-4	 	Allein wie Aristoteles im Lyceum Athens zweimahl jedes Tages, Morgens und Abends, vor jetzt mehr als 2,100 Jahren lehrte, in gleich lebendigem Zusammenhange des Ganzen und harmonischer Entwickelung der einzelnen derzeit selbständigen Wissenschaften, so mag wohl auf keiner unserer Universitäten gelehrt worden seyn.	26:32	0:315	Allein wie Ariſtoteles im Lyceum Athens zweimahl jedes Tages , Morgens und Abends , vor jetzt mehr als 2,100 Jahren lehrte , in gleich lebendigem Zuſammenhange des Ganzen und harmoniſcher Entwickelung der einzelnen derzeit ſelbſtaͤndigen Wiſſenſchaften , ſo mag wohl auf keiner unſerer Univerſitaͤten gelehrt worden ſeyn .	4	0:48	allein wie Aristoteles im Lyzeum Athens zweimal jede Tag , morgens und Abend , vor jetzt mehr als 2,100 Jahr lehren , in gleich lebendig Zusammenhang d Ganze und harmonisch Entwicklung d einzeln derzeit selbständig Wissenschaft , so mögen wohl auf keine unsere Universität lehren werden sein .	ADV KOKOM NE APPRART NN NE ADV PIAT NN $, ADV KON NN $, APPR ADV PIAT KOKOM CARD NN VVFIN $, APPR ADV ADJA NN ART NN KON ADJA NN ART ADJA ADV ADJA NN $, ADV VMFIN ADV APPR PIS PPOSAT NN VVPP VAPP VAINF $.	Allein wie Aristoteles im Lyzeum Athens zweimal jedes Tages , Morgens und Abends , vor jetzt mehr als 2,100 Jahren lehrte , in gleich lebendigem Zusammenhänge des Ganzen und harmonischer Entwicklung der einzelnen derzeit selbständigen Wissenschaften , so mag wohl auf keiner unserer Universitäten gelehrt worden sein .
Lyzeum	NN	1868	1	stein_verwaltungslehre05_1868-4815-41	 	Von einer Selbständigkeit eines Realschulsystems neben dem Gymnasialsystem in eignen Anstalten mit eignen Lehrern, womit das Princip der Bifurcation erst beseitigt werden würde, ist nach wie vor keine Rede; die realistischen Fächer bleiben nach wie vor Fächer des Lyceums, wenn sie auch nicht mehr wie früher gerade section des sciences heißen; und daher bleibt für deutsche Logik die Bestimmung des Circulärs vom 21. März 1863 unverständlich, nach welchem zwar das Bifurcationssystem beseitigt sein, aber dennoch in demselben Lyceum ein Examen für die lettres im früher angegebnen Sinne des baccalauréat ès lettres, ein andres für die sciences des baccalauréat ès sciences geben soll, neben denen noch das Examen für die mathématiques spéciales die Bedingung des Eintrittes in die École polytechnique und von dieser in die École des ponts et chaussées möglich macht.	264:271	0:867	Von einer Selbſtändigkeit eines Realſchulſyſtems neben dem Gymnaſialſyſtem in eignen Anſtalten mit eignen Lehrern , womit das Princip der Bifurcation erſt beſeitigt werden würde , iſt nach wie vor keine Rede ; die realiſtiſchen Fächer bleiben nach wie vor Fächer des Lyceums , wenn ſie auch nicht mehr wie früher gerade section des sciences heißen ; und daher bleibt für deutſche Logik die Beſtimmung des Circulärs vom 21. März 1863 unverſtändlich , nach welchem zwar das Bifurcationsſyſtem beſeitigt ſein , aber dennoch in demſelben Lyceum ein Examen für die lettres im früher angegebnen Sinne des baccalauréat ès lettres , ein andres für die sciences des baccalauréat ès sciences geben ſoll , neben denen noch das Examen für die mathématiques spéciales die Bedingung des Eintrittes in die École polytechnique und von dieſer in die École des ponts et chaussées möglich macht .	41	0:141	von eine Selbständigkeit eine Realschulesystem neben d Gymnasialsystem in eigen Anstalten mit eigen Lehrer , womit d Prinzip d Bifurkation erst beseitigen werden werden , sein nach wie vor keine Rede ; d realistisch Fächer bleiben nach wie vor Fächer d Lyzeum , wenn sie auch nicht mehr wie früh gerade Sektion d Sciences heißen ; und daher bleiben für deutsch Logik d Bestimmung d Circulärs vom 21. März 1863 unverständlich , nach welche zwar d Bifurkationssystem beseitigen sein , aber dennoch in demselben Lyzeum eine Examen für d Lettres im früh angegeben Sinn d Bakkalaureat es Lettres , eine andere für d Sciences d Bakkalaureat es Sciences geben sollen , neben die noch d Examen für d mathematiques speciales d Bedingung d Eintritt in d Ecole Polytechnique und von diese in d Ecole d ponts et Chaussee möglich machen .	APPR ART NN ART NN APPR ART NN APPR ADJA NN APPR ADJA NN $, PWAV ART NN ART NN ADV VVPP VAINF VAFIN $, VAFIN APPR KOKOM APPR PIAT NN $. ART ADJA NN VVFIN APPR KOKOM APPR NN ART NN $, KOUS PPER ADV PTKNEG ADV KOKOM ADJD ADV NN ART NE VVINF $. KON PAV VVFIN APPR ADJA NN ART NN ART NN APPRART ADJA NN CARD ADJD $, APPR PRELS ADV ART NN VVPP VAINF $, KON ADV APPR PDAT NN ART NN APPR ART NN APPRART ADJD ADJA NN ART NN PPER NE $, ART PIS APPR ART NE ART NN PPER NE VVINF VMFIN $, APPR PRELS ADV ART NN APPR ART FM FM ART NN ART NN APPR ART NE NE KON APPR PDAT APPR ART NN ART FM FM NN ADJD VVFIN $.	Von einer Selbständigkeit eines Realschulsystems neben dem Gymnasialsystem in eigenen Anstalten mit eigenen Lehrern , womit das Prinzip der Bifurkation erst beseitigt werden würde , ist nach wie vor keine Rede ; die realistischen Fächer bleiben nach wie vor Fächer des Lyzeums , wenn sie auch nicht mehr wie früher gerade Sektion des sciences heißen ; und daher bleibt für deutsche Logik die Bestimmung des Circulärs vom 21. März 1863 unverständlich , nach welchem zwar das Bifurkationssystem beseitigt sein , aber dennoch in demselben Lyzeum ein Examen für die lettres im früher angegebenen Sinne des Bakkalaureat es lettres , ein anderes für die sciences des Bakkalaureat es sciences geben soll , neben denen noch das Examen für die mathematiques speciales die Bedingung des Eintrittes in die Ecole polytechnique und von dieser in die Ecole des ponts et Chaussee möglich macht .
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-320-33	 	Auch ist dies nicht zu verwundern, da die für die Einrichtung maassgebenden gelehrten Elemente selbst Gegner aller ernsthaften Frauenbildung, namentlich aber jeder höhern weiblichen Berufsbildung sind und ein Institut wie das Lyceum nach demselben socialpolitischen Grundsatz behandeln, wie in einer andern Richtung die sogenannte Volksbildung.	226:232	0:344	Auch ist dies nicht zu verwundern , da die für die Einrichtung maassgebenden gelehrten Elemente selbst Gegner aller ernsthaften Frauenbildung , namentlich aber jeder höhern weiblichen Berufsbildung sind und ein Institut wie das Lyceum nach demselben socialpolitischen Grundsatz behandeln , wie in einer andern Richtung die sogenannte Volksbildung .	33	0:49	auch sein diese nicht zu verwundern , da d für d Einrichtung maßgebend gelehrt Element selbst Gegner alle ernsthaft Frauenbildung , namentlich aber jede hoch weiblich Berufsbildung sein und eine Institut wie d Lyzeum nach demselben sozialpolitisch Grundsatz behandeln , wie in eine ander Richtung d sogenannt Volksbildung .	ADV VAFIN PDS PTKNEG PTKZU VVINF $, KOUS ART APPR ART NN ADJA ADJA NN ADV NN PIAT ADJA NN $, ADV ADV PIAT ADJA ADJA NN VAFIN KON ART NN KOKOM ART NN APPR PDAT ADJA NN VVINF $, PWAV APPR ART ADJA NN ART ADJA NN $.	Auch ist dies nicht zu verwundern , da die für die Einrichtung maßgebenden gelehrten Elemente selbst Gegner aller ernsthaften Frauenbildung , namentlich aber jeder höheren weiblichen Berufsbildung sind und ein Institut wie das Lyzeum nach demselben sozialpolitischen Grundsatz behandeln , wie in einer anderen Richtung die sogenannte Volksbildung .
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-649-28	 	Natürlich hatte dies Alles nur eine moralische Bedeutung; denn in Ermangelung eines durch Conventionalstrafen gesicherten Vertrages und bei der chaotischen, statutenlosen Verfassung oder vielmehr Verfassungslosigkeit des Lyceums blieb eine solche Stellung völlig precär und beruhte, wie dargelegt, Alles auf dem Geschäftsprincip.	221:228	0:329	Natürlich hatte dies Alles nur eine moralische Bedeutung ; denn in Ermangelung eines durch Conventionalstrafen gesicherten Vertrages und bei der chaotischen , statutenlosen Verfassung oder vielmehr Verfassungslosigkeit des Lyceums blieb eine solche Stellung völlig precär und beruhte , wie dargelegt , Alles auf dem Geschäftsprincip .	28	0:46	natürlich haben diese alle nur eine moralisch Bedeutung ; denn in Ermangelung eine durch Konventionalstrafe gesichert Vertrag und bei d chaotisch , statutenlos Verfassung oder vielmehr Verfassungslosigkeit d Lyzeum bleiben eine solch Stellung völlig prekär und beruhen , wie darlegen , alle auf d Geschäftsprinzip .	ADV VAFIN PDS PIS ADV ART ADJA NN $. KON APPR NN ART APPR NN ADJA NN KON APPR ART ADJA $, ADJA NN KON ADV NN ART NN VVFIN ART PIAT NN ADJD ADJD KON VVFIN $, PWAV VVPP $, PIS APPR ART NN $.	Natürlich hatte dies Alles nur eine moralische Bedeutung ; denn in Ermangelung eines durch Konventionalstrafen gesicherten Vertrages und bei der chaotischen , statutenlosen Verfassung oder vielmehr Verfassungslosigkeit des Lyzeums blieb eine solche Stellung völlig prekär und beruhte , wie dargelegt , Alles auf dem Geschäftsprinzip .
Lyzeum	NN	1832	1	moerike_nolten02_1832-736-18	 	Ach, und was das immer ein saurer Gang war Morgens mit dem Bücherriemen nach der Stadt in’s Lyceum!	92:98	0:99	Ach , und was das immer ein ſaurer Gang war Morgens mit dem Bücherriemen nach der Stadt in’s Lyceum !	18	0:20	ach , und was die immer eine sauer Gang sein morgens mit d Bucherriemen nach d Stadt ins Lyzeum !	ITJ $, KON PWS PDS ADV ART ADJA NN VAFIN ADV APPR ART NN APPR ART NN APPRART NN $.	Ach , und was das immer ein saurer Gang war Morgens mit dem Bücherriemen nach der Stadt ins Lyzeum !
Lyzeum	NN	1891	1	lehnert_seehaefen01_1891-906-23	 	Corfù ist der Sitz eines griechischen und eines römisch-katholischen Erzbischofs und besitzt an Stelle der 1865 aufgelassenen Universität ein nächst der Spianata gelegenes Lyceum.	172:178	0:179	Corfù ist der Sitz eines griechischen und eines römisch-katholischen Erzbischofs und besitzt an Stelle der 1865 aufgelassenen Universität ein nächst der Spianata gelegenes Lyceum .	23	0:25	Corfu sein d Sitz eine griechisch und eine römisch-katholisch Erzbischof und besitzen an Stelle d 1865 aufgelaßen Universität eine nächst d Spianata gelegen Lyzeum .	NE VAFIN ART NN ART ADJA KON ART ADJA NN KON VVFIN APPR NN ART CARD ADJA NN ART APPR ART NN ADJA NN $.	Corfu ist der Sitz eines griechischen und eines römisch-katholischen Erzbischofs und besitzt an Stelle der 1865 aufgelassenen Universität ein nächst der Spianata gelegenes Lyzeum .
