lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Manschette	NN	1846	1	aston_emancipation_1846-250-11	 	Und grade ein schlagendes Beispiel dieser Inquisition, in Frack und Manschetten, glaubte ich dem Publikum vorführen zu können; ein Drama, welches den einzigen Fehler hat, daß ich selbst darin die passive Hauptrolle spiele.	68:79	0:222	Und grade ein schlagendes Beispiel dieser Inquisition , in Frack und Manschetten , glaubte ich dem Publikum vorführen zu können ; ein Drama , welches den einzigen Fehler hat , daß ich selbst darin die passive Hauptrolle spiele .	11	0:39	und gerade eine schlagend Beispiel diese Inquisition , in Frack und Manschette , glauben ich d Publikum vorführen zu können ; eine Drama , welche d einzig Fehler haben , daß ich selbst darin d passiv Hauptrolle spielen .	KON ADV ART ADJA NN PDAT NN $, APPR NN KON NN $, VVFIN PPER ART NN VVINF PTKZU VMINF $. ART NN $, PRELS ART ADJA NN VAFIN $, KOUS PPER ADV PAV ART ADJA NN VVFIN $.	Und gerade ein schlagendes Beispiel dieser Inquisition , in Frack und Manschetten , glaubte ich dem Publikum vorführen zu können ; ein Drama , welches den einzigen Fehler hat , daß ich selbst darin die passive Hauptrolle spiele .
Manschette	NN	1840	1	hoffmann_unpolitische01_1840-1482-49	 	Ich beschwör' euch bei den Perrücken und Zöpfen, Bei den Atlasröcken mit großen Knöpfen, Bei den runden bepuderten ernsten Köpfen, Bei dem Reifrockknix und dem Fischbeinmieder, Bei dem verschämten Aufschlag der Augenlieder, Bei der Feiertagsruhe aller Glieder, Bei den Tressen und Litzen, Manschetten und Spitzen, Bei den seidenen Strümpfen mit falschen Waden, Bei den Schönheitspflastern, Schminken, Pomaden, Bei der Weitschnurigkeit Und Breitspurigkeit Aller alten und jungen Herzen und Zungen — Wer könnt' es wagen, Das Verlorene zu beklagen, Und wünschen, unserem Leben und Treiben Das Langweilige wieder einzuverleiben?	289:300	0:624	Ich beſchwör' euch bei den Perrücken und Zöpfen , Bei den Atlasröcken mit großen Knöpfen , Bei den runden bepuderten ernſten Köpfen , Bei dem Reifrockknix und dem Fiſchbeinmieder , Bei dem verſchämten Aufſchlag der Augenlieder , Bei der Feiertagsruhe aller Glieder , Bei den Treſſen und Litzen , Manſchetten und Spitzen , Bei den ſeidenen Strümpfen mit falſchen Waden , Bei den Schönheitspflaſtern , Schminken , Pomaden , Bei der Weitſchnurigkeit Und Breitſpurigkeit Aller alten und jungen Herzen und Zungen — Wer könnt' es wagen , Das Verlorene zu beklagen , Und wünſchen , unſerem Leben und Treiben Das Langweilige wieder einzuverleiben ?	49	0:104	ich beschwören ihr bei d Perücke und Zopf , bei d Atlasrock mit groß Knopf , bei d rund bepudert ernst Kopf , bei d Reifrockknix und d Fischbeinmieder , bei d verschämt Aufschlag d Augenlid , bei d Feiertagsruhe alle Glied , bei d Tresse und Litze , Manschette und Spitze , bei d seiden Strumpf mit falsch Wade , bei d Schönheitspflaster , Schminke , Pomade , bei d Weitschnurrigkeit und Breitspurigkeit Alleer alt und jung Herz und Zunge -- wer können es wagen , d Verlorene zu beklagen , und wünschen , unsere Leben und Treiben d Langweilige wieder einverleiben ?	PPER VVFIN PPER APPR ART NN KON NN $, APPR ART NN APPR ADJA NN $, APPR ART ADJA ADJA ADJA NN $, APPR ART NE KON ART NN $, APPR ART ADJA NN ART NN $, APPR ART NN PIAT NN $, APPR ART NN KON NN $, NN KON NN $, APPR ART ADJA NN APPR ADJA NN $, APPR ART NN $, NN $, NN $, APPR ART NN KON NN NN ADJA KON ADJA NN KON NN $( PWS VMFIN PPER VVINF $, ART NN PTKZU VVINF $, KON VVFIN $, PPOSAT NN KON NN ART NN ADV VVIZU $.	Ich beschwöre euch bei den Perücken und Zöpfen , Bei den Atlasröcken mit großen Knöpfen , Bei den runden bepuderten ernsten Köpfen , Bei dem Reifrockknix und dem Fischbeinmieder , Bei dem verschämten Aufschlag der Augenlider , Bei der Feiertagsruhe aller Glieder , Bei den Tressen und Litzen , Manschetten und Spitzen , Bei den seidenen Strümpfen mit falschen Waden , Bei den Schönheitspflastern , Schminken , Pomaden , Bei der Weitschnurrigkeit Und Breitspurigkeit Aller alten und jungen Herzen und Zungen -- Wer könnte es wagen , Das Verlorene zu beklagen , Und wünschen , unserem Leben und Treiben Das Langweilige wieder einzuverleiben ?
Manschette	NN	1834	1	varnhagen_rahel02_1834-2787-13	 	Racine mußte große Kränkungen erleben, große Korrespondenzen führen, weil sein Sohn Manschetten angehabt hatte, und in einer gewissen Schule darum nicht mehr geduldet werden sollte, und mußte diesen jungen Menschen deßhalb schelten, und sich anklagen und entschuldigen!	84:95	0:269	Racine mußte große Kränkungen erleben , große Korreſpondenzen führen , weil ſein Sohn Manſchetten angehabt hatte , und in einer gewiſſen Schule darum nicht mehr geduldet werden ſollte , und mußte dieſen jungen Menſchen deßhalb ſchelten , und ſich anklagen und entſchuldigen !	13	0:43	Racine müssen groß Kränkung erleben , groß Korrespondenz führen , weil sein Sohn Manschette anhaben haben , und in eine gewiß Schule darum nicht mehr gedulden werden sollen , und müssen diese jung Mensch deshalb schelten , und sich anklagen und entschuldigen !	NE VMFIN ADJA NN VVINF $, ADJA NN VVINF $, KOUS PPOSAT NN NN VVPP VAFIN $, KON APPR ART ADJA NN PAV PTKNEG ADV VVPP VAINF VMFIN $, KON VMFIN PDAT ADJA NN PAV VVINF $, KON PRF VVINF KON VVINF $.	Racine mußte große Kränkungen erleben , große Korrespondenzen führen , weil sein Sohn Manschetten angehabt hatte , und in einer gewissen Schule darum nicht mehr geduldet werden sollte , und mußte diesen jungen Menschen deshalb schelten , und sich anklagen und entschuldigen !
Manschette	NN	1869	1	michelis_reiseschule_1869-605-6	 	Diesmal handelt es sich nicht um Manschetten, Hut und Hutbänder und sonstige Quisquilien, sondern einfach um Kopf und Kragen, Hals und Beine, die Deinigen nämlich.	33:44	0:163	Diesmal handelt es ſich nicht um Manſchetten , Hut und Hutbänder und ſonſtige Quisquilien , ſondern einfach um Kopf und Kragen , Hals und Beine , die Deinigen nämlich .	6	0:30	diesmal handeln es sich nicht um Manschette , Hut und Hutband und sonstig Quisquilien , sondern einfach um Kopf und Kragen , Hals und Bein , die deinige nämlich .	ADV VVFIN PPER PRF PTKNEG APPR NN $, NN KON NN KON ADJA NN $, KON ADV APPR NN KON NN $, NN KON NN $, PRELS PPOSAT ADV $.	Diesmal handelt es sich nicht um Manschetten , Hut und Hutbänder und sonstige Quisquilien , sondern einfach um Kopf und Kragen , Hals und Beine , die Deinigen nämlich .
Manschette	NN	1898	1	hahn_verkehr_1898-881-16	 	Ein Brillantring und eine schmutzige, rote, ungepflegte Hand mit unreinlichen Nägeln, mit ausgefransten Manschetten gehören ebensowenig zusammen, wie eine goldene Busennadel und eine abgetragene Halsbinde, kostbare Hemdenknöpfchen und ein nicht mehr sauberer Einsatz, eine protzige goldene Uhrkette und eine glänzende Weste.	104:115	0:324	Ein Brillantring und eine schmutzige , rote , ungepflegte Hand mit unreinlichen Nägeln , mit ausgefransten Manschetten gehören ebensowenig zusammen , wie eine goldene Busennadel und eine abgetragene Halsbinde , kostbare Hemdenknöpfchen und ein nicht mehr sauberer Einsatz , eine protzige goldene Uhrkette und eine glänzende Weste .	16	0:48	eine Brillantring und eine schmutzig , rot , ungepflegt Hand mit unreinlich Nagel , mit ausgefranst Manschette gehören ebensowenig zusammen , wie eine golden Busennadel und eine abgetragen Halsbinde , kostbar Hemdenknopfchen und eine nicht mehr sauber Einsatz , eine protzig golden Uhrkette und eine glänzend Weste .	ART NN KON ART ADJA $, ADJA $, ADJA NN APPR ADJA NN $, APPR ADJA NN VVFIN ADV PTKVZ $, PWAV ART ADJA NN KON ART ADJA NN $, ADJA NN KON ART PTKNEG ADV ADJA NN $, ART ADJA ADJA NN KON ART ADJA NN $.	Ein Brillantring und eine schmutzige , rote , ungepflegte Hand mit unreinlichen Nägeln , mit ausgefransten Manschetten gehören ebensowenig zusammen , wie eine goldene Busennadel und eine abgetragene Halsbinde , kostbare Hemdenknöpfchen und ein nicht mehr sauberer Einsatz , eine protzige goldene Uhrkette und eine glänzende Weste .
Manschette	NN	1863	1	rossmaessler_wald_1863-5550-11	 	Blätter zählen, werden von den riesig entwickelten Nebenblättchen wie von Manschetten umfaßt.	74:85	0:93	Blätter zählen , werden von den rieſig entwickelten Nebenblättchen wie von Manſchetten umfaßt .	11	0:14	Blatt zählen , werden von d riesig entwickelt Nebenblattchen wie von Manschette umfassen .	NN VVFIN $, VAFIN APPR ART ADJD ADJA NN KOKOM APPR NN VVFIN $.	Blätter zählen , werden von den riesig entwickelten Nebenblättchen wie von Manschetten umfaßt .
Manschette	NN	1869	1	michelis_reiseschule_1869-404-3	 	Jede der beiden Manschetten hat am Saume, wo sie am Bund angenäht ist, einen Knopf, der nur geöffnet zu werden braucht, wenn beide ganz zurückgeschlagen werden sollen.	16:27	0:167	Jede der beiden Manſchetten hat am Saume , wo ſie am Bund angenäht iſt , einen Knopf , der nur geöffnet zu werden braucht , wenn beide ganz zurückgeſchlagen werden ſollen .	3	0:32	jede d beide Manschette haben am Saum , wo sie am Bund annähen sein , eine Knopf , die nur öffnen zu werden brauchen , wenn beide ganz zurückschlagen werden sollen .	PIAT ART PIAT NN VAFIN APPRART NN $, PWAV PPER APPRART NN VVPP VAFIN $, ART NN $, PRELS ADV VVPP PTKZU VAINF VVFIN $, KOUS PIS ADV VVPP VAINF VMFIN $.	Jede der beiden Manschetten hat am Saume , wo sie am Bund angenäht ist , einen Knopf , der nur geöffnet zu werden braucht , wenn beide ganz zurückgeschlagen werden sollen .
Manschette	NN	1805	1	paul_flegeljahre04_1805-946-53	 	Trefflichster! der Humorist hat zwar einen närrischen, widerlichen Berghabit zum Einfahren in seine Stollen; — er verleibt sich zwar nach Vermögen alle Aus-und Miß-Wüchse der Menschheit ein, um das Beispiel der Mißgeburten zu befolgen und zu geben, die in vorigen Jahrhunderten blos darum mit fleischernen Fontangen, Manschetten und Pluderhosen geboren wurden, um damit der Welt, wie die Strafprediger erriethen, ihre angezogenen vorzuwerfen; — und hiemit wäre Vult entschuldigt —; aber wie gedacht, ich folge und schlage nichts ein als den alten aristotelischen Mittelsteig, der hier darin besteht, daß ich weder erzähle, noch erdichte, sondern dichte; und wenn Skaliger in einem Werkchen von 8 Bogen über seine Familie im Stande war, vierhundert und neun und neunzig Verfälschungen anzubringen, wie Scioppius gut erwiesen:	317:328	0:824	Trefflichſter ! der Humoriſt hat zwar einen naͤrriſchen , widerlichen Berghabit zum Einfahren in ſeine Stollen ; — er verleibt ſich zwar nach Vermoͤgen alle Aus- und Miß-Wuͤchſe der Menſchheit ein , um das Beiſpiel der Mißgeburten zu befolgen und zu geben , die in vorigen Jahrhunderten blos darum mit fleiſchernen Fontangen , Manſchetten und Pluderhoſen geboren wurden , um damit der Welt , wie die Strafprediger erriethen , ihre angezogenen vorzuwerfen ; — und hiemit waͤre Vult entſchuldigt — ; aber wie gedacht , ich folge und ſchlage nichts ein als den alten ariſtoteliſchen Mittelſteig , der hier darin beſteht , daß ich weder erzaͤhle , noch erdichte , ſondern dichte ; und wenn Skaliger in einem Werkchen von 8 Bogen uͤber ſeine Familie im Stande war , vierhundert und neun und neunzig Verfaͤlſchungen anzubringen , wie Scioppius gut erwieſen :	53	0:142	Trefflichster ! d Humorist haben zwar eine närrisch , widerlich Berghabit zum Einfahren in seine Stollen ; -- er verleiben sich zwar nach Vermögen alle aus- und Miß-Wuchs d Menschheit ein , um d Beispiel d Mißgeburt zu befolgen und zu geben , die in vorig Jahrhundert bloß darum mit fleischern Fontange , Manschette und Pluderhose gebären werden , um damit d Welt , wie d Strafeprediger erraten , ihr angeziehen vorwerfen ; -- und hiermit sein Vult entschuldigen -- ; aber wie gedenken , ich folgen und schlagen nichts ein als d alt aristotelisch Mittelsteig , die hier darin bestehen , daß ich weder erzählen , noch erdichten , sondern dicht ; und wenn skalich in eine Werkchen von 8 Bogen über seine Familie im Stand sein , vierhundert und neun und neunzig Verfälschung anbringen , wie Scioppius gut erweisen :	NN $. ART NN VAFIN ADV ART ADJA $, ADJA NN APPRART NN APPR PPOSAT NN $. $( PPER VVFIN PRF ADV APPR NN PIAT TRUNC KON NN ART NN PTKVZ $, KOUI ART NN ART NN PTKZU VVINF KON PTKZU VVINF $, PRELS APPR ADJA NN ADV PAV APPR ADJA NN $, NN KON NN VVPP VAFIN $, KOUI PAV ART NN $, PWAV ART NN VVFIN $, PPOSAT ADJA VVIZU $. $( KON PAV VAFIN NE VVPP $( $. KON PWAV VVPP $, PPER VVFIN KON VVFIN PIS PTKVZ KOKOM ART ADJA ADJA NN $, PRELS ADV PAV VVFIN $, KOUS PPER KON VVFIN $, ADV VVFIN $, KON ADJA $. KON KOUS ADJD APPR ART NN APPR CARD NN APPR PPOSAT NN APPRART NN VAFIN $, CARD KON CARD KON CARD NN VVIZU $, PWAV NE ADJD VVPP $.	Trefflichster ! der Humorist hat zwar einen närrischen , widerlichen Berghabit zum Einfahren in seine Stollen ; -- er verleibt sich zwar nach Vermögen alle Aus- und Miß-Wüchse der Menschheit ein , um das Beispiel der Mißgeburten zu befolgen und zu geben , die in vorigen Jahrhunderten bloß darum mit fleischernen Fontangen , Manschetten und Pluderhosen geboren wurden , um damit der Welt , wie die Strafprediger errieten , ihre angezogenen vorzuwerfen ; -- und hiermit wäre Vult entschuldigt -- ; aber wie gedacht , ich folge und schlage nichts ein als den alten aristotelischen Mittelsteig , der hier darin besteht , daß ich weder erzähle , noch erdichte , sondern dichte ; und wenn Skalicher in einem Werkchen von 8 Bogen über seine Familie im Stande war , vierhundert und neun und neunzig Verfälschungen anzubringen , wie Scioppius gut erwiesen :
Manschette	NN	1835	1	arnimb_goethe02_1835-21-13	 	Da ziehen sie ihm ein Hemd von Batist an mit frischem Jabot und Manschetten und einem Pelzrock mit prächtigem Zobel gefüttert, der Wärmkorb wird vorangetragen, kommt er aus der Sitzung zurück, so muß er ein bischen schlafen nicht ob er will; so gehts' bis zum Abend in fortwährendem Wiederspruch, wo sie ihm die Nachtmütze über die Ohren ziehen und ihn zu Bette führen.	64:75	0:369	Da ziehen ſie ihm ein Hemd von Batiſt an mit friſchem Jabot und Manſchetten und einem Pelzrock mit prächtigem Zobel gefüttert , der Wärmkorb wird vorangetragen , kommt er aus der Sitzung zurück , ſo muß er ein bischen ſchlafen nicht ob er will ; ſo gehts' bis zum Abend in fortwährendem Wiederſpruch , wo ſie ihm die Nachtmütze über die Ohren ziehen und ihn zu Bette führen .	13	0:69	da ziehen sie er eine Hemd von Batist an mit frisch Jabot und Manschette und eine Pelzrock mit prächtig Zobel füttern , d Wärmkorb werden vorantragen , kommen er aus d Sitzung zurück , so müssen er eine bißchen schlafen nicht ob er wollen ; so Gehts' bis zum Abend in fortwährend Widerspruch , wo sie er d Nachtmütze über d Ohr ziehen und er zu Bett führen .	ADV VVFIN PPER PPER ART NN APPR NN APPR APPR ADJA NN KON NN KON ART NN APPR ADJA NN VVPP $, ART NN VAFIN VVPP $, VVFIN PPER APPR ART NN PTKVZ $, ADV VMFIN PPER ART ADV VVFIN PTKNEG KOUS PPER VMFIN $. ADV NE APPR APPRART NN APPR ADJA NN $, PWAV PPER PPER ART NN APPR ART NN VVINF KON PPER APPR NN VVINF $.	Da ziehen sie ihm ein Hemd von Batist an mit frischem Jabot und Manschetten und einem Pelzrock mit prächtigem Zobel gefüttert , der Wärmkorb wird vorangetragen , kommt er aus der Sitzung zurück , so muß er ein bisschen schlafen nicht ob er will ; so gehts' bis zum Abend in fortwährendem Widerspruch , wo sie ihm die Nachtmütze über die Ohren ziehen und ihn zu Bette führen .
Manschette	NN	1834	1	varnhagen_rahel02_1834-1774-9	 	Das hält so äußerlich, wie die Equipagen und Manschetten, zusammen; und Ein Willen in der Welt, oder aufgehäufte Noth, trümmert all den Lug zusammen; der Gräuel spricht sich aus gräßlichen, wirklichen Wunden hervor; Krieg überschüttet Europa; aber wer ist gesichert? —	45:56	0:268	Das hält ſo äußerlich , wie die Equipagen und Manſchetten , zuſammen ; und Ein Willen in der Welt , oder aufgehäufte Noth , trümmert all den Lug zuſammen ; der Gräuel ſpricht ſich aus gräßlichen , wirklichen Wunden hervor ; Krieg überſchüttet Europa ; aber wer iſt geſichert ? —	9	0:51	die halten so äußerlich , wie d Equipage und Manschette , zusammen ; und eine Willen in d Welt , oder aufgehäuft Not , trümmern all d Lug zusammen ; d Greuel sprechen sich aus gräßlich , wirklich Wunde hervor ; Krieg überschütten Europa ; aber wer sein sichern ? --	PDS VVFIN ADV ADJD $, PWAV ART NN KON NN $, PTKVZ $. KON ART NN APPR ART NN $, KON ADJA NN $, VVFIN PIAT ART NE PTKVZ $. ART NN VVFIN PRF APPR ADJA $, ADJA NN PTKVZ $. NN VVPP NE $. KON PWS VAFIN VVPP $. $(	Das hält so äußerlich , wie die Equipagen und Manschetten , zusammen ; und Ein Willen in der Welt , oder aufgehäufte Not , trümmert all den Lug zusammen ; der Greuel spricht sich aus gräßlichen , wirklichen Wunden hervor ; Krieg überschüttet Europa ; aber wer ist gesichert ? --
