identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1974-09-18_01_092.tcf.xml-46-2	gottschall_poetik_1858-3181-12	annotator1	3.0	 	Mißklang	3
2532889X_1974-11-19_01_094.tcf.xml-3-9	wackernagel_poetik_1873-4626-64	annotator1	3.0	 	Mißklang	3
2532889X_1987-03-24_01_052.tcf.xml-34-17	saar_novellen_1877-1343-23	annotator1	2.0	 	Mißklang	3
kuernberger_amerikamuede_1855-4969-8	heckert_schulgesetzgebung_1847-1650-43	annotator1	3.0	 	Mißklang	3
26120215_1952_10_19_01_050.tcf.xml-118-40	vischer_aesthetik0201_1847-680-77	annotator1	2.0	 	Mißklang	3
curtius_alterthum01_1875-2140-12	engel_poetik_1806-1416-49	annotator1	4.0	 	Mißklang	3
26120215_1962_03_18_01_101.tcf.xml-25-3	heckert_schulgesetzgebung_1847-1650-43	annotator1	3.0	 	Mißklang	3
vischer_aesthetik0201_1847-692-15	oberwinder_buschoff_1892-119-4	annotator1	2.0	 	Mißklang	3
vischer_aesthetik030204_1857-1066-9	2532889X_1961-08-16_01_120.tcf.xml-7-11	annotator1	3.0	 	Mißklang	3
froelich_virginia01_1820-100-10	vischer_aesthetik030204_1857-1159-100	annotator1	3.0	 	Mißklang	3
vischer_aesthetik0201_1847-703-14	2532889X_1966-08-16_01_145.tcf.xml-32-6	annotator1	3.0	 	Mißklang	3
2532889X_1959-03-05_01_123.tcf.xml-14-1	26120215_1979_08_27_01_194.tcf.xml-65-26	annotator1	4.0	 	Mißklang	3
2532889X_1974-09-18_01_092.tcf.xml-46-2	bismarck_erinnerungen01_1898-2580-27	annotator1	3.0	 	Mißklang	3
2532889X_1958-02-05_01_028.tcf.xml-11-16	2532889X_1965-08-07_01_112.tcf.xml-1-6	annotator1	4.0	 	Mißklang	3
curtius_alterthum01_1875-1087-51	vischer_aesthetik030205_1857-3107-64	annotator1	3.0	 	Mißklang	3
2532889X_1946-07-26_01_006.tcf.xml-71-13	vischer_aesthetik030204_1857-578-31	annotator1	2.0	 	Mißklang	3
2532889X_1947-07-15_01_052.tcf.xml-21-12	candidus_christus_1854-258-6	annotator1	3.0	 	Mißklang	3
26120215_1966_08_12_01_264.tcf.xml-74-19	2532889X_1988-02-05_01_059.tcf.xml-16-14	annotator1	2.0	 	Mißklang	3
vischer_aesthetik0201_1847-692-15	26120215_1990_05_14_01_201.tcf.xml-5-1	annotator1	2.0	 	Mißklang	3
engel_poetik_1806-1411-18	brehm_thierleben01_1864-350-16	annotator1	3.0	 	Mißklang	3
brehm_thierleben01_1864-350-16	froelich_virginia01_1820-100-10	annotator1	2.0	 	Mißklang	3
2532889X_1965-04-26_01_156.tcf.xml-23-15	candidus_christus_1854-258-6	annotator1	4.0	 	Mißklang	3
wilamowitz_aristoteles01_1893-683-28	2532889X_1948-11-04_01_149.tcf.xml-3-7	annotator1	4.0	 	Mißklang	3
tieck_phantasus03_1816-8877-17	26120215_1961_04_04_01_066.tcf.xml-14-8	annotator1	4.0	 	Mißklang	3
heckert_schulgesetzgebung_1847-1650-43	2532889X_1974-04-04_01_115.tcf.xml-3-27	annotator1	3.0	 	Mißklang	3
26120215_1947_09_16_01_212.tcf.xml-4-22	2532889X_1965-07-19_01_132.tcf.xml-3-15	annotator1	4.0	 	Mißklang	3
26120215_1970_04_30_01_241.tcf.xml-10-5	2532889X_1959-07-17_01_090.tcf.xml-17-9	annotator1	3.0	 	Mißklang	3
26120215_1962_03_18_01_101.tcf.xml-25-3	26120215_1981_11_12_01_063.tcf.xml-9-9	annotator1	4.0	 	Mißklang	3
2532889X_1965-08-07_01_112.tcf.xml-23-6	26120215_1979_08_27_01_194.tcf.xml-65-26	annotator6	3.0	 	Mißklang	3
engel_poetik_1806-1411-18	brehm_thierleben01_1864-350-16	annotator6	2.0	 	Mißklang	3
vischer_aesthetik0201_1847-692-15	2532889X_1982-07-03_01_255.tcf.xml-27-7	annotator6	2.0	 	Mißklang	3
beyer_poetik01_1882-4784-9	2532889X_1970-02-12_01_061.tcf.xml-12-31	annotator6	4.0	 	Mißklang	3
2532889X_1964-10-07_01_085.tcf.xml-11-23	2532889X_1982-07-03_01_255.tcf.xml-27-7	annotator6	3.0	 	Mißklang	3
26120215_1948_04_13_01_170.tcf.xml-7-27	2532889X_1972-01-08_01_052.tcf.xml-35-13	annotator6	2.0	 	Mißklang	3
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1952-12-31_01_044.tcf.xml-12-16	annotator6	4.0	 	Mißklang	3
wilamowitz_aristoteles01_1893-683-28	heckert_schulgesetzgebung_1847-1650-43	annotator6	2.0	 	Mißklang	3
vischer_aesthetik0201_1847-703-14	2532889X_1970-02-12_01_061.tcf.xml-12-31	annotator6	3.0	 	Mißklang	3
26120215_1952_10_19_01_050.tcf.xml-118-40	2532889X_1988-02-05_01_059.tcf.xml-16-14	annotator6	3.0	 	Mißklang	3
26120215_1963_07_01_01_155.tcf.xml-17-9	2532889X_1986-11-13_01_068.tcf.xml-8-13	annotator6	2.0	 	Mißklang	3
2532889X_1947-02-02_01_034.tcf.xml-7-12	brehm_thierleben01_1864-350-16	annotator6	4.0	 	Mißklang	3
froelich_virginia01_1820-100-10	heckert_schulgesetzgebung_1847-1650-43	annotator6	4.0	 	Mißklang	3
vischer_aesthetik0201_1847-692-15	26120215_1990_05_14_01_201.tcf.xml-5-1	annotator6	2.0	 	Mißklang	3
schubin_vollmondzauber02_1899-1120-2	2532889X_1986-11-13_01_068.tcf.xml-8-13	annotator6	4.0	 	Mißklang	3
2532889X_1974-11-09_01_108.tcf.xml-8-17	2532889X_1988-02-05_01_059.tcf.xml-16-14	annotator6	4.0	 	Mißklang	3
2532889X_1970-12-05_01_103.tcf.xml-16-10	brehm_thierleben01_1864-350-16	annotator6	4.0	 	Mißklang	3
vischer_aesthetik030204_1857-578-31	saar_novellen_1877-1343-23	annotator6	4.0	 	Mißklang	3
vischer_aesthetik0201_1847-692-15	26120215_1966_08_12_01_264.tcf.xml-74-19	annotator6	2.0	 	Mißklang	3
2532889X_1974-09-18_01_092.tcf.xml-46-2	bismarck_erinnerungen01_1898-2580-27	annotator6	2.0	 	Mißklang	3
2532889X_1988-02-05_01_059.tcf.xml-16-14	falke_trachten01_1858-1911-42	annotator6	2.0	 	Mißklang	3
vischer_aesthetik0201_1847-711-31	vischer_aesthetik030204_1857-1159-100	annotator6	3.0	 	Mißklang	3
2532889X_1947-07-15_01_052.tcf.xml-21-12	candidus_christus_1854-258-6	annotator6	3.0	 	Mißklang	3
26120215_1952_10_19_01_050.tcf.xml-118-40	heckert_schulgesetzgebung_1847-1650-43	annotator6	2.0	 	Mißklang	3
2532889X_1988-02-05_01_059.tcf.xml-16-14	brehm_thierleben01_1864-350-16	annotator6	4.0	 	Mißklang	3
