lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Mißklang	NN	1857	1	vischer_poetik_1857-3155-65	 	Diese Aussicht darf nicht zu entwickelt sein, wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdieß in die Breite des Empirischen, das neben dem idealen Ausschnitte des Drama's eigentlich nicht existirt, ablenken soll; sie darf nicht fehlen, wie am Schlusse vom Don Carlos und in großen Schicksals = und Effect-Stücken, die mit einem reinen Mißklang endigen.	381:389	0:398	Diese Aussicht darf nicht zu entwickelt sein , wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdieß in die Breite des Empirischen , das neben dem idealen Ausschnitte des Drama's eigentlich nicht existirt , ablenken soll ; sie darf nicht fehlen , wie am Schlusse vom Don Carlos und in großen Schicksals = und Effect-Stücken , die mit einem reinen Mißklang endigen .	65	0:68	diese Aussicht dürfen nicht zu entwickeln sein , wenn sie nicht zu eine gemein und trivial Begriff von Gerechtigkeit führen und überdies in d Breite d Empirische , die neben d ideal Ausschnitt d Drama eigentlich nicht existieren , ablenken sollen ; sie dürfen nicht fehlen , wie am Schluß vom Don Carlos und in groß Schicksal = und Effekt-Stück , die mit eine rein Mißklang endigen .	PDAT NN VMFIN PTKNEG ADV VVPP VAINF $, KOUS PPER PTKNEG APPR ART ADJA KON ADJA NN APPR NN VVINF KON ADV APPR ART NN ART NN $, PRELS APPR ART ADJA NN ART NN ADV PTKNEG VVFIN $, VVINF VMFIN $. PPER VMFIN PTKNEG VVINF $, PWAV APPRART NN APPRART NN NE KON APPR ADJA NN XY KON NN $, PRELS APPR ART ADJA NN VVINF $.	Diese Aussicht darf nicht zu entwickelt sein , wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdies in die Breite des Empirischen , das neben dem idealen Ausschnitte des Drama's eigentlich nicht existiert , ablenken soll ; sie darf nicht fehlen , wie am Schlusse vom Don Carlos und in großen Schicksals = und Effekt-Stücken , die mit einem reinen Mißklang endigen .
Mißklang	NN	1847	1	vischer_aesthetik0201_1847-703-14	 	Treten nun mehr als zwei Farben zusammen, so wird zwar der Mangel oder Mißklang in ihrer Verbindung auch durch die Fortbewegung des Augs zu weiteren Farben gemildert, die obigen Bestimmungen behaupten aber doch in dem Grade Geltung, in welchem jene sich als zusammengehörig darstellen.	71:79	0:285	Treten nun mehr als zwei Farben zuſammen , ſo wird zwar der Mangel oder Mißklang in ihrer Verbindung auch durch die Fortbewegung des Augs zu weiteren Farben gemildert , die obigen Beſtimmungen behaupten aber doch in dem Grade Geltung , in welchem jene ſich als zuſammengehörig darſtellen .	14	0:48	Treten nun mehr als zwei Farbe zusammen , so werden zwar d Mangel oder Mißklang in ihr Verbindung auch durch d Fortbewegung d Auge zu weit Farbe mildern , d obig Bestimmung behaupten aber doch in d Grad Geltung , in welche jene sich als zusammengehörig darstellen .	NN ADV PIAT KOKOM CARD NN PTKVZ $, ADV VAFIN ADV ART NN KON NN APPR PPOSAT NN ADV APPR ART NN ART NN APPR ADJA NN VVPP $, ART ADJA NN VVFIN ADV ADV APPR ART NN NN $, APPR PRELS PDS PRF KOKOM ADJD VVINF $.	Treten nun mehr als zwei Farben zusammen , so wird zwar der Mangel oder Mißklang in ihrer Verbindung auch durch die Fortbewegung des Auges zu weiteren Farben gemildert , die obigen Bestimmungen behaupten aber doch in dem Grade Geltung , in welchem jene sich als zusammengehörig darstellen .
Mißklang	NN	1857	1	vischer_aesthetik030204_1857-1066-9	 	Unter diesen drei Fällen kann der zweite, der Mißklang, die schlechthinige Dissonanz, nur als kurzes, rasch verklingendes, jedoch auch sehr wirksames Durchgangsmoment gebraucht werden.	46:54	0:184	Unter dieſen drei Fällen kann der zweite , der Mißklang , die ſchlechthinige Diſſonanz , nur als kurzes , raſch verklingendes , jedoch auch ſehr wirkſames Durchgangsmoment gebraucht werden .	9	0:30	unter diese drei Fall können d zweit , d Mißklang , d schlechthinnig Dissonanz , nur als kurz , rasch verklingend , jedoch auch sehr wirksam Durchgangsmoment gebrauchen werden .	APPR PDAT CARD NN VMFIN ART ADJA $, ART NN $, ART ADJA NN $, ADV KOKOM ADJA $, ADJD ADJA $, ADV ADV ADV ADJA NN VVPP VAINF $.	Unter diesen drei Fällen kann der zweite , der Mißklang , die schlechthinnige Dissonanz , nur als kurzes , rasch verklingendes , jedoch auch sehr wirksames Durchgangsmoment gebraucht werden .
Mißklang	NN	1847	1	vischer_aesthetik0201_1847-692-15	 	Tritt z. B. mit einem tiefen Blau ein dünnes Grün zusammen, so ist der Mißklang empfindlich; dagegen wo sich dunkles, öligtes, schwärzliches Grün von tiefem Blau absetzt, stellt sich der nöthige Gegensatz her.	71:79	0:209	Tritt z. B. mit einem tiefen Blau ein dünnes Grün zuſammen , ſo iſt der Mißklang empfindlich ; dagegen wo ſich dunkles , öligtes , ſchwärzliches Grün von tiefem Blau abſetzt , ſtellt ſich der nöthige Gegenſatz her .	15	0:39	Tritt z. B. mit eine tief Blau eine dünn Grün zusammen , so sein d Mißklang empfindlich ; dagegen wo sich dunkel , ölig , schwärzlich Grün von tief Blau absetzen , stellen sich d nötig Gegensatz her .	NN APPRART NN APPR ART ADJA NN ART ADJA NN PTKVZ $, ADV VAFIN ART NN ADJD $. PAV PWAV PRF ADJA $, ADJA $, ADJA NN APPR ADJA NN VVFIN $, VVFIN PRF ART ADJA NN PTKVZ $.	Tritt z. B. mit einem tiefen Blau ein dünnes Grün zusammen , so ist der Mißklang empfindlich ; dagegen wo sich dunkles , öliges , schwärzliches Grün von tiefem Blau absetzt , stellt sich der nötige Gegensatz her .
Mißklang	NN	1875	1	curtius_alterthum01_1875-2140-12	 	Mit bewundernswürdiger Energie haben sie das Ungünstige fern zu halten, die Mißklänge zu überwinden und im Schönen zu leben verstanden.	76:85	0:135	Mit bewundernswürdiger Energie haben ſie das Ungünſtige fern zu halten , die Mißklänge zu überwinden und im Schönen zu leben verſtanden .	12	0:22	mit bewundernswürdig Energie haben sie d Ungünstige fern zu halten , d Mißklang zu überwinden und im Schöne zu leben verstehen .	APPR ADJA NN VAFIN PPER ART NN ADJD PTKZU VVINF $, ART NN PTKZU VVINF KON APPRART NN PTKZU VVINF VVPP $.	Mit bewundernswürdiger Energie haben sie das Ungünstige fern zu halten , die Mißklänge zu überwinden und im Schönen zu leben verstanden .
Mißklang	NN	1869	1	brehm_thierleben06_1869-14813-64	 	Jndem wir diesen reichhaltigen Abschnitt schließen, hegen wir die Hoffnung, daß diejenigen Leser, welche sich nicht durch die Ueberschriften und den an sich nicht einladenden Gegenstand haben abschrecken lassen, durch das spannende Jnteresse an der Verkettung der Thatsachen volle Entschädigung für den Abgang des poetisch oder gemüthlich Anziehenden gefunden haben, möchten aber überhaupt daran mahnen, daß die vermeintlichen Mißklänge in der Natur ausgeglichen werden, wenn man auf einer höheren Warte sich einen erweiterten Gesichtskreis verschafft hat.	427:436	0:556	Jndem wir dieſen reichhaltigen Abſchnitt ſchließen , hegen wir die Hoffnung , daß diejenigen Leſer , welche ſich nicht durch die Ueberſchriften und den an ſich nicht einladenden Gegenſtand haben abſchrecken laſſen , durch das ſpannende Jntereſſe an der Verkettung der Thatſachen volle Entſchädigung für den Abgang des poetiſch oder gemüthlich Anziehenden gefunden haben , möchten aber überhaupt daran mahnen , daß die vermeintlichen Mißklänge in der Natur ausgeglichen werden , wenn man auf einer höheren Warte ſich einen erweiterten Geſichtskreis verſchafft hat .	64	0:84	indem wir diese reichhaltig Abschnitt schließen , hegen wir d Hoffnung , daß diejenige Leser , welche sich nicht durch d Überschrift und d an sich nicht einladend Gegenstand haben abschrecken lassen , durch d spannend Interesse an d Verkettung d Tatsache voll Entschädigung für d Abgang d poetisch oder gemütlich Anziehende finden haben , mögen aber überhaupt daran mahnen , daß d vermeintlich Mißklang in d Natur ausgleichen werden , wenn man auf eine hoch Warte sich eine erweitert Gesichtskreis verschaffen haben .	KOUS PPER PDAT ADJA NN VVINF $, VVFIN PPER ART NN $, KOUS PDS NN $, PRELS PRF PTKNEG APPR ART NN KON ART APPR PRF PTKNEG ADJA NN VAFIN VVINF VVINF $, APPR ART ADJA NN APPR ART NN ART NN ADJA NN APPR ART NN ART ADJD KON ADJD NN VVPP VAFIN $, VMFIN ADV ADV PAV VVFIN $, KOUS ART ADJA NN APPR ART NN VVPP VAINF $, KOUS PIS APPR ART ADJA NN PRF ART ADJA NN VVPP VAFIN $.	Indem wir diesen reichhaltigen Abschnitt schließen , hegen wir die Hoffnung , daß diejenigen Leser , welche sich nicht durch die Überschriften und den an sich nicht einladenden Gegenstand haben abschrecken lassen , durch das spannende Interesse an der Verkettung der Tatsachen volle Entschädigung für den Abgang des poetisch oder gemütlich Anziehenden gefunden haben , möchten aber überhaupt daran mahnen , daß die vermeintlichen Mißklänge in der Natur ausgeglichen werden , wenn man auf einer höheren Warte sich einen erweiterten Gesichtskreis verschafft hat .
Mißklang	NN	1857	1	vischer_aesthetik030205_1857-3107-64	 	Diese Aussicht darf nicht zu entwickelt sein, wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdieß in die Breite des Empirischen, das neben dem idealen Ausschnitte des Drama’s eigentlich nicht existirt, ablenken soll; sie darf nicht fehlen, wie am Schlusse vom Don Carlos und in großen Schicksals-und Effect-Stücken, die mit einem reinen Mißklang endigen.	379:387	0:396	Dieſe Ausſicht darf nicht zu entwickelt ſein , wenn ſie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdieß in die Breite des Empiriſchen , das neben dem idealen Ausſchnitte des Drama’s eigentlich nicht exiſtirt , ablenken ſoll ; ſie darf nicht fehlen , wie am Schluſſe vom Don Carlos und in großen Schickſals- und Effect-Stücken , die mit einem reinen Mißklang endigen .	64	0:67	diese Aussicht dürfen nicht zu entwickeln sein , wenn sie nicht zu eine gemein und trivial Begriff von Gerechtigkeit führen und überdies in d Breite d Empirische , die neben d ideal Ausschnitt d Drama eigentlich nicht existieren , ablenken sollen ; sie dürfen nicht fehlen , wie am Schluß vom Don Carlos und in groß schicksals- und Effekt-Stück , die mit eine rein Mißklang endigen .	PDAT NN VMFIN PTKNEG ADV VVPP VAINF $, KOUS PPER PTKNEG APPR ART ADJA KON ADJA NN APPR NN VVINF KON ADV APPR ART NN ART NN $, PRELS APPR ART ADJA NN ART NN ADV PTKNEG VVFIN $, VVINF VMFIN $. PPER VMFIN PTKNEG VVINF $, PWAV APPRART NN APPRART NN NE KON APPR ADJA TRUNC KON NN $, PRELS APPR ART ADJA NN VVINF $.	Diese Aussicht darf nicht zu entwickelt sein , wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdies in die Breite des Empirischen , das neben dem idealen Ausschnitte des Drama's eigentlich nicht existiert , ablenken soll ; sie darf nicht fehlen , wie am Schlusse vom Don Carlos und in großen Schicksals- und Effekt-Stücken , die mit einem reinen Mißklang endigen .
Mißklang	NN	1858	1	falke_trachten02_1858-3064-24	 	Der Büreaustaat, der bekanntlich alles schematisirt und auf Regeln zieht, liebt die Gleichmacherei, und so waren die bunten Volkstrachten ein schreiender Mißklang in dem farblosen Bilde seiner Weltanschauung.	154:162	0:208	Der Büreauſtaat , der bekanntlich alles ſchematiſirt und auf Regeln zieht , liebt die Gleichmacherei , und ſo waren die bunten Volkstrachten ein ſchreiender Mißklang in dem farbloſen Bilde ſeiner Weltanſchauung .	24	0:32	d Büreaustaat , die bekanntlich alle schematisieren und auf Regel ziehen , lieben d Gleichmacherei , und so sein d bunt Volkstracht eine schreiend Mißklang in d farbelos Bild seine Weltanschauung .	ART NN $, PRELS ADV PIS VVPP KON APPR NN VVFIN $, VVFIN ART NN $, KON ADV VAFIN ART ADJA NN ART ADJA NN APPR ART ADJA NN PPOSAT NN $.	Der Büreaustaat , der bekanntlich alles schematisiert und auf Regeln zieht , liebt die Gleichmacherei , und so waren die bunten Volkstrachten ein schreiender Mißklang in dem farblosen Bilde seiner Weltanschauung .
Mißklang	NN	1873	1	wackernagel_poetik_1873-4626-64	 	Denn die Sinne haben auf die Seele, der sie das äusserlich Wahrgenommene und Empfundene mittheilen, eine so entschiedene Einwirkung, und Lust oder Unlust der Sinne befördern oder stören so sehr die Seelenthätigkeit, dass auch eine sprachliche Darstellung, welche dem Gehör wohlgethan hat, leichter verstanden, leichter überschaut, leichter reproduciert wird als eine, die das Gehör durch Missklang verletzt.	388:397	0:407	Denn die Sinne haben auf die Seele , der sie das äusserlich Wahrgenommene und Empfundene mittheilen , eine so entschiedene Einwirkung , und Lust oder Unlust der Sinne befördern oder stören so sehr die Seelenthätigkeit , dass auch eine sprachliche Darstellung , welche dem Gehör wohlgethan hat , leichter verstanden , leichter überschaut , leichter reproduciert wird als eine , die das Gehör durch Missklang verletzt .	64	0:67	denn d Sinn haben auf d Seele , die sie d äußerlich wahrgenehmen und Empfindene mitteilen , eine so entschieden Einwirkung , und Lust oder Unlust d Sinn befördern oder stören so sehr d Seelentätigkeit , dass auch eine sprachlich Darstellung , welche d Gehör wohltuen haben , leicht verstehen , leicht überschauen , leicht reproduzieren werden als eine , die d Gehör durch Mißklang verletzen .	KON ART NN VAFIN APPR ART NN $, PRELS PPER ART ADJD ADJA KON NN VVINF $, ART ADV ADJA NN $, KON NN KON NN ART NN VVINF KON VVFIN ADV ADV ART NN $, KOUS ADV ART ADJA NN $, PRELS ART NN VVPP VAFIN $, ADJD VVPP $, ADJD VVPP $, ADJD VVPP VAFIN KOKOM ART $, PRELS ART NN APPR NN VVPP $.	Denn die Sinne haben auf die Seele , der sie das äußerlich Wahrgenommene und Empfundene mitteilen , eine so entschiedene Einwirkung , und Lust oder Unlust der Sinne befördern oder stören so sehr die Seelentätigkeit , dass auch eine sprachliche Darstellung , welche dem Gehör wohlgetan hat , leichter verstanden , leichter überschaut , leichter reproduziert wird als eine , die das Gehör durch Missklang verletzt .
Mißklang	NN	1837	1	varnhagen_denkwuerdigkeiten02_1837-2308-17	 	Er thut es mit ausdrucksvollem Eifer, der aber doch gegen den andern Inhalt in einem unangenehmen Mißklange bleibt, so daß man zweierlei Richtungen zu sehen glaubt, die getrennt nebeneinander laufen, und sich nicht vereinigen wollen, weil der höhere Standpunkt fehlt, in welchem die Widersprüche sich lösen könnten.	98:107	0:315	Er thut es mit ausdrucksvollem Eifer , der aber doch gegen den andern Inhalt in einem unangenehmen Mißklange bleibt , ſo daß man zweierlei Richtungen zu ſehen glaubt , die getrennt nebeneinander laufen , und ſich nicht vereinigen wollen , weil der hoͤhere Standpunkt fehlt , in welchem die Widerſpruͤche ſich loͤſen koͤnnten .	17	0:54	er tun es mit ausdrucksvoll Eifer , die aber doch gegen d ander Inhalt in eine unangenehm Mißklang bleiben , so daß man zweierlei Richtung zu sehen glauben , die getrennt nebeneinander laufen , und sich nicht vereinigen wollen , weil d hoch Standpunkt fehlen , in welche d Widerspruch sich lösen können .	PPER VVFIN PPER APPR ADJA NN $, PRELS ADV ADV APPR ART ADJA NN APPR ART ADJA NN VVFIN $, ADV KOUS PIS PIAT NN PTKZU VVINF VVFIN $, PRELS ADJD ADV VVINF $, KON PRF PTKNEG VVINF VMINF $, KOUS ART ADJA NN VVFIN $, APPR PRELS ART NN PRF VVINF VMFIN $.	Er tut es mit ausdrucksvollem Eifer , der aber doch gegen den anderen Inhalt in einem unangenehmen Mißklange bleibt , so daß man zweierlei Richtungen zu sehen glaubt , die getrennt nebeneinander laufen , und sich nicht vereinigen wollen , weil der höhere Standpunkt fehlt , in welchem die Widersprüche sich lösen könnten .
