identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1962-03-17_01_083.tcf.xml-24-8	blumenbach_naturgeschichte_1815-288-31	annotator1	4.0	 	Mulatte	3
blumenbach_beytraege0102_1806-297-30	26120215_1952_05_04_01_292.tcf.xml-38-11	annotator1	3.0	 	Mulatte	3
2532889X_1970-09-21_01_057.tcf.xml-1-13	26120215_1950_01_29_01_058.tcf.xml-44-5	annotator1	2.0	 	Mulatte	3
2532889X_1979-10-11_01_115.tcf.xml-5-9	pfeiffer_frauenfahrt01_1850-426-9	annotator1	4.0	 	Mulatte	3
2532889X_1970-08-30_01_187.tcf.xml-48-7	peschel_voelkerkunde_1874-1717-4	annotator6	4.0	Das Gemälde “der Mulatte” von Franz Hals zeigt einen “Mulatten”, daher gäbe es eine völlige Übereinstimmung in der Bedeutung des Begriffs. Vgl. https://www.kunstbilder-galerie.de/kunstdrucke/frans-hals-bild-3177.html, 05.02.02). 	Mulatte	3
2532889X_1970-08-30_01_187.tcf.xml-48-7	2532889X_1982-05-22_01_252.tcf.xml-10-14	annotator6	4.0	 	Mulatte	3
blumenbach_beytraege0102_1806-297-30	26120215_1952_05_04_01_292.tcf.xml-38-11	annotator6	4.0	 	Mulatte	3
26120215_1980_01_23_01_143.tcf.xml-8-2	26120215_1952_06_25_01_237.tcf.xml-11-14	annotator6	4.0	 	Mulatte	3
humboldt_uebersicht_1825-51-38	26120215_1979_05_09_01_076.tcf.xml-68-2	annotator6	4.0	 	Mulatte	3
2532889X_1979-10-11_01_115.tcf.xml-5-9	2532889X_1955-06-05_01_078.tcf.xml-11-23	annotator6	4.0	 	Mulatte	3
blumenbach_naturgeschichte_1814-307-41	2532889X_1970-09-21_01_057.tcf.xml-1-13	annotator6	0.0	Aus Satz 2 geht für mich nicht hervor, ob das Wort “Mulatte” für den Menschen, als Beleidigung oder als Bezeichnung für das Tier oder vielleicht für etwas völlig anderes verwendet wird. Dazu müsste man den kritischen Beitrag kennen.	Mulatte	3
heine_reisebilder04_1831-1162-3	26120215_1962_11_13_01_209.tcf.xml-16-6	annotator6	4.0	 	Mulatte	3
2532889X_1970-08-30_01_187.tcf.xml-48-7	2532889X_1982-05-22_01_252.tcf.xml-10-14	annotator3	4.0	 	Mulatte	3
2532889X_1988-12-31_01_097.tcf.xml-9-9	heeren_staatensystem_1809-6535-7	annotator3	4.0	 	Mulatte	3
26120215_1952_07_01_01_042.tcf.xml-31-24	blumenbach_naturgeschichte_1807-333-30	annotator3	4.0	 	Mulatte	3
2532889X_1958-11-08_01_107.tcf.xml-7-23	blumenbach_naturgeschichte_1816-283-31	annotator3	4.0	 	Mulatte	3
26120215_1950_01_21_01_041.tcf.xml-73-22	humboldt_aequinoktial04_1859-1887-23	annotator3	4.0	 	Mulatte	3
26120215_1964_12_20_01_391.tcf.xml-192-14	26120215_1952_07_19_01_043.tcf.xml-26-23	annotator3	0.0	Satz 1 ist irgendwie wirr	Mulatte	3
26120215_1952_11_08_01_161.tcf.xml-26-9	2532889X_1970-09-13_01_059.tcf.xml-1-9	annotator5	0.0	Satz 2 gibt zu wenig Kontext	Mulatte	3
blumenbach_beytraege0102_1806-297-30	26120215_1952_05_04_01_292.tcf.xml-38-11	annotator5	2.0	 	Mulatte	3
blumenbach_naturgeschichte_1814-307-41	2532889X_1970-09-21_01_057.tcf.xml-1-13	annotator5	3.0	 	Mulatte	3
26120215_1980_01_23_01_143.tcf.xml-8-2	26120215_1952_06_25_01_237.tcf.xml-11-14	annotator5	4.0	 	Mulatte	3
2532889X_1970-09-21_01_057.tcf.xml-1-13	26120215_1950_01_29_01_058.tcf.xml-44-5	annotator5	4.0	 	Mulatte	3
26120215_1950_01_21_01_041.tcf.xml-39-13	blumenbach_naturgeschichte_1814-227-54	annotator5	4.0	 	Mulatte	3
peschel_voelkerkunde_1874-1515-62	alexis_ruhe01_1852-776-2	annotator5	4.0	 	Mulatte	3
blumenbach_beytraege0102_1806-466-43	26120215_1952_06_01_01_032.tcf.xml-31-7	annotator4	4.0	 	Mulatte	3
26120215_1964_12_20_01_391.tcf.xml-192-14	26120215_1952_07_19_01_043.tcf.xml-26-23	annotator4	0.0	Satz 2 sehr unklar	Mulatte	3
26120215_1980_01_23_01_143.tcf.xml-8-2	26120215_1952_06_25_01_237.tcf.xml-11-14	annotator4	4.0	 	Mulatte	3
blumenbach_naturgeschichte_1814-307-41	blumenbach_beytraege0102_1806-466-43	annotator4	4.0	 	Mulatte	3
26120215_1950_01_21_01_041.tcf.xml-39-13	blumenbach_naturgeschichte_1814-227-54	annotator4	4.0	 	Mulatte	3
blumenbach_naturgeschichte_1814-307-41	2532889X_1970-09-21_01_057.tcf.xml-1-13	annotator4	4.0	 	Mulatte	3
pfeiffer_frauenfahrt02_1850-1023-14	26120215_1962_11_13_01_209.tcf.xml-16-6	annotator4	4.0	 	Mulatte	3
humboldt_uebersicht_1825-40-26	2532889X_1981-08-24_01_071.tcf.xml-23-21	annotator4	4.0	 	Mulatte	3
peschel_voelkerkunde_1874-462-3	26120215_1950_01_29_01_058.tcf.xml-44-5	annotator2	3.0	 	Mulatte	2
26120215_1952_11_22_01_035.tcf.xml-13-2	blumenbach_naturgeschichte_1814-227-54	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-187-26	blumenbach_naturgeschichte_1807-250-54	annotator2	4.0	 	Mulatte	2
weismann_keimplasma_1892-3339-9	26120215_1950_01_29_01_058.tcf.xml-44-5	annotator2	4.0	 	Mulatte	2
2532889X_1981-07-16_01_074.tcf.xml-5-14	26120215_1950_01_29_01_058.tcf.xml-44-5	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-201-28	gutzkow_zeitgenossen01_1842-2511-19	annotator2	4.0	 	Mulatte	2
2532889X_1988-05-25_01_113.tcf.xml-12-15	26120215_1954_03_19_01_179.tcf.xml-5-30	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-48-50	blumenbach_naturgeschichte_1814-307-41	annotator2	4.0	 	Mulatte	2
lehnert_seehaefen02_1892-2718-7	26120215_1948_08_03_01_037.tcf.xml-2-6	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-54-32	blumenbach_naturgeschichte_1814-307-41	annotator2	3.0	 	Mulatte	2
2532889X_1958-11-08_01_107.tcf.xml-7-23	blumenbach_naturgeschichte_1816-283-31	annotator2	3.0	 	Mulatte	2
2532889X_1955-04-07_01_077.tcf.xml-39-28	26120215_1952_07_01_01_042.tcf.xml-31-24	annotator2	3.0	 	Mulatte	2
chamberlain_grundlagen01_1899-4308-13	26120215_1954_06_10_01_032.tcf.xml-21-58	annotator2	4.0	 	Mulatte	2
ernst_nordamerika_1820-1405-65	26120215_1980_01_23_01_143.tcf.xml-8-2	annotator2	4.0	 	Mulatte	2
2532889X_1989-04-29_01_229.tcf.xml-22-14	humboldt_aequinoktial02_1859-242-31	annotator2	3.0	 	Mulatte	2
humboldt_aequinoktial04_1859-1887-23	blumenbach_naturgeschichte_1816-283-31	annotator2	3.0	 	Mulatte	2
blumenbach_naturgeschichte_1816-278-41	26120215_1954_06_10_01_032.tcf.xml-21-58	annotator2	4.0	 	Mulatte	2
2532889X_1951-06-02_01_163.tcf.xml-9-15	humboldt_aequinoktial03_1859-2172-7	annotator2	4.0	 	Mulatte	2
hc_183101_1801-117-29	26120215_1948_08_03_01_037.tcf.xml-2-6	annotator2	4.0	 	Mulatte	2
beyer_poetik01_1882-13825-38	humboldt_aequinoktial03_1859-2172-7	annotator2	4.0	 	Mulatte	2
alexis_ruhe01_1852-776-2	blumenbach_naturgeschichte_1807-250-54	annotator2	3.0	 	Mulatte	2
humboldt_uebersicht_1825-178-29	gutzkow_zeitgenossen01_1842-2511-19	annotator2	3.0	 	Mulatte	2
humboldt_uebersicht_1825-100-35	humboldt_uebersicht_1825-40-26	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-164-30	2532889X_1970-06-07_01_587.tcf.xml-5-17	annotator2	4.0	 	Mulatte	2
26120215_1952_06_01_01_032.tcf.xml-18-14	humboldt_aequinoktial02_1859-242-31	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-172-32	humboldt_uebersicht_1825-114-34	annotator2	4.0	 	Mulatte	2
26120215_1952_05_10_01_048.tcf.xml-13-1	humboldt_uebersicht_1825-114-34	annotator2	3.0	 	Mulatte	2
2532889X_1957-11-29_01_048.tcf.xml-1-18	humboldt_aequinoktial03_1859-3567-29	annotator2	4.0	 	Mulatte	2
26120215_1977_01_11_01_055.tcf.xml-2-47	26120215_1954_06_10_01_032.tcf.xml-21-58	annotator2	4.0	 	Mulatte	2
pfeiffer_frauenfahrt01_1850-365-9	26120215_1952_07_01_01_042.tcf.xml-31-24	annotator2	4.0	 	Mulatte	2
2532889X_1968-01-20_01_237.tcf.xml-2-25	26120215_1980_01_23_01_143.tcf.xml-8-2	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-82-34	blumenbach_naturgeschichte_1816-283-31	annotator2	4.0	 	Mulatte	2
blumenbach_naturgeschichte_1803-242-54	2532889X_1955-06-05_01_078.tcf.xml-11-23	annotator2	4.0	 	Mulatte	2
blumenbach_naturgeschichte_1803-323-30	blumenbach_naturgeschichte_1814-307-41	annotator2	4.0	 	Mulatte	2
26120215_1970_11_15_01_075.tcf.xml-14-30	blumenbach_naturgeschichte_1814-307-41	annotator2	4.0	 	Mulatte	2
blumenbach_naturgeschichte_1832-222-53	26120215_1980_01_23_01_143.tcf.xml-8-2	annotator2	4.0	 	Mulatte	2
26120215_1952_06_06_01_037.tcf.xml-31-10	blumenbach_naturgeschichte_1816-283-31	annotator2	4.0	 	Mulatte	2
peschel_voelkerkunde_1874-1717-4	2532889X_1989-04-29_01_229.tcf.xml-22-14	annotator2	4.0	 	Mulatte	2
2532889X_1958-08-16_01_074.tcf.xml-25-36	26120215_1948_08_03_01_037.tcf.xml-2-6	annotator2	4.0	 	Mulatte	2
pfeiffer_frauenfahrt01_1850-582-24	2532889X_1970-06-07_01_587.tcf.xml-5-17	annotator2	4.0	 	Mulatte	2
blumenbach_naturgeschichte_1825-248-54	humboldt_uebersicht_1825-40-26	annotator2	4.0	 	Mulatte	2
26120215_1952_05_15_01_206.tcf.xml-24-19	blumenbach_naturgeschichte_1814-227-54	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-85-27	blumenbach_naturgeschichte_1814-307-41	annotator2	4.0	 	Mulatte	2
peschel_voelkerkunde_1874-1553-2	26120215_1952_06_20_01_208.tcf.xml-12-7	annotator2	4.0	 	Mulatte	2
26120215_1962_11_13_01_209.tcf.xml-16-6	humboldt_uebersicht_1825-40-26	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-128-33	2532889X_1970-06-07_01_587.tcf.xml-5-17	annotator2	4.0	 	Mulatte	2
heeren_staatensystem_1809-6532-10	humboldt_uebersicht_1825-114-34	annotator2	4.0	 	Mulatte	2
blumenbach_naturgeschichte_1816-197-53	2532889X_1970-06-07_01_587.tcf.xml-5-17	annotator2	4.0	 	Mulatte	2
humboldt_uebersicht_1825-139-31	26120215_1954_06_10_01_032.tcf.xml-21-58	annotator2	4.0	 	Mulatte	2
humboldt_aequinoktial02_1859-2646-7	26120215_1952_07_01_01_042.tcf.xml-31-24	annotator2	4.0	 	Mulatte	2
26120215_1979_05_09_01_076.tcf.xml-68-2	humboldt_uebersicht_1825-51-38	annotator2	3.0	 	Mulatte	2
2532889X_1982-05-22_01_252.tcf.xml-10-14	2532889X_1970-08-30_01_187.tcf.xml-48-7	annotator2	4.0	 	Mulatte	2
26120215_1946_11_07_01_056.tcf.xml-4-27	humboldt_aequinoktial02_1859-242-31	annotator2	4.0	 	Mulatte	2
26120215_1953_12_10_01_188.tcf.xml-1-46	26120215_1954_06_10_01_032.tcf.xml-21-58	annotator2	4.0	 	Mulatte	2
2532889X_1961-06-06_01_024.tcf.xml-13-12	peschel_voelkerkunde_1874-1624-11	annotator2	4.0	 	Mulatte	2
pfeiffer_frauenfahrt01_1850-1226-10	26120215_1980_01_23_01_143.tcf.xml-8-2	annotator2	4.0	 	Mulatte	2
26120215_1950_01_22_01_039.tcf.xml-17-6	blumenbach_naturgeschichte_1832-303-30	annotator2	4.0	 	Mulatte	2
blumenbach_naturgeschichte_1830-322-41	peschel_voelkerkunde_1874-1624-11	annotator2	4.0	 	Mulatte	2
