lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Mulatte	NN	1801	1	hc_183101_1801-117-29	 	Wir zweifeln nicht, daß die Französ. Escadre, welche bey unserm Erscheinen nach Brest zurücksegelte, nach Westindien bestimmt war, weil 1500 eingeschiffte Personen aus Schwarzen, Mulatten und andern Leuten bestanden die sich aus Westindien geflüchtet hatten.	179:187	0:258	Wir zweifeln nicht , daß die Franzoͤſ. Escadre , welche bey unſerm Erſcheinen nach Breſt zuruͤckſegelte , nach Weſtindien beſtimmt war , weil 1500 eingeſchiffte Perſonen aus Schwarzen , Mulatten und andern Leuten beſtanden die ſich aus Weſtindien gefluͤchtet hatten .	29	0:41	wir zweifeln nicht , daß d Französ. Escadre , welche bei unsere Erscheinen nach Brest zurücksegeln , nach WestIndien bestimmen sein , weil 1500 eingeschifft Person aus Schwarze , Mulatte und ander Leute bestehen d sich aus WestIndien flüchten haben .	PPER VVFIN PTKNEG $, KOUS ART ADJA NN $, PRELS APPR PPOSAT NN APPR NE VVFIN $, APPR NE VVPP VAFIN $, KOUS CARD ADJA NN APPR NN $, NN KON ADJA NN VVFIN ART PRF APPR NE VVPP VAFIN $.	Wir zweifeln nicht , daß die Französ. Escadre , welche bei unserem Erscheinen nach Brest zurücksegelte , nach Westindien bestimmt war , weil 1500 eingeschiffte Personen aus Schwarzen , Mulatten und anderen Leuten bestanden die sich aus Westindien geflüchtet hatten .
Mulatte	NN	1874	1	peschel_voelkerkunde_1874-1515-62	 	Die Länge des Armes schwankte bei weissen Amerikanern und Europäern je nach den Mitteln der einzelnen Staaten von o,429 der Körpergrösse (Michigan, Wisconsin, Illinois) bis zu o,441 (Skandinavien. Vollneger der Sklavenstaaten (o,452) zeigten einen verhältnissmässig längeren Arm als Neger der Freistaaten (o,447), ein Verhältniss, welches sich in gleicher Weise bei Mulatten (o,445 und o,460) wiederholte.	366:374	0:405	Die Länge des Armes schwankte bei weissen Amerikanern und Europäern je nach den Mitteln der einzelnen Staaten von o,429 der Körpergrösse ( Michigan , Wisconsin , Illinois ) bis zu o,441 ( Skandinavien . Vollneger der Sklavenstaaten ( o,452 ) zeigten einen verhältnissmässig längeren Arm als Neger der Freistaaten ( o,447 ) , ein Verhältniss , welches sich in gleicher Weise bei Mulatten ( o,445 und o,460 ) wiederholte .	62	0:70	d Länge d Arm schwanken bei weiß Amerikaner und Europäer je nach d Mittel d einzeln Staat von O,429 d Körpergröße ( Michigan , Wisconsin , Illinois ) bis zu O,441 ( Skandinavien . Vollneger d Sklavenstaat ( O,452 ) zeigen eine verhältnismäßig lang Arm als Neger d Freistaat ( O,447 ) , eine Verhältnis , welche sich in gleich Weise bei Mulatte ( o,445 und o,460 ) wiederholen .	ART NN ART NN VVFIN APPR ADJA NN KON NN ADV APPR ART NN ART ADJA NN APPR NE ART NN $( NE $, NE $, NE $( KON APPR NE $( NE $. NN ART NN $( NE $( VVFIN ART ADJD ADJA NN KOKOM NN ART NN $( NE $( $, ART NN $, PRELS PRF APPR ADJA NN APPR NN $( XY KON XY $( VVFIN $.	Die Länge des Armes schwankte bei weißen Amerikanern und Europäern je nach den Mitteln der einzelnen Staaten von o,429 der Körpergrösse ( Michigan , Wisconsin , Illinois ) bis zu o,441 ( Skandinavien . Vollneger der Sklavenstaaten ( o,452 ) zeigten einen verhältnismäßig längeren Arm als Neger der Freistaaten ( o,447 ) , ein Verhältnis , welches sich in gleicher Weise bei Mulatten ( o,445 und o,460 ) wiederholte .
Mulatte	NN	1874	1	peschel_voelkerkunde_1874-1624-11	 	Das gelbe Fieber verschont in Amerika die Neger, selbst die Mulatten.	60:68	0:69	Das gelbe Fieber verschont in Amerika die Neger , selbst die Mulatten .	11	0:13	d gelb Fieber verschonen in Amerika d Neger , selbst d Mulatte .	ART ADJA NN VVPP APPR NE ART NN $, ADV ART NN $.	Das gelbe Fieber verschont in Amerika die Neger , selbst die Mulatten .
Mulatte	NN	1809	1	heeren_staatensystem_1809-6538-4	 	Ihre Verbindung mit den Mulatten; Schreckensregierung; Zank mit dem Commandanten Galbaud (nie waren die Weißen unter sich eins;) sie rufen gegen ihn die Neger zu Hülfe; Plünderung, Metzeley, und Brand von Cap françois 21. Juni 1793.	24:32	0:232	Ihre Verbindung mit den Mulatten ; Schreckensregierung ; Zank mit dem Commandanten Galbaud ( nie waren die Weißen unter ſich eins ; ) ſie rufen gegen ihn die Neger zu Huͤlfe ; Pluͤnderung , Metzeley , und Brand von Cap françois 21. Juni 1793 .	4	0:45	ihr Verbindung mit d Mulatte ; Schreckensregierung ; Zank mit d Kommandant Galbaud ( nie sein d Weiße unter sich eins ; ) sie rufen gegen er d Neger zu Hilfe ; Plünderung , Metzelei , und Brand von Kap François 21. Juni 1793 .	PPOSAT NN APPR ART NN $. NN $. NN APPR ART NN NE $( ADV VAFIN ART NN APPR PRF PIS $. $( PPER VVFIN APPR PPER ART NN APPR NN $. NN $, NN $, KON NN APPR NE NE ADJA NN CARD $.	Ihre Verbindung mit den Mulatten ; Schreckensregierung ; Zank mit dem Kommandanten Galbaud ( nie waren die Weißen unter sich eins ; ) sie rufen gegen ihn die Neger zu Hilfe ; Plünderung , Metzelei , und Brand von Kap françois 21. Juni 1793 .
Mulatte	NN	1814	1	blumenbach_naturgeschichte_1814-313-30	 	Rasse heißt aber im genauem Sinne ein solcher durch Degeneration entstandener Charakter, der durch die Fortpflanzung unausbleiblich und nothwendig forterbt, wie z. B. wenn Weiße mir den Negern Mulatten, oder mit amerikanischen Indianern Mestissen zeugen: welches hingegen bey den Spielarten keine nothwendige Folge ist; wie z B. wenn blauäugige Blonde mit braunäugigen Brünetten Kinder zeugen.	193:201	0:393	Rasse heißt aber im genauem Sinne ein solcher durch Degeneration entstandener Charakter , der durch die Fortpflanzung unausbleiblich und nothwendig forterbt , wie z. B. wenn Weiße mir den Negern Mulatten , oder mit amerikanischen Indianern Mestissen zeugen : welches hingegen bey den Spielarten keine nothwendige Folge ist ; wie z B. wenn blauäugige Blonde mit braunäugigen Brünetten Kinder zeugen .	30	0:61	Rasse heißen aber im genau Sinn eine solch durch Degeneration entstehen Charakter , die durch d Fortpflanzung unausbleiblich und notwendig forterben , wie z. B. wenn Weiße ich d Neger Mulatte , oder mit amerikanisch Indianer Mestissen zeugen : welches hingegen bei d Spielart keine notwendig Folge sein ; wie Z B. wenn blauäugig Blonde mit braunäugig brünett Kind zeugen .	NE VVFIN ADV APPRART ADJA NN ART PIAT APPR NN ADJA NN $, PRELS APPR ART NN ADJD KON ADJD VVFIN $, PWAV APPRART NN KOUS NN PPER ART NN NN $, KON APPR ADJA NN NE VVFIN $. PWS ADV APPR ART NN PIAT ADJA NN VAFIN $. KOKOM NE NE KOUS ADJA NN APPR ADJA ADJA NN VVFIN $.	Rasse heißt aber im genauem Sinne ein solcher durch Degeneration entstandener Charakter , der durch die Fortpflanzung unausbleiblich und notwendig forterbt , wie z. B. wenn Weiße mir den Negern Mulatten , oder mit amerikanischen Indianern Mestissen zeugen : welches hingegen bei den Spielarten keine notwendige Folge ist ; wie z B. wenn blauäugige Blonde mit braunäugigen Brünetten Kinder zeugen .
Mulatte	NN	1825	1	humboldt_uebersicht_1825-148-29	 	6) Huamachuco enthält 8 Doktrinas, 23 Gemeinden und 38150 Seelen: 64 Geistliche, 2273 Spanier und Kreolen, 17117 Jndier, 18367 Mestizen, 250 freie Mulatten und 79 Sklaven.	147:155	0:171	6 ) Huamachuco enthält 8 Doktrinas , 23 Gemeinden und 38150 Seelen : 64 Geiſtliche , 2273 Spanier und Kreolen , 17117 Jndier , 18367 Meſtizen , 250 freie Mulatten und 79 Sklaven .	29	0:34	6 ) Huamachuco enthalten 8 Doktrinas , 23 Gemeinde und 38150 Seele : 64 Geistliche , 2273 Spanier und Kreole , 17117 Indiener , 18367 Mestize , 250 frei Mulatte und 79 Sklave .	CARD $( NE VVFIN CARD NN $, CARD NN KON CARD NN $. CARD NN $, CARD NN KON NN $, CARD NN $, CARD NN $, CARD ADJA NN KON CARD NN $.	6 ) Huamachuco enthält 8 Doktrinas , 23 Gemeinden und 38150 Seelen : 64 Geistliche , 2273 Spanier und Kreolen , 17117 Indier , 18367 Mestizen , 250 freie Mulatten und 79 Sklaven .
Mulatte	NN	1874	1	peschel_voelkerkunde_1874-462-3	 	Völlige Unfruchtbarkeit angelsächsischer Mulatten auf Jamaica ist nur von einem einzigen Beobachter behauptet worden und nicht ohne Widerspruch geblieben.	41:49	0:154	Völlige Unfruchtbarkeit angelsächsischer Mulatten auf Jamaica ist nur von einem einzigen Beobachter behauptet worden und nicht ohne Widerspruch geblieben .	3	0:20	völlig Unfruchtbarkeit angelsächsisch Mulatte auf Jamaica sein nur von eine einzig Beobachter behaupten werden und nicht ohne Widerspruch bleiben .	ADJA NN ADJA NN APPR NE VAFIN ADV APPR ART ADJA NN VVPP VAPP KON PTKNEG APPR NN VVPP $.	Völlige Unfruchtbarkeit angelsächsischer Mulatten auf Jamaica ist nur von einem einzigen Beobachter behauptet worden und nicht ohne Widerspruch geblieben .
Mulatte	NN	1850	1	pfeiffer_frauenfahrt01_1850-582-24	 	Der Flächen-Inhalt Brasiliens beträgt 130,000 O. M., die Einwohner-Zahl 6 Millionen, worunter etwa 900,000 Weiße; der Rest besteht aus Negern, Mulatten, Mestizen und Ur-Einwohnern oder Indianern.	143:151	0:195	Der Flächen-Inhalt Brasiliens beträgt 130,000 O. M. , die Einwohner-Zahl 6 Millionen , worunter etwa 900,000 Weiße ; der Rest besteht aus Negern , Mulatten , Mestizen und Ur-Einwohnern oder Indianern .	24	0:32	d Flächen-Inhalt Brasilien betragen 130,000 O. M. , d Einwohner-Zahl 6 Million , worunter etwa 900,000 Weiße ; d Rest bestehen aus Neger , Mulatte , Mestize und Ur-Einwohner oder Indianer .	ART NN NE VVFIN CARD NE NE $, ART NN CARD NN $, ADV ADV CARD NN $. ART NN VVFIN APPR NN $, NN $, NN KON NN KON NN $.	Der Flächen-Inhalt Brasiliens beträgt 130,000 O. M. , die Einwohner-Zahl 6 Millionen , worunter etwa 900,000 Weiße ; der Rest besteht aus Negern , Mulatten , Mestizen und Ur-Einwohnern oder Indianern .
Mulatte	NN	1830	1	blumenbach_naturgeschichte_1830-329-30	 	Rasse heißt aber im genauem Sinne ein solcher durch Degeneration entstandener Charakter, der durch die Fortpflanzung unausbleiblich und nothwendig forterbt, wie z. B. wenn Weiße mit den Negern Mulatten, oder mit amerikanischen Indianern Mestissen zeugen: welches hingegen bei den Spielarten keine nothwendige Folge ist; wie z B. wenn blauäugige Blonde mit braunäugigen Brünetten Kinder zeugen.	193:201	0:393	Rasse heißt aber im genauem Sinne ein solcher durch Degeneration entstandener Charakter , der durch die Fortpflanzung unausbleiblich und nothwendig forterbt , wie z. B. wenn Weiße mit den Negern Mulatten , oder mit amerikanischen Indianern Mestissen zeugen : welches hingegen bei den Spielarten keine nothwendige Folge ist ; wie z B. wenn blauäugige Blonde mit braunäugigen Brünetten Kinder zeugen .	30	0:61	Rasse heißen aber im genau Sinn eine solch durch Degeneration entstehen Charakter , die durch d Fortpflanzung unausbleiblich und notwendig forterben , wie z. B. wenn Weiße mit d Neger Mulatte , oder mit amerikanisch Indianer Mestissen zeugen : welches hingegen bei d Spielart keine notwendig Folge sein ; wie Z B. wenn blauäugig Blonde mit braunäugig brünett Kind zeugen .	NE VVFIN ADV APPRART ADJA NN ART PIAT APPR NN ADJA NN $, PRELS APPR ART NN ADJD KON ADJD VVFIN $, PWAV APPRART NN KOUS NN APPR ART NN NN $, KON APPR ADJA NN NE VVFIN $. PWS ADV APPR ART NN PIAT ADJA NN VAFIN $. KOKOM NE NE KOUS ADJA NN APPR ADJA ADJA NN VVFIN $.	Rasse heißt aber im genauem Sinne ein solcher durch Degeneration entstandener Charakter , der durch die Fortpflanzung unausbleiblich und notwendig forterbt , wie z. B. wenn Weiße mit den Negern Mulatten , oder mit amerikanischen Indianern Mestissen zeugen : welches hingegen bei den Spielarten keine notwendige Folge ist ; wie z B. wenn blauäugige Blonde mit braunäugigen Brünetten Kinder zeugen .
Mulatte	NN	1825	1	humboldt_uebersicht_1825-128-33	 	Die Bevölkerung von 5790 Seelen besteht aus 133 Welt-, 60 Klostergeistlichen, 129 Nonnen, 1263 Spaniern und Kreolen, 274 Jndiern, 704 Mestizen, 1000 Negern und der Ueberrest sind Mulatten.	179:187	0:188	Die Bevölkerung von 5790 Seelen beſteht aus 133 Welt- , 60 Kloſtergeiſtlichen , 129 Nonnen , 1263 Spaniern und Kreolen , 274 Jndiern , 704 Meſtizen , 1000 Negern und der Ueberreſt ſind Mulatten .	33	0:35	d Bevölkerung von 5790 Seele bestehen aus 133 welt- , 60 Klostergeistliche , 129 Nonnen , 1263 Spanier und Kreole , 274 Indiener , 704 Mestize , 1000 Neger und d Überrest sein Mulatte .	ART NN APPR CARD NN VVFIN APPR CARD TRUNC $, CARD NN $, CARD NE $, CARD NN KON NN $, CARD NN $, CARD NN $, CARD NN KON ART NN VAFIN NN $.	Die Bevölkerung von 5790 Seelen besteht aus 133 Welt- , 60 Klostergeistlichen , 129 Nonnen , 1263 Spaniern und Kreolen , 274 Indiern , 704 Mestizen , 1000 Negern und der Überrest sind Mulatten .
