lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-17495-57	 	Jedoch man macht besonders beim Salzmonopole den Einwand, daß es für den Volkswohlstand äußerst nützlich sei, im ganzen Lande einen gleichförmigen Salzpreis zu erhalten und daß dies vorzüglich durch die Salzsteuer, wenn der Staat die Regie nicht habe, erschwert werde, weil die Kosten der Versendung, die Haltung der Magazine und der Pachtzins einen weit größeren Aufwand begründen müsse, als die Regiekosten des Staats betrügen, und der deßhalb und durch die Steuer steigende Salzpreis die Consumtion des Salzes und den Steuerertrag vermindern, so wie die Lust zum einschwärzen vergrößern werde6).	334:343	0:598	Jedoch man macht beſonders beim Salzmonopole den Einwand , daß es für den Volkswohlſtand äußerſt nützlich ſei , im ganzen Lande einen gleichförmigen Salzpreis zu erhalten und daß dies vorzüglich durch die Salzſteuer , wenn der Staat die Regie nicht habe , erſchwert werde , weil die Koſten der Verſendung , die Haltung der Magazine und der Pachtzins einen weit größeren Aufwand begründen müſſe , als die Regiekoſten des Staats betrügen , und der deßhalb und durch die Steuer ſteigende Salzpreis die Conſumtion des Salzes und den Steuerertrag vermindern , ſo wie die Luſt zum einſchwärzen vergrößern werde6 ) .	57	0:100	jedoch man machen besonders beim Salzmonopol d Einwand , daß es für d Volkswohlstand äußerst nützlich sein , im ganz Land eine gleichförmig Salzpreis zu erhalten und daß diese vorzüglich durch d Salzsteuer , wenn d Staat d Regie nicht haben , erschwern werden , weil d Kosten d Versendung , d Haltung d Magazin und d Pachtzins eine weit groß Aufwand begründen müssen , als d Regiekosten d Staat betrügen , und d deshalb und durch d Steuer steigend Salzpreis d Konsumtion d Salz und d Steuerertrag vermindern , so wie d Lust zum einschwärzen vergrößern Werde6 ) .	ADV PIS VVFIN ADV APPRART NN ART NN $, KOUS PPER APPR ART NN ADV ADJD VAFIN $, APPRART ADJA NN ART ADJA NN PTKZU VVINF KON KOUS PDS ADJD APPR ART NN $, KOUS ART NN ART NN PTKNEG VAFIN $, VVPP VAFIN $, KOUS ART NN ART NN $, ART NN ART NN KON ART NN ART ADJD ADJA NN VVINF VMFIN $, KOUS ART NN ART NN VVFIN $, KON ART PAV KON APPR ART NN ADJA NN ART NN ART NN KON ART NN VVINF $, ADV KOKOM ART NN APPRART VVINF VVINF NE $( $.	Jedoch man macht besonders beim Salzmonopole den Einwand , daß es für den Volkswohlstand äußerst nützlich sei , im ganzen Lande einen gleichförmigen Salzpreis zu erhalten und daß dies vorzüglich durch die Salzsteuer , wenn der Staat die Regie nicht habe , erschwert werde , weil die Kosten der Versendung , die Haltung der Magazine und der Pachtzins einen weit größeren Aufwand begründen müsse , als die Regiekosten des Staats betrügen , und der deshalb und durch die Steuer steigende Salzpreis die Konsumtion des Salzes und den Steuerertrag vermindern , so wie die Lust zum einschwärzen vergrößern werde6 ) .
Pachtzins	NN	1863	1	fontane_brandenburg02_1863-6330-3	 	Später wurde der Pachtzins wahrscheinlich ausschließlich in Geld geleistet, weshalb wir von einer Kasse sprechen hören, die sich auf dem Schulzenhof in Kienbaum befand und daselbst verwaltet wurde.	17:26	0:197	Später wurde der Pachtzins wahrſcheinlich ausſchließlich in Geld geleiſtet , weshalb wir von einer Kaſſe ſprechen hören , die ſich auf dem Schulzenhof in Kienbaum befand und daſelbſt verwaltet wurde .	3	0:31	spät werden d Pachtzins wahrscheinlich ausschließlich in Geld leisten , weshalb wir von eine Kasse sprechen hören , die sich auf d Schulzenhof in Kienbaum befinden und daselbst verwalten werden .	ADJD VAFIN ART NN ADJD ADV APPR NN VVPP $, PWAV PPER APPR ART NN VVINF VVINF $, PRELS PRF APPR ART NN APPR NN VVFIN KON PAV VVPP VAFIN $.	Später wurde der Pachtzins wahrscheinlich ausschließlich in Geld geleistet , weshalb wir von einer Kasse sprechen hören , die sich auf dem Schulzenhof in Kienbaum befand und daselbst verwaltet wurde .
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-17605-46	 	93. Uebers. von v. Th. VI. 73. Allein man ist der Meinung, es seien wenige Menschen so vermögend und einflußreich, daß man ihnen die Post anvertrauen könne, und ein Privatunternehmer würde jeden ansehnlichen Monopolgewinn in Anspruch nehmen, während der Staat einen kleinen Pachtzins erhalten würde und die Benutzer der Post hohes Porto bezahlen müßten; auch könnten Privatunternehmer fremdem Einflusse zugänglich sein und die Staatscorrespondenz belauern (Rau III. §. 210.).	274:283	0:475	93. Ueberſ. von v. Th. VI. 73. Allein man iſt der Meinung , es ſeien wenige Menſchen ſo vermögend und einflußreich , daß man ihnen die Poſt anvertrauen könne , und ein Privatunternehmer würde jeden anſehnlichen Monopolgewinn in Anſpruch nehmen , während der Staat einen kleinen Pachtzins erhalten würde und die Benutzer der Poſt hohes Porto bezahlen müßten ; auch könnten Privatunternehmer fremdem Einfluſſe zugänglich ſein und die Staatscorreſpondenz belauern ( Rau III. §. 210. ) .	46	0:77	93. Uebers. von v. Th. Vi. 73. allein man sein d Meinung , es sein wenige Mensch so vermögend und einflußreich , daß man sie d Post anvertrauen können , und eine Privatunternehmer werden jede ansehnlich Monopolgewinn in Anspruch nehmen , während d Staat eine klein Pachtzins erhalten werden und d Benutzer d Post hoch Porto bezahlen müssen ; auch können Privatunternehmer fremd Einfluß zugänglich sein und d Staatskorrespondenz belauern ( Rau Iii. §. 210. ) .	ADJA NN APPR APPR NE NE ADV ADV PIS VAFIN ART NN $, PPER VAFIN PIAT NN ADV ADJD KON ADJD $, KOUS PIS PPER ART NN VVINF VMFIN $, KON ART NN VAFIN PIAT ADJA NN APPR NN VVINF $, KOUS ART NN ART ADJA NN VVPP VAFIN KON ART NN ART NN ADJA NN VVINF VMFIN $. ADV VMFIN NN ADJA NN ADJD VAINF KON ART NN VVFIN $( NE NE $( ADJA $( $.	93. Uebers. von v. Th. VI. 73. Allein man ist der Meinung , es seien wenige Menschen so vermögend und einflußreich , daß man ihnen die Post anvertrauen könne , und ein Privatunternehmer würde jeden ansehnlichen Monopolgewinn in Anspruch nehmen , während der Staat einen kleinen Pachtzins erhalten würde und die Benutzer der Post hohes Porto bezahlen müßten ; auch könnten Privatunternehmer fremdem Einflusse zugänglich sein und die Staatskorrespondenz belauern ( Rau III. §. 210. ) .
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-6855-31	 	Denn Nachlässigkeit und Unterschlagung von Seiten derselben ist die schlimmste Beziehung dieser Bewirthschaftungsart1); 2) durch Verpachtung, d. h. indem man dasselbe einem Anderen gegen eine Vergütung (Pachtzins) zur Nutzung überläßt.	203:212	0:235	Denn Nachläſſigkeit und Unterſchlagung von Seiten derſelben iſt die ſchlimmſte Beziehung dieſer Bewirthſchaftungsart1 ) ; 2 ) durch Verpachtung , d. h. indem man daſſelbe einem Anderen gegen eine Vergütung ( Pachtzins ) zur Nutzung überläßt .	31	0:37	denn Nachlässigkeit und Unterschlagung von Seite dieselbe sein d schlimm Beziehung diese Bewirthschaftungsart1 ) ; 2 ) durch Verpachtung , d. h. indem man dasselbe eine ander gegen eine Vergütung ( Pachtzins ) zur Nutzung überlassen .	KON NN KON NN APPR NN PDS VAFIN ART ADJA NN PDAT NE $( $. CARD $( APPR NN $, PDS VVFIN KOUS PIS PDAT ART ADJA APPR ART NN $( NN $( APPRART NN VVFIN $.	Denn Nachlässigkeit und Unterschlagung von Seiten derselben ist die schlimmste Beziehung dieser Bewirthschaftungsart1 ) ; 2 ) durch Verpachtung , d. h. indem man dasselbe einem Anderen gegen eine Vergütung ( Pachtzins ) zur Nutzung überläßt .
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-12453-8	 	Die Rente aus der Verpachtung von Grundstücken heißt Pachtzins.	53:62	0:63	Die Rente aus der Verpachtung von Grundſtücken heißt Pachtzins .	8	0:10	d Rente aus d Verpachtung von Grundstück heißen Pachtzins .	ART NN APPR ART NN APPR NN VVFIN NN $.	Die Rente aus der Verpachtung von Grundstücken heißt Pachtzins .
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-14687-12	 	Je sicherer die Caution ist, desto niedriger kann daher auch der Pachtzins werden.	65:74	0:82	Je ſicherer die Caution iſt , deſto niedriger kann daher auch der Pachtzins werden .	12	0:15	je sicher d Kaution sein , desto niedrig können daher auch d Pachtzins werden .	ADV ADJD ART NN VAFIN $, ADV ADJD VMFIN PAV ADV ART NN VAINF $.	Je sicherer die Kaution ist , desto niedriger kann daher auch der Pachtzins werden .
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-14686-19	 	Letztere berechnet der Verpachter nebst seinen Verlusten durch schlechte Naturalien, schlechte Münzen u. dgl. bei der Calculation des Pachtzinses mit ein.	134:145	0:154	Letztere berechnet der Verpachter nebſt ſeinen Verluſten durch ſchlechte Naturalien , ſchlechte Münzen u. dgl. bei der Calculation des Pachtzinſes mit ein .	19	0:23	letztere berechnen d Verpachter nebst seine Verlust durch schlecht Naturalien , schlecht Münze u. Dgl. bei d Kalkulation d Pachtzins mit eine .	PIS VVFIN ART NN APPR PPOSAT NN APPR ADJA NN $, ADJA NN APPR NN APPR ART NN ART NN APPR ART $.	Letztere berechnet der Verpachter nebst seinen Verlusten durch schlechte Naturalien , schlechte Münzen u. dgl. bei der Kalkulation des Pachtzinses mit ein .
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-17318-31	 	Die Erbzinsverleihung, d. h. Ueberlassung des vollständigen erblichen Eigenthums der Nutzung am Gute unter Vorbehalt des Obereigenthums, zu dessen bloßer Anerkennung eine sich nicht nach dem Gutsertrage oder üblichen Pachtzinse richtende Abgabe (Erbenzins) jährlich bezahlt werden muß.	217:227	0:285	Die Erbzinsverleihung , d. h. Ueberlaſſung des vollſtändigen erblichen Eigenthums der Nutzung am Gute unter Vorbehalt des Obereigenthums , zu deſſen bloßer Anerkennung eine ſich nicht nach dem Gutsertrage oder üblichen Pachtzinſe richtende Abgabe ( Erbenzins ) jährlich bezahlt werden muß .	31	0:42	d Erbezinsverleihung , d. h. Überlaßung d vollständig erblich Eigentum d Nutzung am Gut unter Vorbehalt d Obereigentum , zu die bloß Anerkennung eine sich nicht nach d Gutsertrag oder üblich Pachtzins richtend Abgabe ( Erbenzins ) jährlich bezahlen werden müssen .	ART NN $, PDS VVFIN NN ART ADJA ADJA NN ART NN APPRART NN APPR NN ART NN $, APPR PRELAT ADJA NN ART PRF PTKNEG APPR ART NN KON ADJA NN ADJA NN $( NN $( ADJD VVPP VAINF VMFIN $.	Die Erbzinsverleihung , d. h. Überlassung des vollständigen erblichen Eigentums der Nutzung am Gute unter Vorbehalt des Obereigentums , zu dessen bloßer Anerkennung eine sich nicht nach dem Gutsertrage oder üblichen Pachtzinse richtende Abgabe ( Erbenzins ) jährlich bezahlt werden muß .
Pachtzins	NN	1835	1	baumstark_encyclopaedie_1835-14609-8	 	Aber c) die ausbedungene Grundrente oder der Pachtzins, er werde ganz oder zum Theile in Geld und zum Theile in Naturalien entrichtet, ist nichts als ein Preis für die gestaltete Bodenbenutzung und richtet sich also nach den Preisregulatoren, nämlich nach dem Werthe der Nutzung, nach den zum Bezuge des Ertrages zu machenden Kostenauslagen, nach der Zahlfähigkeit des Pachters, nach dem üblichen Pachtzinse, nach den Concurrenzverhältnissen, und nach dem Geldwerthe6).	45:54	0:469	Aber c ) die ausbedungene Grundrente oder der Pachtzins , er werde ganz oder zum Theile in Geld und zum Theile in Naturalien entrichtet , iſt nichts als ein Preis für die geſtaltete Bodenbenutzung und richtet ſich alſo nach den Preisregulatoren , nämlich nach dem Werthe der Nutzung , nach den zum Bezuge des Ertrages zu machenden Koſtenauslagen , nach der Zahlfähigkeit des Pachters , nach dem üblichen Pachtzinſe , nach den Concurrenzverhältniſſen , und nach dem Geldwerthe6 ) .	8	0:80	aber c ) d ausbedingen Grundrente oder d Pachtzins , er werden ganz oder zum Teil in Geld und zum Teil in Naturalien entrichten , sein nichts als eine Preis für d gestaltet Bodenbenutzung und richten sich also nach d Preisregulator , nämlich nach d Wert d Nutzung , nach d zum Bezug d Ertrag zu machend Kostenauslage , nach d Zahlfähigkeit d Pachter , nach d üblich Pachtzins , nach d Konkurrenzverhältnis , und nach d Geldwerthe6 ) .	KON FM $( ART ADJA NN KON ART NN $, PPER VAFIN ADV KON APPRART NN APPR NN KON APPRART NN APPR NN VVPP $, VAFIN PIS KOKOM ART NN APPR ART ADJA NN KON VVFIN PRF ADV APPR ART NN $, ADV APPR ART NN ART NN $, APPR ART APPRART NN ART NN APPR ADJA NN $, APPR ART NN ART NN $, APPR ART ADJA NN $, APPR ART NN $, KON APPR ART NE $( $.	Aber c ) die ausbedungene Grundrente oder der Pachtzins , er werde ganz oder zum Teile in Geld und zum Teile in Naturalien entrichtet , ist nichts als ein Preis für die gestaltete Bodenbenutzung und richtet sich also nach den Preisregulatoren , nämlich nach dem Werte der Nutzung , nach den zum Bezuge des Ertrages zu machenden Kostenauslagen , nach der Zahlfähigkeit des Pachters , nach dem üblichen Pachtzinse , nach den Konkurrenzverhältnissen , und nach dem Geldwerthe6 ) .
Pachtzins	NN	1856	1	keller_seldwyla_1856-1019-13	 	Die Lumpen möchten indessen gar zu gern etwas zu naschen bekommen durch den Pachtzins, was sie freilich mit der Verkaufssumme auch thun könnten; allein wir würden uns hüten, dasselbe zu hoch hinauf zu treiben und wir wüßten dann doch was wir hätten und wem das Land gehört! «	76:85	0:275	Die Lumpen möchten indeſſen gar zu gern etwas zu naſchen bekommen durch den Pachtzins , was ſie freilich mit der Verkaufsſumme auch thun könnten ; allein wir würden uns hüten , daſſelbe zu hoch hinauf zu treiben und wir wüßten dann doch was wir hätten und wem das Land gehört ! «	13	0:52	d Lumpen mögen indessen gar zu gern etwas zu naschen bekommen durch d Pachtzins , was sie freilich mit d Verkaufssumme auch tun können ; allein wir werden wir hüten , dasselbe zu hoch hinauf zu treiben und wir wissen dann doch was wir haben und wer d Land gehören ! "	ART NN VMFIN ADV ADV APPR ADV PIS PTKZU VVINF VVFIN APPR ART NN $, PRELS PPER ADV APPR ART NN ADV VVINF VMFIN $. ADV PPER VAFIN PPER VVINF $, PDAT PTKA ADJD ADV PTKZU VVINF KON PPER VVFIN ADV ADV PRELS PPER VAFIN KON PWS ART NN VVFIN $. $(	Die Lumpen möchten indessen gar zu gern etwas zu naschen bekommen durch den Pachtzins , was sie freilich mit der Verkaufssumme auch tun könnten ; allein wir würden uns hüten , dasselbe zu hoch hinauf zu treiben und wir wüßten dann doch was wir hätten und wem das Land gehört ! "
