identifier1	identifier2	annotator	judgment	comment	lemma	round
steub_tirol_1846-7463-39	lehnert_seehaefen02_1892-4170-8	annotator1	4.0	 	Seminar	3
heckert_schulgesetzgebung_1847-8359-12	26120215_1980_02_21_01_232.tcf.xml-4-7	annotator1	2.0	 	Seminar	3
2532889X_1981-02-24_01_017.tcf.xml-1812-11	lange_maedchenschule_1887-423-1	annotator1	3.0	 	Seminar	3
heckert_schulgesetzgebung_1847-1594-25	heckert_schulgesetzgebung_1847-3371-18	annotator1	3.0	 	Seminar	3
lehnert_seehaefen02_1892-6033-27	2532889X_1967-11-25_01_063.tcf.xml-3-10	annotator1	3.0	 	Seminar	3
steub_tirol_1846-7463-39	2532889X_1955-12-18_01_046.tcf.xml-57-25	annotator1	3.0	 	Seminar	3
2532889X_1985-07-12_01_007.tcf.xml-11-1	nn_nrhz202_1849-175-0	annotator1	2.0	 	Seminar	3
26120215_1960_11_20_01_291.tcf.xml-19-6	2532889X_1970-04-17_01_082.tcf.xml-9-5	annotator1	3.0	 	Seminar	3
nn_turnkunst01_1843-981-3	steub_tirol_1846-7463-39	annotator1	4.0	 	Seminar	3
heckert_schulgesetzgebung_1847-1523-50	heckert_schulgesetzgebung_1847-4980-90	annotator1	3.0	 	Seminar	3
heeren_staatensystem_1809-623-4	lehnert_seehaefen02_1892-6033-27	annotator1	0.0	anderes Wort	Seminar	3
2532889X_1981-01-03_01_474.tcf.xml-9-16	heckert_schulgesetzgebung_1847-1444-90	annotator1	3.0	 	Seminar	3
heckert_schulgesetzgebung_1847-5003-49	2532889X_1953-04-22_01_083.tcf.xml-9-3	annotator1	3.0	 	Seminar	3
lehnert_seehaefen02_1892-6033-27	2532889X_1970-04-17_01_082.tcf.xml-9-5	annotator1	2.0	 	Seminar	3
ranke_paepste01_1834-4952-4	26120215_1969_07_17_01_188.tcf.xml-61-7	annotator1	2.0	 	Seminar	3
strauss_jesus02_1836-14-50	26120215_1968_01_19_01_016.tcf.xml-3-23	annotator1	3.0	 	Seminar	3
2532889X_1967-11-25_01_063.tcf.xml-3-10	steub_tirol_1846-7463-39	annotator1	2.0	 	Seminar	3
2532889X_1988-10-29_01_008.tcf.xml-3-2	nn_nrhz202_1849-175-0	annotator1	3.0	 	Seminar	3
nn_nrhz202_1849-175-0	26120215_1977_05_05_01_062.tcf.xml-25-17	annotator1	2.0	 	Seminar	3
2532889X_1969-07-21_01_156.tcf.xml-29-1	burckhardt_cicerone_1855-6135-33	annotator1	2.0	 	Seminar	3
heckert_schulgesetzgebung_1847-5003-49	2532889X_1953-04-22_01_083.tcf.xml-9-3	annotator6	4.0	 	Seminar	3
2532889X_1988-10-29_01_008.tcf.xml-3-2	nn_nrhz202_1849-175-0	annotator6	4.0	 	Seminar	3
2532889X_1981-01-03_01_474.tcf.xml-9-16	heckert_schulgesetzgebung_1847-1444-90	annotator6	3.0	 	Seminar	3
heckert_schulgesetzgebung_1847-4972-32	ranke_paepste02_1836-5297-18	annotator6	4.0	 	Seminar	3
2532889X_1948-07-21_01_054.tcf.xml-40-40	2532889X_1954-03-02_01_080.tcf.xml-5-7	annotator6	3.0	 	Seminar	3
lehnert_seehaefen02_1892-4170-8	2532889X_1985-07-12_01_007.tcf.xml-11-1	annotator6	3.0	 	Seminar	3
2532889X_1955-12-18_01_046.tcf.xml-57-25	nn_turnkunst01_1843-981-3	annotator6	3.0	 	Seminar	3
2532889X_1981-02-24_01_017.tcf.xml-1812-11	heckert_schulgesetzgebung_1847-1522-66	annotator6	4.0	 	Seminar	3
