lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Seminar	NN	1868	1	stein_verwaltungslehre05_1868-2255-10	 	Doch ist die autodidaktische Bildung noch zugelassen, und das Seminar dauert nur zwei Jahre.	62:69	0:92	Doch iſt die autodidaktiſche Bildung noch zugelaſſen , und das Seminar dauert nur zwei Jahre .	10	0:16	doch sein d autodidaktisch Bildung noch zulassen , und d Seminar dauern nur zwei Jahr .	KON VAFIN ART ADJA NN ADV VVPP $, KON ART NN VVFIN ADV CARD NN $.	Doch ist die autodidaktische Bildung noch zugelassen , und das Seminar dauert nur zwei Jahre .
Seminar	NN	1848	1	nn_nrhz202_1849-175-12	 	Seminar auseinander sprengen half und so viel Schönes über die Zertheilung der Seminare und ihre Verlegung in idyllische Landstädtchen auch zum Zweck der besseren Vorbereitung auf die „harte Kost und leere Wand“ gedacht und gesagt hat; derselbe Stiehl, wie seine Herren und Meister, für den christlich-germanischen Staat schwärmt.	79:87	0:330	Seminar auseinander sprengen half und so viel Schönes über die Zertheilung der Seminare und ihre Verlegung in idyllische Landstädtchen auch zum Zweck der besseren Vorbereitung auf die „ harte Kost und leere Wand “ gedacht und gesagt hat ; derselbe Stiehl , wie seine Herren und Meister , für den christlich-germanischen Staat schwärmt .	12	0:54	Seminar auseinander sprengen helfen und so viel schön über d Zerteilung d Seminar und ihr Verlegung in idyllisch Landstadtchen auch zum Zweck d gut Vorbereitung auf d " hart Kost und leer Wand " gedenken und sagen haben ; dieselbe Stiehl , wie seine Herr und Meister , für d christlich-germanisch Staat schwärmen .	NN ADV VVINF VVFIN KON ADV PIAT ADJA APPR ART NN ART NN KON PPOSAT NN APPR ADJA NN ADV APPRART NN ART ADJA NN APPR ART $( ADJA NN KON ADJA NN $( VVPP KON VVPP VAFIN $. PDAT NE $, PWAV PPOSAT NN KON NN $, APPR ART ADJA NN VVFIN $.	Seminar auseinander sprengen half und so viel Schönes über die Zerteilung der Seminare und ihre Verlegung in idyllische Landstädtchen auch zum Zweck der besseren Vorbereitung auf die " harte Kost und leere Wand " gedacht und gesagt hat ; derselbe Stiehl , wie seine Herren und Meister , für den christlich-germanischen Staat schwärmt .
Seminar	NN	1847	1	heckert_schulgesetzgebung_1847-1505-15	 	Die bisher bestandenen Verordnungen über Portofreiheit in Schulsachen, namentlich der Schulen, Gymnasien und Seminare, sind bei der jetzigen Schulverfassung nicht mehr ausreichend.	109:117	0:180	Die bisher beſtandenen Verordnungen über Portofreiheit in Schulſachen , namentlich der Schulen , Gymnaſien und Seminare , ſind bei der jetzigen Schulverfaſſung nicht mehr ausreichend .	15	0:26	d bisher bestehen Verordnung über Portofreiheit in Schulsache , namentlich d Schule , Gymnasium und Seminar , sein bei d jetzig Schulverfassung nicht mehr ausreichend .	ART ADV ADJA NN APPR NN APPR NN $, ADV ART NN $, NN KON NN $, VAFIN APPR ART ADJA NN PTKNEG ADV ADJD $.	Die bisher bestandenen Verordnungen über Portofreiheit in Schulsachen , namentlich der Schulen , Gymnasien und Seminare , sind bei der jetzigen Schulverfassung nicht mehr ausreichend .
Seminar	NN	1847	1	heckert_schulgesetzgebung_1847-1595-22	 	21. Circ.-Rescr. v. 22. März 1844. (M.-Bl. S. 103.), betr. die Ableistung der Militairpflicht Seitens der in dem Seminar zu Gnadenfeldt ausgebildeten Lehrer.	113:120	0:157	21. Circ.-Reſcr. v. 22. März 1844 . ( M.-Bl. S. 103. ) , betr. die Ableiſtung der Militairpflicht Seitens der in dem Seminar zu Gnadenfeldt ausgebildeten Lehrer .	22	0:28	21. Circ.-Rescr. v. 22. März 1844 . ( M.-Bl. S. 103. ) , Betr. d Ableistung d Militairpflicht seitens d in d Seminar zu Gnadenfeld ausgebildet Lehrer .	ADJA NN APPRART ADJA NN CARD $. $( NE NE ADJA $( $, NN ART NN ART NN APPR ART APPR ART NN APPR NE ADJA NN $.	21. Circ.-Rescr. v. 22. März 1844 . ( M.-Bl. S. 103. ) , betr. die Ableistung der Militairpflicht Seitens der in dem Seminar zu Gnadenfeld ausgebildeten Lehrer .
Seminar	NN	1839	1	ranke_reformation02_1839-5126-38	 	Luthers Schüler predigten es in Dänemark und Schweden: einer der ersten Inscribirten in Marburg ist der Gründer der schottischen Kirche: im Corpus Christ College zu Oxfort bildete sich 1527 ein Verein Lutherisch-gesinnter, der als ein Seminar der neuen Meinungen angesehen werden kann.	235:242	0:285	Luthers Schüler predigten es in Dänemark und Schweden : einer der erſten Inſcribirten in Marburg iſt der Gründer der ſchottiſchen Kirche : im Corpus Chriſt College zu Oxfort bildete ſich 1527 ein Verein Lutheriſch-geſinnter , der als ein Seminar der neuen Meinungen angeſehen werden kann .	38	0:46	Luther Schüler predigen es in Dänemark und Schweden : eine d erst Inskribierte in Marburg sein d Gründer d schottisch Kirche : im Corpus Christ Kollege zu Oxford bilden sich 1527 eine Verein lutherisch-gesinnt , die als eine Seminar d neu Meinung ansehen werden können .	NE NN VVFIN PPER APPR NE KON NE $. ART ART ADJA NN APPR NE VAFIN ART NN ART ADJA NN $. APPRART NN NE NN APPR NE VVFIN PRF CARD ART NN ADJD $, PRELS KOKOM ART NN ART ADJA NN VVPP VAINF VMFIN $.	Luthers Schüler predigten es in Dänemark und Schweden : einer der ersten Inskribierten in Marburg ist der Gründer der schottischen Kirche : im Corpus Christ Kollege zu Oxford bildete sich 1527 ein Verein Lutherisch-gesinnter , der als ein Seminar der neuen Meinungen angesehen werden kann .
Seminar	NN	1847	1	heckert_schulgesetzgebung_1847-4982-103	 	12. Theils um des oben angegebenen Zweckes willen, theils um überhaupt mit der Beschaffenheit und den Bedürfnissen des Schulwesens ihres Bezirkes genau bekannt zu werden, sollen die Seminardirectoren alljährlich während der Ferien einen Theil des Regierungsbezirkes oder der Provinz, wofür in ihren Anstalten Lehrer gebildet werden, commissarisch zur Untersuchung der Landschulen bereisen, und von ihren Beobachtungen und Erfahrungen der betr. Regierung einen Bericht, der auch abschriftlich dem Provinzial-Schul-Collegio einzureichen ist, erstatten, damit danach das Nöthige veranlaßt, und namentlich diejenigen Lehrer, auf welche die Bestimmung im vorigen Abschnitt 11. sich bezieht, in die Seminare einberufen werden können.	693:701	0:727	12. Theils um des oben angegebenen Zweckes willen , theils um überhaupt mit der Beſchaffenheit und den Bedürfniſſen des Schulweſens ihres Bezirkes genau bekannt zu werden , ſollen die Seminardirectoren alljährlich während der Ferien einen Theil des Regierungsbezirkes oder der Provinz , wofür in ihren Anſtalten Lehrer gebildet werden , commiſſariſch zur Unterſuchung der Landſchulen bereiſen , und von ihren Beobachtungen und Erfahrungen der betr. Regierung einen Bericht , der auch abſchriftlich dem Provinzial-Schul-Collegio einzureichen iſt , erſtatten , damit danach das Nöthige veranlaßt , und namentlich diejenigen Lehrer , auf welche die Beſtimmung im vorigen Abſchnitt 11. ſich bezieht , in die Seminare einberufen werden können .	103	0:108	12. Teil um d oben angegeben Zweck Willen , teils um überhaupt mit d Beschaffenheit und d Bedürfnis d Schulwesen ihr Bezirk genau bekennen zu werden , sollen d Seminardirektor alljährlich während d Ferien eine Teil d Regierungsbezirk oder d Provinz , wofür in ihr Anstalten Lehrer bilden werden , kommissarisch zur Untersuchung d Landschule bereisen , und von ihr Beobachtung und Erfahrung d betr. Regierung eine Bericht , die auch abschriftlich d Provinzial-Schul-Collegio einreichen sein , erstatten , damit danach d Nötige veranlassen , und namentlich diejenige Lehrer , auf welche d Bestimmung im vorig Abschnitt 11. sich beziehen , in d Seminar einberufen werden können .	ADJA NN APPR ART ADV ADJA NN NN $, ADV KOUI ADV APPR ART NN KON ART NN ART NN PPOSAT NN ADJD VVPP PTKZU VAINF $, VMFIN ART NN ADJD APPR ART NN ART NN ART NN KON ART NN $, PWAV APPR PPOSAT NN NN VVPP VAINF $, ADJD APPRART NN ART NN VVINF $, KON APPR PPOSAT NN KON NN ART ADJA NN ART NN $, PRELS ADV ADJD ART NN VVIZU VAFIN $, VVINF $, KOUS PAV ART NN VVPP $, KON ADV PDS NN $, APPR PRELS ART NN APPRART ADJA NN ADJA PRF VVFIN $, APPR ART NN VVPP VAINF VMFIN $.	12. Teils um des oben angegebenen Zweckes Willen , teils um überhaupt mit der Beschaffenheit und den Bedürfnissen des Schulwesens ihres Bezirkes genau bekannt zu werden , sollen die Seminardirektoren alljährlich während der Ferien einen Teil des Regierungsbezirkes oder der Provinz , wofür in ihren Anstalten Lehrer gebildet werden , kommissarisch zur Untersuchung der Landschulen bereisen , und von ihren Beobachtungen und Erfahrungen der betr. Regierung einen Bericht , der auch abschriftlich dem Provinzial-Schul-Collegio einzureichen ist , erstatten , damit danach das Nötige veranlaßt , und namentlich diejenigen Lehrer , auf welche die Bestimmung im vorigen Abschnitt 11. sich bezieht , in die Seminare einberufen werden können .
Seminar	NN	1847	1	heckert_schulgesetzgebung_1847-1477-75	 	Diese Einrichtung gewährt den Vortheil, daß man jedesmal solche Subjecte zusammen einberufen kann, die ungefähr auf gleicher Stufe stehen; daß der Gegenstand selbst gründlicher und vollständiger durchgenommen wird; daß die Einzelnen besser beobachtet und ihren be-sondern Bedürfnissen gemäß behandelt werden können; und daß nicht alle Seminarlehrer zugleich, zum Nachtheil der eigentlichen Zöglinge der Anstalt, sondern immer nur vorzugsweise derjenige, welchem der zu behandelnde Gegenstand auch im Seminar zugetheilt ist, in Anspruch genommen wird.	500:507	0:550	Dieſe Einrichtung gewährt den Vortheil , daß man jedesmal ſolche Subjecte zuſammen einberufen kann , die ungefähr auf gleicher Stufe ſtehen ; daß der Gegenſtand ſelbſt gründlicher und vollſtändiger durchgenommen wird ; daß die Einzelnen beſſer beobachtet und ihren be- ſondern Bedürfniſſen gemäß behandelt werden können ; und daß nicht alle Seminarlehrer zugleich , zum Nachtheil der eigentlichen Zöglinge der Anſtalt , ſondern immer nur vorzugsweiſe derjenige , welchem der zu behandelnde Gegenſtand auch im Seminar zugetheilt iſt , in Anſpruch genommen wird .	75	0:84	diese Einrichtung gewähren d Vorteil , daß man jedesmal solch Subjekt zusammen einberufen können , die ungefähr auf gleich Stufe stehen ; daß d Gegenstand selbst gründlich und vollständig durchnehmen werden ; daß d Einzelne gut beobachten und ihr be- sondern Bedürfnis gemäß behandeln werden können ; und daß nicht alle Seminarlehrer zugleich , zum Nachteil d eigentlich Zögling d Anstalt , sondern immer nur vorzugsweise diejenige , welche d zu behandelnd Gegenstand auch im Seminar zuteilen sein , in Anspruch nehmen werden .	PDAT NN VVFIN ART NN $, KOUS PIS ADV PIAT NN ADV VVPP VMFIN $, PRELS ADJD APPR ADJA NN VVFIN $. KOUS ART NN ADV ADJD KON ADJA VVPP VAFIN $. KOUS ART NN ADJD VVPP KON PPOSAT TRUNC KON NN ADJD VVPP VAINF VMFIN $. KON KOUS PTKNEG PIAT NN ADV $, APPRART NN ART ADJA NN ART NN $, KON ADV ADV ADJD PDS $, PRELS ART PTKZU ADJA NN ADV APPRART NN VVPP VAFIN $, APPR NN VVPP VAFIN $.	Diese Einrichtung gewährt den Vorteil , daß man jedesmal solche Subjekte zusammen einberufen kann , die ungefähr auf gleicher Stufe stehen ; daß der Gegenstand selbst gründlicher und vollständiger durchgenommen wird ; daß die Einzelnen besser beobachtet und ihren be- sondern Bedürfnissen gemäß behandelt werden können ; und daß nicht alle Seminarlehrer zugleich , zum Nachteil der eigentlichen Zöglinge der Anstalt , sondern immer nur vorzugsweise derjenige , welchem der zu behandelnde Gegenstand auch im Seminar zugeteilt ist , in Anspruch genommen wird .
Seminar	NN	1847	1	heckert_schulgesetzgebung_1847-1489-32	 	Das Ministerium findet sich durch manche in den Sanitäts-und andern Berichten der Regierungen erwähnte Unglücksfälle veranlaßt, von dem Provinzialschulcollegium und dem Consistorium Bericht darüber zu erfordern, ob in den Seminaren seines Bezirkes auch der nöthige Unterricht über Wiederbelebung der Scheintodten, Kenntniß der Giftpflanzen, Verhalten bei dem Bisse toller Hunde, Verhütung der Feuersbrünste und anderer Unglücksfälle ertheilt wird.	222:231	0:447	Das Miniſterium findet ſich durch manche in den Sanitäts- und andern Berichten der Regierungen erwähnte Unglücksfälle veranlaßt , von dem Provinzialſchulcollegium und dem Conſiſtorium Bericht darüber zu erfordern , ob in den Seminaren ſeines Bezirkes auch der nöthige Unterricht über Wiederbelebung der Scheintodten , Kenntniß der Giftpflanzen , Verhalten bei dem Biſſe toller Hunde , Verhütung der Feuersbrünſte und anderer Unglücksfälle ertheilt wird .	32	0:64	d Ministerium finden sich durch manche in d sanitäts- und ander Bericht d Regierung erwähnt Unglücksfall veranlassen , von d Provinzialschulkollegium und d Konsistorium Bericht darüber zu erfordern , ob in d Seminar seine Bezirk auch d nötig Unterricht über Wiederbelebung d Scheintote , Kenntnis d Giftpflanze , Verhalten bei d Biß toll Hund , Verhütung d Feuersbrunst und ander Unglücksfall erteilen werden .	ART NN VVFIN PRF APPR PIS APPR ART TRUNC KON ADJA NN ART NN ADJA NN VVPP $, APPR ART NN KON ART NN NN PAV PTKZU VVINF $, KOUS APPR ART NN PPOSAT NN ADV ART ADJA NN APPR NN ART NN $, NN ART NN $, NN APPR ART NN ADJA NN $, NN ART NN KON ADJA NN VVPP VAFIN $.	Das Ministerium findet sich durch manche in den Sanitäts- und anderen Berichten der Regierungen erwähnte Unglücksfälle veranlaßt , von dem Provinzialschulkollegium und dem Konsistorium Bericht darüber zu erfordern , ob in den Seminaren seines Bezirkes auch der nötige Unterricht über Wiederbelebung der Scheintoten , Kenntnis der Giftpflanzen , Verhalten bei dem Bisse toller Hunde , Verhütung der Feuersbrünste und anderer Unglücksfälle erteilt wird .
Seminar	NN	1847	1	heckert_schulgesetzgebung_1847-3371-18	 	Es zeigt nämlich die Erfahrung, daß die ganz veränderte Lebensart, zu welcher sich die in das Seminar eintretenden Jünglinge gewöhnen müssen, nicht ohne Nachtheil für ihr körperliches Befinden bleibt.	94:101	0:200	Es zeigt nämlich die Erfahrung , daß die ganz veränderte Lebensart , zu welcher ſich die in das Seminar eintretenden Jünglinge gewöhnen müſſen , nicht ohne Nachtheil für ihr körperliches Befinden bleibt .	18	0:33	es zeigen nämlich d Erfahrung , daß d ganz verändert Lebensart , zu welche sich d in d Seminar eintretend Jüngling gewöhnen müssen , nicht ohne Nachteil für ihr körperlich Befinden bleiben .	PPER VVFIN ADV ART NN $, KOUS ART ADV ADJA NN $, APPR PRELS PRF ART APPR ART NN ADJA NN VVINF VMFIN $, PTKNEG KOUI NN APPR PPOSAT ADJA NN VVFIN $.	Es zeigt nämlich die Erfahrung , daß die ganz veränderte Lebensart , zu welcher sich die in das Seminar eintretenden Jünglinge gewöhnen müssen , nicht ohne Nachteil für ihr körperliches Befinden bleibt .
Seminar	NN	1887	1	lange_maedchenschule_1887-544-31	 	— Übrigens würde — wir erwähnen das, um Mißverständnissen vorzubeugen — das Elementarexamen niemals als Vorbedingung für die Aufnahme in die Hochschule verlangt werden oder gelten können; Hochschule und Seminar können für Frauen eben so wenig voneinander abhängen, wie für Männer; es sollen also nicht zwei Examina nacheinander abgelegt werden, sondern nach Wahl und Befähigung nur das niedere oder nur das höhere	203:210	0:413	— Übrigens würde — wir erwähnen das , um Mißverständnissen vorzubeugen — das Elementarexamen niemals als Vorbedingung für die Aufnahme in die Hochschule verlangt werden oder gelten können ; Hochschule und Seminar können für Frauen eben so wenig voneinander abhängen , wie für Männer ; es sollen also nicht zwei Examina nacheinander abgelegt werden , sondern nach Wahl und Befähigung nur das niedere oder nur das höhere	31	0:67	-- übrigens werden -- wir erwähnen d , um Mißverständnis vorbeugen -- d Elementarexamen niemals als Vorbedingung für d Aufnahme in d Hochschule verlangen werden oder gelten können ; Hochschule und Seminar können für Frau eben so wenig voneinander abhängen , wie für Mann ; es sollen also nicht zwei Examina nacheinander ablegen werden , sondern nach Wahl und Befähigung nur d nieder oder nur d hoch	$( ADV VAFIN $( PPER VVINF ART $, KOUI NN VVIZU $( ART NN ADV KOKOM NN APPR ART NN APPR ART NN VVPP VAINF KON VVINF VMINF $. NN KON NN VMFIN APPR NN ADV ADV PIS ADV VVINF $, PWAV APPR NN $. PPER VMFIN ADV PTKNEG CARD NN ADV VVPP VAINF $, KON APPR NN KON NN ADV ART ADJA KON ADV ART ADJA	-- Übrigens würde -- wir erwähnen das , um Mißverständnissen vorzubeugen -- das Elementarexamen niemals als Vorbedingung für die Aufnahme in die Hochschule verlangt werden oder gelten können ; Hochschule und Seminar können für Frauen eben so wenig voneinander abhängen , wie für Männer ; es sollen also nicht zwei Examina nacheinander abgelegt werden , sondern nach Wahl und Befähigung nur das niedere oder nur das höhere
