identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1955_08_04_01_259.tcf.xml-8-13	26120215_1971_07_16_01_102.tcf.xml-2-1	annotator1	3.0	 	Sensation	3
roux_kampf_1881-408-13	griesinger_psychische_1845-2370-49	annotator1	4.0	 	Sensation	3
roux_kampf_1881-408-13	fessler_eleusinien01_1802-1334-9	annotator1	2.0	 	Sensation	3
2532889X_1956-02-05_01_105.tcf.xml-7-10	2532889X_1962-01-30_01_036.tcf.xml-21-7	annotator1	4.0	 	Sensation	3
herbart_psychologie02_1825-4886-21	griesinger_psychische_1845-1977-19	annotator1	4.0	 	Sensation	3
griesinger_psychische_1845-2370-49	griesinger_psychische_1845-1235-4	annotator1	4.0	 	Sensation	3
varnhagen_rahel03_1834-1540-5	varnhagen_rahel01_1834-5296-10	annotator1	4.0	 	Sensation	3
baumgart_poetik_1887-4801-21	herbart_psychologie02_1825-4886-21	annotator1	4.0	 	Sensation	3
wernicke_symptomencomplex_1874-1065-4	varnhagen_rahel01_1834-5296-10	annotator1	3.0	 	Sensation	3
weerth_schnapphahnski_1849-1915-11	2532889X_1964-07-09_01_152.tcf.xml-10-32	annotator1	3.0	 	Sensation	3
26120215_1955_08_04_01_259.tcf.xml-8-13	nn_nrhz084b_1848-270-12	annotator1	3.0	 	Sensation	3
griesinger_psychische_1845-1977-19	griesinger_psychische_1845-1198-14	annotator1	4.0	 	Sensation	3
griesinger_psychische_1845-1198-14	baumgart_poetik_1887-4801-21	annotator1	3.0	 	Sensation	3
wernicke_symptomencomplex_1874-1065-4	griesinger_psychische_1845-1235-4	annotator1	4.0	 	Sensation	3
varnhagen_rahel01_1834-5296-10	griesinger_psychische_1845-1190-55	annotator1	4.0	 	Sensation	3
2532889X_1950-02-17_01_129.tcf.xml-6-19	freud_hysterie_1895-2477-16	annotator1	2.0	 	Sensation	3
herbart_psychologie02_1825-3297-76	herbart_psychologie02_1825-4886-21	annotator1	0.0	andere Sprache Satz 2	Sensation	3
herbart_psychologie02_1825-4886-21	herbart_psychologie02_1825-1160-16	annotator1	4.0	 	Sensation	3
freud_hysterie_1895-2472-5	varnhagen_rahel03_1834-1540-5	annotator1	4.0	 	Sensation	3
baumgart_poetik_1887-4801-21	griesinger_psychische_1845-1977-19	annotator1	4.0	 	Sensation	3
varnhagen_rahel03_1834-1540-5	herbart_psychologie02_1825-4886-21	annotator1	4.0	 	Sensation	3
26120215_1955_08_04_01_259.tcf.xml-8-13	26120215_1987_11_20_01_102.tcf.xml-34-12	annotator1	4.0	 	Sensation	3
fessler_eleusinien01_1802-1334-9	freud_hysterie_1895-2472-5	annotator1	2.0	 	Sensation	3
scherer_poetik_1888-2121-12	26120215_1970_11_18_01_030.tcf.xml-14-5	annotator1	4.0	 	Sensation	3
varnhagen_rahel03_1834-1540-5	herbart_psychologie02_1825-4886-21	annotator6	4.0	 	Sensation	3
weerth_schnapphahnski_1849-1915-11	2532889X_1964-07-09_01_152.tcf.xml-10-32	annotator6	4.0	 	Sensation	3
griesinger_psychische_1845-1198-14	freud_hysterie_1895-2472-5	annotator6	4.0	 	Sensation	3
jung_lebensgeschichte_1835-6446-59	2532889X_1964-08-23_01_087.tcf.xml-6-11	annotator6	3.0	 	Sensation	3
griesinger_psychische_1845-2370-49	wernicke_symptomencomplex_1874-1065-4	annotator6	4.0	 	Sensation	3
varnhagen_rahel01_1834-5296-10	carus_gynaekologie01_1820-591-107	annotator6	2.0	 	Sensation	3
varnhagen_rahel01_1834-5296-10	freud_hysterie_1895-2477-29	annotator6	4.0	 	Sensation	3
freud_hysterie_1895-2477-16	paul_flegeljahre03_1804-1066-31	annotator6	2.0	 	Sensation	3
griesinger_psychische_1845-1190-55	varnhagen_rahel03_1834-9444-25	annotator6	4.0	 	Sensation	3
griesinger_psychische_1845-1190-55	griesinger_psychische_1845-1977-19	annotator6	4.0	 	Sensation	3
herbart_psychologie02_1825-1160-16	varnhagen_rahel03_1834-1540-5	annotator6	4.0	 	Sensation	3
nn_nrhz194b_1849-210-13	26120215_1954_04_11_01_235.tcf.xml-10-5	annotator6	4.0	 	Sensation	3
nn_nrhz287_1849-116-27	spielhagen_problematische02_1861-178-23	annotator6	2.0	 	Sensation	3
baumgart_poetik_1887-4801-21	fessler_eleusinien01_1802-1334-9	annotator6	3.0	 	Sensation	3
nn_nrhz294_1849-255-13	freud_hysterie_1895-2477-16	annotator6	2.0	 	Sensation	3
26120215_1948_10_12_01_041.tcf.xml-21-2	scherer_poetik_1888-2121-12	annotator6	2.0	 	Sensation	3
herbart_psychologie02_1825-4886-21	wernicke_symptomencomplex_1874-1065-4	annotator6	4.0	 	Sensation	3
