lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Sensation	NN	1848	1	nn_nrhz139_1848-531-8	 	Welcker, der berühmte Kommissär, (große Sensation) erstattet einen Bericht.	40:49	0:75	Welcker , der berühmte Kommissär , ( große Sensation ) erstattet einen Bericht .	8	0:14	Welcker , d berühmt Kommissär , ( groß Sensation ) erstatten eine Bericht .	NE $, ART ADJA NN $, $( ADJA NN $( VVPP ART NN $.	Welcker , der berühmte Kommissär , ( große Sensation ) erstattet einen Bericht .
Sensation	NN	1848	1	nn_nrhz231b2_1849-269-7	 	Die Entscheidung ist: Nein. (Sensation).	29:38	0:40	Die Entscheidung ist : Nein . ( Sensation ) .	7	0:10	d Entscheidung sein : nein . ( Sensation ) .	ART NN VAFIN $. PTKANT $. $( NN $( $.	Die Entscheidung ist : Nein . ( Sensation ) .
Sensation	NN	1848	1	nn_nrhz135i_1848-596-38	 	“ Jeder, der den etwaigen Befehlen Windischgrätz's Folge leistet, ist als Landesverräther zu behandeln“, so beschloß vorgestern das Repräsentantenhaus, in welchem die Ernennung des erwähnten Fürsten zum Generalissimus aller außeritalienischen Truppen Oesterreichs bedeutende Sensation erregte.	275:284	0:293	“ Jeder , der den etwaigen Befehlen Windischgrätz's Folge leistet , ist als Landesverräther zu behandeln “ , so beschloß vorgestern das Repräsentantenhaus , in welchem die Ernennung des erwähnten Fürsten zum Generalissimus aller außeritalienischen Truppen Oesterreichs bedeutende Sensation erregte .	38	0:41	" jede , die d etwaig Befehl Windischgrätz's Folge leisten , sein als Landesverräter zu behandeln " , so beschließen vorgestern d Repräsentantenhaus , in welche d Ernennung d erwähnt Fürst zum Generalissimus alle außeritalienisch Truppe Österreich bedeutend Sensation erregen .	$( PIS $, PRELS ART ADJA NN NE NN VVFIN $, VAFIN KOKOM NN PTKZU VVINF $( $, ADV VVFIN ADV ART NN $, APPR PRELS ART NN ART ADJA NN APPRART NN PIAT ADJA NN NE ADJA NN VVFIN $.	" Jeder , der den etwaigen Befehlen Windischgrätz's Folge leistet , ist als Landesverräter zu behandeln " , so beschloß vorgestern das Repräsentantenhaus , in welchem die Ernennung des erwähnten Fürsten zum Generalissimus aller außeritalienischen Truppen Österreichs bedeutende Sensation erregte .
Sensation	NN	1895	1	freud_hysterie_1895-3916-28	 	Wenn sich unter den Aufgaben der Analyse die Beseitigung eines Symptoms befindet, welches der Intensitätssteigerung oder der Wiederkehr fähig ist (Schmerzen, Reizsymptome wie Erbrechen, Sensationen, Contracturen), so beobachtet man während der Arbeit von Seiten dieses Symptoms das interessante und nicht unerwünschte Phänomen des „Mitsprechens“.	186:197	0:346	Wenn sich unter den Aufgaben der Analyse die Beseitigung eines Symptoms befindet , welches der Intensitätssteigerung oder der Wiederkehr fähig ist ( Schmerzen , Reizsymptome wie Erbrechen , Sensationen , Contracturen ) , so beobachtet man während der Arbeit von Seiten dieses Symptoms das interessante und nicht unerwünschte Phänomen des „ Mitsprechens “ .	28	0:54	wenn sich unter d Aufgabe d Analyse d Beseitigung eine Symptom befinden , welche d Intensitätssteigerung oder d Wiederkehr fähig sein ( Schmerz , Reizsymptom wie Erbrechen , Sensation , Kontraktur ) , so beobachten man während d Arbeit von Seite diese Symptom d interessant und nicht unerwünscht Phänomen d " Mitsprechen " .	KOUS PRF APPR ART NN ART NN ART NN ART NN VVFIN $, PRELS ART NN KON ART NN ADJD VAFIN $( NN $, NN KON NN $, NN $, NN $( $, ADV VVFIN PIS APPR ART NN APPR NN PDAT NN ART ADJA KON PTKNEG ADJA NN ART $( NN $( $.	Wenn sich unter den Aufgaben der Analyse die Beseitigung eines Symptoms befindet , welches der Intensitätssteigerung oder der Wiederkehr fähig ist ( Schmerzen , Reizsymptome wie Erbrechen , Sensationen , Kontrakturen ) , so beobachtet man während der Arbeit von Seiten dieses Symptoms das interessante und nicht unerwünschte Phänomen des " Mitsprechens " .
Sensation	NN	1848	1	nn_nrhz294_1849-255-13	 	In Wien erregte die Unabhängigkeitserklärung Kossuth's bei der revolutionären Partei große Freude und Sensation, nur die Konservativen schreien ach! und weh!, und prophezeien uns trotz der freundschaftlichen Versicherung Kossuth's, mit uns im besten Einvernehmen stehen zu wollen, Noth, Theurung, gänzlicher Ruin unserer Gewerbe und Industrie, da, wie sie fürchten, die Ungarn ihre reichen Naturprodukte um theures Geld nach England ausführen werden, und umgekehrt ihre Industrieprodukte um billigeres Geld und besser aus England beziehen werden.	102:111	0:546	In Wien erregte die Unabhängigkeitserklärung Kossuth's bei der revolutionären Partei große Freude und Sensation , nur die Konservativen schreien ach ! und weh ! , und prophezeien uns trotz der freundschaftlichen Versicherung Kossuth's , mit uns im besten Einvernehmen stehen zu wollen , Noth , Theurung , gänzlicher Ruin unserer Gewerbe und Industrie , da , wie sie fürchten , die Ungarn ihre reichen Naturprodukte um theures Geld nach England ausführen werden , und umgekehrt ihre Industrieprodukte um billigeres Geld und besser aus England beziehen werden .	13	0:87	in Wien erregen d Unabhängigkeitserklärung Kossuth bei d revolutionär Partei groß Freude und Sensation , nur d Konservative schreien ach ! und weh ! , und prophezeien wir trotz d freundschaftlich Versicherung Kossuth , mit wir im gut Einvernehmen stehen zu wollen , Not , Teuerung , gänzlich Ruin unsere Gewerbe und Industrie , da , wie sie fürchten , die Ungarn ihr reich Naturprodukt um teuer Geld nach England ausführen werden , und umgekehrt ihr Industrieprodukt um billig Geld und gut aus England beziehen werden .	APPR NE VVFIN ART NN NE APPR ART ADJA NN ADJA NN KON NN $, ADV ART NN VVFIN ADV $. KON ADJD $. $, KON VVFIN PPER APPR ART ADJA NN NE $, APPR PPER APPRART ADJA NN VVINF PTKZU VMINF $, NN $, NN $, ADJA NN PPOSAT NN KON NN $, KOUS $, PWAV PPER VVFIN $, PRELS NE PPOSAT ADJA NN APPR ADJA NN APPR NE VVINF VAFIN $, KON ADJD PPOSAT NN APPR ADJA NN KON ADJD APPR NE VVINF VAFIN $.	In Wien erregte die Unabhängigkeitserklärung Kossuth's bei der revolutionären Partei große Freude und Sensation , nur die Konservativen schreien ach ! und weh ! , und prophezeien uns trotz der freundschaftlichen Versicherung Kossuth's , mit uns im besten Einvernehmen stehen zu wollen , Not , Teuerung , gänzlicher Ruin unserer Gewerbe und Industrie , da , wie sie fürchten , die Ungarn ihre reichen Naturprodukte um teures Geld nach England ausführen werden , und umgekehrt ihre Industrieprodukte um billigeres Geld und besser aus England beziehen werden .
Sensation	NN	1866	1	berg_ostasien02_1866-1507-9	 	Das Erscheinen des grossen Kriegsschiffes machte dort die grösste Sensation; die Bewohner der Küstenorte hatten niemals Europäer noch deren Fahrzeuge zu Gesichte bekommen, und sammelten sich in hunderten von Booten unter freudiger Begrüssung um das Schiff.	66:75	0:256	Das Erscheinen des grossen Kriegsschiffes machte dort die grösste Sensation ; die Bewohner der Küstenorte hatten niemals Europäer noch deren Fahrzeuge zu Gesichte bekommen , und sammelten sich in hunderten von Booten unter freudiger Begrüssung um das Schiff .	9	0:39	d Erscheinen d groß Kriegsschiff machen dort d groß Sensation ; d Bewohner d Küstenort haben niemals Europäer noch die Fahrzeug zu Gesicht bekommen , und sammeln sich in hundert von Boot unter freudig Begrüßung um d Schiff .	ART NN ART ADJA NN VVFIN ADV ART ADJA NN $. ART NN ART NN VAFIN ADV NN KON PRELAT NN APPR NN VVINF $, KON VVFIN PRF APPR ADJA APPR NN APPR ADJA NN APPR ART NN $.	Das Erscheinen des großen Kriegsschiffes machte dort die größte Sensation ; die Bewohner der Küstenorte hatten niemals Europäer noch deren Fahrzeuge zu Gesichte bekommen , und sammelten sich in hunderten von Booten unter freudiger Begrüßung um das Schiff .
Sensation	NN	1888	1	nn_maehrisches204_1888-475-14	 	Das Gerücht wurde vielfach geglaubt und erregte begreiflicherweise in allen Kreisen der Bevölkerung große Sensation.	106:115	0:116	Das Gerücht wurde vielfach geglaubt und erregte begreiflicherweiſe in allen Kreiſen der Bevölkerung große Senſation .	14	0:16	d Gerücht werden vielfach glauben und erregen begreiflicherweise in alle Kreis d Bevölkerung groß Sensation .	ART NN VAFIN ADV VVPP KON VVFIN ADV APPR PIAT NN ART NN ADJA NN $.	Das Gerücht wurde vielfach geglaubt und erregte begreiflicherweise in allen Kreisen der Bevölkerung große Sensation .
Sensation	NN	1834	1	varnhagen_rahel03_1834-1540-5	 	Alle deine Gedanken, deine Sensationen, dein Sitzen, deinen Schlaf, das Wetter, alles rechnete ich nach!	27:38	0:104	Alle deine Gedanken , deine Senſationen , dein Sitzen , deinen Schlaf , das Wetter , alles rechnete ich nach !	5	0:21	alle deine Gedanke , deine Sensation , dein Sitz , deine Schlaf , d Wetter , alle rechnen ich nach !	PIAT PPOSAT NN $, PPOSAT NN $, PPOSAT NN $, PPOSAT NN $, ART NN $, PIS VVFIN PPER PTKVZ $.	Alle deine Gedanken , deine Sensationen , dein Sitzen , deinen Schlaf , das Wetter , alles rechnete ich nach !
Sensation	NN	1848	1	nn_nrhz287_1849-116-27	 	„Wie Friedrich Barbarossa liege ich zu Ihren Füßen und flehe Sie an, retten Sie die Monarchie!“ entstand in der zweiten Kammer eine tiefe Sensation.	138:147	0:148	„ Wie Friedrich Barbarossa liege ich zu Ihren Füßen und flehe Sie an , retten Sie die Monarchie ! “ entstand in der zweiten Kammer eine tiefe Sensation .	27	0:29	" wie Friedrich Barbarossa liegen ich zu ihr Fuß und flehen sie an , retten sie d Monarchie ! " entstehen in d zweit Kammer eine tief Sensation .	$( PWAV NE NE VVFIN PPER APPR PPOSAT NN KON VVFIN PPER PTKVZ $, VVINF PPER ART NN $. $( VVFIN APPR ART ADJA NN ART ADJA NN $.	" Wie Friedrich Barbarossa liege ich zu Ihren Füßen und flehe Sie an , retten Sie die Monarchie ! " entstand in der zweiten Kammer eine tiefe Sensation .
Sensation	NN	1835	1	jung_lebensgeschichte_1835-6446-59	 	Aus allen Provinzen Deutschlands erhielt Stilling aus allen Ständen — vom Thron bis zum Pflug eine Menge Briefe, die ihm den lautesten Beifall bezeugten; nicht wenige gelehrte Zweifler wurden dadurch überzeugt, und für das wahre Christenthum gewonnen; mit Einem Wort, es gibt wenig Bücher, die eine solche starke und weit um sich greifende Sensation gemacht haben, als Stillings Heimweh.	340:349	0:387	Aus allen Provinzen Deutſchlands erhielt Stilling aus allen Staͤnden — vom Thron bis zum Pflug eine Menge Briefe , die ihm den lauteſten Beifall bezeugten ; nicht wenige gelehrte Zweifler wurden dadurch uͤberzeugt , und fuͤr das wahre Chriſtenthum gewonnen ; mit Einem Wort , es gibt wenig Buͤcher , die eine ſolche ſtarke und weit um ſich greifende Senſation gemacht haben , als Stillings Heimweh .	59	0:67	aus alle Provinz Deutschland erhalten Stilling aus alle Stand -- vom Thron bis zum Pflug eine Menge Brief , die er d laut Beifall bezeugen ; nicht wenige gelehrt Zweifler werden dadurch überzeugen , und für d wahr Christentum gewinnen ; mit eine Wort , es geben wenig Buch , die eine solch stark und weit um sich greifend Sensation machen haben , als Stillings Heimweh .	APPR PIAT NN NE VVFIN NE APPR PIAT NN $( APPRART NN APPR APPRART NN ART NN NN $, PRELS PPER ART ADJA NN VVFIN $. PTKNEG PIAT ADJA NN VAFIN PAV VVPP $, KON APPR ART ADJA NN VVPP $. APPR ART NN $, PPER VVFIN PIAT NN $, PRELS ART PIAT ADJA KON ADJD APPR PRF ADJA NN VVPP VAINF $, KOUS NE NN $.	Aus allen Provinzen Deutschlands erhielt Stilling aus allen Ständen -- vom Thron bis zum Pflug eine Menge Briefe , die ihm den lautesten Beifall bezeugten ; nicht wenige gelehrte Zweifler wurden dadurch überzeugt , und für das wahre Christentum gewonnen ; mit Einem Wort , es gibt wenig Bücher , die eine solche starke und weit um sich greifende Sensation gemacht haben , als Stillings Heimweh .
