identifier1	identifier2	annotator	judgment	comment	lemma	round
goethe_divan_1819-1436-40	carus_zoologie_1872-8165-26	annotator1	2.0	 	Titel	3
heine_reisebilder03_1830-1694-9	26120215_1978_07_21_01_133.tcf.xml-6-16	annotator1	2.0	 	Titel	3
klueber_recht_1817-1265-25	2532889X_1967-09-04_01_162.tcf.xml-4-18	annotator1	2.0	 	Titel	3
hundtradowsky_judenschule03_1823-927-37	robert_griechische_1881-1360-3	annotator1	2.0	 	Titel	3
nn_nrhz009_1848-506-28	laband_staatsrecht01_1876-2998-11	annotator1	2.0	 	Titel	3
nn_nrhz246b_1849-197-8	mangoldt_unternehmergewinn_1855-183-31	annotator1	2.0	 	Titel	3
mayer_verwaltungsrecht02_1896-3088-11	laband_staatsrecht01_1876-3007-23	annotator1	3.0	 	Titel	3
nn_nrhz083_1848-15-17	26120215_1967_06_13_01_027.tcf.xml-6-18	annotator1	3.0	 	Titel	3
treitschke_geschichte05_1894-2281-17	laband_staatsrecht01_1876-3007-23	annotator1	4.0	 	Titel	3
2532889X_1958-07-06_01_010.tcf.xml-3-23	26120215_1978_07_21_01_133.tcf.xml-6-16	annotator1	3.0	 	Titel	3
26120215_1973_09_02_01_116.tcf.xml-26-19	justi_velazquez01_1888-5612-20	annotator1	0.0	unklarer Kontext in Satz 1	Titel	3
nn_maehrisches166_1893-82-11	26120215_1969_03_25_01_101.tcf.xml-12-9	annotator1	4.0	 	Titel	3
2532889X_1984-07-16_01_219.tcf.xml-2-8	klueber_voelkerrecht01_1821-3214-3	annotator1	2.0	 	Titel	3
2532889X_1962-09-23_01_096.tcf.xml-8-7	26120215_1953_02_10_01_020.tcf.xml-50-18	annotator1	2.0	 	Titel	3
ranke_reformation05_1843-3946-34	justi_velazquez01_1888-5612-20	annotator1	0.0	unklarer Kontext in Satz 2	Titel	3
laband_staatsrecht01_1876-2998-11	2532889X_1963-04-14_01_049.tcf.xml-276-17	annotator1	2.0	 	Titel	3
brunner_rechtsgeschichte02_1892-3628-30	26120215_1978_07_21_01_133.tcf.xml-6-16	annotator1	3.0	 	Titel	3
treitschke_geschichte04_1889-11230-24	26120215_1983_10_03_01_137.tcf.xml-10-15	annotator1	2.0	 	Titel	3
goerres_volksbuecher_1807-875-9	2532889X_1970-10-03_01_024.tcf.xml-5-12	annotator1	2.0	 	Titel	3
2532889X_1983-05-16_01_206.tcf.xml-2-11	klostermann_eigenthum01_1867-5332-37	annotator1	2.0	 	Titel	3
treitschke_geschichte04_1889-11230-24	keller_sinngedicht_1882-3096-11	annotator1	2.0	 	Titel	3
laband_staatsrecht01_1876-2944-31	klueber_recht_1817-1265-25	annotator1	2.0	 	Titel	3
nn_nrhz133_1848-528-19	26120215_1964_09_04_01_092.tcf.xml-13-10	annotator1	2.0	 	Titel	3
2532889X_1947-02-22_01_028.tcf.xml-13-6	2532889X_1963-04-14_01_049.tcf.xml-276-17	annotator1	2.0	 	Titel	3
klueber_recht_1817-1265-25	mayer_verwaltungsrecht01_1895-6024-36	annotator1	2.0	 	Titel	3
26120215_1957_11_30_01_037.tcf.xml-1-10	laband_staatsrecht01_1876-2944-31	annotator1	2.0	 	Titel	3
26120215_1990_06_14_01_174.tcf.xml-2-10	26120215_1978_07_21_01_133.tcf.xml-6-16	annotator1	2.0	 	Titel	3
klueber_voelkerrecht01_1821-3214-3	26120215_1978_07_21_01_133.tcf.xml-6-16	annotator1	2.0	 	Titel	3
klueber_recht_1817-1265-25	26120215_1967_06_13_01_027.tcf.xml-6-18	annotator1	2.0	 	Titel	3
ranke_reformation02_1839-2929-5	26120215_1967_06_13_01_027.tcf.xml-6-18	annotator1	4.0	 	Titel	3
bluntschli_voelkerrecht_1868-2120-10	26120215_1978_07_21_01_133.tcf.xml-6-16	annotator1	3.0	 	Titel	3
26120215_1988_06_25_01_114.tcf.xml-13-20	26120215_1967_06_13_01_027.tcf.xml-6-18	annotator1	3.0	 	Titel	3
2532889X_1961-03-01_01_115.tcf.xml-19-3	laband_staatsrecht01_1876-2944-31	annotator1	3.0	 	Titel	3
