identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1978_05_19_01_259.tcf.xml-182-17	krane_reitpferd_1856-364-10	annotator1	2.0	 	Tragfähigkeit	3
krane_reitpferd_1856-364-10	2532889X_1960-10-30_01_010.tcf.xml-9-2	annotator1	2.0	 	Tragfähigkeit	3
26120215_1983_06_14_01_006.tcf.xml-7-6	krane_reitpferd_1856-364-10	annotator1	2.0	 	Tragfähigkeit	3
2532889X_1983-11-16_01_044.tcf.xml-61-32	26120215_1987_07_11_01_100.tcf.xml-25-16	annotator1	2.0	 	Tragfähigkeit	3
26120215_1987_07_11_01_100.tcf.xml-25-16	26120215_1983_01_04_01_289.tcf.xml-3-7	annotator1	2.0	 	Tragfähigkeit	3
2532889X_1982-11-01_01_055.tcf.xml-15-11	2532889X_1983-11-16_01_044.tcf.xml-61-32	annotator1	2.0	 	Tragfähigkeit	3
2532889X_1960-10-30_01_010.tcf.xml-9-2	26120215_1978_05_19_01_259.tcf.xml-182-17	annotator1	3.0	 	Tragfähigkeit	3
2532889X_1983-11-16_01_044.tcf.xml-61-32	26120215_1956_09_25_01_192.tcf.xml-8-33	annotator1	2.0	 	Tragfähigkeit	3
2532889X_1972-09-17_01_066.tcf.xml-3-30	26120215_1987_07_11_01_100.tcf.xml-25-16	annotator1	3.0	 	Tragfähigkeit	3
26120215_1978_05_19_01_259.tcf.xml-182-17	chamberlain_grundlagen02_1899-2348-52	annotator1	2.0	 	Tragfähigkeit	3
26120215_1947_03_07_01_011.tcf.xml-6-11	2532889X_1970-07-25_01_209.tcf.xml-9-3	annotator1	2.0	 	Tragfähigkeit	3
26120215_1983_06_14_01_006.tcf.xml-7-6	26120215_1966_12_11_01_490.tcf.xml-13-17	annotator1	2.0	 	Tragfähigkeit	3
2532889X_1968-12-01_01_185.tcf.xml-31-8	2532889X_1978-04-03_01_030.tcf.xml-3-22	annotator1	4.0	 	Tragfähigkeit	3
26120215_1987_07_11_01_100.tcf.xml-25-16	26120215_1966_12_11_01_490.tcf.xml-13-17	annotator1	3.0	 	Tragfähigkeit	3
2532889X_1990-08-11_01_083.tcf.xml-3-14	26120215_1947_03_07_01_011.tcf.xml-6-11	annotator1	2.0	 	Tragfähigkeit	3
26120215_1966_12_11_01_490.tcf.xml-13-17	2532889X_1982-11-01_01_055.tcf.xml-15-11	annotator1	2.0	 	Tragfähigkeit	3
26120215_1966_12_11_01_490.tcf.xml-13-17	26120215_1978_05_19_01_259.tcf.xml-182-17	annotator1	2.0	 	Tragfähigkeit	3
2532889X_1973-04-25_01_107.tcf.xml-22-13	2532889X_1979-07-23_01_052.tcf.xml-28-11	annotator6	4.0	 	Tragfähigkeit	3
beck_eisen04_1899-2419-13	26120215_1987_07_11_01_100.tcf.xml-25-16	annotator6	2.0	 	Tragfähigkeit	3
26120215_1983_06_14_01_006.tcf.xml-7-6	2532889X_1982-11-01_01_055.tcf.xml-15-11	annotator6	4.0	 	Tragfähigkeit	3
26120215_1983_06_14_01_006.tcf.xml-7-6	krane_reitpferd_1856-364-10	annotator6	2.0	 	Tragfähigkeit	3
26120215_1972_06_30_01_291.tcf.xml-235-5	26120215_1966_12_11_01_490.tcf.xml-13-17	annotator6	1.0	 	Tragfähigkeit	3
26120215_1966_12_11_01_490.tcf.xml-13-17	26120215_1978_05_19_01_259.tcf.xml-182-17	annotator6	2.0	 	Tragfähigkeit	3
26120215_1987_07_11_01_100.tcf.xml-25-16	freud_hysterie_1895-2393-21	annotator6	2.0	 	Tragfähigkeit	3
