identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1964-05-24_01_221.tcf.xml-6-11	26120215_1983_04_21_01_026.tcf.xml-11-17	annotator2	4.0	 	Truppenteil	2
2532889X_1975-04-16_01_041.tcf.xml-58-4	26120215_1986_06_30_01_017.tcf.xml-4-6	annotator2	3.0	 	Truppenteil	2
nn_nrhz073_1848-16-7	laband_staatsrecht0301_1880-3288-20	annotator2	4.0	 	Truppenteil	2
26120215_1970_07_26_01_428.tcf.xml-1-15	2532889X_1961-12-21_01_116.tcf.xml-5-13	annotator2	3.0	 	Truppenteil	2
nn_nrhz081_1848-387-13	26120215_1986_02_22_01_321.tcf.xml-139-71	annotator2	4.0	 	Truppenteil	2
26120215_1966_02_27_01_452.tcf.xml-25-8	laband_staatsrecht0301_1880-3566-9	annotator2	3.0	 	Truppenteil	2
laband_staatsrecht0301_1880-1391-30	laband_staatsrecht0301_1880-457-2	annotator2	4.0	 	Truppenteil	2
nn_nrhz081_1848-406-15	laband_staatsrecht0301_1880-3617-57	annotator2	4.0	 	Truppenteil	2
2532889X_1972-07-04_01_031.tcf.xml-15-4	laband_staatsrecht0301_1880-3617-57	annotator2	4.0	 	Truppenteil	2
26120215_1971_02_23_01_207.tcf.xml-5-11	laband_staatsrecht0301_1880-931-21	annotator2	4.0	 	Truppenteil	2
2532889X_1972-04-18_01_370.tcf.xml-2-7	nn_nrhz096_1848-230-15	annotator2	4.0	 	Truppenteil	2
2532889X_1974-03-12_01_492.tcf.xml-2-9	26120215_1986_06_30_01_017.tcf.xml-4-6	annotator2	3.0	 	Truppenteil	2
grabbe_napoleon_1831-4088-20	2532889X_1961-12-21_01_116.tcf.xml-5-13	annotator2	4.0	 	Truppenteil	2
nn_nrhz183_1848-182-18	laband_staatsrecht0301_1880-931-21	annotator2	4.0	 	Truppenteil	2
2532889X_1975-02-14_01_026.tcf.xml-5-14	laband_staatsrecht0301_1880-1666-18	annotator2	4.0	 	Truppenteil	2
2532889X_1972-02-29_01_010.tcf.xml-13-3	laband_staatsrecht0301_1880-3627-4	annotator2	4.0	 	Truppenteil	2
2532889X_1975-04-12_01_181.tcf.xml-27-19	laband_staatsrecht0301_1880-3617-57	annotator2	4.0	 	Truppenteil	2
laband_staatsrecht0301_1880-3868-75	26120215_1986_02_22_01_321.tcf.xml-139-71	annotator2	4.0	 	Truppenteil	2
26120215_1964_04_05_01_363.tcf.xml-78-16	2532889X_1961-12-21_01_116.tcf.xml-5-13	annotator2	3.0	 	Truppenteil	2
26120215_1963_10_13_01_184.tcf.xml-45-5	nn_nrhz096_1848-230-15	annotator2	4.0	 	Truppenteil	2
2532889X_1982-03-20_01_228.tcf.xml-33-9	nn_nrhz189ii_1849-196-23	annotator2	4.0	 	Truppenteil	2
2532889X_1988-01-26_01_026.tcf.xml-2-24	26120215_1977_02_25_01_017.tcf.xml-6-14	annotator2	4.0	 	Truppenteil	2
26120215_1974_09_14_01_026.tcf.xml-45-19	nn_nrhz189ii_1849-196-23	annotator2	4.0	 	Truppenteil	2
2532889X_1985-02-25_01_005.tcf.xml-28-20	laband_staatsrecht0301_1880-909-26	annotator2	4.0	 	Truppenteil	2
2532889X_1948-10-30_01_014.tcf.xml-3-16	nn_nrhz096_1848-230-15	annotator2	4.0	 	Truppenteil	2
nn_nrhz274_1849-165-10	laband_staatsrecht0301_1880-931-21	annotator2	4.0	 	Truppenteil	2
2532889X_1980-07-31_01_032.tcf.xml-3-19	26120215_1977_02_25_01_017.tcf.xml-6-14	annotator2	4.0	 	Truppenteil	2
26120215_1966_09_16_01_301.tcf.xml-26-26	26120215_1986_02_22_01_321.tcf.xml-139-71	annotator2	4.0	 	Truppenteil	2
2532889X_1973-07-14_01_171.tcf.xml-9-16	laband_staatsrecht0301_1880-3846-44	annotator2	4.0	 	Truppenteil	2
laband_staatsrecht0301_1880-1653-25	laband_staatsrecht0301_1880-931-21	annotator2	4.0	 	Truppenteil	2
2532889X_1953-04-29_01_031.tcf.xml-57-3	26120215_1986_06_30_01_017.tcf.xml-4-6	annotator2	4.0	 	Truppenteil	2
alexis_ruhe05_1852-3036-7	2532889X_1975-09-12_01_007.tcf.xml-48-7	annotator2	4.0	 	Truppenteil	2
2532889X_1971-06-18_01_194.tcf.xml-8-7	26120215_1983_04_21_01_026.tcf.xml-11-17	annotator2	4.0	 	Truppenteil	2
laband_staatsrecht0301_1880-2378-13	26120215_1983_04_21_01_026.tcf.xml-11-17	annotator2	4.0	 	Truppenteil	2
unknown_civilprozessordnung_1877-326-29	2532889X_1983-06-04_01_243.tcf.xml-2-3	annotator2	4.0	 	Truppenteil	2
nn_nrhz289_1849-261-21	laband_staatsrecht0301_1880-3627-4	annotator2	4.0	 	Truppenteil	2
2532889X_1977-12-20_01_031.tcf.xml-3-34	26120215_1983_04_21_01_026.tcf.xml-11-17	annotator2	4.0	 	Truppenteil	2
2532889X_1983-07-23_01_043.tcf.xml-2-22	treitschke_geschichte01_1879-11039-22	annotator2	4.0	 	Truppenteil	2
26120215_1972_06_15_01_021.tcf.xml-18-12	nn_nrhz189ii_1849-196-23	annotator2	4.0	 	Truppenteil	2
nn_nrhz130_1848-199-46	laband_staatsrecht0301_1880-3627-4	annotator2	4.0	 	Truppenteil	2
laband_staatsrecht0301_1880-681-43	laband_staatsrecht0301_1880-3627-4	annotator2	4.0	 	Truppenteil	2
2532889X_1974-04-10_01_096.tcf.xml-4-18	laband_staatsrecht0301_1880-3627-4	annotator2	4.0	 	Truppenteil	2
unknown_civilprozessordnung_1877-894-14	laband_staatsrecht0301_1880-1666-18	annotator2	4.0	 	Truppenteil	2
laband_staatsrecht0301_1880-3569-17	laband_staatsrecht0301_1880-1666-18	annotator2	4.0	 	Truppenteil	2
26120215_1968_05_09_01_020.tcf.xml-3-5	treitschke_geschichte01_1879-11039-22	annotator2	4.0	 	Truppenteil	2
laband_staatsrecht0301_1880-4798-4	2532889X_1972-02-22_01_187.tcf.xml-78-15	annotator2	4.0	 	Truppenteil	2
bismarck_erinnerungen01_1898-2355-33	laband_staatsrecht0301_1880-931-21	annotator2	4.0	 	Truppenteil	2
laband_staatsrecht0301_1880-5443-29	2532889X_1972-02-22_01_187.tcf.xml-78-15	annotator2	4.0	 	Truppenteil	2
