lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Truppenteil	NN	1880	1	laband_staatsrecht0301_1880-4912-19	 	4. Der Quartiergeber kann demnach seine Forderung immer nur gegen den Gemeindevorstand, nicht gegen die Intendantur oder den Truppentheil geltend machen.	125:137	0:153	4. Der Quartiergeber kann demnach ſeine Forderung immer nur gegen den Gemeindevorſtand , nicht gegen die Intendantur oder den Truppentheil geltend machen .	19	0:23	4. d Quartiergeber können demnach seine Forderung immer nur gegen d Gemeindevorstand , nicht gegen d Intendantur oder d Truppenteil geltend machen .	ADV ART NN VMFIN PAV PPOSAT NN ADV ADV APPR ART NN $, PTKNEG APPR ART NN KON ART NN ADJD VVINF $.	4. Der Quartiergeber kann demnach seine Forderung immer nur gegen den Gemeindevorstand , nicht gegen die Intendantur oder den Truppenteil geltend machen .
Truppenteil	NN	1852	1	alexis_ruhe05_1852-3036-7	 	— Besitzen Sie ein vollständiges Kataster aller Truppentheile, die in's Feld rücken?“ setzte die Gargazin hinzu.	48:61	0:112	— Beſitzen Sie ein vollſtändiges Kataſter aller Truppentheile , die in's Feld rücken ? “ ſetzte die Gargazin hinzu .	7	0:20	-- Besitzen sie eine vollständig Kataster alle Truppenteil , die ins Feld rücken ? " setzen d Gargazin hinzu .	$( NN PPER ART ADJA NN PIAT NN $, PRELS APPRART NN VVINF $. $( VVFIN ART NE PTKVZ $.	-- Besitzen Sie ein vollständiges Kataster aller Truppenteile , die ins Feld rücken ? " setzte die Gargazin hinzu .
Truppenteil	NN	1880	1	laband_staatsrecht0301_1880-917-70	 	Auch in denjenigen Kontingenten, welche in den Verband der Preußischen Armee aufgenommen worden sind, ist den Landesherren ein Rest dieser äußeren Bekundung ihrer Kontingentsherrlichkeit gelassen worden, indem besondere Bestimmungen über die Helmdekoration, Kokarden, Schärpe, Portepee, Epauletten, Achselstücke und Achselklappen der betreffenden Truppentheile verabredet worden sind. Durchweg ist die Regel anerkannt, daß die ihrer Dienstpflicht genügenden Wehrpflichtigen neben der Kokarde des Truppentheils, in dem sie dienen, die Kokarde des Staates, dem sie angehören, tragen.	496:509	0:581	Auch in denjenigen Kontingenten , welche in den Verband der Preußiſchen Armee aufgenommen worden ſind , iſt den Landesherren ein Reſt dieſer äußeren Bekundung ihrer Kontingentsherrlichkeit gelaſſen worden , indem beſondere Beſtimmungen über die Helmdekoration , Kokarden , Schärpe , Portepee , Epauletten , Achſelſtücke und Achſelklappen der betreffenden Truppentheile verabredet worden ſind . Durchweg iſt die Regel anerkannt , daß die ihrer Dienſtpflicht genügenden Wehrpflichtigen neben der Kokarde des Truppentheils , in dem ſie dienen , die Kokarde des Staates , dem ſie angehören , tragen .	70	0:88	auch in denjenig Kontingent , welche in d Verband d preußisch Armee aufnehmen werden sein , sein d Landesherr eine Rest diese äußer Bekundung ihr Kontingentsherrlichkeit lassen werden , indem besondere Bestimmung über d Helmdekoration , Kokarde , Schärpe , Portepee , Epaulette , Achselstück und Achselklappe d betreffend Truppenteil verabreden werden sein . durchweg sein d Regel anerkennen , daß d ihr Dienstpflicht genügend Wehrpflichtige neben d Kokarde d Truppenteil , in die sie dienen , d Kokarde d Staat , die sie angehören , tragen .	ADV APPR PDAT NN $, PRELS APPR ART NN ART ADJA NN VVPP VAPP VAFIN $, VAFIN ART NN ART NN PDAT ADJA NN PPOSAT NN VVPP VAPP $, KOUS ADJA NN APPR ART NN $, NN $, NN $, NN $, NN $, NN KON NN ART ADJA NN VVPP VAPP VAFIN $. ADV VAFIN ART NN VVPP $, KOUS ART PPOSAT NN ADJA NN APPR ART NN ART NN $, APPR PRELS PPER VVFIN $, ART NN ART NN $, PRELS PPER VVFIN $, VVFIN $.	Auch in denjenigen Kontingenten , welche in den Verband der Preußischen Armee aufgenommen worden sind , ist den Landesherren ein Rest dieser äußeren Bekundung ihrer Kontingentsherrlichkeit gelassen worden , indem besondere Bestimmungen über die Helmdekoration , Kokarden , Schärpe , Portepee , Epauletten , Achselstücke und Achselklappen der betreffenden Truppenteile verabredet worden sind . Durchweg ist die Regel anerkannt , daß die ihrer Dienstpflicht genügenden Wehrpflichtigen neben der Kokarde des Truppenteils , in dem sie dienen , die Kokarde des Staates , dem sie angehören , tragen .
Truppenteil	NN	1880	1	laband_staatsrecht0301_1880-1666-18	 	Garnisonlazarethe sind einzurichten in allen Garnisonorten (und in Orten mit bleibendem Kommando), in denen die Truppentheile die Stärke einer Kompagnie oder Eskadron und darüber haben, und in Festungen.	112:125	0:203	Garniſonlazarethe ſind einzurichten in allen Garniſonorten ( und in Orten mit bleibendem Kommando ) , in denen die Truppentheile die Stärke einer Kompagnie oder Eskadron und darüber haben , und in Feſtungen .	18	0:33	Garnisonlazarethe sein einrichten in alle Garnisonort ( und in Ort mit bleibend Kommando ) , in die d Truppenteil d Stärke eine Kompanie oder Eskadron und darüber haben , und in Festung .	NE VAFIN VVIZU APPR PIAT NN $( KON APPR NN APPR ADJA NN $( $, APPR PRELS ART NN ART NN ART NN KON NN KON PAV VAFIN $, KON APPR NN $.	Garnisonlazarethe sind einzurichten in allen Garnisonorten ( und in Orten mit bleibendem Kommando ) , in denen die Truppenteile die Stärke einer Kompanie oder Eskadron und darüber haben , und in Festungen .
Truppenteil	NN	1880	1	laband_staatsrecht0301_1880-3566-9	 	Ermächtigt zum Abschluß der Kapitulation ist der Befehlshaber eines Truppentheils (Regiment, selbstst.	68:81	0:102	Ermächtigt zum Abſchluß der Kapitulation iſt der Befehlshaber eines Truppentheils ( Regiment , ſelbſtſt .	9	0:15	ermächtigen zum Abschluß d Kapitulation sein d Befehlshaber eine Truppenteil ( Regiment , Selbsttest .	VVPP APPRART NN ART NN VAFIN ART NN ART NN $( NN $, NN $.	Ermächtigt zum Abschluß der Kapitulation ist der Befehlshaber eines Truppenteils ( Regiment , Selbsttest .
Truppenteil	NN	1880	1	laband_staatsrecht0301_1880-3627-4	 	Durch Uebereinkunft zwischen dem Truppentheil und dem Kapitulanten, wenn die häuslichen Verhältnisse desselben seine Entlassung dringend wünschenswerth machen.	33:45	0:159	Durch Uebereinkunft zwiſchen dem Truppentheil und dem Kapitulanten , wenn die häuslichen Verhältniſſe deſſelben ſeine Entlaſſung dringend wünſchenswerth machen .	4	0:20	durch Übereinkunft zwischen d Truppenteil und d Kapitulant , wenn d häuslich Verhältnis dieselbe seine Entlaßung dringend wünschenswert machen .	APPR NN APPR ART NN KON ART NN $, KOUS ART ADJA NN PDS PPOSAT NN ADJD ADJD VVINF $.	Durch Übereinkunft zwischen dem Truppenteil und dem Kapitulanten , wenn die häuslichen Verhältnisse desselben seine Entlassung dringend wünschenswert machen .
Truppenteil	NN	1848	1	nn_nrhz081_1848-387-13	 	Das sicherste Mittel, allen Eventualitäten vorzubeugen, wäre die Zurückziehung des bewaffneten Truppentheils, die auch den vielen Versicherungen zufolge jetzt eintreten sollte, da, wie wir hören, die gerichtliche Vernehmung des Militärs beendet sein soll.	95:108	0:255	Das sicherste Mittel , allen Eventualitäten vorzubeugen , wäre die Zurückziehung des bewaffneten Truppentheils , die auch den vielen Versicherungen zufolge jetzt eintreten sollte , da , wie wir hören , die gerichtliche Vernehmung des Militärs beendet sein soll .	13	0:40	d sicher Mittel , alle Eventualität vorbeugen , sein d Zurückziehung d bewaffnet Truppenteil , die auch d viel Versicherung zufolge jetzt eintreten sollen , da , wie wir hören , d gerichtlich Vernehmung d Militär beenden sein sollen .	ART ADJA NN $, PIAT NN VVIZU $, VAFIN ART NN ART ADJA NN $, PRELS ADV ART PIAT NN APPO ADV VVINF VMFIN $, KOUS $, PWAV PPER VVINF $, ART ADJA NN ART NN VVPP VAINF VMFIN $.	Das sicherste Mittel , allen Eventualitäten vorzubeugen , wäre die Zurückziehung des bewaffneten Truppenteils , die auch den vielen Versicherungen zufolge jetzt eintreten sollte , da , wie wir hören , die gerichtliche Vernehmung des Militärs beendet sein soll .
Truppenteil	NN	1848	1	nn_nrhz245_1849-468-11	 	So viel ist sicher, daß der König von Neapel starke Truppentheile dahin abgeschickt hat.	52:65	0:88	So viel ist sicher , daß der König von Neapel starke Truppentheile dahin abgeschickt hat .	11	0:16	so viel sein sicher , daß d König von Neapel stark Truppenteil dahin abschicken haben .	ADV ADV VAFIN ADJD $, KOUS ART NN APPR NE ADJA NN PAV VVPP VAFIN $.	So viel ist sicher , daß der König von Neapel starke Truppenteile dahin abgeschickt hat .
Truppenteil	NN	1848	1	nn_nrhz112_1848-312-18	 	„Nein“; ad 3) erklärt er, es sei Gebrauch, wenn verschiedene Armeekorps und Truppentheile sich in einer Provinz zusammenfinden, den Oberbefehl einem Einzigen zu übergeben; ad 4) daß die politische Lage der Dinge in Deutschland, die Bewegung in dieser Stadt es nothwendig gemacht, auf alle Dinge geruster zu sein.	76:89	0:312	„ Nein “ ; ad 3 ) erklärt er , es sei Gebrauch , wenn verschiedene Armeekorps und Truppentheile sich in einer Provinz zusammenfinden , den Oberbefehl einem Einzigen zu übergeben ; ad 4 ) daß die politische Lage der Dinge in Deutschland , die Bewegung in dieser Stadt es nothwendig gemacht , auf alle Dinge geruster zu sein .	18	0:60	" nein " ; ad 3 ) erklären er , es sein Gebrauch , wenn verschieden Armeekorps und Truppenteil sich in eine Provinz zusammenfinden , d Oberbefehl eine Einzige zu übergeben ; ad 4 ) daß d politisch Lage d Ding in Deutschland , d Bewegung in diese Stadt es notwendig machen , auf alle Ding gerußt zu sein .	$( PTKANT $( $. FM CARD $( VVFIN PPER $, PPER VAFIN NN $, KOUS ADJA NN KON NN PRF APPR ART NN VVFIN $, ART NN ART NN PTKZU VVINF $. FM CARD $( KOUS ART ADJA NN ART NN APPR NE $, ART NN APPR PDAT NN PPER ADJD VVPP $, APPR PIAT NN ADJD PTKZU VAINF $.	" Nein " ; ad 3 ) erklärt er , es sei Gebrauch , wenn verschiedene Armeekorps und Truppenteile sich in einer Provinz zusammenfinden , den Oberbefehl einem Einzigen zu übergeben ; ad 4 ) daß die politische Lage der Dinge in Deutschland , die Bewegung in dieser Stadt es notwendig gemacht , auf alle Dinge gerußter zu sein .
Truppenteil	NN	1880	1	laband_staatsrecht0301_1880-3617-73	 	So lange dieselben noch dienstbrauchbar sind, dürfen sie gegen ihren Willen nur ausnahmsweise, wenn gewichtige Gründe vorliegen, und nach sechsmonatlicher Kündigung aus dem Dienst entlassen werden, nachdem die Genehmigung des General-Kommando’s hierzu eingeholt worden ist. Kapitulanten, deren Kapitulation während des mobilen Zustandes oder einer vom Kaiser angeordneten außergewöhnlichen Verstärkung ihres Truppentheils abläuft, dürfen ihre Entlassung aus dem Dienst erst bei der Demobilmachung oder Ueberführung ihres Truppentheils auf den Friedensstand fordern.	521:534	0:565	So lange dieſelben noch dienſtbrauchbar ſind , dürfen ſie gegen ihren Willen nur ausnahmsweiſe , wenn gewichtige Gründe vorliegen , und nach ſechsmonatlicher Kündigung aus dem Dienſt entlaſſen werden , nachdem die Genehmigung des General- Kommando’s hierzu eingeholt worden iſt . Kapitulanten , deren Kapitulation während des mobilen Zuſtandes oder einer vom Kaiſer angeordneten außergewöhnlichen Verſtärkung ihres Truppentheils abläuft , dürfen ihre Entlaſſung aus dem Dienſt erſt bei der Demobilmachung oder Ueberführung ihres Truppentheils auf den Friedensſtand fordern .	73	0:79	so lange dieselbe noch dienstbrauchbar sein , dürfen sie gegen ihr Willen nur ausnahmsweise , wenn gewichtig Grund vorliegen , und nach sechsmonatlich Kündigung aus d Dienst entlassen werden , nachdem d Genehmigung d general- Kommando hierzu einholen werden sein . Kapitulant , die Kapitulation während d mobil Zustand oder eine vom Kaiser angeordnet außergewöhnlich Verstärkung ihr Truppenteil ablaufen , dürfen ihr Entlaßung aus d Dienst erst bei d Demobilmachung oder Überführung ihr Truppenteil auf d Friedensstand fordern .	ADV ADV PDAT ADV ADJD VAFIN $, VMFIN PPER APPR PPOSAT NN ADV ADV $, KOUS ADJA NN VVINF $, KON APPR ADJA NN APPR ART NN VVPP VAINF $, KOUS ART NN ART TRUNC NN PAV VVPP VAPP VAFIN $. NN $, PRELAT NN APPR ART ADJA NN KON ART APPRART NN ADJA ADJA NN PPOSAT NN VVFIN $, VMFIN PPOSAT NN APPR ART NN ADV APPR ART NN KON NN PPOSAT NN APPR ART NN VVFIN $.	So lange dieselben noch dienstbrauchbar sind , dürfen sie gegen ihren Willen nur ausnahmsweise , wenn gewichtige Gründe vorliegen , und nach sechsmonatlicher Kündigung aus dem Dienst entlassen werden , nachdem die Genehmigung des General- Kommando's hierzu eingeholt worden ist . Kapitulanten , deren Kapitulation während des mobilen Zustandes oder einer vom Kaiser angeordneten außergewöhnlichen Verstärkung ihres Truppenteils abläuft , dürfen ihre Entlassung aus dem Dienst erst bei der Demobilmachung oder Überführung ihres Truppenteils auf den Friedensstand fordern .
