identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1958_02_06_01_216.tcf.xml-17-1	2532889X_1988-07-06_01_068.tcf.xml-70-46	annotator2	3.0	 	Unentschlossenheit	2
gutzkow_boerne_1840-1281-0	freud_hysterie_1895-2271-16	annotator2	4.0	 	Unentschlossenheit	2
dronke_polizeigeschichten_1846-193-4	2532889X_1953-11-08_01_100.tcf.xml-16-6	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1960-08-03_01_047.tcf.xml-4-13	keller_heinrich03_1854-1053-10	annotator2	4.0	 	Unentschlossenheit	2
curtius_alterthum01_1875-2913-12	26120215_1961_10_25_01_086.tcf.xml-26-0	annotator2	4.0	 	Unentschlossenheit	2
lewald_jenny02_1843-599-21	nn_nrhz084_1848-443-21	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1980-06-07_01_232.tcf.xml-16-17	2532889X_1981-08-29_01_434.tcf.xml-5-11	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1979-06-13_01_045.tcf.xml-14-29	26120215_1971_08_29_01_078.tcf.xml-27-12	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1956-01-03_01_127.tcf.xml-63-5	2532889X_1971-02-10_01_068.tcf.xml-30-19	annotator2	4.0	 	Unentschlossenheit	2
clausewitz_krieg03_1834-2228-26	nn_nrhz084_1848-443-21	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1980-10-29_01_138.tcf.xml-7-15	griesinger_psychische_1845-2171-27	annotator2	4.0	 	Unentschlossenheit	2
nettelbeck_lebensbeschreibung02_1821-1022-10	2532889X_1988-07-06_01_068.tcf.xml-70-46	annotator2	4.0	 	Unentschlossenheit	2
keller_sinngedicht_1882-2383-15	nn_nrhz084_1848-443-21	annotator2	4.0	 	Unentschlossenheit	2
nn_nrhz255ii_1849-262-8	2532889X_1990-02-05_01_008.tcf.xml-12-6	annotator2	4.0	 	Unentschlossenheit	2
bismarck_erinnerungen01_1898-2958-12	2532889X_1971-02-10_01_068.tcf.xml-30-19	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1968-12-14_01_252.tcf.xml-32-24	26120215_1951_02_11_01_006.tcf.xml-27-78	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1965-09-10_01_148.tcf.xml-9-26	2532889X_1988-07-06_01_068.tcf.xml-70-46	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1982-12-11_01_269.tcf.xml-20-38	nn_nrhz084_1848-443-21	annotator2	4.0	 	Unentschlossenheit	2
griesinger_psychische_1845-812-8	2532889X_1988-12-31_01_244.tcf.xml-8-11	annotator2	4.0	 	Unentschlossenheit	2
ranke_paepste03_1836-6115-8	2532889X_1963-08-01_01_035.tcf.xml-290-24	annotator2	4.0	 	Unentschlossenheit	2
26120215_1973_12_08_01_055.tcf.xml-15-36	2532889X_1988-12-31_01_244.tcf.xml-8-11	annotator2	4.0	 	Unentschlossenheit	2
keller_heinrich02_1854-1761-78	2532889X_1963-08-01_01_035.tcf.xml-290-24	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1968-09-14_01_107.tcf.xml-48-18	2532889X_1988-07-06_01_068.tcf.xml-70-46	annotator2	4.0	 	Unentschlossenheit	2
26120215_1963_03_05_01_199.tcf.xml-3-12	2532889X_1953-11-08_01_100.tcf.xml-16-6	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1988-08-23_01_082.tcf.xml-63-3	griesinger_psychische_1845-2171-27	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1962-01-20_01_093.tcf.xml-18-1	nn_nrhz084_1848-443-21	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1961-04-10_01_051.tcf.xml-5-19	2532889X_1959-12-21_01_055.tcf.xml-4-22	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1980-03-25_01_058.tcf.xml-16-14	2532889X_1988-08-23_01_082.tcf.xml-63-3	annotator2	4.0	 	Unentschlossenheit	2
gutzkow_zeitgenossen01_1842-348-30	griesinger_psychische_1845-2171-27	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1958-01-10_01_070.tcf.xml-43-17	2532889X_1963-08-01_01_035.tcf.xml-290-24	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1989-08-22_01_060.tcf.xml-18-32	2532889X_1963-08-01_01_035.tcf.xml-290-24	annotator2	4.0	 	Unentschlossenheit	2
bismarck_erinnerungen01_1898-2723-27	2532889X_1962-04-26_01_166.tcf.xml-15-9	annotator2	4.0	 	Unentschlossenheit	2
26120215_1970_08_05_01_328.tcf.xml-25-22	26120215_1961_10_25_01_086.tcf.xml-26-0	annotator2	4.0	 	Unentschlossenheit	2
2532889X_1977-12-31_01_043.tcf.xml-8-23	26120215_1963_11_17_01_461.tcf.xml-27-0	annotator2	4.0	 	Unentschlossenheit	2
gutzkow_serapionsbrueder01_1877-829-9	2532889X_1990-02-05_01_008.tcf.xml-12-6	annotator2	4.0	 	Unentschlossenheit	2
beyer_poetik02_1883-10739-7	2532889X_1962-04-26_01_166.tcf.xml-15-9	annotator2	4.0	 	Unentschlossenheit	2
nn_nrhz297i_1849-427-4	griesinger_psychische_1845-2171-27	annotator2	4.0	 	Unentschlossenheit	2
nn_nrhz066b_1848-240-24	26120215_1961_10_25_01_086.tcf.xml-26-0	annotator2	4.0	 	Unentschlossenheit	2
goethe_leben02_1812-2326-36	2532889X_1990-02-05_01_008.tcf.xml-12-6	annotator2	4.0	 	Unentschlossenheit	2
eckermann_goethe03_1848-2135-19	26120215_1951_02_11_01_006.tcf.xml-27-78	annotator2	4.0	 	Unentschlossenheit	2
