lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Unentschlossenheit	NN	1879	1	treitschke_geschichte01_1879-1962-3	 	Er hat aus Unentschlossenheit Vieles unterlassen, wozu sein gerader Verstand ihn drängte, aber nie etwas gethan, was nicht aus eigener wohlerwogener Ueberzeugung kam.	11:29	0:166	Er hat aus Unentſchloſſenheit Vieles unterlaſſen , wozu ſein gerader Verſtand ihn drängte , aber nie etwas gethan , was nicht aus eigener wohlerwogener Ueberzeugung kam .	3	0:27	er haben aus Unentschlossenheit vieles unterlassen , wozu sein gerade Verstand er drängen , aber nie etwas tun , was nicht aus eigen wohlerwägen Überzeugung kommen .	PPER VAFIN APPR NN PIS VVINF $, PWAV PPOSAT ADJA NN PPER VVFIN $, ADV ADV PIS VVPP $, PRELS PTKNEG APPR ADJA ADJA NN VVFIN $.	Er hat aus Unentschlossenheit Vieles unterlassen , wozu sein gerader Verstand ihn drängte , aber nie etwas getan , was nicht aus eigener wohlerwogener Überzeugung kam .
Unentschlossenheit	NN	1854	1	mommsen_roemische01_1854-3335-84	 	So genöthigt von der lauen und feilen Menge die Erlaubniss sie zu retten zu erbetteln oder zu erkaufen; genöthigt dem Uebermuth der Verhassten seines Volkes, der stets von ihm Besiegten durch Demuth und Schweigsamkeit die unentbehrliche Gnadenfrist abzudingen; genöthigt den verachteten Vaterlandsverräthern, die sich die Herren seiner Stadt nannten, mit seinen Plänen seine Verachtung zu verbergen — so stand der hohe Mann mit wenigen gleichgesinnten Freunden zwischen den Feinden von aussen und den Feinden von innen, auf die Unentschlossenheit der einen und der andern bauend, zugleich beide täuschend und beiden trotzend, um nur erst die Mittel, Geld und Soldaten, zu gewinnen zum Kampf gegen ein Land, das, selbst wenn das Heer schlagfertig dastand, mit diesem zu erreichen schwierig, zu überwinden kaum möglich schien.	528:546	0:824	So genöthigt von der lauen und feilen Menge die Erlaubniſs sie zu retten zu erbetteln oder zu erkaufen ; genöthigt dem Uebermuth der Verhaſsten seines Volkes , der stets von ihm Besiegten durch Demuth und Schweigsamkeit die unentbehrliche Gnadenfrist abzudingen ; genöthigt den verachteten Vaterlandsverräthern , die sich die Herren seiner Stadt nannten , mit seinen Plänen seine Verachtung zu verbergen — so stand der hohe Mann mit wenigen gleichgesinnten Freunden zwischen den Feinden von auſsen und den Feinden von innen , auf die Unentschlossenheit der einen und der andern bauend , zugleich beide täuschend und beiden trotzend , um nur erst die Mittel , Geld und Soldaten , zu gewinnen zum Kampf gegen ein Land , das , selbst wenn das Heer schlagfertig dastand , mit diesem zu erreichen schwierig , zu überwinden kaum möglich schien .	84	0:138	so nötigen von d lau und feil Menge d Erlaubnis sie zu retten zu erbetteln oder zu erkaufen ; nötigen d Übermut d Verhaßte seine Volk , die stets von er Besiegte durch Demut und Schweigsamkeit d unentbehrlich Gnadenfrist abdingen ; nötigen d verachtet Vaterlandsverräter , die sich d Herr seine Stadt nennen , mit seine Plan seine Verachtung zu verbergen -- so stehen d hoch Mann mit wenige gleichgesinnt Freund zwischen d Feind von außen und d Feind von innen , auf d Unentschlossenheit d eine und d ander bauen , zugleich beide täuschen und beide trotzend , um nur erst d Mittel , Geld und Soldat , zu gewinnen zum Kampf gegen eine Land , die , selbst wenn d Heer schlagfertig dastehen , mit diese zu erreichen schwierig , zu überwinden kaum möglich scheinen .	ADV VVPP APPR ART ADJA KON ADJA NN ART NN PPER PTKZU VVINF PTKZU VVINF KON PTKZU VVINF $. VVPP ART NN ART NN PPOSAT NN $, PRELS ADV APPR PPER NN APPR NN KON NN ART ADJA NN VVIZU $. VVPP ART ADJA NN $, PRELS PRF ART NN PPOSAT NN VVFIN $, APPR PPOSAT NN PPOSAT NN PTKZU VVINF $( ADV VVFIN ART ADJA NN APPR PIAT ADJA NN APPR ART NN APPR ADV KON ART NN APPR ADV $, APPR ART NN ART ART KON ART ADJA VVPP $, ADV PIS VVPP KON PIAT ADJD $, KOUI ADV ADV ART NN $, NN KON NN $, PTKZU VVINF APPRART NN APPR ART NN $, PRELS $, ADV KOUS ART NN ADJD VVFIN $, APPR PDAT PTKZU VVINF ADJD $, PTKZU VVINF ADV ADJD VVFIN $.	So genötigt von der lauen und feilen Menge die Erlaubnis sie zu retten zu erbetteln oder zu erkaufen ; genötigt dem Übermut der Verhassten seines Volkes , der stets von ihm Besiegten durch Demut und Schweigsamkeit die unentbehrliche Gnadenfrist abzudingen ; genötigt den verachteten Vaterlandsverrätern , die sich die Herren seiner Stadt nannten , mit seinen Plänen seine Verachtung zu verbergen -- so stand der hohe Mann mit wenigen gleichgesinnten Freunden zwischen den Feinden von außen und den Feinden von innen , auf die Unentschlossenheit der einen und der anderen bauend , zugleich beide täuschend und beiden trotzend , um nur erst die Mittel , Geld und Soldaten , zu gewinnen zum Kampf gegen ein Land , das , selbst wenn das Heer schlagfertig dastand , mit diesem zu erreichen schwierig , zu überwinden kaum möglich schien .
Unentschlossenheit	NN	1894	1	treitschke_geschichte05_1894-2491-20	 	Auch in seinem eigenen Ministerium machte er bald die Erfahrung, daß er vor fünfundzwanzig Jahren, trotz der vielbeklagten Unentschlossenheit des alten Königs und trotz der Feindseligkeit der Maulwürfe, wie er seine Gegner nannte, doch weit rascher vorwärts gekommen war als jetzt.	123:141	0:281	Auch in ſeinem eigenen Miniſterium machte er bald die Erfahrung , daß er vor fünfundzwanzig Jahren , trotz der vielbeklagten Unentſchloſſenheit des alten Königs und trotz der Feindſeligkeit der Maulwürfe , wie er ſeine Gegner nannte , doch weit raſcher vorwärts gekommen war als jetzt .	20	0:46	auch in seine eigen Ministerium machen er bald d Erfahrung , daß er vor fünfundzwanzig Jahr , trotz d vielbeklagt Unentschlossenheit d alt König und trotz d Feindseligkeit d Maulwurf , wie er seine Gegner nennen , doch weit rasch vorwärts kommen sein als jetzt .	ADV APPR PPOSAT ADJA NN VVFIN PPER ADV ART NN $, KOUS PPER APPR CARD NN $, APPR ART ADJA NN ART ADJA NN KON APPR ART NN ART NN $, PWAV PPER PPOSAT NN VVFIN $, ADV ADJD ADJD ADV VVPP VAFIN KOKOM ADV $.	Auch in seinem eigenen Ministerium machte er bald die Erfahrung , daß er vor fünfundzwanzig Jahren , trotz der vielbeklagten Unentschlossenheit des alten Königs und trotz der Feindseligkeit der Maulwürfe , wie er seine Gegner nannte , doch weit rascher vorwärts gekommen war als jetzt .
Unentschlossenheit	NN	1836	1	ranke_paepste02_1836-6060-26	 	Es liegt in der Sache, daß dieser schlecht ausfiel: das kaiserliche Heer zeigte sich nicht mehr als das alte: man sah nichts als Unentschlossenheit, Schwanken, Schrecken, Verlust: Gustav Adolf schlug es vollkommen aus dem Felde, und setzte sich an der untern Oder fest.	129:147	0:269	Es liegt in der Sache , daß dieſer ſchlecht ausfiel : das kaiſerliche Heer zeigte ſich nicht mehr als das alte : man ſah nichts als Unentſchloſſenheit , Schwanken , Schrecken , Verluſt : Guſtav Adolf ſchlug es vollkommen aus dem Felde , und ſetzte ſich an der untern Oder feſt .	26	0:52	es liegen in d Sache , daß diese schlecht ausfallen : d kaiserlich Heer zeigen sich nicht mehr als d alt : man sehen nichts als Unentschlossenheit , Schwanken , Schrecken , Verlust : Gustav Adolf schlagen es vollkommen aus d Feld , und setzen sich an d unter Oder fest .	PPER VVFIN APPR ART NN $, KOUS PDS ADJD VVFIN $. ART ADJA NN VVFIN PRF PTKNEG ADV KOKOM ART ADJA $. PIS VVFIN PIS KOKOM NN $, NN $, NN $, NN $. NE NE VVFIN PPER ADJD APPR ART NN $, KON VVFIN PRF APPR ART ADJA NE PTKVZ $.	Es liegt in der Sache , daß dieser schlecht ausfiel : das kaiserliche Heer zeigte sich nicht mehr als das alte : man sah nichts als Unentschlossenheit , Schwanken , Schrecken , Verlust : Gustav Adolf schlug es vollkommen aus dem Felde , und setzte sich an der unteren Oder fest .
Unentschlossenheit	NN	1837	1	laube_europa0201_1837-415-7	 	Sein Wesen war fern von der schwanken Unentschlossenheit, von dem charakterlosen Umhertappen.	38:56	0:93	Sein Weſen war fern von der ſchwanken Unentſchloſſenheit , von dem charakterloſen Umhertappen .	7	0:14	sein Wesen sein fern von d schwank Unentschlossenheit , von d charakterlos Umhertappen .	PPOSAT NN VAFIN ADJD APPR ART ADJA NN $, APPR ART ADJA NN $.	Sein Wesen war fern von der schwanken Unentschlossenheit , von dem charakterlosen Umhertappen .
Unentschlossenheit	NN	1834	1	clausewitz_krieg03_1834-1574-12	 	Es entsteht nothwendig ein Abwägen der dreifachen Bewegung, welche Zögerung, Unentschlossenheit und Zaghaftigkeit in das Vorschreiten jedes Theils bringt.	77:95	0:154	Es entſteht nothwendig ein Abwaͤgen der dreifachen Bewegung , welche Zoͤgerung , Unentſchloſſenheit und Zaghaftigkeit in das Vorſchreiten jedes Theils bringt .	12	0:22	es entstehen notwendig eine Abwägen d dreifach Bewegung , welche Zögerung , Unentschlossenheit und Zaghaftigkeit in d Vorschreiten jede Teil bringen .	PPER VVFIN ADJD ART NN ART ADJA NN $, PWAT NN $, NN KON NN APPR ART NN PIAT NN VVFIN $.	Es entsteht notwendig ein Abwägen der dreifachen Bewegung , welche Zögerung , Unentschlossenheit und Zaghaftigkeit in das Vorschreiten jedes Teils bringt .
Unentschlossenheit	NN	1840	1	gutzkow_boerne_1840-1278-1	 	Weibliche Unentschlossenheit, Börne’s zunehmende, oft höchst bedenkliche Kränklichkeit kamen hinzu und den Ausschlag gab vorläufig, daß Mad. W. durch Rücksicht auf eine streng altgläubige Mutter verhindert wurde, sich taufen zu lassen, was zur Verbindung mit dem Christen Börne unerläßlich gewesen wäre.	10:28	0:303	Weibliche Unentschlossenheit , Börne’s zunehmende , oft höchst bedenkliche Kränklichkeit kamen hinzu und den Ausschlag gab vorläufig , daß Mad. W. durch Rücksicht auf eine streng altgläubige Mutter verhindert wurde , sich taufen zu lassen , was zur Verbindung mit dem Christen Börne unerläßlich gewesen wäre .	1	0:47	weiblich Unentschlossenheit , Börne zunehmend , oft höchst bedenklich Kränklichkeit kommen hinzu und d Ausschlag geben vorläufig , daß Mad. W. durch Rücksicht auf eine streng altgläubig Mutter verhindern werden , sich taufen zu lassen , was zur Verbindung mit d Christ Börne unerläßlich sein sein .	ADJA NN $, NE ADJA $, ADV ADV ADJA NN VVFIN PTKVZ KON ART NN VVFIN ADJD $, KOUS NE NE APPR NN APPR ART ADJD ADJA NN VVPP VAFIN $, PRF VVINF PTKZU VVINF $, PRELS APPRART NN APPR ART NN NE ADJD VAPP VAFIN $.	Weibliche Unentschlossenheit , Börne's zunehmende , oft höchst bedenkliche Kränklichkeit kamen hinzu und den Ausschlag gab vorläufig , daß Mad. W. durch Rücksicht auf eine streng altgläubige Mutter verhindert wurde , sich taufen zu lassen , was zur Verbindung mit dem Christen Börne unerläßlich gewesen wäre .
Unentschlossenheit	NN	1834	1	clausewitz_krieg03_1834-2228-26	 	Ein Gefühl der Ängstlichkeit, was überhaupt den Menschen bei der Ausführung großer Dinge leicht antritt, bemächtigt sich dann unserer und von dieser Ängstlichkeit zur Unentschlossenheit, von dieser zu halben Maaßregeln ist ein kleiner unmerklicher Schritt.	167:185	0:256	Ein Gefuͤhl der Ängſtlichkeit , was uͤberhaupt den Menſchen bei der Ausfuͤhrung großer Dinge leicht antritt , bemaͤchtigt ſich dann unſerer und von dieſer Ängſtlichkeit zur Unentſchloſſenheit , von dieſer zu halben Maaßregeln iſt ein kleiner unmerklicher Schritt .	26	0:39	eine Gefühl d Ängstlichkeit , was überhaupt d Mensch bei d Ausführung groß Ding leicht antreten , bemächtigen sich dann unsere und von diese Ängstlichkeit zur Unentschlossenheit , von diese zu halb Maßregel sein eine klein unmerklich Schritt .	ART NN ART NN $, PRELS ADV ART NN APPR ART NN ADJA NN ADJD VVFIN $, VVFIN PRF ADV PPOSAT KON APPR PDAT NN APPRART NN $, APPR PDAT APPR ADJA NN VAFIN ART ADJA ADJA NN $.	Ein Gefühl der Ängstlichkeit , was überhaupt den Menschen bei der Ausführung großer Dinge leicht antritt , bemächtigt sich dann unserer und von dieser Ängstlichkeit zur Unentschlossenheit , von dieser zu halben Maßregeln ist ein kleiner unmerklicher Schritt .
Unentschlossenheit	NN	1898	1	bismarck_erinnerungen01_1898-2841-9	 	Diese vielleicht verdammliche Selbstsucht auf der einen und die Unentschlossenheit des Königs auf der anderen Seite, verbunden mit v. d. Heydts Ansicht, daß er sich zwar einen Präsidenten, nicht aber einen solchen aus der Zahl jüngerer Collegen gefallen lassen könne und werde, läßt mich zu der früheren Behauptung zurückkehren, daß Sie als Ministerpräsident und zwar vorläufig ohne Portefeuille eintreten müssen; letzteres wird sich später von selbst finden.	64:82	0:459	Dieſe vielleicht verdammliche Selbſtſucht auf der einen und die Unentſchloſſenheit des Königs auf der anderen Seite , verbunden mit v. d. Heydts Anſicht , daß er ſich zwar einen Präſidenten , nicht aber einen ſolchen aus der Zahl jüngerer Collegen gefallen laſſen könne und werde , läßt mich zu der früheren Behauptung zurückkehren , daß Sie als Miniſterpräſident und zwar vorläufig ohne Portefeuille eintreten müſſen ; letzteres wird ſich ſpäter von ſelbſt finden .	9	0:74	diese vielleicht verdammend Selbstsucht auf d eine und d Unentschlossenheit d König auf d ander Seite , verbinden mit v. d. Heydt Ansicht , daß er sich zwar eine Präsident , nicht aber eine solch aus d Zahl jung Kollege gefallen lassen können und werden , lassen ich zu d früh Behauptung zurückkehren , daß sie als Ministerpräsident und zwar vorläufig ohne Portefeuille eintreten müssen ; letztere werden sich spät von selbst finden .	PDAT ADV ADJA NN APPR ART ART KON ART NN ART NN APPR ART ADJA NN $, VVPP APPR APPR ART NE NN $, KOUS PPER PRF ADV ART NN $, PTKNEG ADV ART PIAT APPR ART NN ADJA NN VVPP VVINF VMFIN KON VAFIN $, VVFIN PPER APPR ART ADJA NN VVINF $, KOUS PPER KOKOM NN KON ADV ADJD APPR NN VVINF VMINF $. PIS VAFIN PRF ADJD APPR ADV VVINF $.	Diese vielleicht verdammende Selbstsucht auf der einen und die Unentschlossenheit des Königs auf der anderen Seite , verbunden mit v. d. Heydts Ansicht , daß er sich zwar einen Präsidenten , nicht aber einen solchen aus der Zahl jüngerer Kollegen gefallen lassen könne und werde , läßt mich zu der früheren Behauptung zurückkehren , daß Sie als Ministerpräsident und zwar vorläufig ohne Portefeuille eintreten müssen ; letzteres wird sich später von selbst finden .
Unentschlossenheit	NN	1856	1	brunn_griechen0201_1856-3520-10	 	Aber eben darum beleidigt uns die in der Kunst fortdauernde Unentschlossenheit der Medea so wenig, dass wir vielmehr wünschen, es wäre in der Natur selbst dabei geblieben, der Streit der Leidenschaften hätte sich nie entschieden, oder hätte wenigstens so lange angehalten, bis Zeit und Ueberlegung die Wuth entkräften und den mütterlichen Empfindungen den Sieg versichern können. … Ajax erschien nicht, wie er unter den Heerden wüthet, und Rinder und Böcke für Menschen fesselt und mordet.	60:78	0:489	Aber eben darum beleidigt uns die in der Kunst fortdauernde Unentschlossenheit der Medea so wenig , dass wir vielmehr wünschen , es wäre in der Natur selbst dabei geblieben , der Streit der Leidenschaften hätte sich nie entschieden , oder hätte wenigstens so lange angehalten , bis Zeit und Ueberlegung die Wuth entkräften und den mütterlichen Empfindungen den Sieg versichern können . … Ajax erschien nicht , wie er unter den Heerden wüthet , und Rinder und Böcke für Menschen fesselt und mordet .	10	0:84	aber eben darum beleidigen wir d in d Kunst fortdauernd Unentschlossenheit d Medea so wenig , dass wir vielmehr wünschen , es sein in d Natur selbst dabei bleiben , d Streit d Leidenschaft haben sich nie entscheiden , oder haben wenigstens so lange anhalten , bis Zeit und Überlegung d Wut entkräften und d mütterlich Empfindung d Sieg versichern können . ... Ajax erscheinen nicht , wie er unter d Herde wüten , und Rind und Bock für Mensch fesseln und morden .	KON ADV PAV VVPP PPER ART APPR ART NN ADJA NN ART NE ADV ADV $, KOUS PPER ADV VVINF $, PPER VAFIN APPR ART NN ADV PAV VVPP $, ART NN ART NN VAFIN PRF ADV VVPP $, KON VAFIN ADV ADV ADV VVPP $, APPR NN KON NN ART NN VVINF KON ART ADJA NN ART NN VVINF VMINF $. $( NE VVFIN PTKNEG $, PWAV PPER APPR ART NN VVFIN $, KON NN KON NN APPR NN VVFIN KON VVFIN $.	Aber eben darum beleidigt uns die in der Kunst fortdauernde Unentschlossenheit der Medea so wenig , dass wir vielmehr wünschen , es wäre in der Natur selbst dabei geblieben , der Streit der Leidenschaften hätte sich nie entschieden , oder hätte wenigstens so lange angehalten , bis Zeit und Überlegung die Wut entkräften und den mütterlichen Empfindungen den Sieg versichern können . ... Ajax erschien nicht , wie er unter den Herden wütet , und Rinder und Böcke für Menschen fesselt und mordet .
