lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
abbauen	VVIZU	1895	1	beck_eisen02_1895-19457-11	 	Nach der Entdeckung dieser und anderer Erzlager begannen die Engländer dieselben abzubauen und Eisenwerke zu errichten. Die ausgedehntesten waren die des Grafen von Cork in Munster, die von Sir Charles Coote in den Grafschaften Roscommon und Leitrim in der Provinz Connaught und bei Mountrath in Queens County in Leinster, die des Grafen von Londonderry zu Ballonakill in derselben Grafschaft, die des Lordkanzlers A. Loftus und des Viscount Ely zu Mountmellick in Kings County, die des Sir John Dunbar in Fermanag in Ulster, und ein anderes in derselben Grafschaft am Ufer des Lough Erne von Sir Leonhard Blenerhasset, die von einigen Londoner Kaufleuten in der Grafschaft Thomond errichteten, ausser noch einigen an anderen Plätzen, deren erste Erbauer unbekannt sind.	81:90	0:770	Nach der Entdeckung dieser und anderer Erzlager begannen die Engländer dieselben abzubauen und Eisenwerke zu errichten . Die ausgedehntesten waren die des Grafen von Cork in Munster , die von Sir Charles Coote in den Grafschaften Roscommon und Leitrim in der Provinz Connaught und bei Mountrath in Queens County in Leinster , die des Grafen von Londonderry zu Ballonakill in derselben Grafschaft , die des Lordkanzlers A. Loftus und des Viscount Ely zu Mountmellick in Kings County , die des Sir John Dunbar in Fermanag in Ulster , und ein anderes in derselben Grafschaft am Ufer des Lough Erne von Sir Leonhard Blenerhaſset , die von einigen Londoner Kaufleuten in der Grafschaft Thomond errichteten , auſser noch einigen an anderen Plätzen , deren erste Erbauer unbekannt sind .	11	0:128	nach d Entdeckung diese und ander Erzlager beginnen d Engländer dieselbe abbauen und Eisenwerk zu errichten . d ausgedehnt sein d d Graf von Cork in Munster , die von Sir Charles Kot in d Grafschaft Roscommon und Leitrim in d Provinz Connaught und bei Mountrat in queens county in Leinster , die d Graf von Londonderry zu Ballonakill in dieselbe Grafschaft , die d Lordkanzler A. Loftus und d Viscount Ely zu Mountmelik in Kings County , die d Sir John Dunbar in Fermanag in Ulster , und eine andere in dieselbe Grafschaft am Ufer d Lough Erne von Sir Leonhard Blenerhasset , die von einige londoner Kaufmann in d Grafschaft Thomond errichten , außer noch einige an ander Platz , die erst Erbauer unbekannt sein .	APPR ART NN PDAT KON ADJA NN VVFIN ART NN PDAT VVIZU KON NN PTKZU VVINF $. ART ADJA VAFIN ART ART NN APPR NE APPR NE $, PRELS APPR NN NE NN APPR ART NN NE KON NE APPR ART NN NE KON APPR NN APPR FM FM APPR NE $, PRELS ART NN APPR NE APPR NE APPR PDAT NN $, PRELS ART NN APPRART NE KON ART NN NE APPR NN APPR NE NN $, PRELS ART NN NE NE APPR NE APPR NE $, KON ART PIS APPR PDAT NN APPRART NN ART NE NE APPR NN NE NE $, PRELS APPR PIAT ADJA NN APPR ART NN NE VVFIN $, APPR ADV PIAT APPR ADJA NN $, PRELAT ADJA NN ADJD VAFIN $.	Nach der Entdeckung dieser und anderer Erzlager begannen die Engländer dieselben abzubauen und Eisenwerke zu errichten . Die ausgedehntesten waren die des Grafen von Cork in Munster , die von Sir Charles Kote in den Grafschaften Roscommon und Leitrim in der Provinz Connaught und bei Mountrat in Queens County in Leinster , die des Grafen von Londonderry zu Ballonakill in derselben Grafschaft , die des Lordkanzlers A. Loftus und des Viscount Ely zu Mountmelik in Kings County , die des Sir John Dunbar in Fermanag in Ulster , und ein anderes in derselben Grafschaft am Ufer des Lough Erne von Sir Leonhard Blenerhasset , die von einigen Londoner Kaufleuten in der Grafschaft Thomond errichteten , außer noch einigen an anderen Plätzen , deren erste Erbauer unbekannt sind .
abbauen	VVPP	1853	1	humboldt_bogota_1853-257-34	 	In dem Sandstein-Gebilde, das ich beschreibe, aber freilich nicht unmittelbar von diesem, sondern von mächtigen Lagen Schieferthons bedeckt, kommen wahre Steinkohlen (nicht Lignite) vor, von denen mehrere abgebaut werden.	205:213	0:221	In dem Sandstein-Gebilde , das ich beschreibe , aber freilich nicht unmittelbar von diesem , sondern von mächtigen Lagen Schieferthons bedeckt , kommen wahre Steinkohlen ( nicht Lignite ) vor , von denen mehrere abgebaut werden .	34	0:37	in d Sandstein-Gebilde , die ich beschreiben , aber freilich nicht unmittelbar von diese , sondern von mächtig Lage Schieferthon bedecken , kommen wahr Steinkohle ( nicht Lignite ) vor , von die mehrere abbauen werden .	APPR ART NN $, PRELS PPER VVFIN $, ADV ADV PTKNEG ADJD APPR PDAT $, KON APPR ADJA NN NN VVPP $, VVFIN ADJA NN $( PTKNEG NE $( PTKVZ $, APPR PRELS PIAT VVPP VAINF $.	In dem Sandstein-Gebilde , das ich beschreibe , aber freilich nicht unmittelbar von diesem , sondern von mächtigen Lagen Schieferthons bedeckt , kommen wahre Steinkohlen ( nicht Lignite ) vor , von denen mehrere abgebaut werden .
abbauen	VVPP	1897	1	beck_eisen03_1897-17058-5	 	Sie wurden einfach mit Schächtchen abgebaut, bis es das Wasser nicht mehr gestattete.	35:43	0:85	Sie wurden einfach mit Schächtchen abgebaut , bis es das Wasser nicht mehr gestattete .	5	0:15	sie werden einfach mit Schachtchen abbauen , bis es d Wasser nicht mehr gestatten .	PPER VAFIN ADV APPR NN VVPP $, KOUS PPER ART NN PTKNEG ADV VVPP $.	Sie wurden einfach mit Schächtchen abgebaut , bis es das Wasser nicht mehr gestattete .
abbauen	VVFIN	1835	1	baumstark_encyclopaedie_1835-3477-40	 	Hierauf wird jedes Zwischenfeld gerade so abgebaut, nur in der Reihenfolge, daß man von den drei Querfeldern, die das Eine gibt, die beiden äußersten zuerst anlegt, und wenn diese verstürzt sind, das mittlere ebenso abbaut und versetzt.	216:222	0:236	Hierauf wird jedes Zwiſchenfeld gerade ſo abgebaut , nur in der Reihenfolge , daß man von den drei Querfeldern , die das Eine gibt , die beiden äußerſten zuerſt anlegt , und wenn dieſe verſtürzt ſind , das mittlere ebenſo abbaut und verſetzt .	40	0:44	hierauf werden jede Zwischenfeld gerade so abbauen , nur in d Reihenfolge , daß man von d drei Querfeld , die d eine geben , die beide äußerst zuerst anlegen , und wenn diese verstürzen sein , d mittel ebenso abbauen und versetzen .	PAV VAFIN PIAT NN ADV ADV VVPP $, ADV APPR ART NN $, KOUS PIS APPR ART CARD NN $, PRELS ART PIS VVFIN $, PRELS PIAT ADJA ADV VVFIN $, KON KOUS PDS VVPP VAFIN $, ART ADJA ADV VVFIN KON VVPP $.	Hierauf wird jedes Zwischenfeld gerade so abgebaut , nur in der Reihenfolge , daß man von den drei Querfeldern , die das Eine gibt , die beiden äußersten zuerst anlegt , und wenn diese verstürzt sind , das mittlere ebenso abbaut und versetzt .
abbauen	VVPP	1835	1	baumstark_encyclopaedie_1835-3348-3	 	Ist der Bruch abgebaut, und entsteht für die Oberfläche kein Schaden, dann stürzt man sie am besten zusammen, nachdem man die Pfeiler vollends abgebaut hat.	14:22	0:156	Iſt der Bruch abgebaut , und entſteht für die Oberfläche kein Schaden , dann ſtürzt man ſie am beſten zuſammen , nachdem man die Pfeiler vollends abgebaut hat .	3	0:29	sein d Bruch abbauen , und entstehen für d Oberfläche keine Schaden , dann stürzen man sie am gut zusammen , nachdem man d Pfeiler vollends abbauen haben .	VAFIN ART NN VVPP $, KON VVFIN APPR ART NN PIAT NN $, ADV VVFIN PIS PPER PTKA ADJD PTKVZ $, KOUS PIS ART NN ADV VVPP VAFIN $.	Ist der Bruch abgebaut , und entsteht für die Oberfläche kein Schaden , dann stürzt man sie am besten zusammen , nachdem man die Pfeiler vollends abgebaut hat .
abbauen	VVINF	1835	1	baumstark_encyclopaedie_1835-3421-18	 	Aus ihm treibt man in den Sohlen der Abbaustrecken Querschläge zu dem Lager oder Flötze, welches man abbauen will.	101:108	0:114	Aus ihm treibt man in den Sohlen der Abbauſtrecken Querſchläge zu dem Lager oder Flötze , welches man abbauen will .	18	0:21	aus er treiben man in d Sohle d Abbaustrecke Querschlag zu d Lager oder Flöz , welche man abbauen wollen .	APPR PPER VVFIN PIS APPR ART NN ART NN NN APPR ART NN KON NN $, PRELS PIS VVINF VMFIN $.	Aus ihm treibt man in den Sohlen der Abbaustrecken Querschläge zu dem Lager oder Flöze , welches man abbauen will .
abbauen	VVPP	1884	1	ledebur_eisenhuettenkunde_1884-9090-10	 	Auch Lager hochhaltiger Brauneisenerze werden an verschiedenen Punkten des Ural abgebaut (Jekatharinenburg, Ir-Kiskan u. a. a. O.).	80:88	0:131	Auch Lager hochhaltiger Brauneisenerze werden an verschiedenen Punkten des Ural abgebaut ( Jekatharinenburg , Ir-Kiskan u. a. a. O. ) .	10	0:21	auch Lager hochhaltig Brauneisenerz werden an verschieden Punkt d Ural abbauen ( jekatharinenburg , ir-kiskan u. a. a. o. ) .	ADV NN ADJA NN VAFIN APPR ADJA NN ART NE VVPP $( XY $, XY XY XY XY FM $( $.	Auch Lager hochhaltiger Brauneisenerze werden an verschiedenen Punkten des Ural abgebaut ( Jekatharinenburg , Ir-Kiskan u. a. a. O. ) .
abbauen	VVPP	1895	1	beck_eisen02_1895-1004-17	 	Die reichen Mittel, die über der Thalsohle lagen und durch Stollen aufzuschliessen waren, wurden rasch abgebaut, dann aber verliessen die meisten durch den leichten Erwerb zu Abenteuern geneigten Bergleute die Bergwerke, um an einem andern Orte, wo man „fündig“ geworden war, in gleicher Weise ihr Glück zu versuchen.	103:111	0:317	Die reichen Mittel , die über der Thalsohle lagen und durch Stollen aufzuschlieſsen waren , wurden rasch abgebaut , dann aber verlieſsen die meisten durch den leichten Erwerb zu Abenteuern geneigten Bergleute die Bergwerke , um an einem andern Orte , wo man „ fündig “ geworden war , in gleicher Weise ihr Glück zu versuchen .	17	0:57	d reich Mittel , die über d Talsohle liegen und durch Stollen aufschließen sein , werden rasch abbauen , dann aber verlassen d meiste durch d leicht Erwerb zu Abenteuer geneigt Bergleute d Bergwerk , um an eine ander Ort , wo man " fündig " werden sein , in gleich Weise ihr Glück zu versuchen .	ART ADJA NN $, PRELS APPR ART NN VVFIN KON APPR NN VVIZU VAFIN $, VAFIN ADJD VVPP $, ADV ADV VVFIN ART PIS APPR ART ADJA NN APPR NN ADJA NN ART NN $, KOUI APPR ART ADJA NN $, PWAV PIS $( ADJD $( VAPP VAFIN $, APPR ADJA NN PPOSAT NN PTKZU VVINF $.	Die reichen Mittel , die über der Talsohle lagen und durch Stollen aufzuschließen waren , wurden rasch abgebaut , dann aber verließen die meisten durch den leichten Erwerbe zu Abenteuern geneigten Bergleute die Bergwerke , um an einem anderen Orte , wo man " fündig " geworden war , in gleicher Weise ihr Glück zu versuchen .
abbauen	VVPP	1834	1	gerstner_mechanik03_1834-8939-9	 	Gegenwärtig wird das Erzlager durch regelmässigen sehr lebhaften Bergbau abgebaut, und mehrere Schächte und Stollen sind zu diesem Zwecke auf dasselbe getrieben; es liefert nicht nur das Erz für die fürstlichen Eisenwerke, sondern auch zum grossen Theil für die Eisenwerke der k. k. Kammeralherrschaft Zbirow.	73:81	0:309	Gegenwärtig wird das Erzlager durch regelmässigen sehr lebhaften Bergbau abgebaut , und mehrere Schächte und Stollen sind zu diesem Zwecke auf dasselbe getrieben ; es liefert nicht nur das Erz für die fürstlichen Eisenwerke , sondern auch zum grossen Theil für die Eisenwerke der k. k. Kammeralherrschaft Zbirow .	9	0:49	gegenwärtig werden d Erzlager durch regelmässig sehr lebhaft Bergbau abbauen , und mehrere Schacht und Stollen sein zu diese Zwecke auf dasselbe treiben ; es liefern nicht nur d Erz für d fürstlich Eisenwerk , sondern auch zum groß Teil für d Eisenwerk d k. k. Kammeralherrschaft Zbirow .	ADJD VAFIN ART NN APPR ADJA ADV ADJA NN VVPP $, KON PIAT NN KON NN VAFIN APPR PDAT NN APPR PDAT VVPP $. PPER VVFIN PTKNEG ADV ART NN APPR ART ADJA NN $, KON ADV APPRART ADJA NN APPR ART NN ART ADJA ADJA NE NE $.	Gegenwärtig wird das Erzlager durch regelmässigen sehr lebhaften Bergbau abgebaut , und mehrere Schächte und Stollen sind zu diesem Zwecke auf dasselbe getrieben ; es liefert nicht nur das Erz für die fürstlichen Eisenwerke , sondern auch zum großen Teil für die Eisenwerke der k. k. Kammeralherrschaft Zbirow .
abbauen	VVPP	1855	1	quenstedt_mineralogie_1854-14077-13	 	77 Flötze von 2′— 14 ′, zusammen 238 ′ mächtig, werden abgebaut.	55:63	0:64	77 Flötze von 2′— 14 ′ , zuſammen 238 ′ mächtig , werden abgebaut .	13	0:15	77 Flöz von 2'-- 14 ' , zusammen 238 ' mächtig , werden abbauen .	CARD NN APPR CARD CARD $( $, ADV CARD $( ADJD $, VAFIN VVPP $.	77 Flöze von 2'-- 14 ' , zusammen 238 ' mächtig , werden abgebaut .
