identifier1	identifier2	annotator	judgment	comment	lemma	round
immermann_muenchhausen02_1839-1222-16	falke_trachten01_1858-3379-29	annotator1	4.0	 	ausspannen	3
26120215_1963_07_21_01_214.tcf.xml-30-20	26120215_1979_05_21_01_090.tcf.xml-9-10	annotator1	2.0	 	ausspannen	3
2532889X_1964-06-06_01_120.tcf.xml-73-12	mueller_hellenische03_1824-4335-46	annotator1	1.0	 	ausspannen	3
immermann_muenchhausen02_1839-1222-16	steinen_naturvoelker_1894-13972-26	annotator1	1.0	 	ausspannen	3
boerne_paris02_1832-844-18	treviranus_biologie06_1822-3007-14	annotator1	2.0	 	ausspannen	3
2532889X_1986-01-11_01_217.tcf.xml-5-4	2532889X_1982-03-23_01_152.tcf.xml-37-11	annotator1	2.0	 	ausspannen	3
2532889X_1958-08-28_01_036.tcf.xml-35-20	26120215_1949_11_11_01_243.tcf.xml-34-4	annotator1	2.0	 	ausspannen	3
treviranus_biologie06_1822-3007-14	treitschke_geschichte03_1885-6239-7	annotator1	3.0	 	ausspannen	3
2532889X_1961-07-06_01_113.tcf.xml-31-2	2532889X_1946-05-08_01_151.tcf.xml-42-10	annotator1	2.0	 	ausspannen	3
vogt_briefe02_1851-227-17	2532889X_1954-09-12_01_130.tcf.xml-15-16	annotator1	4.0	 	ausspannen	3
treitschke_geschichte03_1885-6239-7	blumenbach_knochen_1807-2530-32	annotator1	3.0	 	ausspannen	3
26120215_1957_11_09_01_178.tcf.xml-10-17	laube_europa03_1837-1633-25	annotator1	3.0	 	ausspannen	3
26120215_1955_08_24_01_259.tcf.xml-9-28	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator1	4.0	 	ausspannen	3
26120215_1960_04_15_01_377.tcf.xml-13-12	26120215_1979_03_03_01_253.tcf.xml-8-26	annotator1	1.0	 	ausspannen	3
2532889X_1954-09-12_01_130.tcf.xml-15-16	26120215_1963_07_21_01_214.tcf.xml-30-20	annotator1	1.0	 	ausspannen	3
vogt_briefe02_1851-2090-25	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator1	2.0	 	ausspannen	3
vogt_briefe02_1851-227-17	humboldt_ideen_1806-180-17	annotator1	4.0	 	ausspannen	3
mueller_staatskunst02_1809-567-49	2532889X_1971-02-01_01_188.tcf.xml-20-15	annotator1	1.0	 	ausspannen	3
blumenbach_knochen_1807-2530-32	26120215_1957_11_09_01_178.tcf.xml-10-17	annotator1	1.0	 	ausspannen	3
2532889X_1982-03-23_01_152.tcf.xml-37-11	2532889X_1954-09-12_01_130.tcf.xml-15-16	annotator1	1.0	 	ausspannen	3
26120215_1960_04_15_01_377.tcf.xml-13-12	goerres_volksbuecher_1807-1475-29	annotator1	1.0	 	ausspannen	3
2532889X_1958-08-28_01_036.tcf.xml-35-20	huber_reisejournal_1811-1765-15	annotator1	3.0	 	ausspannen	3
26120215_1947_10_31_01_042.tcf.xml-21-32	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator1	1.0	 	ausspannen	3
2532889X_1959-09-18_01_058.tcf.xml-6-22	urbanitzky_electricitaet_1885-4268-24	annotator1	4.0	 	ausspannen	3
vogt_briefe02_1851-227-17	arent_dichtercharaktere_1885-1223-28	annotator1	3.0	 	ausspannen	3
2532889X_1973-06-04_01_063.tcf.xml-13-23	2532889X_1954-09-12_01_130.tcf.xml-15-16	annotator1	2.0	 	ausspannen	3
arnimb_goethe01_1835-2022-28	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator1	1.0	 	ausspannen	3
26120215_1953_12_23_01_037.tcf.xml-9-9	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator1	1.0	 	ausspannen	3
2532889X_1964-06-06_01_120.tcf.xml-73-12	26120215_1979_03_03_01_253.tcf.xml-8-26	annotator1	1.0	 	ausspannen	3
blumenbach_naturgeschichte_1807-823-25	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator1	1.0	 	ausspannen	3
blumenbach_knochen_1807-3595-44	26120215_1980_05_06_01_028.tcf.xml-5-26	annotator1	1.0	 	ausspannen	3
26120215_1977_10_15_01_409.tcf.xml-12-6	2532889X_1957-07-06_01_136.tcf.xml-1-17	annotator1	4.0	 	ausspannen	3
ludwig_physiologie02_1856-6885-46	2532889X_1950-11-24_01_063.tcf.xml-28-14	annotator1	1.0	 	ausspannen	3
26120215_1955_08_24_01_259.tcf.xml-9-28	fontane_brandenburg04_1882-617-18	annotator1	2.0	 	ausspannen	3
strouhal_tonerregung_1878-125-32	26120215_1979_08_28_01_035.tcf.xml-50-18	annotator1	1.0	 	ausspannen	3
26120215_1949_01_12_01_024.tcf.xml-1-34	vogt_thierstaaten_1851-1792-10	annotator1	1.0	 	ausspannen	3
26120215_1950_07_18_01_213.tcf.xml-3-21	26120215_1972_11_21_01_108.tcf.xml-32-5	annotator1	4.0	 	ausspannen	3
wrangel_luxusfuhrwerk_1898-454-27	2532889X_1981-05-02_01_137.tcf.xml-113-29	annotator1	2.0	 	ausspannen	3
blumenbach_knochen_1807-2530-32	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator1	1.0	 	ausspannen	3
2532889X_1960-04-09_01_106.tcf.xml-44-15	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator1	1.0	 	ausspannen	3
2532889X_1946-05-08_01_151.tcf.xml-42-10	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator1	0.0	unklarer Kontext in Satz 1	ausspannen	3
2532889X_1957-10-31_01_024.tcf.xml-24-29	brehm_thierleben06_1869-11221-13	annotator1	1.0	 	ausspannen	3
2532889X_1973-02-10_01_293.tcf.xml-17-19	26120215_1979_03_03_01_253.tcf.xml-8-26	annotator1	4.0	 	ausspannen	3
26120215_1961_10_29_01_395.tcf.xml-88-15	2532889X_1946-05-08_01_151.tcf.xml-42-10	annotator1	3.0	 	ausspannen	3
alexis_ruhe04_1852-4102-41	26120215_1974_01_02_01_190.tcf.xml-70-15	annotator1	1.0	 	ausspannen	3
26120215_1968_11_17_01_570.tcf.xml-28-9	vogt_thierstaaten_1851-1792-10	annotator1	1.0	 	ausspannen	3
blumenbach_knochen_1807-2733-21	vogt_thierstaaten_1851-1792-10	annotator1	2.0	 	ausspannen	3
blumenbach_naturgeschichte_1816-481-20	alexis_ruhe03_1852-4633-13	annotator1	2.0	 	ausspannen	3
2532889X_1971-02-01_01_188.tcf.xml-20-15	26120215_1990_07_28_01_690.tcf.xml-22-27	annotator1	4.0	 	ausspannen	3
26120215_1979_05_21_01_090.tcf.xml-9-10	26120215_1979_03_03_01_253.tcf.xml-8-26	annotator1	1.0	 	ausspannen	3
26120215_1975_12_10_01_051.tcf.xml-90-2	26120215_1968_11_17_01_570.tcf.xml-28-9	annotator1	3.0	 	ausspannen	3
26120215_1968_02_04_01_125.tcf.xml-18-6	chamisso_schlemihl_1814-93-5	annotator1	2.0	 	ausspannen	3
2532889X_1957-07-06_01_136.tcf.xml-1-17	26120215_1968_02_04_01_125.tcf.xml-18-6	annotator1	4.0	 	ausspannen	3
mueller_hellenische03_1824-4335-46	alexis_ruhe03_1852-4633-13	annotator1	2.0	 	ausspannen	3
2532889X_1973-02-10_01_293.tcf.xml-17-19	alexis_ruhe03_1852-4633-13	annotator1	1.0	 	ausspannen	3
rueckert_brahmane05_1839-2336-9	falke_trachten01_1858-3379-29	annotator1	3.0	 	ausspannen	3
26120215_1963_07_21_01_214.tcf.xml-30-20	26120215_1949_01_12_01_024.tcf.xml-1-34	annotator1	4.0	 	ausspannen	3
vogt_briefe02_1851-227-17	2532889X_1946-05-08_01_151.tcf.xml-42-10	annotator1	3.0	 	ausspannen	3
varnhagen_rahel03_1834-2258-33	alexis_ruhe03_1852-4633-13	annotator1	1.0	 	ausspannen	3
alexis_ruhe03_1852-4633-13	blumenbach_naturgeschichte_1821-535-20	annotator6	3.0	 	ausspannen	3
wrangel_luxusfuhrwerk_1898-454-27	strouhal_tonerregung_1878-244-10	annotator6	2.0	 	ausspannen	3
2532889X_1959-09-18_01_058.tcf.xml-6-22	urbanitzky_electricitaet_1885-4268-24	annotator6	4.0	 	ausspannen	3
treitschke_geschichte03_1885-6239-7	hartwig_erziehung_1847-527-32	annotator6	3.0	 	ausspannen	3
treitschke_geschichte03_1885-6239-7	schwab_sagen01_1838-3289-48	annotator6	3.0	 	ausspannen	3
2532889X_1971-02-01_01_188.tcf.xml-20-15	26120215_1990_07_28_01_690.tcf.xml-22-27	annotator6	4.0	 	ausspannen	3
steinen_naturvoelker_1894-13972-26	laube_europa03_1837-1633-25	annotator6	1.0	 	ausspannen	3
wrangel_luxusfuhrwerk_1898-454-27	keller_seldwyla_1856-2820-11	annotator6	2.0	 	ausspannen	3
arnimb_goethe01_1835-2022-28	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator6	1.0	 	ausspannen	3
26120215_1949_01_12_01_024.tcf.xml-1-34	26120215_1979_03_03_01_253.tcf.xml-8-26	annotator6	4.0	 	ausspannen	3
2532889X_1957-07-06_01_136.tcf.xml-1-17	tieck_phantasus01_1812-343-47	annotator6	1.0	 	ausspannen	3
daguerre_daguerrereotyp_1839-388-46	laube_europa0201_1837-327-10	annotator6	1.0	 	ausspannen	3
2532889X_1954-09-12_01_130.tcf.xml-15-16	ganswindt_faerberei_1889-7572-13	annotator6	4.0	 	ausspannen	3
mueller_hellenische03_1824-4335-46	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
immermann_muenchhausen02_1839-1222-16	falke_trachten01_1858-3379-29	annotator6	4.0	 	ausspannen	3
steub_tirol_1846-6805-20	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator6	2.0	 	ausspannen	3
ganswindt_faerberei_1889-7572-13	treitschke_geschichte03_1885-6239-7	annotator6	2.0	 	ausspannen	3
gottschalck_sagen_1814-2045-46	goerres_volksbuecher_1807-1475-29	annotator6	2.0	 	ausspannen	3
baumstark_encyclopaedie_1835-10653-16	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
blumenbach_naturgeschichte_1807-823-25	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator6	2.0	 	ausspannen	3
2532889X_1973-02-10_01_293.tcf.xml-17-19	26120215_1979_03_03_01_253.tcf.xml-8-26	annotator6	4.0	 	ausspannen	3
2532889X_1957-10-31_01_024.tcf.xml-24-29	brehm_thierleben06_1869-11221-13	annotator6	1.0	 	ausspannen	3
wrangel_luxusfuhrwerk_1898-454-27	2532889X_1962-07-21_01_014.tcf.xml-20-35	annotator6	3.0	 	ausspannen	3
vogt_briefe02_1851-2090-25	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator6	1.0	 	ausspannen	3
2532889X_1990-04-18_01_270.tcf.xml-2-34	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator6	1.0	 	ausspannen	3
strouhal_tonerregung_1878-125-32	goerres_volksbuecher_1807-1475-29	annotator6	3.0	 	ausspannen	3
2532889X_1980-10-18_01_072.tcf.xml-9-15	chamisso_schlemihl_1814-93-5	annotator6	1.0	 	ausspannen	3
immermann_muenchhausen03_1839-1432-26	2532889X_1973-02-10_01_293.tcf.xml-17-19	annotator6	1.0	 	ausspannen	3
26120215_1952_10_10_01_029.tcf.xml-31-11	alexis_ruhe03_1852-4633-13	annotator6	2.0	 	ausspannen	3
26120215_1979_03_03_01_253.tcf.xml-8-26	2532889X_1959-08-15_01_134.tcf.xml-39-12	annotator6	4.0	 	ausspannen	3
littrow_weltsystem03_1836-2190-12	26120215_1973_04_21_01_145.tcf.xml-7-16	annotator6	1.0	 	ausspannen	3
2532889X_1958-08-28_01_036.tcf.xml-35-20	fontane_brandenburg04_1882-617-18	annotator6	4.0	 	ausspannen	3
vogt_briefe02_1851-227-17	arent_dichtercharaktere_1885-1223-28	annotator6	4.0	 	ausspannen	3
goerres_volksbuecher_1807-1475-29	treitschke_geschichte03_1885-6239-7	annotator6	4.0	 	ausspannen	3
2532889X_1954-09-12_01_130.tcf.xml-15-16	26120215_1963_07_21_01_214.tcf.xml-30-20	annotator6	1.0	 	ausspannen	3
arnimb_goethe01_1835-2022-28	vogt_briefe02_1851-227-17	annotator6	2.0	 	ausspannen	3
2532889X_1966-03-30_01_026.tcf.xml-9-3	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator6	4.0	 	ausspannen	3
treitschke_geschichte03_1885-6239-7	blumenbach_knochen_1807-2530-32	annotator6	3.0	 	ausspannen	3
alexis_ruhe03_1852-4633-13	rueckert_brahmane05_1839-2336-9	annotator6	1.0	 	ausspannen	3
2532889X_1961-07-06_01_113.tcf.xml-31-2	falke_trachten01_1858-3379-29	annotator6	4.0	 	ausspannen	3
vogt_briefe02_1851-227-17	chamisso_schlemihl_1814-93-5	annotator6	4.0	 	ausspannen	3
26120215_1968_02_04_01_125.tcf.xml-18-6	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
26120215_1964_11_14_01_244.tcf.xml-8-2	poelitz_poetik_1825-488-8	annotator6	4.0	 	ausspannen	3
2532889X_1961-07-06_01_113.tcf.xml-31-2	blumenbach_naturgeschichte_1821-535-20	annotator6	4.0	 	ausspannen	3
2532889X_1973-06-04_01_063.tcf.xml-13-23	26120215_1957_11_09_01_178.tcf.xml-10-17	annotator6	1.0	 	ausspannen	3
26120215_1963_09_26_01_035.tcf.xml-24-24	arent_dichtercharaktere_1885-1223-28	annotator6	1.0	 	ausspannen	3
alexis_ruhe03_1852-4633-13	26120215_1955_12_18_02_208.tcf.xml-34-10	annotator6	3.0	 	ausspannen	3
treviranus_biologie06_1822-3007-14	treitschke_geschichte03_1885-6239-7	annotator6	4.0	 	ausspannen	3
wrangel_luxusfuhrwerk_1898-454-27	26120215_1955_05_26_01_040.tcf.xml-48-36	annotator6	4.0	 	ausspannen	3
2532889X_1973-06-04_01_063.tcf.xml-13-23	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator6	1.0	 	ausspannen	3
2532889X_1957-10-31_01_024.tcf.xml-24-29	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
2532889X_1980-10-18_01_072.tcf.xml-9-15	vogt_thierstaaten_1851-1792-10	annotator6	1.0	 	ausspannen	3
urbanitzky_electricitaet_1885-4268-24	treviranus_biologie06_1822-3007-14	annotator6	1.0	 	ausspannen	3
2532889X_1961-07-06_01_113.tcf.xml-31-2	2532889X_1946-05-08_01_151.tcf.xml-42-10	annotator6	1.0	 	ausspannen	3
blumenbach_knochen_1807-4153-12	vogt_thierstaaten_1851-1792-10	annotator6	1.0	 	ausspannen	3
26120215_1963_03_31_01_249.tcf.xml-6-20	eckstein_dudler_1893-128-6	annotator6	2.0	 	ausspannen	3
2532889X_1958-08-28_01_036.tcf.xml-35-20	muellner_kaliber_1829-421-5	annotator6	2.0	 	ausspannen	3
wrangel_luxusfuhrwerk_1898-454-27	2532889X_1981-05-02_01_137.tcf.xml-113-29	annotator6	3.0	 	ausspannen	3
blumenbach_knochen_1807-3595-44	26120215_1980_05_06_01_028.tcf.xml-5-26	annotator6	1.0	 	ausspannen	3
burckhardt_cicerone_1855-18610-52	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
boerne_paris02_1832-844-18	chamisso_schlemihl_1814-93-5	annotator6	1.0	 	ausspannen	3
26120215_1985_10_26_01_442.tcf.xml-59-24	2532889X_1954-09-12_01_130.tcf.xml-15-16	annotator6	1.0	 	ausspannen	3
treviranus_biologie06_1822-3007-14	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
26120215_1979_05_21_01_090.tcf.xml-9-10	schwab_sagen01_1838-3289-48	annotator6	1.0	Aus Satz 2 geht nicht hervor, was der Pole für einen Tag “ausgespannt” hatte.	ausspannen	3
immermann_muenchhausen02_1839-1222-16	urbanitzky_electricitaet_1885-4268-24	annotator6	1.0	 	ausspannen	3
2532889X_1969-08-05_01_200.tcf.xml-9-40	2532889X_1958-08-28_01_036.tcf.xml-35-20	annotator6	1.0	 	ausspannen	3
2532889X_1958-08-28_01_036.tcf.xml-35-20	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
ludwig_physiologie02_1856-1585-37	alexis_ruhe03_1852-4633-13	annotator6	1.0	 	ausspannen	3
26120215_1956_11_04_02_103.tcf.xml-11-19	schwab_sagen01_1838-3289-48	annotator6	1.0	 	ausspannen	3
vogt_briefe02_1851-227-17	2532889X_1954-09-12_01_130.tcf.xml-15-16	annotator6	4.0	 	ausspannen	3
2532889X_1961-07-06_01_113.tcf.xml-31-2	paul_flegeljahre02_1804-85-86	annotator6	3.0	 	ausspannen	3
26120215_1962_01_18_01_225.tcf.xml-19-3	26120215_1970_06_01_01_089.tcf.xml-75-11	annotator6	4.0	 	ausspannen	3
arnimb_goethe01_1835-2022-28	2532889X_1959-09-18_01_058.tcf.xml-6-22	annotator3	1.0	 	ausspannen	3
