identifier1	identifier2	annotator	judgment	comment	lemma	round
beck_eisen03_1897-1018-26	humboldt_kosmos02_1847-4630-16	annotator1	4.0	 	beimischen	3
2532889X_1976-12-18_01_347.tcf.xml-28-9	treviranus_biologie04_1814-3613-34	annotator1	4.0	 	beimischen	3
menzel_maurer_1847-2180-20	blumenbach_kleineschriften_1800-297-33	annotator1	4.0	 	beimischen	3
26120215_1956_01_31_01_006.tcf.xml-3-19	treviranus_biologie04_1814-3613-34	annotator1	4.0	 	beimischen	3
2532889X_1980-03-22_01_047.tcf.xml-31-13	2532889X_1977-01-15_01_259.tcf.xml-27-19	annotator1	2.0	 	beimischen	3
nietzsche_tragoedie_1872-84-15	blumenbach_kleineschriften_1800-297-33	annotator1	2.0	 	beimischen	3
2532889X_1965-09-19_01_120.tcf.xml-7-16	humboldt_kosmos02_1847-70-39	annotator1	2.0	 	beimischen	3
26120215_1955_03_27_02_227.tcf.xml-9-20	blumenbach_kleineschriften_1800-297-33	annotator1	2.0	 	beimischen	3
2532889X_1981-08-31_01_039.tcf.xml-5-9	blumenbach_kleineschriften_1800-297-33	annotator1	3.0	 	beimischen	3
niebuhr_roemische02_1812-1658-38	blumenbach_kleineschriften_1800-297-33	annotator1	2.0	 	beimischen	3
2532889X_1980-03-22_01_047.tcf.xml-31-13	rein_japan02_1886-8695-9	annotator1	2.0	 	beimischen	3
2532889X_1964-06-05_01_010.tcf.xml-10-8	treviranus_biologie04_1814-3613-34	annotator1	4.0	 	beimischen	3
2532889X_1983-04-26_01_073.tcf.xml-18-27	treviranus_biologie04_1814-3613-34	annotator1	2.0	 	beimischen	3
2532889X_1983-05-28_01_175.tcf.xml-5-16	berlin_wortblindheit_1887-514-41	annotator1	2.0	 	beimischen	3
2532889X_1968-02-06_01_197.tcf.xml-2-17	treviranus_biologie04_1814-3613-34	annotator1	4.0	 	beimischen	3
2532889X_1980-05-21_01_201.tcf.xml-16-17	blumenbach_kleineschriften_1800-297-33	annotator1	4.0	 	beimischen	3
2532889X_1983-05-07_01_416.tcf.xml-36-15	treviranus_biologie04_1814-3613-34	annotator1	4.0	 	beimischen	3
vischer_aesthetik030205_1857-2414-28	blumenbach_kleineschriften_1800-297-33	annotator1	2.0	 	beimischen	3
vischer_aesthetik030203_1854-2658-32	blumenbach_kleineschriften_1800-297-33	annotator6	3.0	 	beimischen	3
marx_kapital01_1867-3784-29	liebig_agricultur_1840-1095-23	annotator6	4.0	 	beimischen	3
2532889X_1987-07-11_01_206.tcf.xml-12-11	26120215_1963_01_09_01_261.tcf.xml-25-17	annotator6	3.0	 	beimischen	3
2532889X_1961-09-30_01_175.tcf.xml-8-22	burckhardt_renaissance_1860-1551-33	annotator6	2.0	 	beimischen	3
berlin_wortblindheit_1887-514-41	26120215_1953_08_13_01_093.tcf.xml-16-8	annotator6	2.0	 	beimischen	3
liebig_agricultur_1840-633-25	26120215_1980_01_12_01_521.tcf.xml-11-14	annotator6	4.0	 	beimischen	3
thaer_landwirthschaft02_1810-4648-21	treviranus_biologie04_1814-3613-34	annotator6	4.0	 	beimischen	3
heine_reisebilder02_1827-189-11	blumenbach_kleineschriften_1800-297-33	annotator6	2.0	 	beimischen	3
2532889X_1981-12-24_01_235.tcf.xml-2-27	26120215_1963_01_09_01_261.tcf.xml-25-17	annotator6	3.0	 	beimischen	3
thaer_landwirthschaft02_1810-4648-21	2532889X_1964-02-22_01_111.tcf.xml-18-37	annotator6	4.0	 	beimischen	3
avelallemant_gaunerthum04_1862-1304-89	2532889X_1964-12-25_01_079.tcf.xml-3-10	annotator6	3.0	 	beimischen	3
2532889X_1983-05-28_01_175.tcf.xml-5-16	2532889X_1970-12-12_01_262.tcf.xml-31-26	annotator6	3.0	 	beimischen	3
niebuhr_roemische02_1812-1658-38	blumenbach_kleineschriften_1800-297-33	annotator6	3.0	 	beimischen	3
2532889X_1961-09-30_01_175.tcf.xml-8-22	2532889X_1981-12-24_01_235.tcf.xml-2-27	annotator6	2.0	 	beimischen	3
26120215_1950_08_03_01_037.tcf.xml-25-26	blumenbach_kleineschriften_1800-297-33	annotator6	2.0	 	beimischen	3
2532889X_1976-11-06_01_441.tcf.xml-5-33	thaer_landwirthschaft02_1810-1490-6	annotator6	4.0	 	beimischen	3
brandes_naturlehre03_1832-4092-50	2532889X_1980-03-22_01_047.tcf.xml-31-13	annotator6	2.0	 	beimischen	3
2532889X_1984-07-26_01_194.tcf.xml-15-9	avelallemant_gaunerthum04_1862-1304-89	annotator6	3.0	 	beimischen	3
26120215_1987_07_18_01_227.tcf.xml-10-13	brehm_thierleben03_1866-3590-8	annotator6	2.0	 	beimischen	3
2532889X_1964-12-25_01_079.tcf.xml-3-10	berlin_wortblindheit_1887-514-41	annotator6	3.0	 	beimischen	3
2532889X_1964-02-22_01_111.tcf.xml-18-37	niethammer_philantropinismus_1808-557-37	annotator6	2.0	 	beimischen	3
schroeder_logik01_1890-714-61	blumenbach_kleineschriften_1800-297-33	annotator6	2.0	 	beimischen	3
26120215_1984_09_17_01_198.tcf.xml-6-29	2532889X_1983-05-28_01_175.tcf.xml-5-16	annotator6	3.0	 	beimischen	3
26120215_1948_07_18_01_163.tcf.xml-17-10	treviranus_biologie04_1814-3613-34	annotator6	4.0	 	beimischen	3
26120215_1948_07_18_01_163.tcf.xml-17-10	brehm_thierleben03_1866-17770-13	annotator6	2.0	 	beimischen	3
wackernagel_poetik_1873-1449-101	26120215_1948_03_28_01_299.tcf.xml-6-28	annotator6	2.0	 	beimischen	3
26120215_1988_10_08_01_065.tcf.xml-10-11	blumenbach_kleineschriften_1800-297-33	annotator6	2.0	 	beimischen	3
26120215_1950_01_06_01_205.tcf.xml-4-12	blumenbach_kleineschriften_1800-297-33	annotator6	4.0	 	beimischen	3
2532889X_1980-03-22_01_047.tcf.xml-31-13	2532889X_1964-12-25_01_079.tcf.xml-3-10	annotator6	2.0	 	beimischen	3
marx_kapital01_1867-3784-29	liebig_agricultur_1840-1095-23	annotator3	4.0	 	beimischen	3
beck_eisen03_1897-1018-26	humboldt_kosmos02_1847-4630-16	annotator3	4.0	 	beimischen	3
2532889X_1977-06-18_01_206.tcf.xml-24-14	blumenbach_kleineschriften_1800-297-33	annotator3	3.0	 	beimischen	3
blumenbach_naturgeschichte_1803-10422-20	2532889X_1979-12-08_01_200.tcf.xml-1-20	annotator3	4.0	 	beimischen	3
2532889X_1952-04-13_01_045.tcf.xml-30-7	26120215_1972_12_10_01_424.tcf.xml-16-7	annotator3	3.0	 	beimischen	3
26120215_1968_06_09_01_054.tcf.xml-20-18	burckhardt_renaissance_1860-1551-33	annotator3	3.0	 	beimischen	3
thaer_landwirthschaft02_1810-2638-11	blumenbach_kleineschriften_1800-297-33	annotator3	4.0	 	beimischen	3
schroeder_logik01_1890-714-61	blumenbach_kleineschriften_1800-297-33	annotator3	3.0	 	beimischen	3
2532889X_1948-08-01_01_053.tcf.xml-25-10	26120215_1957_06_23_02_075.tcf.xml-12-8	annotator3	3.0	 	beimischen	3
26120215_1973_09_05_01_077.tcf.xml-11-8	treviranus_biologie04_1814-3613-34	annotator3	4.0	 	beimischen	3
immermann_muenchhausen01_1838-2398-13	treviranus_biologie04_1814-3613-34	annotator3	3.0	 	beimischen	3
2532889X_1960-04-01_01_113.tcf.xml-1833-39	treviranus_biologie02_1803-4456-19	annotator3	3.0	 	beimischen	3
baumgart_poetik_1887-3056-15	ganswindt_faerberei_1889-6404-4	annotator3	3.0	 	beimischen	3
kerner_besessene_1834-57-42	treviranus_biologie04_1814-3613-34	annotator3	3.0	 	beimischen	3
26120215_1951_12_07_01_031.tcf.xml-42-17	thaer_landwirthschaft02_1810-4587-16	annotator3	3.0	 	beimischen	3
liebig_agricultur_1840-633-25	26120215_1980_01_12_01_521.tcf.xml-11-14	annotator3	4.0	 	beimischen	3
2532889X_1970-01-24_01_262.tcf.xml-2-20	26120215_1987_07_18_01_227.tcf.xml-10-13	annotator3	4.0	 	beimischen	3
brehm_thierleben05_1869-10343-40	blumenbach_kleineschriften_1800-297-33	annotator3	3.0	 	beimischen	3
