lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
beimischen	VVPP	1894	1	steinen_naturvoelker_1894-1233-57	 	Nur sehr selten konnten wir uns an ein paar Mangaven, Hancornia speciosa, erquicken, und am allerseltensten war uns das Beste, die äusserlich apfelähnliche, » grossartig « schmeckende Frucht von Solanum lycocarpum, Fruta de lobo oder Wolfsfrucht des Sertanejo’s beschieden, deren quellender Süssigkeit durch die schwarzen Kerne ein wenig zarte Bitterkeit beigemischt wurde.	355:366	0:373	Nur sehr selten konnten wir uns an ein paar Mangaven , Hancornia speciosa , erquicken , und am allerseltensten war uns das Beste , die äusserlich apfelähnliche , » grossartig « schmeckende Frucht von Solanum lycocarpum , Fruta de lobo oder Wolfsfrucht des Sertanejo’s beschieden , deren quellender Süssigkeit durch die schwarzen Kerne ein wenig zarte Bitterkeit beigemischt wurde .	57	0:60	nur sehr selten können wir uns an eine paar Mangaven , Hancornia Speciosa , erquicken , und am allerselten sein wir d Beste , die äußerlich apfelähnlich , " großartig " schmeckend Frucht von Solanum Lycocarpum , Fruta De Lobo oder Wolfsfrucht d Sertanejo's bescheiden , die quellend Süßigkeit durch d schwarz Kern eine wenig zart Bitterkeit beimischen werden .	ADV ADV ADJD VMFIN PPER PRF APPR ART PIAT NN $, NE NE $, VVFIN $, KON APPRART ADJA VAFIN PPER ART NN $, PRELS ADJD ADJA $, $( ADJD $( ADJA NN APPR NN NE $, NE NE NE KON NN ART NN VVPP $, PRELAT ADJA NN APPR ART ADJA NN ART PIAT ADJA NN VVPP VAFIN $.	Nur sehr selten konnten wir uns an ein paar Mangaven , Hancornia speciosa , erquicken , und am allerseltensten war uns das Beste , die äußerlich apfelähnliche , " großartig " schmeckende Frucht von Solanum lycocarpum , Fruta de lobo oder Wolfsfrucht des Sertanejo's beschieden , deren quellender Süssigkeit durch die schwarzen Kerne ein wenig zarte Bitterkeit beigemischt wurde .
beimischen	VVPP	1866	1	brehm_thierleben03_1866-3590-8	 	Diesen Lauten werden aber flötende, klangvolle Töne beigemischt und sie wie jene mit viel Abwechslung und Feuer vorgetragen.	52:63	0:124	Dieſen Lauten werden aber flötende , klangvolle Töne beigemiſcht und ſie wie jene mit viel Abwechslung und Feuer vorgetragen .	8	0:20	diese Laute werden aber flötend , klangvoll Ton beimischen und sie wie jene mit viel Abwechselung und Feuer vortragen .	PDAT NN VAFIN ADV ADJA $, ADJA NN VVPP KON PPER KOKOM PDS APPR PIAT NN KON NN VVPP $.	Diesen Lauten werden aber flötende , klangvolle Töne beigemischt und sie wie jene mit viel Abwechslung und Feuer vorgetragen .
beimischen	VVPP	1897	1	beck_eisen03_1897-1018-26	 	Stahls Ansicht über das Eisen und die unedlen Metalle überhaupt geht dahin, dass das brennliche Wesen (Phlogiston) dergestalt „den vier unedlen Metallen beigemischt sei, dass sie eben dadurch ihre ganze metallische, letztsichtbare Gestalt, Glanz, Klang, vornehmlich aber die Geschmeidigkeit durch solches erlangen.	153:164	0:314	Stahls Ansicht über das Eisen und die unedlen Metalle überhaupt geht dahin , daſs das brennliche Wesen ( Phlogiston ) dergestalt „ den vier unedlen Metallen beigemischt sei , daſs sie eben dadurch ihre ganze metallische , letztsichtbare Gestalt , Glanz , Klang , vornehmlich aber die Geschmeidigkeit durch solches erlangen .	26	0:52	Stahl Ansicht über d Eisen und d unedel Metall überhaupt gehen dahin , dass d brennliche Wesen ( Phlogiston ) dergestalt " d vier unedel Metall beimischen sein , dass sie eben dadurch ihr ganz metallisch , letztsichtbar Gestalt , Glanz , Klang , vornehmlich aber d Geschmeidigkeit durch solch erlangen .	NE NN APPR ART NN KON ART ADJA NN ADV VVFIN PAV $, KOUS ART ADJA NN $( NE $( ADV $( ART CARD ADJA NN VVPP VAFIN $, KOUS PPER ADV PAV PPOSAT ADJA ADJA $, ADJA NN $, NN $, NN $, ADV ADV ART NN APPR PIS VVINF $.	Stahls Ansicht über das Eisen und die unedlen Metalle überhaupt geht dahin , dass das brennliche Wesen ( Phlogiston ) dergestalt " den vier unedlen Metallen beigemischt sei , dass sie eben dadurch ihre ganze metallische , letztsichtbare Gestalt , Glanz , Klang , vornehmlich aber die Geschmeidigkeit durch solches erlangen .
beimischen	VVPP	1809	1	goerres_wunderhorn_1809-76-7	 	Jedes Jahrhundert hat freylich seine eigenthümliche Zuthat beygemischt, aber aus derselben Quelle, aus der das Erste sie geschöpft, und wie guter, alter Wein darum nicht Namen und seine Natur verliert, weil Viele nach einander in langen Jahren mit Maß von ihm getrunken, und dann aus dem jedesmaligen Jahrgang ihn wieder aufgefüllt, so ist es auch um dies alte Oel beschaffen, das, wenn es gleich durch so viele Zeiten durchgeronnen, doch noch nicht von seinem milden Feuer verlassen ist.	59:70	0:488	Jedes Jahrhundert hat freylich seine eigenthuͤmliche Zuthat beygemischt , aber aus derselben Quelle , aus der das Erste sie geschoͤpft , und wie guter , alter Wein darum nicht Namen und seine Natur verliert , weil Viele nach einander in langen Jahren mit Maß von ihm getrunken , und dann aus dem jedesmaligen Jahrgang ihn wieder aufgefuͤllt , so ist es auch um dies alte Oel beschaffen , das , wenn es gleich durch so viele Zeiten durchgeronnen , doch noch nicht von seinem milden Feuer verlassen ist .	7	0:89	jede Jahrhundert haben freilich seine eigentümlich Zutat beimischen , aber aus dieselbe Quelle , aus die d erst sie schöpfen , und wie gut , alt Wein darum nicht Name und seine Natur verlieren , weil viel nach einander in lang Jahr mit Maß von er trinken , und dann aus d jedesmalig Jahrgang er wieder auffüllen , so sein es auch um diese alt Öl beschaffen , die , wenn es gleich durch so viel Zeit durchrinnen , doch noch nicht von seine mild Feuer verlassen sein .	PIAT NN VAFIN ADV PPOSAT ADJA NN VVPP $, ADV APPR PDAT NN $, APPR PRELS ART ADJA PPER VVPP $, KON KOKOM ADJA $, ADJA NN PAV PTKNEG NN KON PPOSAT NN VVFIN $, KOUS PIS APPR PRF APPR ADJA NN APPR NN APPR PPER VVPP $, KON ADV APPR ART ADJA NN PPER ADV VVPP $, ADV VAFIN PPER ADV APPR PDS ADJA NN VVINF $, PRELS $, KOUS PPER ADV APPR ADV PIAT NN VVPP $, ADV ADV PTKNEG APPR PPOSAT ADJA NN VVPP VAFIN $.	Jedes Jahrhundert hat freilich seine eigentümliche Zutat beigemischt , aber aus derselben Quelle , aus der das Erste sie geschöpft , und wie guter , alter Wein darum nicht Namen und seine Natur verliert , weil Viele nach einander in langen Jahren mit Maß von ihm getrunken , und dann aus dem jedesmaligen Jahrgang ihn wieder aufgefüllt , so ist es auch um dies alte Öl beschaffen , das , wenn es gleich durch so viele Zeiten durchgeronnen , doch noch nicht von seinem milden Feuer verlassen ist .
beimischen	VVFIN	1890	1	schroeder_logik01_1890-714-61	 	Von der Natur der Dinge an sich — a —, zufolge deren sie auf uns einwirken, und einem subjektiven Moment x, welches durch unsre Sinnesorgane sowol als durch die spezifische Natur, eventuell Beschränkung, unsres geistigen Auffassungsvermögens dieser Einwirkung hinzugefügt, vielleicht auch aus ihr weggenommen, gelöscht wird, unter allen Umständen aber sich ihr unvermeidlich beimischt, ist die Art A bestimmt, wie die Dinge uns erscheinen, wie wir sie uns kraft einer Naturnotwendigkeit vorstellen müssen; es ist, im mathematischen Sinne des Wortes, A eine Funktion von diesem x und a:	375:384	0:585	Von der Natur der Dinge an sich — a — , zufolge deren sie auf uns einwirken , und einem subjektiven Moment x , welches durch unsre Sinnesorgane sowol als durch die spezifische Natur , eventuell Beschränkung , unsres geistigen Auffassungsvermögens dieser Einwirkung hinzugefügt , vielleicht auch aus ihr weggenommen , gelöscht wird , unter allen Umständen aber sich ihr unvermeidlich beimischt , ist die Art A bestimmt , wie die Dinge uns erscheinen , wie wir sie uns kraft einer Naturnotwendigkeit vorstellen müssen ; es ist , im mathematischen Sinne des Wortes , A eine Funktion von diesem x und a :	61	0:103	von d Natur d Ding an sich -- A -- , zufolge die sie auf wir einwirken , und eine subjektiv Moment x , welche durch unsere Sinnesorgan sowohl als durch d spezifisch Natur , eventuell Beschränkung , unsere geistig Auffaßungsvermögen diese Einwirkung hinzufügen , vielleicht auch aus sie wegnehmen , löschen werden , unter alle Umstand aber sich sie unvermeidlich beimischen , sein d Art A bestimmen , wie d Ding wir erscheinen , wie wir sie uns Kraft eine Naturnotwendigkeit vorstellen müssen ; es sein , im mathematisch Sinn d Wort , A eine Funktion von diese x und a :	APPR ART NN ART NN APPR PRF $( NE $( $, APPO PDS PPER APPR PPER VVFIN $, KON ART ADJA NN XY $, PRELS APPR PPOSAT NN KON KOKOM APPR ART ADJA NN $, ADJD NN $, PPOSAT ADJA NN PDAT NN VVPP $, ADV ADV APPR PPER VVPP $, VVPP VAFIN $, APPR PIAT NN KON PRF PPER ADJD VVFIN $, VAFIN ART NN NE VVPP $, PWAV ART NN PPER VVINF $, PWAV PPER PPER PRF NN ART NN VVINF VMINF $. PPER VAFIN $, APPRART ADJA NN ART NN $, NN ART NN APPR PDAT XY KON XY $.	Von der Natur der Dinge an sich -- a -- , zufolge deren sie auf uns einwirken , und einem subjektiven Moment x , welches durch unsere Sinnesorgane sowohl als durch die spezifische Natur , eventuell Beschränkung , unseres geistigen Auffassungsvermögens dieser Einwirkung hinzugefügt , vielleicht auch aus ihr weggenommen , gelöscht wird , unter allen Umständen aber sich ihr unvermeidlich beimischt , ist die Art A bestimmt , wie die Dinge uns erscheinen , wie wir sie uns Kraft einer Naturnotwendigkeit vorstellen müssen ; es ist , im mathematischen Sinne des Wortes , A eine Funktion von diesem x und a :
beimischen	VVFIN	1873	1	wackernagel_poetik_1873-1449-101	 	Die Beziehung auf die einzelne Feierlichkeit, auf das vorliegende Ereigniss brachte es ganz natürlich mit sich, dass neben den Wundern des Gottes, neben den Thaten des Menschen, die man erzählte, man auch den Gefühlen, welche die Feierlichkeit anregte, Worte gab; dass man dort die religiöse Empfindung, hier die Betrübniss aussprach; dass man also dem objectiv angeschauten Stoff eine reflectierende Richtung auf das Subject verlieh, dass man die Thatsachen der äussern Wirklichkeit in Verbindung setzte mit den innern Zuständen, kurz, dass man dem epischen Gehalt noch ein lyrisches Element beimischte.	593:603	0:604	Die Beziehung auf die einzelne Feierlichkeit , auf das vorliegende Ereigniss brachte es ganz natürlich mit sich , dass neben den Wundern des Gottes , neben den Thaten des Menschen , die man erzählte , man auch den Gefühlen , welche die Feierlichkeit anregte , Worte gab ; dass man dort die religiöse Empfindung , hier die Betrübniss aussprach ; dass man also dem objectiv angeschauten Stoff eine reflectierende Richtung auf das Subject verlieh , dass man die Thatsachen der äussern Wirklichkeit in Verbindung setzte mit den innern Zuständen , kurz , dass man dem epischen Gehalt noch ein lyrisches Element beimischte .	101	0:103	d Beziehung auf d einzeln Feierlichkeit , auf d vorliegend Ereignis bringen es ganz natürlich mit sich , dass neben d Wunder d Gott , neben d Tat d Mensch , die man erzählen , man auch d Gefühl , welche d Feierlichkeit anregen , Wort geben ; dass man dort d religiös Empfindung , hier d Betrübnis aussprechen ; dass man also d objektiv angeschaut Stoff eine reflektierend Richtung auf d Subjekt verleihen , dass man d Tatsache d äußer Wirklichkeit in Verbindung setzen mit d inner Zustand , kurz , dass man d episch Gehalt noch eine lyrisch Element beimischen .	ART NN APPR ART ADJA NN $, APPR ART ADJA NN VVFIN PPER ADV ADV APPR PRF $, KOUS APPR ART NN ART NN $, APPR ART NN ART NN $, PRELS PIS VVFIN $, PIS ADV ART NN $, PRELS ART NN VVFIN $, NN VVFIN $. KOUS PIS ADV ART ADJA NN $, ADV ART NN VVFIN $. KOUS PIS ADV ART ADJD ADJA NN ART ADJA NN APPR ART NN VVFIN $, KOUS PIS ART NN ART ADJA NN APPR NN VVFIN APPR ART ADJA NN $, ADJD $, KOUS PIS ART ADJA NN ADV ART ADJA NN VVFIN $.	Die Beziehung auf die einzelne Feierlichkeit , auf das vorliegende Ereignis brachte es ganz natürlich mit sich , dass neben den Wundern des Gottes , neben den Taten des Menschen , die man erzählte , man auch den Gefühlen , welche die Feierlichkeit anregte , Worte gab ; dass man dort die religiöse Empfindung , hier die Betrübnis aussprach ; dass man also dem objektiv angeschauten Stoff eine reflektierende Richtung auf das Subjekt verlieh , dass man die Tatsachen der äußeren Wirklichkeit in Verbindung setzte mit den inneren Zuständen , kurz , dass man dem epischen Gehalt noch ein lyrisches Element beimischte .
beimischen	VVPP	1832	1	brandes_naturlehre03_1832-4092-50	 	— Eisen wirkt, wie Seebeck bemerkt, noch stärker ein; dagegen eine Verbindung von 4 Th. Antimon und 1 Th. Eisen die Größe der Oscillationen gar nicht verminderte, obgleich das Antimon allein in einigem Grade diese Wirkung zeigt; Antimon dem Kupfer beigemischt, Wismuth dem Kupfer beigemischt, Nickel dem Kupfer beigemischt, vermindern die Einwirkung des Kupfers.	280:291	0:362	— Eiſen wirkt , wie Seebeck bemerkt , noch ſtaͤrker ein ; dagegen eine Verbindung von 4 Th. Antimon und 1 Th. Eiſen die Groͤße der Oſcillationen gar nicht verminderte , obgleich das Antimon allein in einigem Grade dieſe Wirkung zeigt ; Antimon dem Kupfer beigemiſcht , Wismuth dem Kupfer beigemiſcht , Nickel dem Kupfer beigemiſcht , vermindern die Einwirkung des Kupfers .	50	0:63	-- Eisen wirken , wie Seebeck bemerken , noch stark ein ; dagegen eine Verbindung von 4 Th. Antimon und 1 Th. Eisen d Größe d Oszillation gar nicht vermindern , obgleich d Antimon allein in einige Grad diese Wirkung zeigen ; Antimon d Kupfer beimischen , Wismut d Kupfer beimischen , Nickel d Kupfer beimischen , vermindern d Einwirkung d Kupfer .	$( NN VVFIN $, PWAV NE VVFIN $, ADV ADJD PTKVZ $. PAV ART NN APPR CARD NN NN KON CARD NN NN ART NN ART NN ADV PTKNEG VVFIN $, KOUS ART NN ADV APPR PIAT NN PDAT NN VVFIN $. NN ART NN VVPP $, NN ART NN VVPP $, NN ART NN VVPP $, VVINF ART NN ART NN $.	-- Eisen wirkt , wie Seebeck bemerkt , noch stärker ein ; dagegen eine Verbindung von 4 Th. Antimon und 1 Th. Eisen die Größe der Oszillationen gar nicht verminderte , obgleich das Antimon allein in einigem Grade diese Wirkung zeigt ; Antimon dem Kupfer beigemischt , Wismut dem Kupfer beigemischt , Nickel dem Kupfer beigemischt , vermindern die Einwirkung des Kupfers .
beimischen	VVPP	1858	1	gottschall_poetik_1858-5642-17	 	Hierher gehört auch das erotische Element, das schon den Hellenischen Anfängen des Romans in starker Dosis beigemischt war.	107:118	0:123	Hierher gehört auch das erotische Element , das schon den Hellenischen Anfängen des Romans in starker Dosis beigemischt war .	17	0:20	hierher gehören auch d erotisch Element , die schon d hellenisch Anfang d Roman in stark Dosis beimischen sein .	ADV VVFIN ADV ART ADJA NN $, PRELS ADV ART ADJA NN ART NN APPR ADJA NN VVPP VAFIN $.	Hierher gehört auch das erotische Element , das schon den Hellenischen Anfängen des Romans in starker Dosis beigemischt war .
beimischen	VVINF	1845	1	griesinger_psychische_1845-467-38	 	Mögen die Ausgangspunkte der betreffenden Empfindungen in den entferntesten Theilen des Organismus liegen, nirgends anders können diese Empfindungen den Mechanismus afficiren, mittelst dessen complicirte Bewegungen realisirt werden, nirgends anders kann sich ihnen jenes dunkle Vorstellen beimischen, als im Gehirn; durch beides aber werden die Empfindungen erst zu Trieben.	289:299	0:374	Mögen die Ausgangspunkte der betreffenden Empfindungen in den entferntesten Theilen des Organismus liegen , nirgends anders können diese Empfindungen den Mechanismus afficiren , mittelst dessen complicirte Bewegungen realisirt werden , nirgends anders kann sich ihnen jenes dunkle Vorstellen beimischen , als im Gehirn ; durch beides aber werden die Empfindungen erst zu Trieben .	38	0:54	mögen d Ausgangspunkt d betreffend Empfindung in d entfernt Teil d Organismus liegen , nirgends anders können diese Empfindung d Mechanismus affizieren , mittels die kompliziert Bewegung realisieren werden , nirgends anders können sich sie jen dunkel Vorstellen beimischen , als im Gehirn ; durch beide aber werden d Empfindung erst zu Trieb .	VMFIN ART NN ART ADJA NN APPR ART ADJA NN ART NN VVFIN $, ADV ADV VMFIN PDAT NN ART NN VVINF $, APPR PRELAT ADJA NN VVPP VAINF $, ADV ADV VMFIN PRF PPER PDAT ADJA NN VVINF $, KOKOM APPRART NN $. APPR PIS ADV VAFIN ART NN ADV APPR NN $.	Mögen die Ausgangspunkte der betreffenden Empfindungen in den entferntesten Teilen des Organismus liegen , nirgends anders können diese Empfindungen den Mechanismus affizieren , mittels dessen komplizierte Bewegungen realisiert werden , nirgends anders kann sich ihnen jenes dunkle Vorstellen beimischen , als im Gehirn ; durch beides aber werden die Empfindungen erst zu Trieben .
beimischen	VVPP	1802	1	forkel_bach_1802-356-34	 	Endlich wurde der Beschluß mit dem vollen Werke durch eine Fuge gemacht, worin entweder nur eine andere Bearbeitung des erstern Thema herrschte, oder noch eines oder auch nach Beschaffenheit desselben zwey andere beygemischt wurden.	213:224	0:232	Endlich wurde der Beschluß mit dem vollen Werke durch eine Fuge gemacht , worin entweder nur eine andere Bearbeitung des erstern Thema herrschte , oder noch eines oder auch nach Beschaffenheit desselben zwey andere beygemischt wurden .	34	0:37	endlich werden d Beschluß mit d voll Werk durch eine Fuge machen , worin entweder nur eine ander Bearbeitung d erstere Thema herrschen , oder noch eine oder auch nach Beschaffenheit desselben zwei ander beimischen werden .	ADV VAFIN ART NN APPR ART ADJA NN APPR ART NN VVPP $, PWAV ADV ADV ART ADJA NN ART ADJA NN VVFIN $, KON ADV ART KON ADV APPR NN PDAT CARD ADJA VVPP VAFIN $.	Endlich wurde der Beschluß mit dem vollen Werke durch eine Fuge gemacht , worin entweder nur eine andere Bearbeitung des ersteren Thema herrschte , oder noch eines oder auch nach Beschaffenheit desselben zwei andere beigemischt wurden .
