identifier1	identifier2	annotator	judgment	comment	lemma	round
wanderley_bauconstructionslehre01_1877-1816-16	raabe_akten_1896-1984-9	annotator1	2.0	 	verbauen	3
26120215_1952_11_30_01_028.tcf.xml-10-5	lehnert_seehaefen01_1891-6206-24	annotator1	2.0	 	verbauen	3
26120215_1948_02_25_01_103.tcf.xml-19-21	2532889X_1964-04-07_01_085.tcf.xml-29-28	annotator1	2.0	 	verbauen	3
immermann_muenchhausen04_1839-1061-40	jhering_recht0201_1854-1219-19	annotator1	2.0	 	verbauen	3
menzel_literatur02_1828-1230-53	jhering_recht0202_1858-984-20	annotator1	2.0	 	verbauen	3
26120215_1967_01_06_01_026.tcf.xml-4-9	raabe_akten_1896-1984-9	annotator1	2.0	 	verbauen	3
scheffel_ekkehard_1855-5687-14	erbkam_tagebuch01_1842-2148-15	annotator1	2.0	 	verbauen	3
2532889X_1976-07-07_01_108.tcf.xml-10-10	2532889X_1980-09-20_01_105.tcf.xml-58-13	annotator1	3.0	 	verbauen	3
26120215_1953_10_18_02_275.tcf.xml-5-4	brehm_thierleben04_1867-19541-39	annotator1	3.0	 	verbauen	3
26120215_1983_07_02_01_205.tcf.xml-20-13	26120215_1956_07_21_01_079.tcf.xml-10-26	annotator1	2.0	 	verbauen	3
jhering_recht0201_1854-1168-54	2532889X_1969-01-16_01_123.tcf.xml-2-66	annotator1	2.0	 	verbauen	3
burckhardt_cicerone_1855-1564-17	raabe_akten_1896-1533-18	annotator1	2.0	 	verbauen	3
hug_familie_1896-2797-17	raabe_akten_1896-1984-9	annotator1	3.0	 	verbauen	3
dilthey_geisteswissenschaften_1883-175-46	lehnert_seehaefen02_1892-5502-17	annotator1	4.0	 	verbauen	3
2532889X_1947-01-05_01_170.tcf.xml-2-25	fouque_frauen_1826-1137-39	annotator1	4.0	 	verbauen	3
erbkam_tagebuch03_1844-73-16	2532889X_1964-04-07_01_085.tcf.xml-29-28	annotator1	2.0	 	verbauen	3
burckhardt_cicerone_1855-1558-5	2532889X_1969-01-16_01_123.tcf.xml-2-66	annotator1	2.0	 	verbauen	3
lehnert_seehaefen01_1891-751-11	2532889X_1986-01-11_01_104.tcf.xml-18-31	annotator1	2.0	 	verbauen	3
2532889X_1954-11-03_01_197.tcf.xml-28-23	fontane_brandenburg01_1862-1647-10	annotator1	1.0	 	verbauen	3
raabe_akten_1896-1533-31	wilamowitz_aristoteles01_1893-1254-78	annotator1	2.0	 	verbauen	3
lehnert_seehaefen01_1891-751-11	erbkam_tagebuch03_1844-270-13	annotator1	1.0	 	verbauen	3
26120215_1953_01_13_01_212.tcf.xml-12-11	raabe_akten_1896-1984-9	annotator1	3.0	 	verbauen	3
