identifier1	identifier2	annotator	judgment	comment	lemma	round
26120215_1951_08_17_01_052.tcf.xml-2-7	2532889X_1977-02-14_01_059.tcf.xml-21-5	annotator1	3.0	 	vergönnen	3
26120215_1982_08_25_01_148.tcf.xml-153-23	26120215_1946_09_28_01_038.tcf.xml-8-7	annotator1	3.0	 	vergönnen	3
brehm_thierleben06_1869-3432-13	2532889X_1974-05-04_01_240.tcf.xml-66-19	annotator1	4.0	 	vergönnen	3
2532889X_1946-12-12_01_021.tcf.xml-25-32	immermann_muenchhausen03_1839-1614-37	annotator1	3.0	 	vergönnen	3
2532889X_1970-03-15_01_009.tcf.xml-9-3	brentano_kasperl_1838-292-34	annotator6	4.0	 	vergönnen	3
heffter_voelkerrecht_1844-1156-19	2532889X_1968-11-24_01_106.tcf.xml-32-5	annotator6	2.0	 	vergönnen	3
hoffmann_nachtstuecke02_1817-1086-3	26120215_1966_11_26_01_085.tcf.xml-2-13	annotator6	4.0	 	vergönnen	3
saar_novellen_1877-212-4	eckermann_goethe03_1848-1330-34	annotator6	1.0	 	vergönnen	3
2532889X_1962-03-07_01_114.tcf.xml-7-17	26120215_1951_06_30_01_028.tcf.xml-1-24	annotator3	4.0	 	vergönnen	3
26120215_1947_08_27_01_029.tcf.xml-2-17	2532889X_1957-02-26_01_056.tcf.xml-12-12	annotator3	4.0	 	vergönnen	3
2532889X_1956-09-27_01_012.tcf.xml-3-22	tieck_phantasus03_1816-5953-52	annotator3	4.0	 	vergönnen	3
2532889X_1946-12-12_01_021.tcf.xml-25-32	immermann_muenchhausen03_1839-1614-37	annotator3	4.0	 	vergönnen	3
26120215_1950_10_27_01_033.tcf.xml-18-9	brentano_kasperl_1838-292-34	annotator5	4.0	 	vergönnen	3
heffter_voelkerrecht_1844-1156-19	2532889X_1968-11-24_01_106.tcf.xml-32-5	annotator5	3.0	 	vergönnen	3
tieck_phantasus03_1816-8124-15	2532889X_1989-11-14_01_108.tcf.xml-42-7	annotator5	4.0	 	vergönnen	3
2532889X_1971-03-06_01_244.tcf.xml-14-39	temme_volkssagen_1840-1739-3	annotator5	4.0	 	vergönnen	3
paul_titan03_1802-752-13	2532889X_1970-11-14_01_1204.tcf.xml-63-11	annotator4	1.0	 	vergönnen	3
