lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
vergönnen	VVPP	1875	1	storm_waldwinkel_1875-137-47	 	– Hier aus der Gegend sollte der Fremde sein; aber drüben bei den Preußen hatte man ihn jahrelang in einem dunklen Kerkerloch gehalten; weder die Sonne, noch die Sterne der Nacht hatte er dort gesehen; nur der qualmige Schein einer Thranlampe war ihm vergönnt gewesen; dabei hatte er ohne Kunde, ob Morgen oder Mitternacht, Tag aus Tag ein gesessen und viele dicke Bücher durchstudirt.	251:259	0:385	– Hier aus der Gegend sollte der Fremde sein ; aber drüben bei den Preußen hatte man ihn jahrelang in einem dunklen Kerkerloch gehalten ; weder die Sonne , noch die Sterne der Nacht hatte er dort gesehen ; nur der qualmige Schein einer Thranlampe war ihm vergönnt gewesen ; dabei hatte er ohne Kunde , ob Morgen oder Mitternacht , Tag aus Tag ein gesessen und viele dicke Bücher durchstudirt .	47	0:72	- hier aus d Gegend sollen d Fremde sein ; aber drüben bei d Preuße haben man er jahrelang in eine dunkel Kerkerloch halten ; weder d Sonne , noch d Stern d Nacht haben er dort sehen ; nur d qualmig Schein eine Tranlampe sein er vergönnen sein ; dabei haben er ohne Kunde , ob Morgen oder Mitternacht , Tag aus Tag eine sitzen und viel dick Buch durchstudieren .	$( ADV APPR ART NN VMFIN ART NN VAINF $. ADV ADV APPR ART NN VAFIN PIS PPER ADJD APPR ART ADJA NN VVPP $. KON ART NN $, ADV ART NN ART NN VAFIN PPER ADV VVPP $. ADV ART ADJA NN ART NN VAFIN PPER VVPP VAPP $. PAV VAFIN PPER APPR NN $, KOUS NN KON NN $, NN APPR NN ART VVPP KON PIAT ADJA NN VVPP $.	- Hier aus der Gegend sollte der Fremde sein ; aber drüben bei den Preußen hatte man ihn jahrelang in einem dunklen Kerkerloch gehalten ; weder die Sonne , noch die Sterne der Nacht hatte er dort gesehen ; nur der qualmige Schein einer Tranlampe war ihm vergönnt gewesen ; dabei hatte er ohne Kunde , ob Morgen oder Mitternacht , Tag aus Tag ein gesessen und viele dicke Bücher durchstudiert .
vergönnen	VVPP	1888	1	justi_velazquez02_1888-6387-32	 	Da findet man die mythologischen Gruppen mit allegorischem Sinn, die burlesken Figuren der Zwerge, eine Fürstenstatue; auch fehlt die Einsiedelei und Kapelle nicht, und ein Blick wird uns vergönnt durch ein grosses Fenster in unzugängliche Gemächer, wo sich die Majestäten im Kreis der Familie zuweilen dem Blick der getreuen Vasallen zeigen.	188:196	0:342	Da findet man die mythologischen Gruppen mit allegorischem Sinn , die burlesken Figuren der Zwerge , eine Fürstenstatue ; auch fehlt die Einsiedelei und Kapelle nicht , und ein Blick wird uns vergönnt durch ein grosses Fenster in unzugängliche Gemächer , wo sich die Majestäten im Kreis der Familie zuweilen dem Blick der getreuen Vasallen zeigen .	32	0:57	da finden man d mythologisch Gruppe mit allegorisch Sinn , d burlesk Figur d Zwerg , eine Fürstenstatue ; auch fehlen d Einsiedelei und Kapelle nicht , und eine Blick werden wir vergönnen durch eine groß Fenster in unzugänglich Gemach , wo sich d Majestät im Kreis d Familie zuweilen d Blick d getreu Vasall zeigen .	ADV VVFIN PIS ART ADJA NN APPR ADJA NN $, ART ADJA NN ART NN $, ART NN $. ADV VVFIN ART NN KON NN PTKNEG $, KON ART NN VAFIN PPER VVPP APPR ART ADJA NN APPR ADJA NN $, PWAV PRF ART NN APPRART NN ART NN ADV ART NN ART ADJA NN VVINF $.	Da findet man die mythologischen Gruppen mit allegorischem Sinn , die burlesken Figuren der Zwerge , eine Fürstenstatue ; auch fehlt die Einsiedelei und Kapelle nicht , und ein Blick wird uns vergönnt durch ein großes Fenster in unzugängliche Gemächer , wo sich die Majestäten im Kreis der Familie zuweilen dem Blick der getreuen Vasallen zeigen .
vergönnen	VVPP	1817	1	hoffmann_nachtstuecke02_1817-1086-3	 	Es sind Blicke vergönnt in das gelobte Land, zu dem die Pilgerfahrt beginnt mit dem zeitlichen Tode.	15:23	0:100	Es ſind Blicke vergoͤnnt in das gelobte Land , zu dem die Pilgerfahrt beginnt mit dem zeitlichen Tode .	3	0:19	es sein Blick vergönnen in d gelobt Land , zu die d Pilgerfahrt beginnen mit d zeitlich Tod .	PPER VAFIN NN VVPP APPR ART ADJA NN $, APPR PRELS ART NN VVFIN APPR ART ADJA NN $.	Es sind Blicke vergönnt in das gelobte Land , zu dem die Pilgerfahrt beginnt mit dem zeitlichen Tode .
vergönnen	VVFIN	1843	1	lewald_jenny02_1843-1324-20	 	„Erneute Huldigung gestatte mir!“ sagte Steinheim, ihr mit steifer Galanterie die Hand küssend, „und vergönnen Sie mir zugleich, Ihnen meine Frau vorzustellen und sie Ihrer Freundschaft zu empfehlen.“	101:110	0:200	„ Erneute Huldigung geſtatte mir ! “ ſagte Steinheim , ihr mit ſteifer Galanterie die Hand küſſend , „ und vergönnen Sie mir zugleich , Ihnen meine Frau vorzuſtellen und ſie Ihrer Freundſchaft zu empfehlen . “	20	0:37	" erneut Huldigung gestatten ich ! " sagen Steinheim , sie mit steif Galanterie d Hand küssen , " und vergönnen sie ich zugleich , sie meine Frau vorstellen und sie ihr Freundschaft zu empfehlen . "	$( ADJA NN VVFIN PPER $. $( VVFIN NE $, PPER APPR ADJA NN ART NN VVPP $, $( KON VVFIN PPER PPER ADV $, PPER PPOSAT NN VVIZU KON PPER PPOSAT NN PTKZU VVINF $. $(	" Erneute Huldigung gestatte mir ! " sagte Steinheim , ihr mit steifer Galanterie die Hand küssend , " und vergönnen Sie mir zugleich , Ihnen meine Frau vorzustellen und sie Ihrer Freundschaft zu empfehlen . "
vergönnen	VVFIN	1883	1	beyer_poetik02_1883-3859-8	 	Auch ich, ich werde noch, ─ vergönn' es mir, o Himmel!	28:36	0:54	Auch ich , ich werde noch , ─ vergönn' es mir , o Himmel !	8	0:15	auch ich , ich werden noch , ─ vergönnen es ich , o Himmel !	ADV PPER $, PPER VAFIN ADV $, NN VVFIN PPER PPER $, FM NN $.	Auch ich , ich werde noch , ─ vergönne es mir , o Himmel !
vergönnen	VVINF	1822	1	hundtradowsky_judenschule01_1822-2510-44	 	Auch die Talmudisten belehren uns, daß es außer dem Enoch und dem Elias noch Mehrere giebt, die ohne den Tod zu schmecken, ins Paradies kamen, und ihnen, als so ausgezeichneten Heiligen darf man wohl nach dem Messias ein Plätzchen vergönnen.	231:240	0:241	Auch die Talmudiſten belehren uns , daß es außer dem Enoch und dem Elias noch Mehrere giebt , die ohne den Tod zu ſchmecken , ins Paradies kamen , und ihnen , als ſo ausgezeichneten Heiligen darf man wohl nach dem Meſſias ein Plaͤtzchen vergoͤnnen .	44	0:46	auch d Talmudist belehren wir , daß es außer d Enoch und d Elias noch mehrere geben , die ohne d Tod zu schmecken , ins Paradies kommen , und sie , als so ausgezeichnet Heilige dürfen man wohl nach d Messias eine Plätzchen vergönnen .	ADV ART NN VVFIN PPER $, KOUS PPER APPR ART NE KON ART NN ADV PIAT VVFIN $, PRELS APPR ART NN PTKZU VVINF $, APPRART NN VVFIN $, KON PPER $, KOKOM ADV ADJA NN VMFIN PIS ADV APPR ART NN ART NN VVINF $.	Auch die Talmudisten belehren uns , daß es außer dem Enoch und dem Elias noch Mehrere gibt , die ohne den Tod zu schmecken , ins Paradies kamen , und ihnen , als so ausgezeichneten Heiligen darf man wohl nach dem Messias ein Plätzchen vergönnen .
vergönnen	VVPP	1852	1	ludwig_physiologie01_1852-6006-18	 	Nach J. Müller kann man durch allmälige Steigerung des Anblasens in den Grenzen, wie sie dem Lebenden vergönnt sind, den Ton um eine Quinte erhöhen.	102:110	0:148	Nach J. Müller kann man durch allmälige Steigerung des Anblasens in den Grenzen , wie sie dem Lebenden vergönnt sind , den Ton um eine Quinte erhöhen .	18	0:28	nach J. Müller können man durch allmählich Steigerung d Anblasen in d Grenze , wie sie d Lebende vergönnen sein , d Ton um eine Quinte erhöhen .	APPR NE NE VMFIN PIS APPR ADJA NN ART NN APPR ART NN $, PWAV PPER ART NN VVPP VAFIN $, ART NN APPR ART NN VVINF $.	Nach J. Müller kann man durch allmähliche Steigerung des Anblasens in den Grenzen , wie sie dem Lebenden vergönnt sind , den Ton um eine Quinte erhöhen .
vergönnen	VVINF	1846	1	otto_schloss02_1846-411-28	 	„Sie schweigen — vielleicht weil Sie die Sprache seltsam, finden, welche ich führe, vielleicht weil Sie Ihnen ungeziemend erscheint — aber wenn Sie mir vergönnen, aufrichtig fortzufahrrn — so werden Sie mir vergeben, wenn Sie es nicht schon jetzt thun.“	152:161	0:253	„ Sie schweigen — vielleicht weil Sie die Sprache seltsam , finden , welche ich führe , vielleicht weil Sie Ihnen ungeziemend erscheint — aber wenn Sie mir vergönnen , aufrichtig fortzufahrrn — so werden Sie mir vergeben , wenn Sie es nicht schon jetzt thun . “	28	0:48	" sie schweigen -- vielleicht weil sie d Sprache seltsam , finden , welche ich führen , vielleicht weil sie sie ungeziemend erscheinen -- aber wenn sie ich vergönnen , aufrichtig fortfahren -- so werden sie ich vergeben , wenn sie es nicht schon jetzt tun . "	$( PPER VVFIN $( ADV KOUS PPER ART NN ADJD $, VVFIN $, PRELS PPER VVFIN $, ADV KOUS PPER PPER ADJD VVFIN $( ADV KOUS PPER PPER VVINF $, ADJD VVIZU $( ADV VAFIN PPER PPER VVPP $, KOUS PPER PPER PTKNEG ADV ADV VVINF $. $(	" Sie schweigen -- vielleicht weil Sie die Sprache seltsam , finden , welche ich führe , vielleicht weil Sie Ihnen ungeziemend erscheint -- aber wenn Sie mir vergönnen , aufrichtig fortzufahren -- so werden Sie mir vergeben , wenn Sie es nicht schon jetzt tun . "
vergönnen	VVPP	1852	1	alexis_ruhe01_1852-495-6	 	Dem Dichter ist es indeß zuweilen vergönnt, eine andre Sonde in die Brust zu senken, wie er ja auch Geister und Träume citirt, wo er der Vermittler zwischen dem Reich des Unsichtbaren und des Sichtbaren bedarf.	34:42	0:210	Dem Dichter iſt es indeß zuweilen vergönnt , eine andre Sonde in die Bruſt zu ſenken , wie er ja auch Geiſter und Träume citirt , wo er der Vermittler zwiſchen dem Reich des Unſichtbaren und des Sichtbaren bedarf .	6	0:40	d Dichter sein es indes zuweilen vergönnen , eine ander Sonde in d Brust zu senken , wie er ja auch Geist und Traum zitieren , wo er d Vermittler zwischen d Reich d Unsichtbare und d Sichtbare bedürfen .	ART NN VAFIN PPER ADV ADV VVPP $, ART ADJA NN APPR ART NN PTKZU VVINF $, PWAV PPER ADV ADV NN KON NN VVPP $, PWAV PPER ART NN APPR ART NN ART NN KON ART NN VVFIN $.	Dem Dichter ist es indes zuweilen vergönnt , eine andere Sonde in die Brust zu senken , wie er ja auch Geister und Träume zitiert , wo er der Vermittler zwischen dem Reich des Unsichtbaren und des Sichtbaren bedarf .
vergönnen	VVPP	1812	1	tieck_phantasus02_1812-9685-30	 	Ich danke Euch herzlich, lieben Freunde; ich bin verirrt, kein Mensch zeigt sich, kein Licht ist sichtbar, nur bei Euch war es noch hell; vergönnt mir, die Nacht hier zu ruhen, und ich will Euch gern Eure Gastlichkeit belohnen.	138:146	0:227	Ich danke Euch herzlich , lieben Freunde ; ich bin verirrt , kein Menſch zeigt ſich , kein Licht iſt ſichtbar , nur bei Euch war es noch hell ; vergoͤnnt mir , die Nacht hier zu ruhen , und ich will Euch gern Eure Gaſtlichkeit belohnen .	30	0:48	ich danken ihr herzlich , lieb Freund ; ich sein verirren , keine Mensch zeigen sich , keine Licht sein sichtbar , nur bei ihr sein es noch hell ; vergönnen ich , d Nacht hier zu ruhen , und ich wollen ihr gern euer Gastlichkeit belohnen .	PPER VVFIN PPER ADJD $, ADJA NN $. PPER VAFIN VVPP $, PIAT NN VVFIN PRF $, PIAT NN VAFIN ADJD $, ADV APPR PPER VAFIN PPER ADV ADJD $. VVPP PPER $, ART NN ADV PTKZU VVINF $, KON PPER VMFIN PPER ADV PPOSAT NN VVINF $.	Ich danke Euch herzlich , lieben Freunde ; ich bin verirrt , kein Mensch zeigt sich , kein Licht ist sichtbar , nur bei Euch war es noch hell ; vergönnt mir , die Nacht hier zu ruhen , und ich will Euch gern Eure Gastlichkeit belohnen .
