identifier1	identifier2	annotator	judgment	comment	lemma	round
brehm_thierleben05_1869-324-28	26120215_1986_06_26_01_076.tcf.xml-12-12	annotator1	2.0	 	voranstellen	3
brehm_thierleben01_1864-8689-15	26120215_1979_05_10_01_056.tcf.xml-4-16	annotator1	2.0	 	voranstellen	3
beck_eisen02_1895-15-9	lehnert_seehaefen01_1891-2089-7	annotator1	4.0	 	voranstellen	3
stein_verwaltungslehre04_1867-1690-17	beck_eisen02_1895-15-9	annotator1	3.0	 	voranstellen	3
mommsen_roemische03_1856-1241-27	26120215_1978_08_05_01_062.tcf.xml-4-0	annotator1	2.0	 	voranstellen	3
brunner_rechtsgeschichte02_1892-10933-13	stein_verwaltungslehre04_1867-1690-17	annotator1	4.0	 	voranstellen	3
brandes_naturlehre03_1832-275-46	brehm_thierleben02_1865-16040-3	annotator1	2.0	 	voranstellen	3
beck_eisen02_1895-15-9	brunner_rechtsgeschichte02_1892-10933-13	annotator1	3.0	 	voranstellen	3
26120215_1990_05_02_01_351.tcf.xml-3-3	carus_zoologie_1872-8562-20	annotator1	2.0	 	voranstellen	3
26120215_1985_04_26_01_071.tcf.xml-5-4	beck_eisen02_1895-15-9	annotator1	2.0	 	voranstellen	3
26120215_1965_05_23_01_051.tcf.xml-1-16	26120215_1949_03_30_01_038.tcf.xml-42-32	annotator1	2.0	 	voranstellen	3
ranke_reformation04_1843-3688-75	brunner_rechtsgeschichte02_1892-10933-13	annotator1	3.0	 	voranstellen	3
2532889X_1968-02-25_01_053.tcf.xml-4-31	heffter_voelkerrecht_1844-934-24	annotator1	2.0	 	voranstellen	3
26120215_1954_08_26_01_330.tcf.xml-15-7	robert_griechische_1881-1521-13	annotator1	4.0	 	voranstellen	3
carus_zoologie_1872-8562-20	2532889X_1949-06-22_01_057.tcf.xml-162-31	annotator1	2.0	 	voranstellen	3
lehnert_seehaefen01_1891-2089-7	brehm_thierleben05_1869-324-28	annotator1	2.0	 	voranstellen	3
2532889X_1949-06-22_01_057.tcf.xml-162-31	2532889X_1978-07-26_01_069.tcf.xml-4-43	annotator1	3.0	 	voranstellen	3
26120215_1959_08_21_01_212.tcf.xml-12-23	2532889X_1962-03-10_01_168.tcf.xml-14-30	annotator1	4.0	 	voranstellen	3
26120215_1978_08_05_01_062.tcf.xml-4-0	26120215_1986_06_26_01_076.tcf.xml-12-12	annotator1	4.0	 	voranstellen	3
2532889X_1978-07-26_01_069.tcf.xml-4-43	nn_badener056_1898-29-7	annotator1	3.0	 	voranstellen	3
robert_griechische_1881-1521-13	26120215_1960_08_03_01_290.tcf.xml-58-43	annotator1	4.0	 	voranstellen	3
herbart_psychologie01_1824-1406-23	carus_zoologie_1872-8562-20	annotator1	3.0	 	voranstellen	3
26120215_1986_06_26_01_076.tcf.xml-12-12	2532889X_1983-08-31_01_226.tcf.xml-6-27	annotator1	2.0	 	voranstellen	3
26120215_1962_11_16_01_079.tcf.xml-15-12	26120215_1971_05_07_01_004.tcf.xml-20-15	annotator1	3.0	 	voranstellen	3
heffter_voelkerrecht_1844-934-24	robert_griechische_1881-1521-13	annotator1	3.0	 	voranstellen	3
nn_badener056_1898-29-7	26120215_1990_05_02_01_351.tcf.xml-3-3	annotator1	2.0	 	voranstellen	3
stein_verwaltungslehre04_1867-1690-17	26120215_1990_05_02_01_351.tcf.xml-3-3	annotator1	2.0	 	voranstellen	3
drude_pflanzengeographie_1890-3076-5	vischer_aesthetik01_1846-413-12	annotator1	4.0	 	voranstellen	3
26120215_1990_05_02_01_351.tcf.xml-3-3	treitschke_geschichte01_1879-9990-13	annotator1	3.0	 	voranstellen	3
mommsen_roemische03_1856-1241-27	rumohr_forschungen01_1827-125-22	annotator1	2.0	 	voranstellen	3
mommsen_roemische03_1856-1241-27	rumohr_forschungen02_1827-153-106	annotator1	2.0	 	voranstellen	3
2532889X_1978-07-26_01_069.tcf.xml-4-43	beck_eisen02_1895-15-9	annotator1	3.0	 	voranstellen	3
stein_verwaltungslehre04_1867-1690-17	drude_pflanzengeographie_1890-3076-5	annotator1	4.0	 	voranstellen	3
brandes_naturlehre03_1832-275-46	brehm_thierleben02_1865-16040-3	annotator6	4.0	 	voranstellen	3
brehm_thierleben05_1869-324-28	26120215_1986_06_26_01_076.tcf.xml-12-12	annotator6	3.0	 	voranstellen	3
hc_1050205_1848-289-44	brunner_rechtsgeschichte01_1887-7855-8	annotator6	2.0	 	voranstellen	3
26120215_1978_08_05_01_062.tcf.xml-4-0	2532889X_1978-07-26_01_069.tcf.xml-4-43	annotator6	4.0	 	voranstellen	3
schroeder_logik03_1895-6015-28	2532889X_1949-10-26_01_029.tcf.xml-20-44	annotator6	2.0	 	voranstellen	3
rumohr_forschungen02_1827-153-106	stein_verwaltungslehre04_1867-1690-17	annotator6	4.0	 	voranstellen	3
brandes_naturlehre03_1832-275-46	26120215_1968_10_20_01_467.tcf.xml-5-0	annotator6	4.0	 	voranstellen	3
vischer_aesthetik01_1846-413-12	lehnert_seehaefen01_1891-2089-7	annotator6	3.0	 	voranstellen	3
brunner_rechtsgeschichte01_1887-5982-18	26120215_1949_03_30_01_038.tcf.xml-42-32	annotator6	3.0	 	voranstellen	3
mommsen_roemische03_1856-1241-27	rumohr_forschungen01_1827-125-22	annotator6	3.0	 	voranstellen	3
rumohr_forschungen01_1827-581-34	schauberg_freimaurerei03_1863-1785-51	annotator6	3.0	 	voranstellen	3
nn_nrhz173_1848-344-11	2532889X_1978-07-26_01_069.tcf.xml-4-43	annotator6	2.0	 	voranstellen	3
26120215_1981_08_19_01_089.tcf.xml-9-6	brehm_thierleben05_1869-324-28	annotator6	3.0	 	voranstellen	3
26120215_1990_05_02_01_351.tcf.xml-3-3	rumohr_forschungen01_1827-125-22	annotator6	2.0	 	voranstellen	3
26120215_1985_02_18_01_082.tcf.xml-5-26	stein_verwaltungslehre04_1867-1690-17	annotator6	2.0	 	voranstellen	3
brunner_rechtsgeschichte02_1892-10933-13	rumohr_forschungen02_1827-153-106	annotator6	1.0	 	voranstellen	3
26120215_1990_05_02_01_351.tcf.xml-3-3	26120215_1978_08_05_01_062.tcf.xml-4-0	annotator6	4.0	 	voranstellen	3
ranke_reformation04_1843-3688-75	brunner_rechtsgeschichte02_1892-10933-13	annotator6	3.0	 	voranstellen	3
mommsen_roemische03_1856-1241-27	26120215_1978_08_05_01_062.tcf.xml-4-0	annotator6	4.0	 	voranstellen	3
2532889X_1972-03-18_01_325.tcf.xml-14-25	2532889X_1985-03-29_01_128.tcf.xml-5-32	annotator6	3.0	 	voranstellen	3
26120215_1981_08_19_01_089.tcf.xml-9-6	robert_griechische_1881-1521-13	annotator6	3.0	 	voranstellen	3
vischer_aesthetik01_1846-413-12	nn_badener056_1898-29-7	annotator6	3.0	 	voranstellen	3
ranke_reformation04_1843-3688-75	2532889X_1949-06-22_01_057.tcf.xml-162-31	annotator6	4.0	 	voranstellen	3
nn_badener056_1898-29-7	26120215_1990_05_02_01_351.tcf.xml-3-3	annotator6	3.0	 	voranstellen	3
savigny_system03_1840-4380-15	brunner_rechtsgeschichte01_1887-7855-8	annotator6	3.0	 	voranstellen	3
huber_verkehr_1893-317-12	schauberg_freimaurerei03_1863-1785-51	annotator6	4.0	 	voranstellen	3
carus_zoologie_1872-8562-20	brunner_rechtsgeschichte02_1892-10933-13	annotator6	2.0	 	voranstellen	3
carus_zoologie_1872-8562-20	2532889X_1978-07-26_01_069.tcf.xml-4-43	annotator6	2.0	 	voranstellen	3
herbart_psychologie01_1824-1406-23	brehm_thierleben05_1869-324-28	annotator6	3.0	 	voranstellen	3
lehnert_seehaefen01_1891-2089-7	brehm_thierleben05_1869-324-28	annotator6	2.0	 	voranstellen	3
stein_verwaltungslehre04_1867-1690-17	drude_pflanzengeographie_1890-3076-5	annotator6	3.0	 	voranstellen	3
vischer_aesthetik030205_1857-1487-14	rumohr_forschungen03_1831-44-42	annotator6	3.0	 	voranstellen	3
rumohr_forschungen02_1827-153-106	26120215_1978_08_05_01_062.tcf.xml-4-0	annotator6	3.0	 	voranstellen	3
schroeder_logik0201_1891-1053-17	2532889X_1957-09-28_01_250.tcf.xml-7-11	annotator6	4.0	 	voranstellen	3
rumohr_forschungen02_1827-153-106	stein_verwaltungslehre04_1867-1690-17	annotator3	4.0	 	voranstellen	3
brandes_naturlehre03_1832-275-46	26120215_1968_10_20_01_467.tcf.xml-5-0	annotator3	3.0	 	voranstellen	3
vischer_aesthetik030205_1857-1487-14	brunner_rechtsgeschichte02_1892-10933-13	annotator3	4.0	 	voranstellen	3
2532889X_1978-07-26_01_069.tcf.xml-4-43	drude_pflanzengeographie_1890-3076-5	annotator3	3.0	 	voranstellen	3
2532889X_1972-03-18_01_325.tcf.xml-14-25	2532889X_1985-03-29_01_128.tcf.xml-5-32	annotator3	3.0	 	voranstellen	3
2532889X_1989-10-21_01_455.tcf.xml-1-40	klein_riemann_1882-767-21	annotator3	4.0	 	voranstellen	3
ranke_reformation04_1843-3688-75	26120215_1985_02_18_01_082.tcf.xml-5-26	annotator3	4.0	 	voranstellen	3
stein_verwaltungslehre04_1867-1690-17	beck_eisen02_1895-15-9	annotator3	4.0	 	voranstellen	3
26120215_1986_06_26_01_076.tcf.xml-12-12	rumohr_forschungen02_1827-153-106	annotator3	3.0	 	voranstellen	3
26120215_1985_04_26_01_071.tcf.xml-5-4	herbart_psychologie01_1824-1406-23	annotator3	4.0	 	voranstellen	3
