lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
vorliegen	VVFIN	1896	1	mayer_verwaltungsrecht02_1896-1949-7	 	Das bedeutet, daß öffentliches Eigentum nicht vorliegt; es bedeutet nicht, daß durch die Klage und das Urteil öffentliches Eigentum zerstört wurde; es wird nur festgestellt, daß nie solches da war.	46:54	0:197	Das bedeutet , daß öffentliches Eigentum nicht vorliegt ; es bedeutet nicht , daß durch die Klage und das Urteil öffentliches Eigentum zerstört wurde ; es wird nur festgestellt , daß nie solches da war .	7	0:36	die bedeuten , daß öffentlich Eigentum nicht vorliegen ; es bedeuten nicht , daß durch d Klage und d Urteil öffentlich Eigentum zerstören werden ; es werden nur feststellen , daß nie solch da sein .	PDS VVFIN $, KOUS ADJA NN PTKNEG VVFIN $. PPER VVFIN PTKNEG $, KOUS APPR ART NN KON ART NN ADJA NN VVPP VAFIN $. PPER VAFIN ADV VVPP $, KOUS ADV PIS ADV VAFIN $.	Das bedeutet , daß öffentliches Eigentum nicht vorliegt ; es bedeutet nicht , daß durch die Klage und das Urteil öffentliches Eigentum zerstört wurde ; es wird nur festgestellt , daß nie solches da war .
vorliegen	VVFIN	1859	1	mohl_staatswissenschaften_1859-2459-28	 	Uederdies wäre hier, wenigstens in vielen Fällen und bei bereits vorgerückter Jugend, die Entscheidung, ob im concreten Falle wirklich eine die rechtliche Erwerbung verhindernde Unfähigkeit vorliege, schwer zu treffen, und ist daher eine Ausgleichung in der Weise räthlich, daß einerseits die im Augenblicke des Anfalles bestehende Minderjährigkeit von der Erwerbung nicht ausschließt, andererseits der Eintritt der Selbstregierung in allen Fällen und ohne Unterscheidung der persönlichen Fähigkeit auf eine bestimmte sichernde Zeit hinausgerückt wird.	190:198	0:552	Uederdies wäre hier , wenigſtens in vielen Fällen und bei bereits vorgerückter Jugend , die Entſcheidung , ob im concreten Falle wirklich eine die rechtliche Erwerbung verhindernde Unfähigkeit vorliege , ſchwer zu treffen , und iſt daher eine Ausgleichung in der Weiſe räthlich , daß einerſeits die im Augenblicke des Anfalles beſtehende Minderjährigkeit von der Erwerbung nicht ausſchließt , andererſeits der Eintritt der Selbſtregierung in allen Fällen und ohne Unterſcheidung der perſönlichen Fähigkeit auf eine beſtimmte ſichernde Zeit hinausgerückt wird .	28	0:81	Uederdies sein hier , wenigstens in viel Fall und bei bereits vorgerückt Jugend , d Entscheidung , ob im konkret Falle wirklich eine d rechtlich Erwerbung verhindernd Unfähigkeit vorliegen , schwer zu treffen , und sein daher eine Ausgleichung in d Weise rätlich , daß einerseits d im Augenblick d Anfall bestehend Minderjährigkeit von d Erwerbung nicht ausschließen , andererseits d Eintritt d Selbstregierung in alle Fall und ohne Unterscheidung d persönlich Fähigkeit auf eine bestimmt sichernd Zeit hinausrücken werden .	NE VAFIN ADV $, ADV APPR PIAT NN KON APPR ADV ADJA NN $, ART NN $, KOUS APPRART ADJA NN ADJD ART ART ADJA NN ADJA NN VVFIN $, ADJD PTKZU VVINF $, KON VAFIN PAV ART NN APPR ART NN ADJD $, KOUS ADV ART APPRART NN ART NN ADJA NN APPR ART NN PTKNEG VVFIN $, ADV ART NN ART NN APPR PIAT NN KON APPR NN ART ADJA NN APPR ART ADJA ADJA NN VVPP VAFIN $.	Uederdies wäre hier , wenigstens in vielen Fällen und bei bereits vorgerückter Jugend , die Entscheidung , ob im konkreten Falle wirklich eine die rechtliche Erwerbung verhindernde Unfähigkeit vorliege , schwer zu treffen , und ist daher eine Ausgleichung in der Weise rätlich , daß einerseits die im Augenblicke des Anfalles bestehende Minderjährigkeit von der Erwerbung nicht ausschließt , andererseits der Eintritt der Selbstregierung in allen Fällen und ohne Unterscheidung der persönlichen Fähigkeit auf eine bestimmte sichernde Zeit hinausgerückt wird .
vorliegen	VVFIN	1885	1	duehring_berufsbildung_1885-527-34	 	Man erwarte daher auf den Kathedern wesentlich nur mechanische Arbeit, bei der natürlich für das Lernen weit weniger herauskommen muss, als wenn das Heft oder besser ein gutes Buch zur unmittelbaren Lectüre vorläge.	207:214	0:215	Man erwarte daher auf den Kathedern wesentlich nur mechanische Arbeit , bei der natürlich für das Lernen weit weniger herauskommen muss , als wenn das Heft oder besser ein gutes Buch zur unmittelbaren Lectüre vorläge .	34	0:36	man erwarten daher auf d Katheder wesentlich nur mechanisch Arbeit , bei die natürlich für d Lernen weit wenige herauskommen müssen , als wenn d Heft oder gut eine gut Buch zur unmittelbar Lektüre vorliegen .	PIS VVFIN PAV APPR ART NN ADJD ADV ADJA NN $, APPR PRELS ADV APPR ART NN ADJD PIS VVINF VMFIN $, KOKOM KOUS ART NN KON ADJD ART ADJA NN APPRART ADJA NN VVFIN $.	Man erwarte daher auf den Kathedern wesentlich nur mechanische Arbeit , bei der natürlich für das Lernen weit weniger herauskommen muss , als wenn das Heft oder besser ein gutes Buch zur unmittelbaren Lektüre vorläge .
vorliegen	VVFIN	1883	1	fontane_wuthenow_1883-2612-6	 	Indessen wenn jemals eine Berechtigung dazu vorlag, so hier, und speziell Sie werden es begreiflich finden, daß mich dieser Schach-Fall, der nur ein Symptom ist, um eben seiner symptomatischen Bedeutung willen aufs ernsteste beschäftigt.	44:50	0:237	Indeſſen wenn jemals eine Berechtigung dazu vorlag , ſo hier , und ſpeziell Sie werden es begreiflich finden , daß mich dieſer Schach-Fall , der nur ein Symptom iſt , um eben ſeiner ſymptomatiſchen Bedeutung willen aufs ernſteſte beſchäftigt .	6	0:40	indessen wenn jemals eine Berechtigung dazu vorliegen , so hier , und speziell sie werden es begreiflich finden , daß ich diese Schach-Fall , die nur eine Symptom sein , um eben seine symptomatisch Bedeutung Willen aufs ernst beschäftigen .	ADV KOUS ADV ART NN PAV VVFIN $, ADV ADV $, KON ADJD PPER VAFIN PPER ADJD VVINF $, KOUS PPER PDAT NN $, PRELS ADV ART NN VAFIN $, KOUI ADV PPOSAT ADJA NN NN APPRART ADJA VVFIN $.	Indessen wenn jemals eine Berechtigung dazu vorlag , so hier , und speziell Sie werden es begreiflich finden , daß mich dieser Schach-Fall , der nur ein Symptom ist , um eben seiner symptomatischen Bedeutung Willen aufs ernsteste beschäftigt .
vorliegen	VVFIN	1843	1	ranke_reformation05_1843-4291-20	 	Die Theologen fanden, daß eine solche Ausdehnung dem ursprünglichen Begriffe der Obrigkeit, wie er in der h. Schrift vorliege, nicht allein vollkommen entspreche, sondern durch dieselbe vorausgesetzt, gefordert werde.	117:125	0:217	Die Theologen fanden , daß eine ſolche Ausdehnung dem urſprünglichen Begriffe der Obrigkeit , wie er in der h. Schrift vorliege , nicht allein vollkommen entſpreche , ſondern durch dieſelbe vorausgeſetzt , gefordert werde .	20	0:35	d Theologe finden , daß eine solch Ausdehnung d ursprünglich Begriff d Obrigkeit , wie er in d h. Schrift vorliegen , nicht allein vollkommen entsprechen , sondern durch dieselbe voraussetzen , fordern werden .	ART NN VVFIN $, KOUS ART PIAT NN ART ADJA NN ART NN $, PWAV PPER APPR ART VVFIN NN VVFIN $, PTKNEG ADV ADJD VVFIN $, KON APPR PDAT VVPP $, VVPP VAFIN $.	Die Theologen fanden , daß eine solche Ausdehnung dem ursprünglichen Begriffe der Obrigkeit , wie er in der h. Schrift vorliege , nicht allein vollkommen entspreche , sondern durch dieselbe vorausgesetzt , gefordert werde .
vorliegen	VVFIN	1878	1	laband_staatsrecht02_1878-3099-42	 	Konsuln und Gesandte, welche unter Verletzung der in den §§. 3 ff. des Ges. v. 4. Mai 1870 enthaltenen Vorschriften Eheschließungen vornehmen, können daher strafrechtlich nicht verfolgt werden, falls nicht der Thatbestand des §. 348. 349 des R.-St.-G.-B. ’s vorliegt.	258:266	0:267	Konſuln und Geſandte , welche unter Verletzung der in den §§. 3 ff. des Geſ. v. 4. Mai 1870 enthaltenen Vorſchriften Eheſchließungen vornehmen , können daher ſtrafrechtlich nicht verfolgt werden , falls nicht der Thatbeſtand des §. 348. 349 des R.-St.-G.-B. ’s vorliegt .	42	0:44	Konsul und Gesandte , welche unter Verletzung d in d §§. 3 Ff. d Ges. v. 4. Mai 1870 enthalten Vorschrift Eheschließung vornehmen , können daher strafrechtlich nicht verfolgen werden , falls nicht d Tatbestand d §. 348. 349 d R.-St.-G.-B. es vorliegen .	NN KON NN $, PRELS APPR NN ART APPR ART $( CARD NN ART NN APPRART ADJA NN CARD ADJA NN NN VVINF $, VMFIN PAV ADJD PTKNEG VVPP VAINF $, KOUS PTKNEG ART NN ART $( ADJA CARD ART NN PPER VVFIN $.	Konsuln und Gesandte , welche unter Verletzung der in den §§. 3 ff. des Ges. v. 4. Mai 1870 enthaltenen Vorschriften Eheschließungen vornehmen , können daher strafrechtlich nicht verfolgt werden , falls nicht der Tatbestand des §. 348. 349 des R.-St.-G.-B. es vorliegt .
vorliegen	VVFIN	1872	1	carus_zoologie_1872-3302-68	 	Es ist nach dem Erwähnten natürlich, daß die Thiernamen mit Ausnahme der bekanntesten in einem ebenso verstümmelten und kaum wiederzuerkennenden Aufzuge erscheinen, wie es bei Thomas der Fall ist, und zwar erscheinen diese Thiere nicht etwa nur jetzt fremdartig und unbekannt, sondern es ist ganz sicher, daß sich Albert selbst von ihnen kein Bild gemacht, sondern nur zusammengeschrieben hat, was ihm vorlag, wie denn überhaupt von einer Originalarbeit im heutigen Sinne bei seiner Schrift über die Thiere nicht die Rede sein kann.	402:408	0:532	Es iſt nach dem Erwähnten natürlich , daß die Thiernamen mit Ausnahme der bekannteſten in einem ebenſo verſtümmelten und kaum wiederzuerkennenden Aufzuge erſcheinen , wie es bei Thomas der Fall iſt , und zwar erſcheinen dieſe Thiere nicht etwa nur jetzt fremdartig und unbekannt , ſondern es iſt ganz ſicher , daß ſich Albert ſelbſt von ihnen kein Bild gemacht , ſondern nur zuſammengeſchrieben hat , was ihm vorlag , wie denn überhaupt von einer Originalarbeit im heutigen Sinne bei ſeiner Schrift über die Thiere nicht die Rede ſein kann .	68	0:91	es sein nach d Erwähnte natürlich , daß d Tiername mit Ausnahme d bekannt in eine ebenso verstümmelt und kaum wiederzuerkennend Aufzug erscheinen , wie es bei Thomas d Fall sein , und zwar erscheinen diese Tier nicht etwa nur jetzt fremdartig und unbekannt , sondern es sein ganz sicher , daß sich Albert selbst von sie keine Bild machen , sondern nur zusammenschreiben haben , was er vorliegen , wie denn überhaupt von eine Originalarbeit im heutig Sinn bei seine Schrift über d Tier nicht d Rede sein können .	PPER VAFIN APPR ART NN ADV $, KOUS ART NN APPR NN ART ADJA APPR ART ADV ADJA KON ADV ADJA NN VVINF $, PWAV PPER APPR NE ART NN VAFIN $, KON ADV VVFIN PDAT NN PTKNEG ADV ADV ADV ADJD KON ADJD $, KON PPER VAFIN ADV ADJD $, KOUS PRF NE ADV APPR PPER PIAT NN VVPP $, KON ADV VVPP VAFIN $, PWS PPER VVFIN $, PWAV ADV ADV APPR ART NN APPRART ADJA NN APPR PPOSAT NN APPR ART NN PTKNEG ART NN VAINF VMFIN $.	Es ist nach dem Erwähnten natürlich , daß die Tiernamen mit Ausnahme der bekanntesten in einem ebenso verstümmelten und kaum wiederzuerkennenden Aufzug erscheinen , wie es bei Thomas der Fall ist , und zwar erscheinen diese Tiere nicht etwa nur jetzt fremdartig und unbekannt , sondern es ist ganz sicher , daß sich Albert selbst von ihnen kein Bild gemacht , sondern nur zusammengeschrieben hat , was ihm vorlag , wie denn überhaupt von einer Originalarbeit im heutigen Sinne bei seiner Schrift über die Tiere nicht die Rede sein kann .
vorliegen	VVFIN	1882	1	fontane_brandenburg04_1882-2500-29	 	Alles junge Glück der Liebe schloß eine immer wachsende geistliche und geistige Thätigkeit so wenig aus, daß im Jahre 1751 bereits zwei starke Bände „Evangelische Psalmen“ vorlagen, die Zeugniß ablegten von dem schöpferischen Drang des jungen Geistlichen.	172:180	0:255	Alles junge Glück der Liebe ſchloß eine immer wachſende geiſtliche und geiſtige Thätigkeit ſo wenig aus , daß im Jahre 1751 bereits zwei ſtarke Bände „ Evangeliſche Pſalmen “ vorlagen , die Zeugniß ablegten von dem ſchöpferiſchen Drang des jungen Geiſtlichen .	29	0:42	alle jung Glück d Liebe schließen eine immer wachsend geistlich und geistig Tätigkeit so wenig aus , daß im Jahr 1751 bereits zwei stark Band " evangelisch Psalm " vorliegen , d Zeugnis ablegen von d schöpferisch Drang d jung Geistliche .	PIAT ADJA NN ART NN VVFIN ART ADV ADJA ADJA KON ADJA NN ADV PIS PTKVZ $, KOUS APPRART NN CARD ADV CARD ADJA NN $( ADJA NN $( VVFIN $, ART NN VVFIN APPR ART ADJA NN ART ADJA NN $.	Alles junge Glück der Liebe schloß eine immer wachsende geistliche und geistige Tätigkeit so wenig aus , daß im Jahre 1751 bereits zwei starke Bände " Evangelische Psalmen " vorlagen , die Zeugnis ablegten von dem schöpferischen Drang des jungen Geistlichen .
vorliegen	VVINF	1871	1	menger_volkswirtschaftslehre_1871-1292-17	 	Untersuchen wir nun, ob auch bei der obigen Sachlage noch die Grundlagen zu weiteren ökonomischen Tauschoperationen vorliegen.	116:125	0:126	Untersuchen wir nun , ob auch bei der obigen Sachlage noch die Grundlagen zu weiteren ökonomischen Tauschoperationen vorliegen .	17	0:19	Untersuch wir nun , ob auch bei d obig Sachlage noch d Grundlage zu weit ökonomisch Tauschoperation vorliegen .	NN PPER ADV $, KOUS ADV APPR ART ADJA NN ADV ART NN APPR ADJA ADJA NN VVINF $.	Untersuchen wir nun , ob auch bei der obigen Sachlage noch die Grundlagen zu weiteren ökonomischen Tauschoperationen vorliegen .
vorliegen	VVFIN	1873	1	berg_ostasien04_1873-5197-22	 	Indessen behält die siamesische Regierung sich das Recht vor, die Ausfuhr von Reis zu verbieten, wenn ihrer Meinung nach Grund vorliegt, einen Mangel im Lande zu befürchten.	127:135	0:173	Indessen behält die siamesische Regierung sich das Recht vor , die Ausfuhr von Reis zu verbieten , wenn ihrer Meinung nach Grund vorliegt , einen Mangel im Lande zu befürchten .	22	0:31	indessen behalten d siamesisch Regierung sich d Recht vor , d Ausfuhr von Reis zu verbieten , wenn ihr Meinung nach Grund vorliegen , eine Mangel im Land zu befürchten .	ADV VVFIN ART ADJA NN PRF ART NN PTKVZ $, ART NN APPR NN PTKZU VVINF $, KOUS PPOSAT NN APPR NN VVFIN $, ART NN APPRART NN PTKZU VVINF $.	Indessen behält die siamesische Regierung sich das Recht vor , die Ausfuhr von Reis zu verbieten , wenn ihrer Meinung nach Grund vorliegt , einen Mangel im Lande zu befürchten .
vorliegen	VVFIN	1885	1	urbanitzky_electricitaet_1885-1231-5	 	Die wenigen Angaben, welche vorliegen, scheinen auf ein Wachsthum der Intensität hinzuweisen.	28:37	0:93	Die wenigen Angaben , welche vorliegen , ſcheinen auf ein Wachsthum der Intenſität hinzuweiſen .	5	0:15	d wenige Angabe , welche vorliegen , scheinen auf eine Wachstum d Intensität hinweisen .	ART PIAT NN $, PRELS VVFIN $, VVFIN APPR ART NN ART NN VVIZU $.	Die wenigen Angaben , welche vorliegen , scheinen auf ein Wachstum der Intensität hinzuweisen .
vorliegen	VVFIN	1895	1	mayer_verwaltungsrecht01_1895-5894-11	 	Die ältere Auffassung sieht darin einen grossen Unterschied, ob Dienstbefehl vorliegt oder nicht: O. Tr. 4. Juni 1872 (J. M. Bl. S. 89).	77:85	0:136	Die ältere Auffassung sieht darin einen groſsen Unterschied , ob Dienstbefehl vorliegt oder nicht : O. Tr. 4. Juni 1872 ( J. M. Bl. S. 89 ) .	11	0:28	d alt Auffaßung sehen darin eine groß Unterschied , ob Dienstbefehl vorliegen oder nicht : O. Tr. 4. Juni 1872 ( J. M. Bl. S. 89 ) .	ART ADJA NN VVFIN PAV ART ADJA NN $, KOUS NN VVFIN KON PTKNEG $. NE NE ADJA NN CARD $( NE NE NE NN CARD $( $.	Die ältere Auffassung sieht darin einen großen Unterschied , ob Dienstbefehl vorliegt oder nicht : O. Tr. 4. Juni 1872 ( J. M. Bl. S. 89 ) .
