lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
zersetzen	VVPP	1828	1	libelt_hs6623ii_1828-2150-38	 	Die Nahrung kañ auch keinen Unterschied zwischen dem Thier und Pflanzenreiche angeben, deñ die Respiration ist die Hauptnahrung und diese ist in beyden Theilen bei höheren Thier und Pflanzenorganisationen ist der Unterschied, daß hier die Kohlensäure zersetzt wird, dort hervorbracht wird.	253:261	0:291	Die Nahrung kañ auch keinen Unterſchied zwiſchen dem Thier und Pflanzenreiche angeben , deñ die Respiration iſt die Hauptnahrung und dieſe iſt in beyden Theilen bei höheren Thier und Pflanzenorganisationen iſt der Unterschied , daß hier die Kohlensäure zerſetzt wird , dort hervorbracht wird .	38	0:45	d Nahrung können auch keine Unterschied zwischen d Tier und Pflanzenreiche angeben , denn d Respiration sein d Hauptnahrung und diese sein in beide Teil bei hoch Tier und Pflanzenorganisation sein d Unterschied , daß hier d Kohlensäure zersetzen werden , dort hervorbrechen werden .	ART NN VMFIN ADV PIAT NN APPR ART NN KON NN VVINF $, KON ART NN VAFIN ART NN KON PDS VAFIN APPR PIAT NN APPR ADJA NN KON NN VAFIN ART NN $, KOUS ADV ART NN VVPP VAFIN $, ADV VVFIN VAFIN $.	Die Nahrung kann auch keinen Unterschied zwischen dem Tier und Pflanzenreiche angeben , denn die Respiration ist die Hauptnahrung und diese ist in beiden Teilen bei höheren Tier und Pflanzenorganisationen ist der Unterschied , daß hier die Kohlensäure zersetzt wird , dort hervorbracht wird .
zersetzen	VVPP	1848	1	schleiden_pflanze_1848-182-82	 	Und suchen wir nun nach dem Wesentlichen dieser Sinnesorgane — der verständig ausgeführte Knochenbau so fest und so beweglich zugleich, der kräftige Muskel, der durch seine Zusammenziehung jenes Hebelwerk der Knochen in Bewegung setzt, das Herz mit seinen zahlreichen Röhren, den Adern, ein meisterhaft ausgeführtes Pumpenwerk, welches die ernährende Flüssigkeit, das Blut, durch alle Theile treibt, der ganze verwickelte Bau von Behältern und Canälen in denen Nahrungsstoffe aufgenommen, in mannigfacher Weise chemisch zersetzt und wieder anders verbunden, hier dem Blute beigemischt, dort als unbrauchbar ausgesondert werden, die vielfachen Fasern und Häute, welche alle Theile mit einander verbinden und das Ganze umkleiden und zur schönen menschlichen Gestalt abrunden, sie alle sind es nicht.	520:528	0:797	Und ſuchen wir nun nach dem Weſentlichen dieſer Sinnesorgane — der verſtändig ausgeführte Knochenbau ſo feſt und ſo beweglich zugleich , der kräftige Muskel , der durch ſeine Zuſammenziehung jenes Hebelwerk der Knochen in Bewegung ſetzt , das Herz mit ſeinen zahlreichen Röhren , den Adern , ein meiſterhaft ausgeführtes Pumpenwerk , welches die ernährende Flüſſigkeit , das Blut , durch alle Theile treibt , der ganze verwickelte Bau von Behältern und Canälen in denen Nahrungsſtoffe aufgenommen , in mannigfacher Weiſe chemiſch zerſetzt und wieder anders verbunden , hier dem Blute beigemiſcht , dort als unbrauchbar ausgeſondert werden , die vielfachen Faſern und Häute , welche alle Theile mit einander verbinden und das Ganze umkleiden und zur ſchönen menſchlichen Geſtalt abrunden , ſie alle ſind es nicht .	82	0:128	und suchen wir nun nach d Wesentliche diese Sinnesorgan -- d verständig ausgeführt Knochenbau so fest und so beweglich zugleich , d kräftig Muskel , die durch seine Zusammenziehung jen Hebelwerk d Knochen in Bewegung setzen , d Herz mit seine zahlreich Röhre , d Ader , eine meisterhaft ausgeführt Pumpenwerk , welche d ernährend Flüßigkeit , d Blut , durch alle Teil treiben , d ganz verwickelt Bau von Behälter und Kanal in die Nahrungsstoff aufnehmen , in mannigfach Weise chemisch zersetzen und wieder anders verbinden , hier d Blut beimischen , dort als unbrauchbar aussondern werden , d vielfach Faser und Haut , welche alle Teil mit einander verbinden und d Ganze umkleiden und zur schön menschlich Gestalt abrunden , sie alle sein es nicht .	KON VVFIN PPER ADV APPR ART NN PDAT NN $( ART ADJD ADJA NN ADV PTKVZ KON ADV ADJD ADV $, ART ADJA NN $, PRELS APPR PPOSAT NN PDAT NN ART NN APPR NN VVFIN $, ART NN APPR PPOSAT ADJA NN $, ART NN $, ART ADJD ADJA NN $, PRELS ART ADJA NN $, ART NN $, APPR PIAT NN VVFIN $, ART ADJA ADJA NN APPR NN KON NN APPR PRELS NN VVPP $, APPR ADJA NN ADJD VVPP KON ADV ADV VVPP $, ADV ART NN VVPP $, ADV KOKOM ADJD VVPP VAINF $, ART ADJA NN KON NN $, PRELS PIAT NN APPR PRF VVINF KON ART NN VVINF KON APPRART ADJA ADJA NN VVINF $, PPER PIS VAFIN PPER PTKNEG $.	Und suchen wir nun nach dem Wesentlichen dieser Sinnesorgane -- der verständig ausgeführte Knochenbau so fest und so beweglich zugleich , der kräftige Muskel , der durch seine Zusammenziehung jenes Hebelwerk der Knochen in Bewegung setzt , das Herz mit seinen zahlreichen Röhren , den Adern , ein meisterhaft ausgeführtes Pumpenwerk , welches die ernährende Flüssigkeit , das Blut , durch alle Teile treibt , der ganze verwickelte Bau von Behältern und Kanälen in denen Nahrungsstoffe aufgenommen , in mannigfacher Weise chemisch zersetzt und wieder anders verbunden , hier dem Blute beigemischt , dort als unbrauchbar ausgesondert werden , die vielfachen Fasern und Häute , welche alle Teile mit einander verbinden und das Ganze umkleiden und zur schönen menschlichen Gestalt abrunden , sie alle sind es nicht .
zersetzen	VVFIN	1890	1	lasswitz_seife_1890-606-28	 	Doch ersah ich so viel, daß die Sohlen, welche aus Metallstreifen zusammengesetzt waren, bei der Berührung mit dem Wasser dasselbe unter lebhaftem Aufbrausen so stark zersetzten, daß ein Einsinken unmöglich wurde.	167:177	0:213	Doch erſah ich ſo viel , daß die Sohlen , welche aus Metallſtreifen zuſammengeſetzt waren , bei der Berührung mit dem Waſſer dasſelbe unter lebhaftem Aufbrauſen ſo ſtark zerſetzten , daß ein Einſinken unmöglich wurde .	28	0:36	doch ersehen ich so viel , daß d Sohle , welche aus Metallstreifen zusammensetzen sein , bei d Berührung mit d Wasser dasselbe unter lebhaft Aufbrausen so stark zersetzen , daß eine Einsinken unmöglich werden .	KON VVFIN PPER ADV ADV $, KOUS ART NN $, PRELS APPR NN VVPP VAFIN $, APPR ART NN APPR ART NN PDAT APPR ADJA NN ADV ADJD VVFIN $, KOUS ART NN ADJD VAFIN $.	Doch ersah ich so viel , daß die Sohlen , welche aus Metallstreifen zusammengesetzt waren , bei der Berührung mit dem Wasser dasselbe unter lebhaftem Aufbrausen so stark zersetzten , daß ein Einsinken unmöglich wurde .
zersetzen	VVPP	1807	1	hegel_phaenomenologie_1807-3234-3	 	Ihre Einheit ist zersetzt in spröde Seiten, deren jede für die andre wirklicher von ihr ausgeschlossener Gegenstand ist.	17:25	0:120	Ihre Einheit ist zerſetzt in spröde Seiten , deren jede für die andre wirklicher von ihr ausgeſchloſſener Gegenſtand ist .	3	0:20	ihr Einheit sein zersetzen in spröde Seite , die jede für d ander wirklich von ihr ausgeschließen Gegenstand sein .	PPOSAT NN VAFIN VVPP APPR ADJA NN $, PRELAT PIAT APPR ART ADJA ADJA APPR PPOSAT ADJA NN VAFIN $.	Ihre Einheit ist zersetzt in spröde Seiten , deren jede für die andere wirklicher von ihr ausgeschlossener Gegenstand ist .
zersetzen	VVPP	1884	1	ledebur_eisenhuettenkunde_1884-14016-15	 	Der Umstand, dass die Sulfate in sehr hoher Temperatur sämmtlich unter Austreibung des Schwefelsäureanhydrits zersetzt werden, legt die Vermuthung nahe, dass diese gefundene Schwefelsäure erst bei der Erkaltung der Schlacken unter Einwirkung der Luft entstanden sei.	110:118	0:266	Der Umstand , dass die Sulfate in sehr hoher Temperatur sämmtlich unter Austreibung des Schwefelsäureanhydrits zersetzt werden , legt die Vermuthung nahe , dass diese gefundene Schwefelsäure erst bei der Erkaltung der Schlacken unter Einwirkung der Luft entstanden sei .	15	0:40	d Umstand , dass d Sulfat in sehr hoch Temperatur sämtlich unter Austreibung d Schwefelsäureanhydrit zersetzen werden , legen d Vermutung nahe , dass diese gefinden Schwefelsäure erst bei d Erkaltung d Schlacke unter Einwirkung d Luft entstehen sein .	ART NN $, KOUS ART NN APPR ADV ADJA NN ADJD APPR NN ART NN VVPP VAINF $, VVFIN ART NN PTKVZ $, KOUS PDAT ADJA NN ADV APPR ART NN ART NN APPR NN ART NN VVPP VAFIN $.	Der Umstand , dass die Sulfate in sehr hoher Temperatur sämtlich unter Austreibung des Schwefelsäureanhydrits zersetzt werden , legt die Vermutung nahe , dass diese gefundene Schwefelsäure erst bei der Erkaltung der Schlacken unter Einwirkung der Luft entstanden sei .
zersetzen	VVPP	1885	1	urbanitzky_electricitaet_1885-9389-58	 	Es wurde also durch Einleitung eines Stromes in den Wasserzersetzungs-Apparat, das Voltameter, eine derartige physikalische Veränderung der Platin-Elektroden bewirkt, daß nun das Voltameter selbst sich in ein galvanisches Element verwandelte; dieses zweite Element ist also durch die Thätigkeit des ersten (oder richtiger der ersten, da ein Element das Wasser nicht zersetzt) entstanden und deshalb nennt man das erstere, oder überhaupt die galvanischen Elemente Primär-Elemente, das letztere Secundär-Element.	366:374	0:510	Es wurde alſo durch Einleitung eines Stromes in den Waſſerzerſetzungs- Apparat , das Voltameter , eine derartige phyſikaliſche Veränderung der Platin- Elektroden bewirkt , daß nun das Voltameter ſelbſt ſich in ein galvaniſches Element verwandelte ; dieſes zweite Element iſt alſo durch die Thätigkeit des erſten ( oder richtiger der erſten , da ein Element das Waſſer nicht zerſetzt ) entſtanden und deshalb nennt man das erſtere , oder überhaupt die galvaniſchen Elemente Primär-Elemente , das letztere Secundär-Element .	58	0:79	es werden also durch Einleitung eine Strom in d wasserzersetzungs- Apparat , d Voltameter , eine derartig physikalisch Veränderung d platin- Elektrode bewirken , daß nun d Voltameter selbst sich in eine galvanisch Element verwandeln ; diese zweit Element sein also durch d Tätigkeit d erst ( oder richtig d erst , da eine Element d Wasser nicht zersetzen ) entstehen und deshalb nennen man d erstere , oder überhaupt d galvanisch Element Primär-Element , d letztere Sekundär-Element .	PPER VAFIN ADV APPR NN ART NN APPR ART TRUNC NN $, ART NN $, ART ADJA ADJA NN ART TRUNC NN VVPP $, KOUS ADV ART NN ADV PRF APPR ART ADJA NN VVFIN $. PDAT ADJA NN VAFIN ADV APPR ART NN ART ADJA $( KON ADJD ART ADJA $, KOUS ART NN ART NN PTKNEG VVPP $( VVPP KON PAV VVFIN PIS ART ADJA $, KON ADV ART ADJA NN NN $, ART ADJA NN $.	Es wurde also durch Einleitung eines Stromes in den Wasserzersetzungs- Apparat , das Voltameter , eine derartige physikalische Veränderung der Platin- Elektroden bewirkt , daß nun das Voltameter selbst sich in ein galvanisches Element verwandelte ; dieses zweite Element ist also durch die Tätigkeit des ersten ( oder richtiger der ersten , da ein Element das Wasser nicht zersetzt ) entstanden und deshalb nennt man das erstere , oder überhaupt die galvanischen Elemente Primär-Elemente , das letztere Sekundär-Element .
zersetzen	VVFIN	1855	1	quenstedt_mineralogie_1854-11674-36	 	Die Hauptpunkte sind a) Böhmisch und Sächsisch Zinnwalde, wo das Erz in ein körniges Quarzgestein (Greisen) eingesprengt ist, nördlich dabei die berühmten Altenberger Stöcke, im Feldspathporphyr, aber die Gänge zersetzten das Gestein zu einem harten Quarz.	211:221	0:256	Die Hauptpunkte ſind a ) Böhmiſch und Sächſiſch Zinnwalde , wo das Erz in ein körniges Quarzgeſtein ( Greiſen ) eingeſprengt iſt , nördlich dabei die berühmten Altenberger Stöcke , im Feldſpathporphyr , aber die Gänge zerſetzten das Geſtein zu einem harten Quarz .	36	0:44	d Hauptpunkt sein A ) böhmisch und sächsisch Zinnwald , wo d Erz in eine körnig Quarzgestein ( Greis ) einsprengen sein , nördlich dabei d berühmt Altenberger Stock , im Feldspathporphyr , aber d Gang zersetzen d Gestein zu eine hart Quarz .	ART NN VAFIN NE $( ADJD KON ADJD NN $, PWAV ART NN APPR ART ADJA NN $( NN $( VVPP VAFIN $, ADJD PAV ART ADJA NN NN $, APPRART NN $, ADV ART NN VVFIN ART NN APPR ART ADJA NN $.	Die Hauptpunkte sind a ) Böhmisch und Sächsisch Zinnwalde , wo das Erz in ein körniges Quarzgestein ( Greisen ) eingesprengt ist , nördlich dabei die berühmten Altenberger Stöcke , im Feldspathporphyr , aber die Gänge zersetzten das Gestein zu einem harten Quarz .
zersetzen	VVFIN	1832	1	brandes_naturlehre03_1832-3308-68	 	Aus diesem Grunde setzte er zuerst Kali, später Natron, der Wirkung stark wirkender voltaischer Säulen aus, und sah aus beiden am negativen Drathe glänzende Metallkügelchen hervorgehen, die unter Stein-Oel aufbewahrt ihren Metallglanz behielten, an der Luft dagegen sich sogleich wieder oxydirten und durch diese Oxydirung in Kali im einen, in Natron im andern Falle verwandelt wurden; mit Wasser in Berührung gebracht zersetzten sie, wegen ihrer sehr großen Verwandtschaft zum Sauerstoff, das Wasser.	419:429	0:501	Aus dieſem Grunde ſetzte er zuerſt Kali , ſpaͤter Natron , der Wirkung ſtark wirkender voltaiſcher Saͤulen aus , und ſah aus beiden am negativen Drathe glaͤnzende Metallkuͤgelchen hervorgehen , die unter Stein-Oel aufbewahrt ihren Metallglanz behielten , an der Luft dagegen ſich ſogleich wieder oxydirten und durch dieſe Oxydirung in Kali im einen , in Natron im andern Falle verwandelt wurden ; mit Waſſer in Beruͤhrung gebracht zerſetzten ſie , wegen ihrer ſehr großen Verwandtſchaft zum Sauerſtoff , das Waſſer .	68	0:82	aus diese Grund setzen er zuerst Kali , spät Natron , d Wirkung stark wirkend voltaisch Säule aus , und sehen aus beide am negativ Draht glänzend Metallkugelchen hervorgehen , die unter Stein-Oel aufbewahren ihr Metallglanz behalten , an d Luft dagegen sich sogleich wieder oxydieren und durch diese Oxydierung in Kali im eine , in Natron im ander Falle verwandeln werden ; mit Wasser in Berührung bringen zersetzen sie , wegen ihr sehr groß Verwandtschaft zum Sauerstoff , d Wasser .	APPR PDAT NN VVFIN PPER ADV NN $, ADJD NN $, ART NN ADJD ADJA ADJA NN PTKVZ $, KON VVFIN APPR PIS APPRART ADJA NN ADJA NN VVINF $, PRELS APPR NE VVPP PPOSAT NN VVFIN $, APPR ART NN PAV PRF ADV ADV VVFIN KON APPR PDAT NN APPR NN APPRART PIS $, APPR NN APPRART ADJA NN VVPP VAFIN $. APPR NN APPR NN VVPP VVFIN PPER $, APPR PPOSAT ADV ADJA NN APPRART NN $, ART NN $.	Aus diesem Grunde setzte er zuerst Kali , später Natron , der Wirkung stark wirkender voltaischer Säulen aus , und sah aus beiden am negativen Drahte glänzende Metallkügelchen hervorgehen , die unter Stein-Oel aufbewahrt ihren Metallglanz behielten , an der Luft dagegen sich sogleich wieder oxydierten und durch diese Oxydierung in Kali im einen , in Natron im anderen Falle verwandelt wurden ; mit Wasser in Berührung gebracht zersetzten sie , wegen ihrer sehr großen Verwandtschaft zum Sauerstoff , das Wasser .
zersetzen	VVPP	1828	1	nn_oktavgfeo79_1828-3406-15	 	– So aber treffen die Sonnenstrahlen unsere Erde, werden von der festen Masse derselben zersetzt, und lassen dabei ihren Wärmestoff fahren; dadurch wird die untern Schicht der Atmosphäre stark ausgedehnt und muß in die Höhe steigen, um einer kälteren Luft Platz zu machen, welche überall in ihn niedersinkt und eine Art Bewegung in der Luft verursacht.	88:96	0:352	– So aber treffen die Sonnenſtrahlen unſere Erde , werden von der feſten Maſſe derſelben zerſetzt , und laſſen dabei ihren Wärmeſtoff fahren ; dadurch wird die untern Schicht der Atmosphäre ſtark ausgedehnt und muß in die Höhe ſteigen , um einer kälteren Luft Platz zu machen , welche überall in ihn niederſinkt und eine Art Bewegung in der Luft verurſacht .	15	0:62	- so aber treffen d Sonnenstrahl unsere Erde , werden von d fest Maß dieselbe zersetzen , und lassen dabei ihr Wärmestoff fahren ; dadurch werden d unter Schicht d Atmosphäre stark ausdehnen und müssen in d Höhe steigen , um eine kalt Luft Platz zu machen , welche überall in er niedersinken und eine Art Bewegung in d Luft verursachen .	$( ADV ADV VVFIN ART NN PPOSAT NN $, VAFIN APPR ART ADJA NN PDAT VVPP $, KON VVFIN PAV PPOSAT NN VVINF $. PAV VAFIN ART ADJA NN ART NN ADJD VVPP KON VMFIN APPR ART NN VVINF $, KOUI ART ADJA NN NN PTKZU VVINF $, PRELS ADV APPR PPER VVFIN KON ART NN NN APPR ART NN VVPP $.	- So aber treffen die Sonnenstrahlen unsere Erde , werden von der festen Maße derselben zersetzt , und lassen dabei ihren Wärmestoff fahren ; dadurch wird die unteren Schicht der Atmosphäre stark ausgedehnt und muß in die Höhe steigen , um einer kälteren Luft Platz zu machen , welche überall in ihn niedersinkt und eine Art Bewegung in der Luft verursacht .
zersetzen	VVPP	1852	1	ludwig_physiologie01_1852-687-11	 	— Die Prozesse, durch welche die Eiweissstoffe im thierischen Leben zersetzt werden, sind noch sehr wenig bekannt; wir vermuthen, dass neben andern Wegen der Umwandlung auch derjenige der sogenannten Selbstzersetzung und derjenige, welcher durch Alkalien eingeleitet wird, in Anwendung gebracht ist.	68:76	0:299	— Die Prozesse , durch welche die Eiweissstoffe im thierischen Leben zersetzt werden , sind noch sehr wenig bekannt ; wir vermuthen , dass neben andern Wegen der Umwandlung auch derjenige der sogenannten Selbstzersetzung und derjenige , welcher durch Alkalien eingeleitet wird , in Anwendung gebracht ist .	11	0:48	-- d Prozeß , durch welche d Eiweißstoff im tierisch Leben zersetzen werden , sein noch sehr wenig bekannt ; wir vermuten , dass neben andere wegen d Umwandlung auch diejenige d sogenannt Selbstzersetzung und diejenige , welche durch Alkalien einleiten werden , in Anwendung bringen sein .	$( ART NN $, APPR PRELS ART NN APPRART ADJA NN VVPP VAINF $, VAFIN ADV ADV ADV ADJD $. PPER VVFIN $, KOUS APPR PIS APPR ART NN ADV PDS ART ADJA NN KON PDS $, PRELS APPR NN VVPP VAFIN $, APPR NN VVPP VAFIN $.	-- Die Prozesse , durch welche die Eiweissstoffe im tierischen Leben zersetzt werden , sind noch sehr wenig bekannt ; wir vermuten , dass neben anderen Wegen der Umwandlung auch derjenige der sogenannten Selbstzersetzung und derjenige , welcher durch Alkalien eingeleitet wird , in Anwendung gebracht ist .
