lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
abgebrüht	ADJA	1883	1	silberer_traber_1883-107-21	 	Von dem Zeitpunkte an, wo das Fohlen abgesetzt wurde, kann man ihm manchmal warmes Mash (mit heissem Wasser abgebrühte Weizenkleie) mit darunter gemischtem Hafer verabreichen.	108:118	0:175	Von dem Zeitpunkte an , wo das Fohlen abgesetzt wurde , kann man ihm manchmal warmes Mash ( mit heissem Wasser abgebrühte Weizenkleie ) mit darunter gemischtem Hafer verabreichen .	21	0:30	von d Zeitpunkt an , wo d Fohlen absetzen werden , können man er manchmal warm Mash ( mit heiß Wasser abgebrüht Weizenkleie ) mit darunter gemischt Hafer verabreichen .	APPR ART NN PTKVZ $, PWAV ART NN VVPP VAFIN $, VMFIN PIS PPER ADV ADJA NE $( APPR ADJA NN ADJA NN $( APPR PAV ADJA NN VVINF $.	Von dem Zeitpunkte an , wo das Fohlen abgesetzt wurde , kann man ihm manchmal warmes Mash ( mit heißem Wasser abgebrühte Weizenkleie ) mit darunter gemischtem Hafer verabreichen .
abgebrüht	ADJA	1879	1	davidis_kochbuch_1879-7229-4	 	Man läßt 1 Unze abgebrühtes isländisches Moos mit 1 1/8 Quart Wasser 3 Stunden bis zu 3 Tassen einkochen.	16:27	0:105	Man läßt 1 Unze abgebrühtes isländisches Moos mit 1 1/8 Quart Wasser 3 Stunden bis zu 3 Tassen einkochen .	4	0:20	man lassen 1 Unze abgebrüht isländisch Moos mit 1 1/8 Quart Wasser 3 Stunde bis zu 3 Tasse einkochen .	PIS VVFIN CARD NN ADJA ADJA NN APPR CARD CARD NN NN CARD NN APPR APPR CARD NN VVINF $.	Man läßt 1 Unze abgebrühtes isländisches Moos mit 1 1/8 Quart Wasser 3 Stunden bis zu 3 Tassen einkochen .
abgebrüht	ADJA	1849	1	davidis_kochbuch_1849-2062-61	 	Nachdem es gut gewaschen, mit Wasser und Salz rein ausgeschäumt, gibt man die Brühe nach Verlauf von einer starken halben Stunde durch ein Sieb, schwitzt wie in No. 2, Mehl in Butter, schüttet die Kalbfleischbrühe vom Bodensatz langsam hinzu, gibt eine Petersilien-und einige Scorzoner-Wurzeln dazu, so wie ½ Stunde vor dem Anrichten abgebrühten Reis, und kocht die Suppe langsam, fest zugedeckt, gahr.	334:345	0:402	Nachdem es gut gewaſchen , mit Waſſer und Salz rein ausgeſchäumt , gibt man die Brühe nach Verlauf von einer ſtarken halben Stunde durch ein Sieb , ſchwitzt wie in No. 2 , Mehl in Butter , ſchüttet die Kalbfleiſchbrühe vom Bodenſatz langſam hinzu , gibt eine Peterſilien- und einige Scorzoner- Wurzeln dazu , ſo wie ½ Stunde vor dem Anrichten abgebrühten Reis , und kocht die Suppe langſam , feſt zugedeckt , gahr .	61	0:75	nachdem es gut waschen , mit Wasser und Salz rein ausschäumen , geben man d Brühe nach Verlauf von eine stark halb Stunde durch eine Sieb , schwitzen wie in No. 2 , Mehl in Butter , schütten d Kalbfleischbrühe vom Bodensatz langsam hinzu , geben eine petersilien- und einige scorzoner- Wurzel dazu , so wie ½ Stunde vor d Anrichte abgebrüht Reis , und kochen d Suppe langsam , fest zudecken , gar .	KOUS PPER ADJD VVPP $, APPR NN KON NN ADJD VVPP $, VVFIN PIS ART NN APPR NN APPR ART ADJA ADJA NN APPR ART NN $, VVFIN KOKOM APPR NE CARD $, NN APPR NN $, VVFIN ART NN APPRART NN ADJD PTKVZ $, VVFIN ART TRUNC KON PIAT TRUNC NN PAV $, ADV KOKOM ADJA NN APPR ART NN ADJA NN $, KON VVFIN ART NN ADJD $, ADJD VVPP $, ADV $.	Nachdem es gut gewaschen , mit Wasser und Salz rein ausgeschäumt , gibt man die Brühe nach Verlauf von einer starken halben Stunde durch ein Sieb , schwitzt wie in No. 2 , Mehl in Butter , schüttet die Kalbfleischbrühe vom Bodensatz langsam hinzu , gibt eine Petersilien- und einige Scorzoner- Wurzeln dazu , so wie ½ Stunde vor dem Anrichten abgebrühten Reis , und kocht die Suppe langsam , fest zugedeckt , gar .
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-7327-6	 	Es wird eine Tasse Reis gut abgebrüht, mit einem Stück feinen Zimmet in einen irdenen Topf zu einem Maß kochendem Wasser gegeben, weich gekocht, ohne Rühren durch ein Sieb geschüttet und mit Zucker versüßt.	28:37	0:206	Es wird eine Taſſe Reis gut abgebrüht , mit einem Stück feinen Zimmet in einen irdenen Topf zu einem Maß kochendem Waſſer gegeben , weich gekocht , ohne Rühren durch ein Sieb geſchüttet und mit Zucker verſüßt .	6	0:38	es werden eine Tasse Reis gut abgebrüht , mit eine Stück fein Zimt in eine irden Topf zu eine Maß kochend Wasser geben , weich kochen , ohne Rühren durch eine Sieb schütten und mit Zucker versüßen .	PPER VAFIN ART NN NN ADJD ADJD $, APPR ART NN ADJA NN APPR ART ADJA NN APPR ART NN ADJA NN VVPP $, ADJD VVPP $, KOUI NN APPR ART NN VVPP KON APPR NN VVPP $.	Es wird eine Tasse Reis gut abgebrüht , mit einem Stück feinen Zimt in einen irdenen Topf zu einem Maß kochendem Wasser gegeben , weich gekocht , ohne Rühren durch ein Sieb geschüttet und mit Zucker versüßt .
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-3870-3	 	Ist der Reis abgebrüht, so setze man ihn nach vorhergehender Angabe aufs Feuer und gebe, wenn er 1/4 Stunde gekocht hat, ausgesuchte und gewaschene Rosinen dazu und lasse ihn weich werden, aber nicht zerkochen.	13:22	0:210	Ist der Reis abgebrüht , so setze man ihn nach vorhergehender Angabe aufs Feuer und gebe , wenn er 1/4 Stunde gekocht hat , ausgesuchte und gewaschene Rosinen dazu und lasse ihn weich werden , aber nicht zerkochen .	3	0:39	sein d Reis abgebrüht , so setzen man er nach vorhergehend Angabe aufs Feuer und geben , wenn er 1/4 Stunde kochen haben , ausgesucht und gewaschen Rosine dazu und lassen er weich werden , aber nicht zerkochen .	VAFIN ART NN ADJD $, ADV VVFIN PIS PPER APPR ADJA NN APPRART NN KON VVFIN $, KOUS PPER CARD NN VVPP VAFIN $, ADJA KON ADJA NN PAV KON VVFIN PPER ADJD VAINF $, ADV PTKNEG VVINF $.	Ist der Reis abgebrüht , so setze man ihn nach vorhergehender Angabe aufs Feuer und gebe , wenn er 1/4 Stunde gekocht hat , ausgesuchte und gewaschene Rosinen dazu und lasse ihn weich werden , aber nicht zerkochen .
abgebrüht	ADJA	1879	1	davidis_kochbuch_1879-2344-30	 	Beim Gebrauch wird es mit nicht zu vielem Wasser und Salz abgeschäumt, mit einigen Zwiebeln, 4 Lorberblättern, Pfeffer und Nelken (auch nach Belieben mit zwei Handvoll abgebrühten Pflaumen) gahr gekocht.	168:179	0:203	Beim Gebrauch wird es mit nicht zu vielem Wasser und Salz abgeschäumt , mit einigen Zwiebeln , 4 Lorberblättern , Pfeffer und Nelken ( auch nach Belieben mit zwei Handvoll abgebrühten Pflaumen ) gahr gekocht .	30	0:36	beim Gebrauch werden es mit nicht zu viel Wasser und Salz abschäumen , mit einige Zwiebel , 4 Lorberblättern , Pfeffer und Nelke ( auch nach Belieben mit zwei Handvoll abgebrüht Pflaume ) gar kochen .	APPRART NN VAFIN PPER APPR PTKNEG PTKA PIS NN KON NN VVPP $, APPR PIAT NN $, CARD NE $, NN KON NN $( ADV APPR NN APPR CARD NN ADJA NN $( ADV VVPP $.	Beim Gebrauch wird es mit nicht zu vielem Wasser und Salz abgeschäumt , mit einigen Zwiebeln , 4 Lorberblättern , Pfeffer und Nelken ( auch nach Belieben mit zwei Handvoll abgebrühten Pflaumen ) gar gekocht .
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-721-7	 	Echter Sago wird zweimal mit heißem Wasser abgebrüht, mit heißem, weichem Wasser aufs Feuer gebracht, und mit einigen Zitronenscheiben weich gekocht, welches etwa 2–2½ Stunden dauert; Perlsago, welcher aus Kartoffelmehl bereitet ist, bedarf nicht des Abgießens und nur einer Stunde Kochens.	43:52	0:290	Echter Sago wird zweimal mit heißem Wasser abgebrüht , mit heißem , weichem Wasser aufs Feuer gebracht , und mit einigen Zitronenscheiben weich gekocht , welches etwa 2–2½ Stunden dauert ; Perlsago , welcher aus Kartoffelmehl bereitet ist , bedarf nicht des Abgießens und nur einer Stunde Kochens .	7	0:49	echt Sago werden zweimal mit heiß Wasser abgebrüht , mit heiß , weich Wasser aufs Feuer bringen , und mit einige Zitronenscheibe weich kochen , welche etwa 2-21/2 Stunde dauern ; Perlsago , welche aus Kartoffelmehl bereiten sein , bedürfen nicht d Abgießen und nur eine Stunde Kochen .	ADJA NN VAFIN ADV APPR ADJA NN ADJD $, APPR ADJA $, ADJA NN APPRART NN VVPP $, KON APPR PIAT NN ADJD VVPP $, PRELS ADV CARD NN VVFIN $. NN $, PRELS APPR NN VVPP VAFIN $, VVFIN PTKNEG ART NN KON ADV ART NN NE $.	Echter Sago wird zweimal mit heißem Wasser abgebrüht , mit heißem , weichem Wasser aufs Feuer gebracht , und mit einigen Zitronenscheiben weich gekocht , welches etwa 2-21/2 Stunden dauert ; Perlsago , welcher aus Kartoffelmehl bereitet ist , bedarf nicht des Abgießens und nur einer Stunde Kochens .
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-3482-6	 	Drei Viertel Pfund Reis wird gut abgebrüht, in Wasser gahr gekocht, doch müssen die Körner ganz bleiben.	33:42	0:104	Drei Viertel Pfund Reis wird gut abgebrüht , in Waſſer gahr gekocht , doch müſſen die Körner ganz bleiben .	6	0:20	drei Viertel Pfund Reis werden gut abgebrüht , in Wasser gar kochen , doch müssen d Korn ganz bleiben .	CARD NN NN NN VAFIN ADJD ADJD $, APPR NN ADV VVPP $, ADV VMFIN ART NN ADV VVINF $.	Drei Viertel Pfund Reis wird gut abgebrüht , in Wasser gar gekocht , doch müssen die Körner ganz bleiben .
abgebrüht	ADJA	1879	1	davidis_kochbuch_1879-583-65	 	Nachdem es gut gewaschen, in Wasser und Salz abgeschäumt, gibt man die Brühe nach Verlauf von einer halben Stunde durch ein Sieb, schwitzt wie in No. 7 etwas Mehl in die Butter, gießt die Kalbfleischbrühe vom Bodensatz langsam hinzu, gibt eine Petersilienwurzel, auch, wenn man sie hat, einige Scorzonern hinein, sowie 1 Stunde vor dem Anrichten abgebrühten Reis.	346:357	0:363	Nachdem es gut gewaschen , in Wasser und Salz abgeschäumt , gibt man die Brühe nach Verlauf von einer halben Stunde durch ein Sieb , schwitzt wie in No. 7 etwas Mehl in die Butter , gießt die Kalbfleischbrühe vom Bodensatz langsam hinzu , gibt eine Petersilienwurzel , auch , wenn man sie hat , einige Scorzonern hinein , sowie 1 Stunde vor dem Anrichten abgebrühten Reis .	65	0:68	nachdem es gut waschen , in Wasser und Salz abschäumen , geben man d Brühe nach Verlauf von eine halb Stunde durch eine Sieb , schwitzen wie in No. 7 etwas Mehl in d Butter , gießen d Kalbfleischbrühe vom Bodensatz langsam hinzu , geben eine Petersilienwurzel , auch , wenn man sie haben , einige Scorzone hinein , sowie 1 Stunde vor d Anrichte abgebrüht Reis .	KOUS PPER ADJD VVPP $, APPR NN KON NN VVPP $, VVFIN PIS ART NN APPR NN APPR ART ADJA NN APPR ART NN $, VVFIN KOKOM APPR NN CARD PIAT NN APPR ART NN $, VVFIN ART NN APPRART NN ADJD PTKVZ $, VVFIN ART NN $, ADV $, KOUS PIS PPER VAFIN $, PIAT NN PTKVZ $, KON CARD NN APPR ART NN ADJA NN $.	Nachdem es gut gewaschen , in Wasser und Salz abgeschäumt , gibt man die Brühe nach Verlauf von einer halben Stunde durch ein Sieb , schwitzt wie in No. 7 etwas Mehl in die Butter , gießt die Kalbfleischbrühe vom Bodensatz langsam hinzu , gibt eine Petersilienwurzel , auch , wenn man sie hat , einige Scorzonen hinein , sowie 1 Stunde vor dem Anrichten abgebrühten Reis .
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-6112-25	 	No. 3. 4 Eigelb, 1 große saftige Zitrone, ¾ Tasse Zucker, 1 Soda-Cracker, fein gerollt, mit 1½ Tasse kochendem Wasser abgebrüht, Zucker, Eigelb, abgeriebene Schale und Saft der Zitrone hinzugedrückt, auf den Pie gegossen und gebacken.	118:127	0:234	No. 3. 4 Eigelb , 1 große saftige Zitrone , ¾ Tasse Zucker , 1 Soda-Cracker , fein gerollt , mit 1½ Tasse kochendem Wasser abgebrüht , Zucker , Eigelb , abgeriebene Schale und Saft der Zitrone hinzugedrückt , auf den Pie gegossen und gebacken .	25	0:46	No. 3. 4 Eigelb , 1 groß saftig Zitrone , ¾ Tasse Zucker , 1 Soda-Cracker , fein rollen , mit 11/2 Tasse kochend Wasser abgebrüht , Zucker , Eigelb , abgereiben Schale und Saft d Zitrone hinzudrücken , auf d Pie gießen und backen .	NE ADV CARD NN $, CARD ADJA ADJA NN $, ADJA NN NN $, CARD NE $, ADJD VVPP $, APPR CARD NN ADJA NN ADJD $, NN $, NN $, ADJA NN KON NN ART NN VVPP $, APPR ART NN VVPP KON VVPP $.	No. 3. 4 Eigelb , 1 große saftige Zitrone , ¾ Tasse Zucker , 1 Soda-Cracker , fein gerollt , mit 11/2 Tasse kochendem Wasser abgebrüht , Zucker , Eigelb , abgeriebene Schale und Saft der Zitrone hinzugedrückt , auf den Pie gegossen und gebacken .
