identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1959-10-23_01_105.tcf.xml-4-5	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1970-01-22_01_073.tcf.xml-17-6	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1974-12-28_01_086.tcf.xml-14-31	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1975-09-04_01_211.tcf.xml-39-16	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1980-03-01_01_122.tcf.xml-14-18	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1989-02-11_01_211.tcf.xml-39-10	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1990-06-27_01_154.tcf.xml-2-27	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	2532889X_1990-08-15_01_278.tcf.xml-1-9	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1953_04_05_01_056.tcf.xml-58-10	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1966_02_20_01_008.tcf.xml-12-19	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1966_12_25_01_496.tcf.xml-15-20	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1970_01_28_01_083.tcf.xml-26-11	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1970_10_24_01_214.tcf.xml-29-2	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1974_09_11_01_061.tcf.xml-32-21	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1981_04_15_01_194.tcf.xml-45-9	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1987_02_10_01_047.tcf.xml-35-5	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1988_04_04_01_054.tcf.xml-7-17	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1990_08_01_01_067.tcf.xml-21-3	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1990_08_11_01_818.tcf.xml-59-10	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1990_08_11_01_818.tcf.xml-94-11	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	26120215_1990_08_31_01_056.tcf.xml-33-19	inferred	0	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	avelallemant_gaunerthum02_1858-2803-62	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	gizycki_buergerpflicht_1895-127-99	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	hauptmann_sonnenaufgang_1889-997-10	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	hc_1070405_1848-730-26	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	hc_1070405_1848-733-30	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	hc_1070405_1848-734-13	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	hundtradowsky_judenschule03_1823-985-102	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	kant_paedagogik_1803-249-9	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	keller_heinrich01_1854-59-8	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	kerner_besessene_1834-1344-7	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	kerner_besessene_1834-1424-20	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	kerner_besessene_1834-1424-97	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	lehnert_seehaefen01_1891-14023-68	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	nn_nrhz009_1848-584-55	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	nn_nrhz200_1849-263-9	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	paul_katzenberger02_1809-792-21	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	rosegger_waldschulmeister_1875-3816-7	inferred	1	 	Armenhaus
2532889X_1958-08-19_01_085.tcf.xml-5-20	savigny_system02_1840-2902-69	inferred	1	 	Armenhaus
