lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Armenhaus	NN	1958	2	2532889X_1958-08-19_01_085.tcf.xml-5-20	 	Schon der Großmutter von Max Müller war nach des Lebens Mühen kein ruhiger Feierabend vergönnt gewesen; Ihr Los hieß Armenhaus.	117:126	0:127	Schon der Großmutter von Max Müller war nach des Lebens Mühen kein ruhiger Feierabend vergönnt gewesen ; Ihr Los hieß Armenhaus .	20	0:22	schon d Großmutter von Max Müller sein nach d Leben Mühe keine ruhig Feierabend vergönnen sein ; ihr Los heißen Armenhaus .	ADV ART NN APPR NE NE VAFIN APPR ART NN NN PIAT ADJA NN VVPP VAPP $. PPOSAT NN VVFIN NN $.	
Armenhaus	NN	1959	2	2532889X_1959-10-23_01_105.tcf.xml-4-5	 	Schleswig-Holstein, oft als „Armenhaus" Westdeutschlands bezeichnet, wird gegenwartig vom Kriegsministerium und vom NATO-Stab zur Aggressionsbasis Nr. 1 ausgebaut.	29:38	0:163	Schleswig-Holstein , oft als „ Armenhaus " Westdeutschlands bezeichnet , wird gegenwartig vom Kriegsministerium und vom NATO-Stab zur Aggressionsbasis Nr. 1 ausgebaut .	5	0:23	Schleswig-Holstein , oft als „ Armenhaus " Westdeutschland bezeichnen , werden Gegenwartig vom Kriegsministerium und vom Nato-Stab zur Aggressionsbasis Nr. 1 ausbauen .	NE $, ADV KOUS $( NN $( NE VVFIN $, VAFIN NE APPRART NN KON APPRART NN APPRART NN NN CARD VVPP $.	
Armenhaus	NN	1970	2	2532889X_1970-01-22_01_073.tcf.xml-17-6	 	Ohne umfangreiche Unterstützung wäre das „Armenhaus" Europas, wie man Portugal nennt (niedrigstes Pro-Kopf-Einkommen Europas, 40 Prozent Analphabeten), überhaupt nicht in der Lage, den afrikanischen Terrorfeldzug zu führen.	42:51	0:223	Ohne umfangreiche Unterstützung wäre das „ Armenhaus " Europas , wie man Portugal nennt ( niedrigstes Pro-Kopf-Einkommen Europas , 40 Prozent Analphabeten ) , überhaupt nicht in der Lage , den afrikanischen Terrorfeldzug zu führen .	6	0:36	ohne umfangreich Unterstützung sein d „ Armenhaus " Europa , wie man Portugal nennen ( niedrig Pro-Kopf-Einkommen Europa , 40 Prozent Analphabet ) , überhaupt nicht in d Lage , d afrikanisch Terrorfeldzug zu führen .	APPR ADJA NN VAFIN ART $( NN $( NE $, PWAV PIS NE VVFIN $( ADJA NN NE $, CARD NN NN $( $, ADV PTKNEG APPR ART NN $, ART ADJA NN PTKZU VVINF $.	
Armenhaus	NN	1974	2	2532889X_1974-12-28_01_086.tcf.xml-14-31	 	Der. Parfümarchipel", der mit seinen Korallenriffen und seiner üppigen Natur als Paradies gepriesen wird, ist in Wirklichkeit durch jahrhundertelange ausländische Ausbeutung und einheimische feudalistische Unterdrückung zu einem Armenhaus geworden.	229:238	0:248	Der . Parfümarchipel " , der mit seinen Korallenriffen und seiner üppigen Natur als Paradies gepriesen wird , ist in Wirklichkeit durch jahrhundertelange ausländische Ausbeutung und einheimische feudalistische Unterdrückung zu einem Armenhaus geworden .	31	0:34	d . Parfümarchipel " , die mit seine Korallenriff und seine üppig Natur als Paradies preisen werden , sein in Wirklichkeit durch jahrhundertelang ausländisch Ausbeutung und einheimisch feudalistisch Unterdrückung zu eine Armenhaus werden .	ART $. NN $( $, PRELS APPR PPOSAT NN KON PPOSAT ADJA NN KOUS NN VVPP VAFIN $, VAFIN APPR NN APPR ADJA ADJA NN KON ADJA ADJA NN APPR ART NN VAPP $.	
Armenhaus	NN	1975	2	2532889X_1975-09-04_01_211.tcf.xml-39-16	 	Zwei Jahre faschistische Diktatur haben das einst aufblühende Chile in ein riesiges Konzentrationslager, in ein Armenhaus Lateinamerikas verwandelt.	112:121	0:148	Zwei Jahre faschistische Diktatur haben das einst aufblühende Chile in ein riesiges Konzentrationslager , in ein Armenhaus Lateinamerikas verwandelt .	16	0:20	zwei Jahr faschistisch Diktatur haben d einst aufblühend Chile in eine riesig Konzentrationslager , in eine Armenhaus Lateinamerika verwandeln .	CARD NN ADJA NN VAFIN ART ADV ADJA NE APPR ART ADJA NN $, APPR ART NN NE VVPP $.	
Armenhaus	NN	1975	2	2532889X_1975-12-24_01_033.tcf.xml-20-12	 	13 Millionen Italiener beispielsweise streikten für die Oberwindung der sozialökonomischen Zurückgebliebenheit des Armenhauses ihres Landes, des Mezzogiorno.	115:126	0:157	13 Millionen Italiener beispielsweise streikten für die Oberwindung der sozialökonomischen Zurückgebliebenheit des Armenhauses ihres Landes , des Mezzogiorno .	12	0:19	13 Million Italiener beispielsweise streiken für d Oberwindung d sozialökonomisch Zurückgebleibenheit d Armenhaus ihr Land , d Mezzogiorno .	CARD NN NN ADV VVFIN APPR ART NN ART ADJA NN ART NN PPOSAT NN $, ART NN $.	
Armenhaus	NN	1980	2	2532889X_1980-03-01_01_122.tcf.xml-14-18	 	Mit jährlich einer Milliarde Pfund Sterling von allen „Entwicklungsgebieten" am stärksten subventioniert verkörpert Nordirland gleichwohl das Armenhaus des Vereinigten Königreichs.	142:151	0:180	Mit jährlich einer Milliarde Pfund Sterling von allen „ Entwicklungsgebieten " am stärksten subventioniert verkörpert Nordirland gleichwohl das Armenhaus des Vereinigten Königreichs .	18	0:23	mit jährlich eine Milliarde Pfund Sterling von alle „ Entwicklungsgebiet " am stark subventionieren verkörpern Nordirland gleichwohl d Armenhaus d vereinigt Königreich .	APPR ADJD ART NN NN NN APPR PIAT $( NN $( PTKA ADJD VVPP VVFIN NE ADV ART NN ART ADJA NN $.	
Armenhaus	NN	1989	2	2532889X_1989-02-11_01_211.tcf.xml-39-10	 	Damals war die Landschaft um den Pudget-Sund zu einem der Armenhäuser der Vereinigten Staaten geworden, und der Satz „Wenn Boeing hustet, bekommt Seattle die Grippe", machte die	58:69	0:177	Damals war die Landschaft um den Pudget-Sund zu einem der Armenhäuser der Vereinigten Staaten geworden , und der Satz „ Wenn Boeing hustet , bekommt Seattle die Grippe " , machte die	10	0:32	damals sein d Landschaft um d Pudget-Sund zu eine d Armenhaus d vereinigt Staat werden , und d Satz „ wenn Boeing husten , bekommen Seattle d Grippe " , machen d	ADV VAFIN ART NN APPR ART NN APPR ART ART NN ART ADJA NN VAPP $, KON ART NN $( KOUS NE VVFIN $, VVFIN NE ART NN $( $, VVFIN ART	
Armenhaus	NN	1990	2	2532889X_1990-06-27_01_154.tcf.xml-2-27	 	Hielten diese hohen Auswanderungsquoten an, so wurde dieser Tage auf einem Kolloquium am Berliner Institut für Sozialwissenschaftliche Studien gewarnt, könnte „Ostelbien" zu einem Armenhaus Deutschlands werden.	180:189	0:210	Hielten diese hohen Auswanderungsquoten an , so wurde dieser Tage auf einem Kolloquium am Berliner Institut für Sozialwissenschaftliche Studien gewarnt , könnte „ Ostelbien " zu einem Armenhaus Deutschlands werden .	27	0:31	halten diese hoch Auswanderungsquote an , so werden diese Tag auf eine Kolloquium am Berliner Institut für sozialwissenschaftlich Studie warnen , können „ Ostelbien " zu eine Armenhaus Deutschland werden .	VVFIN PDAT ADJA NN PTKVZ $, ADV VAFIN PDAT NN APPR ART NN APPRART ADJA NN APPR ADJA NN VVPP $, VMFIN $( NE $( APPR ART NN NE VAINF $.	
Armenhaus	NN	1990	2	2532889X_1990-08-15_01_278.tcf.xml-1-9	 	In der BRD alles paletti, DDR wird zum Armenhaus	39:48	0:48	In der BRD alles paletti , DDR wird zum Armenhaus	9	0:10	in d Brd alle paletti , DDR werden zum Armenhaus	APPR ART NE PIS ADV $, NE VAFIN APPRART NN	
Armenhaus	NN	1990	2	2532889X_1990-08-22_01_065.tcf.xml-13-6	 	Es dürfe nicht ' eines das Armenhaus des anderen werden.	27:36	0:56	Es dürfe nicht ' eines das Armenhaus des anderen werden .	6	0:11	es dürfen nicht ' eine d Armenhaus d ander werden .	PPER VMFIN PTKNEG $( PIS ART NN ART ADJA VAINF $.	
Armenhaus	NN	1953	2	26120215_1953_04_05_01_056.tcf.xml-58-10	 	Am 28. März dieses Jahres starb Jim Thorpe in einem Armenhaus in Los Angeles im Alter von 64 Jahren	52:61	0:99	Am 28. März dieses Jahres starb Jim Thorpe in einem Armenhaus in Los Angeles im Alter von 64 Jahren	10	0:19	am 28. März diese Jahr sterben Jim Thorpe in eine Armenhaus in Los Angeles im Alter von 64 Jahr	APPRART ADJA NN PDAT NN VVFIN NE NE APPR ART NN APPR NE NE APPRART NN APPR CARD NN	
Armenhaus	NN	1953	2	26120215_1953_06_14_01_052.tcf.xml-79-3	 	riianer in einem Armenhaus von Los Angelvj im Alter von 64 Jahron Paolino tlzrudun (Spanion): lfl!? B und 1933 Europameister der Benif:-hoxer im Schw < Taewidit.	17:26	0:161	riianer in einem Armenhaus von Los Angelvj im Alter von 64 Jahron Paolino tlzrudun ( Spanion ) : lfl !? B und 1933 Europameister der Benif :-hoxer im Schw < Taewidit .	3	0:32	Riianer in eine Armenhaus von Los Angelvj im Alter von 64 Jahron Paolino Tlzrudun ( Spanion ) : lfl !? b und 1933 Europameister d Benif :-Hoxer im Schw < Taewidit .	NE APPR ART NN APPR NE NE APPRART NN APPR CARD NN NE NE $( NN $( $. XY $. XY KON CARD NN ART NE NE APPRART NE $( NE $.	
Armenhaus	NN	1966	2	26120215_1966_02_20_01_008.tcf.xml-12-19	 	Über die ganze Breite der Straßen waren Transparente zu lesen: „Schluß mit den Zechenstilllesungen..Gelsenkirchen darf kein Armenhaus werden „wir wollen in unseren Wohnungen bleiben „Wir wollen keine Hilfsarbeiter werden"	124:133	0:221	Über die ganze Breite der Straßen waren Transparente zu lesen : „ Schluß mit den Zechenstilllesungen ..Gelsenkirchen darf kein Armenhaus werden „ wir wollen in unseren Wohnungen bleiben „ Wir wollen keine Hilfsarbeiter werden "	19	0:35	über d ganz Breite d Straße sein Transparent zu lesen : „ Schluß mit d Zechenstillelesung ..gelsenkirchen dürfen keine Armenhaus werden „ wir wollen in unsere Wohnung bleiben „ wir wollen keine Hilfesarbeiter werden "	APPR ART ADJA NN ART NN VAFIN NN PTKZU VVINF $. $( NN APPR ART NN NE VMFIN PIAT NN VAFIN $( PPER VMFIN APPR PPOSAT NN VVINF $( PPER VMFIN PIAT NN VAINF $(	
Armenhaus	NN	1966	2	26120215_1966_12_25_01_496.tcf.xml-15-20	 	Mit jedem seiner nun in rascher Folge erscheinenden großen Romane griff er ein besonderes soziales Dbel seiner Zeit auf, Armenhäuser, Gerichtsbarkeit, Schulwesen.	121:132	0:162	Mit jedem seiner nun in rascher Folge erscheinenden großen Romane griff er ein besonderes soziales Dbel seiner Zeit auf , Armenhäuser , Gerichtsbarkeit , Schulwesen .	20	0:26	mit jede seine nun in rasch Folge erscheinend groß Roman greifen er eine besondere sozial Dbel seine Zeit auf , Armenhaus , Gerichtsbarkeit , Schulwesen .	APPR PIAT PPOSAT ADV APPR ADJA NN ADJA ADJA NN VVFIN PPER ART ADJA ADJA NN PPOSAT NN PTKVZ $, NN $, NN $, NN $.	
Armenhaus	NN	1970	2	26120215_1970_01_28_01_083.tcf.xml-26-11	 	Von den acht Millionen Schweden leben in Norrland, dem „Armenhaus" Schwedens. nur etwa 14 Prozent.	56:65	0:98	Von den acht Millionen Schweden leben in Norrland , dem „ Armenhaus " Schwedens . nur etwa 14 Prozent .	11	0:20	von d acht Million Schweden leben in Norrland , d „ Armenhaus " Schweden . nur etwa 14 Prozent .	APPR ART CARD NN NE VVFIN APPR NE $, ART $( NN $( NE $. ADV ADV CARD NN $.	
Armenhaus	NN	1970	2	26120215_1970_10_24_01_214.tcf.xml-29-2	 	Aus einem Armenhaus Europas ist eine blühende sozialistische Republik geworden.	10:19	0:79	Aus einem Armenhaus Europas ist eine blühende sozialistische Republik geworden .	2	0:11	aus eine Armenhaus Europa sein eine blühend sozialistisch Republik werden .	APPR ART NN NE VAFIN ART ADJA ADJA NN VAPP $.	
Armenhaus	NN	1974	2	26120215_1974_09_11_01_061.tcf.xml-32-21	 	Mißwirtschaft und stänrlispr Aderlaß führten dann auch folgerichtig zur Katastrophe, brachten Portugal den vom internationalen Kapital zvnisch gebrauchten Namen „Armenhaus Europas ein.	162:171	0:184	Mißwirtschaft und stänrlispr Aderlaß führten dann auch folgerichtig zur Katastrophe , brachten Portugal den vom internationalen Kapital zvnisch gebrauchten Namen „ Armenhaus Europas ein .	21	0:25	Mißwirtschaft und stänrlispr Aderlaß führen dann auch folgerichtig zur Katastrophe , bringen Portugal d vom international Kapital Zvnisch gebraucht Namen „ Armenhaus Europa ein .	NN KON ADJA NN VVFIN ADV ADV ADJD APPRART NN $, VVFIN NE ART APPRART ADJA NN NE ADJA NN $( NN NE PTKVZ $.	
Armenhaus	NN	1981	2	26120215_1981_04_15_01_194.tcf.xml-45-9	 	„Unbestritten gehörte im kapitalistischen Deutschland Suhl zu den Armenhäusern.	66:78	0:79	„ Unbestritten gehörte im kapitalistischen Deutschland Suhl zu den Armenhäusern .	9	0:11	„ unbestreiten gehören im kapitalistisch Deutschland Suhl zu d Armenhaus .	$( ADJD VVFIN APPRART ADJA NE NE APPR ART NN $.	
Armenhaus	NN	1987	2	26120215_1987_02_10_01_047.tcf.xml-35-5	 	Die Karibik-Insel gilt als das Armenhaus der westlichen Hemisphäre.	31:40	0:67	Die Karibik-Insel gilt als das Armenhaus der westlichen Hemisphäre .	5	0:10	d Karibik-Insel gelten als d Armenhaus d westlich Hemisphäre .	ART NN VVFIN KOKOM ART NN ART ADJA NN $.	
Armenhaus	NN	1988	2	26120215_1988_04_04_01_054.tcf.xml-7-17	 	Die Einwohner des um seine Existenz kämpfenden Rheinhausen begrüßten die rund 4000 Demonstranten mit dem Transparent „Armenhaus Rheinhausen — nein.	118:127	0:147	Die Einwohner des um seine Existenz kämpfenden Rheinhausen begrüßten die rund 4000 Demonstranten mit dem Transparent „ Armenhaus Rheinhausen — nein .	17	0:22	d Einwohner d um seine Existenz kämpfend Rheinhausen begrüßen d rund 4000 Demonstrant mit d Transparent „ Armenhaus Rheinhausen — nein .	ART NN ART APPR PPOSAT NN ADJA NE VVFIN ART ADJD CARD NN APPR ART NN $( NN NE $( PTKANT $.	
Armenhaus	NN	1990	2	26120215_1990_08_01_01_067.tcf.xml-21-3	 	Im. nationalen Armenhaus" der Türkei ist die Kindersterblichkeit sehr hoch, in weiten Teilen der Region gibt es kein fließendes Wasser in den Behausungen.	15:24	0:154	Im . nationalen Armenhaus " der Türkei ist die Kindersterblichkeit sehr hoch , in weiten Teilen der Region gibt es kein fließendes Wasser in den Behausungen .	3	0:27	im . national Armenhaus " d Türkei sein d Kindersterblichkeit sehr hoch , in weit Teil d Region geben es keine fließend Wasser in d Behausung .	APPRART $. ADJA NN $( ART NE VAFIN ART NN ADV ADJD $, APPR ADJA NN ART NN VVFIN PPER PIAT ADJA NN APPR ART NN $.	
Armenhaus	NN	1990	2	26120215_1990_08_11_01_818.tcf.xml-59-10	 	Helmut Nüchter übertreibt nicht, wenn er das Kalirevier zum Armenhaus Deutschlands verkommen sieht.	60:69	0:99	Helmut Nüchter übertreibt nicht , wenn er das Kalirevier zum Armenhaus Deutschlands verkommen sieht .	10	0:15	Helmut Nüchter übertreiben nicht , wenn er d Kalirevier zum Armenhaus Deutschland verkommen sehen .	NE NE VVFIN PTKNEG $, KOUS PPER ART NN APPRART NN NE VVINF VVFIN $.	
Armenhaus	NN	1990	2	26120215_1990_08_11_01_818.tcf.xml-94-11	 	Durch Protestaktionen wollten die Kalikumpel verhindern, daß die Region zum Armenhaus wird.	76:85	0:91	Durch Protestaktionen wollten die Kalikumpel verhindern , daß die Region zum Armenhaus wird .	11	0:14	durch Protestaktion wollen d Kalikumpel verhindern , daß d Region zum Armenhaus werden .	APPR NN VMFIN ART NN VVINF $, KOUS ART NN APPRART NN VAFIN $.	
Armenhaus	NN	1990	2	26120215_1990_08_31_01_056.tcf.xml-33-19	 	Ein solches bundesdeutsches Amt böte auch die Gewähr daß die Belastungen des sowjetischen Truppenabzuges nicht auch noch dem ostdeutschen Armenhaus allein aufgebürdet werden.	138:147	0:174	Ein solches bundesdeutsches Amt böte auch die Gewähr daß die Belastungen des sowjetischen Truppenabzuges nicht auch noch dem ostdeutschen Armenhaus allein aufgebürdet werden .	19	0:24	eine solch bundesdeutsch Amt bieten auch d Gewähr daß d Belastung d sowjetisch Truppenabzug nicht auch noch d ostdeutsch Armenhaus allein aufbürden werden .	ART PIAT ADJA NN VVFIN ADV ART NN KOUS ART NN ART ADJA NN PTKNEG ADV ADV ART ADJA NN ADV VVPP VAINF $.	
Armenhaus	NN	1858	1	avelallemant_gaunerthum02_1858-2803-62	 	So ist es denn nicht zu verwundern, wenn der aufmerksame Blick der Polizei in den zahlreichen Verstecken, in welchen besonders alte Kupplerinnen und abgesetzte Lustdirnen die rohe Unwissenheit, den perennirenden Aberglauben und die tolle Genußsucht ausbeuten, noch immer die schmählichsten Betrügereien aufdeckt, durch welche schon vielfach der vollständige sittliche und bürgerliche Ruin und der Weg in das Armenhaus, Zuchthaus und Jrrenhaus angebahnt, und häufiger Selbstmord herbeigeführt wurde.	408:417	0:498	So iſt es denn nicht zu verwundern , wenn der aufmerkſame Blick der Polizei in den zahlreichen Verſtecken , in welchen beſonders alte Kupplerinnen und abgeſetzte Luſtdirnen die rohe Unwiſſenheit , den perennirenden Aberglauben und die tolle Genußſucht ausbeuten , noch immer die ſchmählichſten Betrügereien aufdeckt , durch welche ſchon vielfach der vollſtändige ſittliche und bürgerliche Ruin und der Weg in das Armenhaus , Zuchthaus und Jrrenhaus angebahnt , und häufiger Selbſtmord herbeigeführt wurde .	62	0:75	so sein es denn nicht zu verwundern , wenn d aufmerksam Blick d Polizei in d zahlreich Versteck , in welchen besonders alt Kupplerin und abgesetzt Lustdirne d roh Unwissenheit , d perennierend Aberglaube und d toll Genußsucht ausbeuten , noch immer d schmählich Betrügerei aufdecken , durch welche schon vielfach d vollständig sittlich und bürgerlich Ruin und d Weg in d Armenhaus , Zuchthaus und Irrenhaus anbahnen , und häufig Selbstmord herbeiführen werden .	ADV VAFIN PPER ADV PTKNEG PTKZU VVINF $, KOUS ART ADJA NN ART NN APPR ART ADJA NN $, APPR PWAT ADV ADJA NN KON ADJA NN ART ADJA NN $, ART ADJA NN KON ART ADJA NN VVINF $, ADV ADV ART ADJA NN VVFIN $, APPR PRELS ADV ADV ART ADJA ADJA KON ADJA NN KON ART NN APPR ART NN $, NN KON NN VVPP $, KON ADJD NN VVPP VAFIN $.	So ist es denn nicht zu verwundern , wenn der aufmerksame Blick der Polizei in den zahlreichen Verstecken , in welchen besonders alte Kupplerinnen und abgesetzte Lustdirnen die rohe Unwissenheit , den perennierenden Aberglauben und die tolle Genußsucht ausbeuten , noch immer die schmählichsten Betrügereien aufdeckt , durch welche schon vielfach der vollständige sittliche und bürgerliche Ruin und der Weg in das Armenhaus , Zuchthaus und Irrenhaus angebahnt , und häufiger Selbstmord herbeigeführt wurde .
Armenhaus	NN	1895	1	gizycki_buergerpflicht_1895-127-99	 	„Der Besitz und die Ausübung des Stimmrechts durch die Frauen in Wyoming hat keinerlei schlechte, sondern nach vielen Richtungen sehr gute Folgen gehabt; er hat in hervorragender Weise dazu beigetragen, Verbrechen und Armut aus diesem Staat zu verbannen, und zwar ohne alle Gewaltmaßregeln; er hat friedliche und ordentliche Wahlen, eine gute Regierung, einen bemerkenswerten Grad von Zivilisation und öffentlicher Ordnung herbeiführen helfen; und wir weisen mit Stolz auf die Thatsache hin, daß nach nahezu 25 Jahren, daß die Frauen das Stimmrecht besitzen, kein Distrikt in Wyoming ein Armenhaus besitzt, daß unsere Gefängnisse so gut wie leer, und Verbrechen so gut wie unbekannt sind.	588:597	0:688	„ Der Besitz und die Ausübung des Stimmrechts durch die Frauen in Wyoming hat keinerlei schlechte , sondern nach vielen Richtungen sehr gute Folgen gehabt ; er hat in hervorragender Weise dazu beigetragen , Verbrechen und Armut aus diesem Staat zu verbannen , und zwar ohne alle Gewaltmaßregeln ; er hat friedliche und ordentliche Wahlen , eine gute Regierung , einen bemerkenswerten Grad von Zivilisation und öffentlicher Ordnung herbeiführen helfen ; und wir weisen mit Stolz auf die Thatsache hin , daß nach nahezu 25 Jahren , daß die Frauen das Stimmrecht besitzen , kein Distrikt in Wyoming ein Armenhaus besitzt , daß unsere Gefängnisse so gut wie leer , und Verbrechen so gut wie unbekannt sind .	99	0:118	" d Besitz und d Ausübung d Stimmrecht durch d Frau in Wyoming haben keinerlei schlecht , sondern nach viel Richtung sehr gut Folge haben ; er haben in hervorragend Weise dazu beitragen , Verbrechen und Armut aus diese Staat zu verbannen , und zwar ohne alle Gewaltmaßregel ; er haben friedlich und ordentlich Wahl , eine gut Regierung , eine bemerkenswert Grad von Zivilisation und öffentlich Ordnung herbeiführen helfen ; und wir weisen mit Stolz auf d Tatsache hin , daß nach nahezu 25 Jahr , daß d Frau d Stimmrecht besitzen , keine Distrikt in Wyoming eine Armenhaus besitzen , daß unsere Gefängnis so gut wie leer , und Verbrechen so gut wie unbekannt sein .	$( ART NN KON ART NN ART NN APPR ART NN APPR NE VAFIN PIAT ADJA $, KON APPR PIAT NN ADV ADJA NN VAPP $. PPER VAFIN APPR ADJA NN PAV VVPP $, NN KON NN APPR PDAT NN PTKZU VVINF $, KON ADV APPR PIAT NN $. PPER VAFIN ADJA KON ADJA NN $, ART ADJA NN $, ART ADJA NN APPR NN KON ADJA NN VVINF VVINF $. KON PPER VVFIN APPR NN APPR ART NN PTKVZ $, KOUS APPR ADV CARD NN $, KOUS ART NN ART NN VVFIN $, PIAT NN APPR NE ART NN VVFIN $, KOUS PPOSAT NN ADV ADJD KOKOM ADJD $, KON NN ADV ADJD KOKOM ADJD VAFIN $.	" Der Besitz und die Ausübung des Stimmrechts durch die Frauen in Wyoming hat keinerlei schlechte , sondern nach vielen Richtungen sehr gute Folgen gehabt ; er hat in hervorragender Weise dazu beigetragen , Verbrechen und Armut aus diesem Staat zu verbannen , und zwar ohne alle Gewaltmaßregeln ; er hat friedliche und ordentliche Wahlen , eine gute Regierung , einen bemerkenswerten Grad von Zivilisation und öffentlicher Ordnung herbeiführen helfen ; und wir weisen mit Stolz auf die Tatsache hin , daß nach nahezu 25 Jahren , daß die Frauen das Stimmrecht besitzen , kein Distrikt in Wyoming ein Armenhaus besitzt , daß unsere Gefängnisse so gut wie leer , und Verbrechen so gut wie unbekannt sind .
