lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Dynamik	NN	1966	2	2532889X_1966-03-29_01_056.tcf.xml-3-9	 	In einer Entwicklung « --Phase von so gewaltiger Dynamik kommt es für einen Industriestaat vom Hange der Deutschen Demokratischen Republik entscheidend darauf an, daß alle bestehenden Möglichkeiten ausgeschöpft werden, um dem Neuen, dort wo es sich wirtschaftlich lohnt, schnell zum Durchbrach zu verhelfen.	49:56	0:307	In einer Entwicklung « -- Phase von so gewaltiger Dynamik kommt es für einen Industriestaat vom Hange der Deutschen Demokratischen Republik entscheidend darauf an , daß alle bestehenden Möglichkeiten ausgeschöpft werden , um dem Neuen , dort wo es sich wirtschaftlich lohnt , schnell zum Durchbrach zu verhelfen .	9	0:49	in eine Entwicklung « -- Phase von so gewaltig Dynamik kommen es für eine Industriestaat vom Hang d deutsch demokratisch Republik entscheidend darauf an , daß alle bestehend Möglichkeit ausschöpfen werden , um d neu , dort wo es sich wirtschaftlich lohnen , schnell zum durchbrechen zu verhelfen .	APPR ART NN $( $( NN APPR ADV ADJA NN VVFIN PPER APPR ART NN APPRART NN ART ADJA ADJA NN ADJD PAV PTKVZ $, KOUS PIAT ADJA NN VVPP VAINF $, KOUI ART ADJA $, ADV PWAV PPER PRF ADJD VVFIN $, ADJD APPRART VVFIN PTKZU VVINF $.	
Dynamik	NN	1969	2	2532889X_1969-09-03_01_021.tcf.xml-31-16	 	sozialistischen Eigentümerbewußtseins und demokratischer Masseninitiative, noch fester zu einer untrennbaren Einheit zusammenzufügen, um der Dynamik unserer Entwicklung gerecht zu werden.	141:148	0:187	sozialistischen Eigentümerbewußtseins und demokratischer Masseninitiative , noch fester zu einer untrennbaren Einheit zusammenzufügen , um der Dynamik unserer Entwicklung gerecht zu werden .	16	0:23	sozialistisch Eigentümerbewußtsein und demokratisch Masseninitiative , noch fest zu eine untrennbar Einheit zusammenfügen , um d Dynamik unsere Entwicklung gerecht zu werden .	ADJA NN KON ADJA NN $, ADV ADJD APPR ART ADJA NN VVIZU $, KOUI ART NN PPOSAT NN ADJD PTKZU VAINF $.	
Dynamik	NN	1974	2	2532889X_1974-12-15_01_163.tcf.xml-76-16	 	Die wirtschaftliche Entwicklung der DDR werde in diesem Jahr „im allgemeinen von Kontinuität und hoher Dynamik gekennzeichnet*, schreibt das Blatt.	103:110	0:147	Die wirtschaftliche Entwicklung der DDR werde in diesem Jahr „ im allgemeinen von Kontinuität und hoher Dynamik gekennzeichnet* , schreibt das Blatt .	16	0:23	d wirtschaftlich Entwicklung d DDR werden in diese Jahr „ im allgemein von Kontinuität und hoch Dynamik Gekennzeichnet* , schreiben d Blatt .	ART ADJA NN ART NE VAFIN APPR PDAT NN $( APPRART ADJA APPR NN KON ADJA NN NE $, VVFIN ART NN $.	
Dynamik	NN	1976	2	2532889X_1976-05-21_01_087.tcf.xml-148-17	 	ANGOLA Die Zeitung „Diario de Luanda" hebt die Worte Erich Honeckers hervor, Stabilität und Dynamik des sozialistischen Weltsystems bestimmten in engem Zusammenwirken mit der internationalen Arbeiterbewegung und der nationalen Befreiungsbewegung immer mehr den Gang der Dinge iii der Welt.	92:99	0:289	ANGOLA Die Zeitung „ Diario de Luanda " hebt die Worte Erich Honeckers hervor , Stabilität und Dynamik des sozialistischen Weltsystems bestimmten in engem Zusammenwirken mit der internationalen Arbeiterbewegung und der nationalen Befreiungsbewegung immer mehr den Gang der Dinge iii der Welt .	17	0:43	Angola d Zeitung „ diario de luanda " heben d Wort Erich Honecker hervor , Stabilität und Dynamik d sozialistisch Weltsystem bestimmt in eng Zusammenwirken mit d international Arbeiterbewegung und d national Befreiungsbewegung immer mehr d Gang d Ding iii d Welt .	NE ART NN $( FM FM FM $( VVFIN ART NN NE NE PTKVZ $, NN KON NN ART ADJA NN ADJA APPR ADJA NN APPR ART ADJA NN KON ART ADJA NN ADV ADV ART NN ART NN XY ART NN $.	
Dynamik	NN	1976	2	2532889X_1976-07-01_01_039.tcf.xml-9-12	 	Es kann für uns keinen Zweifel daran geben, daß die außerordentliche Dynamik dieser Entwicklung, deren positive Auswirkungen auf das Leben unserer Völker mit jedem Tag stärker werden, vor allem dem einigen Vorgehen der kommunistischen und Arbeiterparteien zuzuschreiben ist, die ihren Kampf und ihre Politik auf die wissenschaftlichen und wahrhaft revolutionären Erkenntnisse des Marxismus-Leninismus begründen.	69:76	0:411	Es kann für uns keinen Zweifel daran geben , daß die außerordentliche Dynamik dieser Entwicklung , deren positive Auswirkungen auf das Leben unserer Völker mit jedem Tag stärker werden , vor allem dem einigen Vorgehen der kommunistischen und Arbeiterparteien zuzuschreiben ist , die ihren Kampf und ihre Politik auf die wissenschaftlichen und wahrhaft revolutionären Erkenntnisse des Marxismus-Leninismus begründen .	12	0:59	es können für wir keine Zweifel daran geben , daß d außerordentlich Dynamik diese Entwicklung , die positiv Auswirkung auf d Leben unsere Volk mit jede Tag stark werden , vor alle d einige Vorgehen d kommunistisch und Arbeiterpartei zuschreiben sein , die ihr Kampf und ihr Politik auf d wissenschaftlich und wahrhaft revolutionär Erkenntnis d Marxismus-Leninismus begründen .	PPER VMFIN APPR PPER PIAT NN PAV VVINF $, KOUS ART ADJA NN PDAT NN $, PRELAT ADJA NN APPR ART NN PPOSAT NN APPR PIAT NN ADJD VAINF $, APPR PIS ART PIAT NN ART ADJA KON NN VVIZU VAFIN $, PRELS PPOSAT NN KON PPOSAT NN APPR ART ADJA KON ADV ADJA NN ART NN VVINF $.	
Dynamik	NN	1980	2	2532889X_1980-01-02_01_075.tcf.xml-13-12	 	„Sie hat auf die anderen Künste vor allem gewirkt durch ihre Dynamik, eine Vielzahl schöpferischer Ideen und hohe technische Qualität.	61:68	0:134	„ Sie hat auf die anderen Künste vor allem gewirkt durch ihre Dynamik , eine Vielzahl schöpferischer Ideen und hohe technische Qualität .	12	0:23	„ sie haben auf d ander Kunst vor alle wirken durch ihr Dynamik , eine Vielzahl schöpferisch Idee und hoch technisch Qualität .	$( PPER VAFIN APPR ART ADJA NN APPR PIS VVPP APPR PPOSAT NN $, ART NN ADJA NN KON ADJA ADJA NN $.	
Dynamik	NN	1984	2	2532889X_1984-05-25_01_041.tcf.xml-218-9	 	Geprägt von dem Bewußtsein, daß politische Stabilität ökonomische Dynamik und kontinuierliche Fortsetzung der Einheit von Wirtschaft »-und Sozialpolitik von entscheidender Bedeutung für den Beitrag unseres Landes zur Sicherung des Friedens sind, wollen sie im 35. Jahr des Bestehens der DDR-die bisher größten Leistungen erreichen.	66:73	0:331	Geprägt von dem Bewußtsein , daß politische Stabilität ökonomische Dynamik und kontinuierliche Fortsetzung der Einheit von Wirtschaft »- und Sozialpolitik von entscheidender Bedeutung für den Beitrag unseres Landes zur Sicherung des Friedens sind , wollen sie im 35. Jahr des Bestehens der DDR- die bisher größten Leistungen erreichen .	9	0:49	prägen von d Bewußtsein , daß politisch Stabilität ökonomisch Dynamik und kontinuierlich Fortsetzung d Einheit von Wirtschaft »- und Sozialpolitik von entscheidend Bedeutung für d Beitrag unsere Land zur Sicherung d Frieden sein , wollen sie im 35. Jahr d Bestehen d Ddr- d bisher groß Leistung erreichen .	VVPP APPR ART NN $, KOUS ADJA NN ADJA NN KON ADJA NN ART NN APPR NN $( KON NN APPR ADJA NN APPR ART NN PPOSAT NN APPRART NN ART NN VAFIN $, VMFIN PPER APPRART ADJA NN ART NN ART NN ART ADV ADJA NN VVINF $.	
Dynamik	NN	1985	2	2532889X_1985-11-30_01_005.tcf.xml-58-8	 	Er unterstrich, daß sich dde von hoher Dynamik und Effektivität gekennzeichnete volkswirtschaftliche Entwicklung der DDR auch 1986 fortsetzen ward.	39:46	0:147	Er unterstrich , daß sich dde von hoher Dynamik und Effektivität gekennzeichnete volkswirtschaftliche Entwicklung der DDR auch 1986 fortsetzen ward .	8	0:21	er unterstreichen , daß sich Dde von hoch Dynamik und Effektivität gekennzeichnet volkswirtschaftlich Entwicklung d DDR auch 1986 fortsetzen ward .	PPER VVFIN $, KOUS PRF NE APPR ADJA NN KON NN ADJA ADJA NN ART NE ADV CARD VVINF VAFIN $.	
Dynamik	NN	1985	2	2532889X_1985-12-21_01_309.tcf.xml-8-9	 	Die Großzügigkeit und Kühnheit im Zugriff auf Wirklichkeit die Dynamik und Freiheit seiner Gestaltungen werden als ein Ausdruck der optimistischen Weltsicht der unmißverständlich bekundeten Zukunftsgewißheit dieses Künstlers und Kommunisten empfunden.	63:70	0:251	Die Großzügigkeit und Kühnheit im Zugriff auf Wirklichkeit die Dynamik und Freiheit seiner Gestaltungen werden als ein Ausdruck der optimistischen Weltsicht der unmißverständlich bekundeten Zukunftsgewißheit dieses Künstlers und Kommunisten empfunden .	9	0:31	d Großzügigkeit und Kühnheit im Zugriff auf Wirklichkeit d Dynamik und Freiheit seine Gestaltung werden als eine Ausdruck d optimistisch Weltsicht d unmißverständlich bekunden Zukunftsgewißheit diese Künstler und Kommunist empfinden .	ART NN KON NN APPRART NN APPR NN ART NN KON NN PPOSAT NN VAFIN KOKOM ART NN ART ADJA NN ART ADJD VVFIN NN PDAT NN KON NN VVPP $.	
Dynamik	NN	1986	2	2532889X_1986-04-19_01_186.tcf.xml-36-16	 	Dabei haben sich das Tempo der Umsetzung neuer Erkenntnisse in den Reproduktionsprozeß, aber auch die Dynamik der Wissenschaftsentwicklung selbst weiter beschleunigt.	102:109	0:166	Dabei haben sich das Tempo der Umsetzung neuer Erkenntnisse in den Reproduktionsprozeß , aber auch die Dynamik der Wissenschaftsentwicklung selbst weiter beschleunigt .	16	0:23	dabei haben sich d Tempo d Umsetzung neu Erkenntnis in d Reproduktionsprozeß , aber auch d Dynamik d Wissenschaftsentwicklung selbst weiter beschleunigen .	PAV VAFIN PRF ART NN ART NN ADJA NN APPR ART NN $, ADV ADV ART NN ART NN ADV ADV VVFIN $.	
