identifier	lemma	identifier_sense	comment	annotator
humboldt_aequinoktial04_1859-2016-1	Engpaß	sense1	 	annotatorA
vischer_auch02_1879-1069-21	Engpaß	sense2	 	annotatorA
26120215_1976_03_02_01_025.tcf.xml-160-22	Engpaß	sense2	 	annotatorA
nn_nrhz300i_1849-169-15	Engpaß	sense1	 	annotatorA
mommsen_roemische01_1854-5155-79	Engpaß	sense1	 	annotatorA
erbkam_tagebuch02_1843-2490-21	Engpaß	sense1	 	annotatorA
vischer_aesthetik030203_1854-1875-31	Engpaß	sense1	 	annotatorA
droysen_alexander_1833-2077-10	Engpaß	sense1	 	annotatorA
2532889X_1955-10-25_01_121.tcf.xml-58-16	Engpaß	sense2	 	annotatorA
humboldt_aequinoktial04_1859-2007-29	Engpaß	sense1	 	annotatorA
droysen_alexander_1833-2064-57	Engpaß	sense1	 	annotatorA
2532889X_1948-02-05_01_130.tcf.xml-5-2	Engpaß	sense2	 	annotatorA
2532889X_1954-07-25_01_051.tcf.xml-19-14	Engpaß	sense2	 	annotatorA
lehnert_seehaefen01_1891-3266-10	Engpaß	sense1	 	annotatorA
26120215_1948_08_13_01_091.tcf.xml-15-17	Engpaß	sense2	 	annotatorA
26120215_1986_09_08_01_015.tcf.xml-13-39	Engpaß	sense2	 	annotatorA
nn_nrhz193_1849-455-27	Engpaß	sense1	 	annotatorA
2532889X_1956-09-07_01_041.tcf.xml-18-6	Engpaß	sense2	 	annotatorA
2532889X_1958-09-27_01_157.tcf.xml-14-13	Engpaß	sense2	 	annotatorA
2532889X_1949-04-06_01_054.tcf.xml-62-14	Engpaß	sense2	 	annotatorA
mueller_hellenische02_1824-5697-51	Engpaß	sense1	 	annotatorA
mommsen_roemische01_1854-4605-25	Engpaß	sense1	 	annotatorA
2532889X_1965-12-17_01_165.tcf.xml-376-25	Engpaß	sense2	 	annotatorA
pfeiffer_frauenfahrt01_1850-1876-7	Engpaß	sense1	 	annotatorA
26120215_1949_10_22_01_196.tcf.xml-28-16	Engpaß	sense2	 	annotatorA
treitschke_geschichte01_1879-6912-37	Engpaß	sense1	 	annotatorA
droysen_alexander_1833-1874-35	Engpaß	sense1	 	annotatorA
26120215_1947_04_24_01_126.tcf.xml-7-9	Engpaß	sense2	 	annotatorA
humboldt_aequinoktial04_1859-1451-6	Engpaß	sense1	 	annotatorA
freud_hysterie_1895-3853-35	Engpaß	sense2	 	annotatorA
