identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1948-02-05_01_130.tcf.xml-5-2	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1949-02-06_01_163.tcf.xml-82-15	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1949-04-06_01_054.tcf.xml-62-14	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1949-07-16_01_087.tcf.xml-8-3	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1952-10-08_01_019.tcf.xml-357-9	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1954-07-25_01_051.tcf.xml-19-14	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1955-10-25_01_121.tcf.xml-58-16	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1956-09-07_01_041.tcf.xml-18-6	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1958-09-27_01_157.tcf.xml-14-13	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1965-12-17_01_165.tcf.xml-376-25	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1971-11-28_01_047.tcf.xml-25-13	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1972-04-14_01_342.tcf.xml-7-9	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1973-09-22_01_089.tcf.xml-26-22	inferred	1	 	Engpaß
2532889X_1947-06-10_01_049.tcf.xml-10-2	2532889X_1976-06-22_01_063.tcf.xml-23-7	inferred	1	 	Engpaß
