identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1949-10-11_01_063.tcf.xml-30-5	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1954-08-31_01_050.tcf.xml-20-15	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1961-09-20_01_030.tcf.xml-3-7	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1963-10-02_01_065.tcf.xml-13-38	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1976-01-27_01_037.tcf.xml-0-10	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1980-01-29_01_067.tcf.xml-53-2	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1981-06-03_01_055.tcf.xml-18-25	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1982-07-31_01_468.tcf.xml-75-11	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	2532889X_1984-03-27_01_120.tcf.xml-15-18	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1946_06_28_01_025.tcf.xml-31-46	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1953_03_08_01_012.tcf.xml-8-1	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1962_06_19_01_227.tcf.xml-2-7	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1963_02_15_01_093.tcf.xml-44-22	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1963_06_16_01_335.tcf.xml-14-33	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1965_05_18_01_034.tcf.xml-71-12	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1973_08_09_01_355.tcf.xml-84-20	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1976_08_21_01_073.tcf.xml-68-9	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	26120215_1982_12_09_01_088.tcf.xml-48-31	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	beck_eisen02_1895-6868-25	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	beck_eisen04_1899-5466-6	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	berg_ostasien03_1873-3201-15	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	bierbaum_stilpe_1897-2124-11	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	blumenbach_naturgeschichte_1815-2075-6	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	brehm_thierleben02_1865-13135-24	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	brehm_thierleben06_1869-18710-26	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	egger_vater_1895-4426-15	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	eytelwein_faschinenwerke_1800-516-17	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	gerstaecker_schiesswaffen_1848-33-38	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	gerstner_mechanik03_1834-10703-3	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	grimm_maerchen01_1843-1349-46	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	humboldt_kosmos03_1850-5947-11	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	humboldt_willdenow_1803-173-3	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	immermann_muenchhausen03_1839-527-21	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	kleist_kaethchen_1810-143-2	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	kuernberger_amerikamuede_1855-8717-43	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	nettelbeck_lebensbeschreibung02_1821-1836-37	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	poelitz_poetik_1825-5331-20	inferred	1	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	steub_tirol_1846-5945-7	inferred	0	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	urbanitzky_electricitaet_1885-15105-30	inferred	0	 	Fuß
2532889X_1949-10-11_01_063.tcf.xml-30-5	2532889X_1954-08-31_01_050.tcf.xml-20-15	inferred	0	 	Fuß
2532889X_1949-10-11_01_063.tcf.xml-30-5	2532889X_1961-09-20_01_030.tcf.xml-3-7	inferred	0	 	Fuß
2532889X_1949-10-11_01_063.tcf.xml-30-5	2532889X_1963-10-02_01_065.tcf.xml-13-38	inferred	0	 	Fuß
