lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Fuß	NN	1946	2	2532889X_1946-09-21_01_056.tcf.xml-52-2	 	Tür seinen Fuß herührte. diese mit aller Kraft Wiener zustieß Wer nicht sc. hnelr genug war. bekim einen fürchterlichen Stoß und trug meistens gebrochene oder gequetschte Glieder davon	11:14	0:184	Tür seinen Fuß herührte . diese mit aller Kraft Wiener zustieß Wer nicht sc . hnelr genug war . bekim einen fürchterlichen Stoß und trug meistens gebrochene oder gequetschte Glieder davon	2	0:31	Tür seine Fuß Herührte . diese mit alle Kraft Wiener zustoßen wer nicht sc . Hnelr genug sein . Bekim eine fürchterlich Stoß und tragen meistens gebrechen oder gequetscht Glied davon	NN PPOSAT NN NE $. PDS APPR PIAT NN ADJA VVFIN PWS PTKNEG VVFIN $. NE ADV VAFIN $. NE ART ADJA NN KON VVFIN ADV ADJA KON ADJA NN PAV	
Fuß	NN	1946	2	2532889X_1946-12-17_01_045.tcf.xml-14-3	 	Gebrechlichkeit, kranke Füße — dös genügte, um dem Tode verfallen zu sein.	24:28	0:74	Gebrechlichkeit , kranke Füße — dös genügte , um dem Tode verfallen zu sein .	3	0:15	Gebrechlichkeit , krank Fuß — dösen genügen , um d Tod verfallen zu sein .	NN $, ADJA NN $( VVIMP VVFIN $, KOUI ART NN VVINF PTKZU VAINF $.	
Fuß	NN	1949	2	2532889X_1949-10-11_01_063.tcf.xml-30-5	 	Bolcla probiert mit dem rechten Fuß einen neuen, schwarzen Schuh mit flachem Absatz an.	32:35	0:87	Bolcla probiert mit dem rechten Fuß einen neuen , schwarzen Schuh mit flachem Absatz an .	5	0:16	Bolcla probieren mit d recht Fuß eine neu , schwarz Schuh mit flach Absatz an .	NE VVFIN APPR ART ADJA NN ART ADJA $, ADJA NN APPR ADJA NN PTKVZ $.	
Fuß	NN	1954	2	2532889X_1954-08-31_01_050.tcf.xml-20-15	 	Sie erhoben zugleich Anklage gegen das Bonner Regime, das die Rechte der Jugend mit Füßen tritt.	84:89	0:96	Sie erhoben zugleich Anklage gegen das Bonner Regime , das die Rechte der Jugend mit Füßen tritt .	15	0:18	sie erheben zugleich Anklage gegen d Bonner Regime , die d Rechte d Jugend mit Fuß treten .	PPER VVFIN ADV NN APPR ART ADJA NN $, PRELS ART NN ART NN APPR NN VVFIN $.	
Fuß	NN	1961	2	2532889X_1961-09-20_01_030.tcf.xml-3-7	 	Die demokratischen Rechte der Bürger wurden mit Füßen getreten.	48:53	0:63	Die demokratischen Rechte der Bürger wurden mit Füßen getreten .	7	0:10	d demokratisch Rechte d Bürger werden mit Fuß treten .	ART ADJA NN ART NN VAFIN APPR NN VVPP $.	
Fuß	NN	1963	2	2532889X_1963-10-02_01_065.tcf.xml-13-38	 	Aber nicht nur in Washington, auch in Bonn erweist sich, daß die Bonner Regierung bereit ist, für die allgemeine Wiederaufrüstung und evst recht für die Atomrüstung das Selbstbestimmungsrecht des deutschen Volkes hundertfach preiszugeben und mit Füßen zu treten.	246:251	0:262	Aber nicht nur in Washington , auch in Bonn erweist sich , daß die Bonner Regierung bereit ist , für die allgemeine Wiederaufrüstung und evst recht für die Atomrüstung das Selbstbestimmungsrecht des deutschen Volkes hundertfach preiszugeben und mit Füßen zu treten .	38	0:42	aber nicht nur in Washington , auch in Bonn erweisen sich , daß d Bonner Regierung bereit sein , für d allgemein Wiederaufrüstung und Evst recht für d Atomrüstung d Selbstbestimmungsrecht d deutsch Volk hundertfach preisgeben und mit Fuß zu treten .	KON PTKNEG ADV APPR NE $, ADV APPR NE VVFIN PRF $, KOUS ART ADJA NN ADJD VAFIN $, APPR ART ADJA NN KON NN ADJD APPR ART NN ART NN ART ADJA NN ADJD VVIZU KON APPR NN PTKZU VVINF $.	
Fuß	NN	1976	2	2532889X_1976-01-27_01_037.tcf.xml-0-10	 	„Mir wurde geraten, bei dem Wetter lieber zu Fuß zu gehen!	45:48	0:58	„ Mir wurde geraten , bei dem Wetter lieber zu Fuß zu gehen !	10	0:14	„ ich werden geraten , bei d Wetter lieber zu Fuß zu gehen !	$( PPER VAFIN VVPP $, APPR ART NN ADV APPR NN PTKZU VVINF $.	
Fuß	NN	1980	2	2532889X_1980-01-29_01_067.tcf.xml-53-2	 	selbst mit Füßen getretenen Menschenrechte ein von langer Hand vorbereitetes Trommelfeuer sondersgleichen, schafft ein Klima unsäglicher Wirrnis und verderbenibringenden Mißtrauens.	11:16	0:181	selbst mit Füßen getretenen Menschenrechte ein von langer Hand vorbereitetes Trommelfeuer sondersgleichen , schafft ein Klima unsäglicher Wirrnis und verderbenibringenden Mißtrauens .	2	0:22	selbst mit Fuß getreten Menschenrecht eine von lang Hand vorbereitet Trommelfeuer Sondersgleichen , schaffen eine Klima unsäglich Wirrnis und verderbenibringenden Mißtrauen .	ADV APPR NN ADJA NN ART APPR ADJA NN ADJA NN NE $, VVFIN ART NN ADJA NN KON ADJA NN $.	
Fuß	NN	1981	2	2532889X_1981-06-03_01_055.tcf.xml-18-25	 	Wenn wir die Ursachen für die Krise so erklären, dann können wir darauf warten, daß Revisionismus und Opportunismus im Bewußtsein der Menschen festen Fuß fassen.	150:153	0:161	Wenn wir die Ursachen für die Krise so erklären , dann können wir darauf warten , daß Revisionismus und Opportunismus im Bewußtsein der Menschen festen Fuß fassen .	25	0:28	wenn wir d Ursache für d Krise so erklären , dann können wir darauf warten , daß Revisionismus und Opportunismus im Bewußtsein d Mensch fest Fuß fassen .	KOUS PPER ART NN APPR ART NN ADV VVINF $, ADV VMFIN PPER PAV VVINF $, KOUS NN KON NN APPRART NN ART NN ADJA NN VVINF $.	
Fuß	NN	1982	2	2532889X_1982-07-31_01_468.tcf.xml-75-11	 	Ein" Jahr noch in Kleinfurra, der schmucken Ortschaft zu Füßen der Hainleite, mit der Schule und dem Internat, wo sie lernen und ihre Kulturprogramme proben. auf Christine Steus Nähmaschine farbenprächtige Kostüme für ihre Auftritte nähen, mit den deutschen Lehrlingen der Patenklasse LM llc aus der Schule Sportwettkämpfe-und Quizrunden austragen und wo sie an den Wochenenden.kochen, wie es ihre Mütter ' zu Hause tun.	57:62	0:420	Ein " Jahr noch in Kleinfurra , der schmucken Ortschaft zu Füßen der Hainleite , mit der Schule und dem Internat , wo sie lernen und ihre Kulturprogramme proben . auf Christine Steus Nähmaschine farbenprächtige Kostüme für ihre Auftritte nähen , mit den deutschen Lehrlingen der Patenklasse LM llc aus der Schule Sportwettkämpfe- und Quizrunden austragen und wo sie an den Wochenenden .kochen , wie es ihre Mütter ' zu Hause tun .	11	0:73	eine " Jahr noch in Kleinfurra , d schmuck Ortschaft zu Fuß d Hainleite , mit d Schule und d Internat , wo sie lernen und ihr Kulturprogramm proben . auf Christine Steu Nähmaschine farbenprächtig Kostüm für ihr Auftritt nähen , mit d deutsch Lehrling d patenklasse lm llc aus d Schule sportwettkämpfe- und Quizrunde austragen und wo sie an d Wochenende .kochen , wie es ihr Mutter ' zu Haus tun .	ART $( NN ADV APPR NE $, ART ADJA NN APPR NN ART NN $, APPR ART NN KON ART NN $, PWAV PPER VVINF KON PPOSAT NN VVFIN $. APPR NE NE NN ADJA NN APPR PPOSAT NN VVFIN $, APPR ART ADJA NN ART ADJA XY XY APPR ART NN TRUNC KON NN VVINF KON PWAV PPER APPR ART NN NE $, PWAV PPER PPOSAT NN $( APPR NN VVINF $.	
