lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Manschette	NN	1947	2	2532889X_1947-07-13_02_059.tcf.xml-16-12	 	Mürrisch und knurrig legt er den Gummikragen ab, « treift die Manschetten zum Ellenbogen.	62:73	0:89	Mürrisch und knurrig legt er den Gummikragen ab , « treift die Manschetten zum Ellenbogen .	12	0:16	mürrisch und knurrig legen er d Gummikragen ab , « Treift d Manschette zum Ellenbogen .	ADJD KON ADJD VVFIN PPER ART NN PTKVZ $, $( NE ART NN APPRART NN $.	
Manschette	NN	1949	2	2532889X_1949-10-09_01_039.tcf.xml-11-13	 	Der Wolle Dtät lit bekannt: den Kadetten traten sie auf mitsamt den Manschetten.	68:79	0:80	Der Wolle Dtät lit bekannt : den Kadetten traten sie auf mitsamt den Manschetten .	13	0:15	d Wolle Dtät Lit bekannt : d Kadett treten sie auf mitsamt d Manschette .	ART NN NE NE PTKVZ $. ART NN VVFIN PPER APPR APPR ART NN $.	
Manschette	NN	1953	2	2532889X_1953-04-22_01_051.tcf.xml-37-29	 	Als ich schon einige Jahre in der Lehre war und mithalf, Maschinen zu bauen, kamen mir die Volontäre, die in gebügelten Monteuranzügen, weißen Kragen und Manschetten überall den Arbeitern 'm Wege standen, so lächerlich vor, daß ich mich geschämt hätte, Volontär zu sein.	154:165	0:270	Als ich schon einige Jahre in der Lehre war und mithalf , Maschinen zu bauen , kamen mir die Volontäre , die in gebügelten Monteuranzügen , weißen Kragen und Manschetten überall den Arbeitern 'm Wege standen , so lächerlich vor , daß ich mich geschämt hätte , Volontär zu sein .	29	0:51	als ich schon einige Jahr in d Lehre sein und mithelfen , Maschine zu bauen , kommen ich d Volontär , die in gebügelt Monteuranzug , weiß Kragen und Manschette überall d Arbeiter 'm Weg stehen , so lächerlich vor , daß ich ich schämen haben , Volontär zu sein .	KOUS PPER ADV PIAT NN APPR ART NN VAFIN KON VVFIN $, NN PTKZU VVINF $, VVFIN PPER ART NN $, PRELS APPR ADJA NN $, ADJA NN KON NN ADV ART NN ART NN VVFIN $, ADV ADJD PTKVZ $, KOUS PPER PPER VVPP VAFIN $, NN PTKZU VAINF $.	
Manschette	NN	1962	2	2532889X_1962-12-08_01_129.tcf.xml-71-18	 	Da packten die Frauen zu, wo es nötig war. beim Putzen, beim Aufziehen vr,n Manschetten... und es wurde Beschafft.	76:87	0:114	Da packten die Frauen zu , wo es nötig war . beim Putzen , beim Aufziehen vr ,n Manschetten . . . und es wurde Beschafft .	18	0:27	da packen d Frau zu , wo es nötig sein . beim Putze , beim Aufziehen Vr ,n Manschette . . . und es werden beschaffen .	ADV VVFIN ART NN PTKVZ $, PWAV PPER ADJD VAFIN $. APPRART NN $, APPRART NN NE NE NN $. $. $. KON PPER VAFIN VVPP $.	
Manschette	NN	1965	2	2532889X_1965-10-24_01_236.tcf.xml-10-3	 	Es gibt karierte Manschetten zu einfarbigen Kleidern, es gibt Spitze auf Tuch, Pelz auf Tweed, Perlen auf Seide.	17:28	0:112	Es gibt karierte Manschetten zu einfarbigen Kleidern , es gibt Spitze auf Tuch , Pelz auf Tweed , Perlen auf Seide .	3	0:22	es geben kariert Manschette zu einfarbeig Kleid , es geben Spitze auf Tuch , Pelz auf Tweed , Perle auf Seide .	PPER VVFIN ADJA NN APPR ADJA NN $, PPER VVFIN NN APPR NN $, NN APPR NN $, NN APPR NE $.	
Manschette	NN	1966	2	2532889X_1966-11-27_01_243.tcf.xml-5-14	 	KONTEX-KAUFHAUS ^SOLIDARITÄT",, KÖPENICK. GRUNSTRASSE 24 Damen-Mäntel aus Streichgarnwolle mit Schalkragen und Manschetten aus-Otterkanin, Gr. 76 — 94... 281,60 Damen-Kostüme au& vStreichgarnwolle mit Lammfell-. kragen 231,10 Pullover, sportlich, aus reiner Wolle, mit Rollkrageneinsatz, in Grau und*Blau, Gr. 46 — 50 -. i. i. 152,65	111:122	0:333	KONTEX-KAUFHAUS ^SOLIDARITÄT " , , KÖPENICK. GRUNSTRASSE 24 Damen-Mäntel aus Streichgarnwolle mit Schalkragen und Manschetten aus- Otterkanin , Gr. 76 — 94 . . . 281,60 Damen-Kostüme au& vStreichgarnwolle mit Lammfell- . kragen 231,10 Pullover , sportlich , aus reiner Wolle , mit Rollkrageneinsatz , in Grau und*Blau , Gr. 46 — 50 -. i . i . 152 ,65	14	0:60	Kontex-Kaufhaus ^solidarität " , , KÖPENICK. Grunstrasse 24 Damen-Mantel aus Streichgarnwolle mit Schalkragen und Manschette aus- Otterkanin , Gr. 76 — 94 . . . 281,60 Damen-Kostüm Au& Vstreichgarnwolle mit lammfell- . kragen 231,10 Pullover , sportlich , aus rein Wolle , mit Rollekrageneinsatz , in grau und*blau , gr. 46 — 50 -. i . i . 152 ,65	NE NE $( $, $, NE NE CARD NN APPR NN APPR NN KON NN TRUNC NN $, NN CARD $( CARD $. $. $. CARD NN NE NE APPR TRUNC $. VVFIN CARD NN $, ADJD $, APPR ADJA NN $, APPR NN $, APPR ADJD XY $, XY CARD $( CARD XY XY $. XY $. CARD XY	
Manschette	NN	1967	2	2532889X_1967-01-15_01_271.tcf.xml-29-5	 	„Du, Purzel hat Manschetten vor die Leitung."	16:27	0:45	„ Du , Purzel hat Manschetten vor die Leitung . "	5	0:11	„ du , Purzel haben Manschette vor d Leitung . "	$( PPER $, NN VAFIN NN APPR ART NN $. $(	
Manschette	NN	1969	2	2532889X_1969-12-11_01_393.tcf.xml-12-1	 	Die Manschetten sind etwa denen ähnlich, die beispielsweise beim Blutdruckmessen angelegt werden.	4:15	0:97	Die Manschetten sind etwa denen ähnlich , die beispielsweise beim Blutdruckmessen angelegt werden .	1	0:14	d Manschette sein etwa die ähnlich , die beispielsweise beim Blutdruckmesse anlegen werden .	ART NN VAFIN ADV PDS ADJD $, PRELS ADV APPRART NN VVPP VAINF $.	
Manschette	NN	1972	2	2532889X_1972-09-02_01_044.tcf.xml-9-23	 	Die ganze Zeit hast du dich zusammen mit der FDJ-Leitung dafür eingesetzt, und nun, da es soweit ist, kriegst du Manschetten.	113:124	0:125	Die ganze Zeit hast du dich zusammen mit der FDJ-Leitung dafür eingesetzt , und nun , da es soweit ist , kriegst du Manschetten .	23	0:25	d ganz Zeit haben du dich zusammen mit d Fdj-Leitung dafür einsetzen , und nun , da es soweit sein , kriegen du Manschette .	ART ADJA NN VAFIN PPER PRF ADV APPR ART NN PAV VVPP $, KON ADV $, KOUS PPER ADV VAFIN $, VVFIN PPER NN $.	
Manschette	NN	1988	2	2532889X_1988-08-27_01_200.tcf.xml-20-10	 	„Wir haben alle miteinander, auch ich, wirklich Manschetten davor gehabt, einen deutschen Beitrag zur Teilung Deutschlands zu leisten."	48:59	0:135	„ Wir haben alle miteinander , auch ich , wirklich Manschetten davor gehabt , einen deutschen Beitrag zur Teilung Deutschlands zu leisten . "	10	0:24	„ wir haben alle miteinander , auch ich , wirklich Manschette davor haben , eine deutsch Beitrag zur Teilung Deutschland zu leisten . "	$( PPER VAFIN PIS ADV $, ADV PPER $, ADJD NN PAV VAPP $, ART ADJA NN APPRART NN NE PTKZU VVINF $. $(	
