identifier	lemma	identifier_sense	comment	annotator
curtius_alterthum01_1875-1087-51	Mißklang	sense1	 	annotatorA
26120215_1977_02_24_01_074.tcf.xml-4-11	Mißklang	sense1	 	annotatorA
michelis_reiseschule_1869-2106-36	Mißklang	sense1	 	annotatorA
beyer_poetik01_1882-4784-9	Mißklang	sense2	 	annotatorA
26120215_1990_05_14_01_201.tcf.xml-5-1	Mißklang	sense1	 	annotatorA
26120215_1952_10_19_01_050.tcf.xml-118-40	Mißklang	sense1	 	annotatorA
26120215_1964_07_05_01_083.tcf.xml-10-6	Mißklang	sense1	 	annotatorA
2532889X_1972-01-08_01_052.tcf.xml-35-13	Mißklang	sense1	 	annotatorA
2532889X_1964-02-01_01_127.tcf.xml-45-1	Mißklang	sense2	 	annotatorA
aston_leben_1847-601-55	Mißklang	sense1	 	annotatorA
gottschall_poetik_1858-3181-12	Mißklang	sense1	 	annotatorA
2532889X_1946-07-26_01_006.tcf.xml-71-13	Mißklang	sense1	 	annotatorA
ebers_koenigstochter03_1864-2998-2	Mißklang	sense1	 	annotatorA
2532889X_1948-11-04_01_149.tcf.xml-3-7	Mißklang	sense2	 	annotatorA
waiblinger_phaeton01_1823-608-3	Mißklang	sense1	 	annotatorA
26120215_1947_12_14_01_055.tcf.xml-13-28	Mißklang	sense1	 	annotatorA
fontane_brandenburg02_1863-2886-11	Mißklang	sense1	 	annotatorA
waiblinger_phaeton01_1823-374-12	Mißklang	sense1	 	annotatorA
engel_poetik_1806-1411-18	Mißklang	sense1	 	annotatorA
wilamowitz_aristoteles01_1893-683-28	Mißklang	sense1	 	annotatorA
26120215_1966_08_12_01_264.tcf.xml-74-19	Mißklang	sense1	 	annotatorA
2532889X_1970-02-12_01_061.tcf.xml-12-31	Mißklang	sense2	 	annotatorA
treitschke_geschichte05_1894-1224-8	Mißklang	sense1	 	annotatorA
2532889X_1961-08-16_01_120.tcf.xml-7-11	Mißklang	sense1	 	annotatorA
wackernagel_poetik_1873-4626-64	Mißklang	sense2	 	annotatorA
2532889X_1958-02-05_01_028.tcf.xml-11-16	Mißklang	sense1	 	annotatorA
schubin_vollmondzauber01_1899-1107-22	Mißklang	sense1	 	annotatorA
bismarck_erinnerungen01_1898-2580-27	Mißklang	sense1	 	annotatorA
vischer_aesthetik0201_1847-711-31	Mißklang	sense1	 	annotatorA
oberwinder_buschoff_1892-119-4	Mißklang	sense1	 	annotatorA
26120215_1947_09_16_01_212.tcf.xml-4-22	Mißklang	sense1	 	annotatorA
beyer_poetik01_1882-7723-51	Mißklang	sense1	 	annotatorA
26120215_1947_03_22_01_039.tcf.xml-23-8	Mißklang	sense1	 	annotatorA
brehm_thierleben02_1865-16828-2	Mißklang	sense1	 	annotatorA
26120215_1975_09_20_01_447.tcf.xml-24-13	Mißklang	sense1	 	annotatorA
2532889X_1965-04-26_01_156.tcf.xml-23-15	Mißklang	sense1	 	annotatorA
heckert_schulgesetzgebung_1847-1650-43	Mißklang	sense2	 	annotatorA
brehm_thierleben06_1869-14813-64	Mißklang	sense1	 	annotatorA
2532889X_1964-10-04_01_105.tcf.xml-25-11	Mißklang	sense1	 	annotatorA
2532889X_1981-11-14_01_331.tcf.xml-73-2	Mißklang	sense1	 	annotatorA
vischer_aesthetik030205_1857-3107-64	Mißklang	sense1	 	annotatorA
26120215_1958_12_20_01_214.tcf.xml-24-4	Mißklang	sense1	 	annotatorA
2532889X_1987-03-24_01_052.tcf.xml-34-17	Mißklang	sense1	 	annotatorA
2532889X_1982-07-03_01_255.tcf.xml-27-7	Mißklang	None	unklar	annotatorA
26120215_1950_01_26_01_006.tcf.xml-2-10	Mißklang	sense1	auch nicht ganz klar aber klarer	annotatorA
2532889X_1966-09-02_01_023.tcf.xml-4-3	Mißklang	sense1	 	annotatorA
vischer_aesthetik030204_1857-1159-100	Mißklang	sense2	 	annotatorA
falke_trachten01_1858-1911-42	Mißklang	sense1	 	annotatorA
2532889X_1947-07-15_01_052.tcf.xml-21-12	Mißklang	None	unklar	annotatorA
goethe_leben03_1814-447-24	Mißklang	sense1	 	annotatorA
curtius_alterthum01_1875-1087-51	Mißklang	sense1	 	annotatorB
26120215_1977_02_24_01_074.tcf.xml-4-11	Mißklang	sense1	 	annotatorB
michelis_reiseschule_1869-2106-36	Mißklang	sense1	 	annotatorB
beyer_poetik01_1882-4784-9	Mißklang	sense2	 	annotatorB
26120215_1990_05_14_01_201.tcf.xml-5-1	Mißklang	sense1	 	annotatorB
26120215_1952_10_19_01_050.tcf.xml-118-40	Mißklang	sense1	 	annotatorB
26120215_1964_07_05_01_083.tcf.xml-10-6	Mißklang	sense1	 	annotatorB
2532889X_1972-01-08_01_052.tcf.xml-35-13	Mißklang	sense1	 	annotatorB
2532889X_1964-02-01_01_127.tcf.xml-45-1	Mißklang	sense2	 	annotatorB
aston_leben_1847-601-55	Mißklang	sense1	 	annotatorB
gottschall_poetik_1858-3181-12	Mißklang	sense2	 	annotatorB
2532889X_1946-07-26_01_006.tcf.xml-71-13	Mißklang	sense1	 	annotatorB
ebers_koenigstochter03_1864-2998-2	Mißklang	sense1	 	annotatorB
2532889X_1948-11-04_01_149.tcf.xml-3-7	Mißklang	sense2	 	annotatorB
waiblinger_phaeton01_1823-608-3	Mißklang	sense1	 	annotatorB
26120215_1947_12_14_01_055.tcf.xml-13-28	Mißklang	sense1	 	annotatorB
fontane_brandenburg02_1863-2886-11	Mißklang	sense1	 	annotatorB
waiblinger_phaeton01_1823-374-12	Mißklang	sense1	 	annotatorB
engel_poetik_1806-1411-18	Mißklang	sense1	 	annotatorB
wilamowitz_aristoteles01_1893-683-28	Mißklang	sense1	 	annotatorB
26120215_1966_08_12_01_264.tcf.xml-74-19	Mißklang	sense1	 	annotatorB
2532889X_1970-02-12_01_061.tcf.xml-12-31	Mißklang	sense2	 	annotatorB
treitschke_geschichte05_1894-1224-8	Mißklang	sense1	 	annotatorB
2532889X_1961-08-16_01_120.tcf.xml-7-11	Mißklang	sense1	 	annotatorB
wackernagel_poetik_1873-4626-64	Mißklang	sense1	 	annotatorB
2532889X_1958-02-05_01_028.tcf.xml-11-16	Mißklang	sense1	 	annotatorB
schubin_vollmondzauber01_1899-1107-22	Mißklang	sense2	 	annotatorB
bismarck_erinnerungen01_1898-2580-27	Mißklang	sense1	 	annotatorB
vischer_aesthetik0201_1847-711-31	Mißklang	sense1	 	annotatorB
oberwinder_buschoff_1892-119-4	Mißklang	sense1	 	annotatorB
26120215_1947_09_16_01_212.tcf.xml-4-22	Mißklang	sense1	 	annotatorB
beyer_poetik01_1882-7723-51	Mißklang	None	Nur Wortauflistung, nicht möglich zuzuordnen	annotatorB
26120215_1947_03_22_01_039.tcf.xml-23-8	Mißklang	sense1	 	annotatorB
brehm_thierleben02_1865-16828-2	Mißklang	sense2	 	annotatorB
26120215_1975_09_20_01_447.tcf.xml-24-13	Mißklang	sense1	 	annotatorB
2532889X_1965-04-26_01_156.tcf.xml-23-15	Mißklang	sense1	 	annotatorB
heckert_schulgesetzgebung_1847-1650-43	Mißklang	sense2	 	annotatorB
brehm_thierleben06_1869-14813-64	Mißklang	sense1	 	annotatorB
2532889X_1964-10-04_01_105.tcf.xml-25-11	Mißklang	sense1	 	annotatorB
2532889X_1981-11-14_01_331.tcf.xml-73-2	Mißklang	sense2	 	annotatorB
vischer_aesthetik030205_1857-3107-64	Mißklang	sense1	 	annotatorB
26120215_1958_12_20_01_214.tcf.xml-24-4	Mißklang	sense1	 	annotatorB
2532889X_1987-03-24_01_052.tcf.xml-34-17	Mißklang	sense1	 	annotatorB
2532889X_1982-07-03_01_255.tcf.xml-27-7	Mißklang	sense2	 	annotatorB
26120215_1950_01_26_01_006.tcf.xml-2-10	Mißklang	sense1	 	annotatorB
2532889X_1966-09-02_01_023.tcf.xml-4-3	Mißklang	sense2	 	annotatorB
vischer_aesthetik030204_1857-1159-100	Mißklang	sense2	 	annotatorB
falke_trachten01_1858-1911-42	Mißklang	sense1	 	annotatorB
2532889X_1947-07-15_01_052.tcf.xml-21-12	Mißklang	sense2	 	annotatorB
goethe_leben03_1814-447-24	Mißklang	sense1	 	annotatorB
curtius_alterthum01_1875-1087-51	Mißklang	sense1	 	annotatorC
26120215_1977_02_24_01_074.tcf.xml-4-11	Mißklang	sense1	 	annotatorC
michelis_reiseschule_1869-2106-36	Mißklang	sense1	 	annotatorC
beyer_poetik01_1882-4784-9	Mißklang	sense2	 	annotatorC
26120215_1990_05_14_01_201.tcf.xml-5-1	Mißklang	sense0	 	annotatorC
26120215_1952_10_19_01_050.tcf.xml-118-40	Mißklang	sense1	 	annotatorC
26120215_1964_07_05_01_083.tcf.xml-10-6	Mißklang	sense1	 	annotatorC
2532889X_1972-01-08_01_052.tcf.xml-35-13	Mißklang	sense1	 	annotatorC
2532889X_1964-02-01_01_127.tcf.xml-45-1	Mißklang	sense1	 	annotatorC
aston_leben_1847-601-55	Mißklang	sense1	 	annotatorC
gottschall_poetik_1858-3181-12	Mißklang	sense2	 	annotatorC
2532889X_1946-07-26_01_006.tcf.xml-71-13	Mißklang	sense1	 	annotatorC
ebers_koenigstochter03_1864-2998-2	Mißklang	sense1	 	annotatorC
2532889X_1948-11-04_01_149.tcf.xml-3-7	Mißklang	sense1	 	annotatorC
waiblinger_phaeton01_1823-608-3	Mißklang	sense1	 	annotatorC
26120215_1947_12_14_01_055.tcf.xml-13-28	Mißklang	sense1	 	annotatorC
fontane_brandenburg02_1863-2886-11	Mißklang	sense1	 	annotatorC
waiblinger_phaeton01_1823-374-12	Mißklang	sense1	 	annotatorC
engel_poetik_1806-1411-18	Mißklang	sense1	 	annotatorC
wilamowitz_aristoteles01_1893-683-28	Mißklang	sense1	 	annotatorC
26120215_1966_08_12_01_264.tcf.xml-74-19	Mißklang	sense1	 	annotatorC
2532889X_1970-02-12_01_061.tcf.xml-12-31	Mißklang	sense2	 	annotatorC
treitschke_geschichte05_1894-1224-8	Mißklang	sense1	 	annotatorC
2532889X_1961-08-16_01_120.tcf.xml-7-11	Mißklang	None	Beide Bedeutungen sind möglich	annotatorC
wackernagel_poetik_1873-4626-64	Mißklang	sense2	 	annotatorC
2532889X_1958-02-05_01_028.tcf.xml-11-16	Mißklang	sense1	 	annotatorC
schubin_vollmondzauber01_1899-1107-22	Mißklang	sense2	 	annotatorC
bismarck_erinnerungen01_1898-2580-27	Mißklang	sense2	 	annotatorC
vischer_aesthetik0201_1847-711-31	Mißklang	sense1	 	annotatorC
oberwinder_buschoff_1892-119-4	Mißklang	sense1	 	annotatorC
26120215_1947_09_16_01_212.tcf.xml-4-22	Mißklang	sense1	 	annotatorC
beyer_poetik01_1882-7723-51	Mißklang	None	Bedeutung lässt sich aus dieser Aufzählung nicht entnehmen bzw. ist für das Thema selbst irrelevant	annotatorC
26120215_1947_03_22_01_039.tcf.xml-23-8	Mißklang	sense1	 	annotatorC
brehm_thierleben02_1865-16828-2	Mißklang	sense1	 	annotatorC
26120215_1975_09_20_01_447.tcf.xml-24-13	Mißklang	sense1	 	annotatorC
2532889X_1965-04-26_01_156.tcf.xml-23-15	Mißklang	sense1	 	annotatorC
heckert_schulgesetzgebung_1847-1650-43	Mißklang	sense2	 	annotatorC
brehm_thierleben06_1869-14813-64	Mißklang	sense1	 	annotatorC
2532889X_1964-10-04_01_105.tcf.xml-25-11	Mißklang	sense1	 	annotatorC
2532889X_1981-11-14_01_331.tcf.xml-73-2	Mißklang	sense1	 	annotatorC
vischer_aesthetik030205_1857-3107-64	Mißklang	sense1	 	annotatorC
26120215_1958_12_20_01_214.tcf.xml-24-4	Mißklang	sense1	 	annotatorC
2532889X_1987-03-24_01_052.tcf.xml-34-17	Mißklang	sense1	 	annotatorC
2532889X_1982-07-03_01_255.tcf.xml-27-7	Mißklang	sense2	 	annotatorC
26120215_1950_01_26_01_006.tcf.xml-2-10	Mißklang	sense1	 	annotatorC
2532889X_1966-09-02_01_023.tcf.xml-4-3	Mißklang	sense1	 	annotatorC
vischer_aesthetik030204_1857-1159-100	Mißklang	sense2	 	annotatorC
falke_trachten01_1858-1911-42	Mißklang	sense1	 	annotatorC
2532889X_1947-07-15_01_052.tcf.xml-21-12	Mißklang	sense1	 	annotatorC
goethe_leben03_1814-447-24	Mißklang	sense1	 	annotatorC
