lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Mißklang	NN	1946	2	2532889X_1946-07-26_01_006.tcf.xml-71-13	 	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	81:89	0:90	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang .	13	0:15	auf d gesamt Reise und auf alle Kundgebung geben es nirgends d gering Mißklang .	APPR ART ADJA NN KON APPR PIAT NN VVFIN PPER ADV ART ADJA NN $.	
Mißklang	NN	1947	2	2532889X_1947-07-15_01_052.tcf.xml-21-12	 	Ein Sonntag-Morgen in der Neuen Scala, « ber nicht ohne erheblichen Mißklang!	68:76	0:77	Ein Sonntag-Morgen in der Neuen Scala , « ber nicht ohne erheblichen Mißklang !	12	0:14	eine Sonntag-Morgen in d neu Scala , « ber nicht ohne erheblich Mißklang !	ART NN APPR ART ADJA NN $, $( XY PTKNEG APPR ADJA NN $.	
Mißklang	NN	1948	2	2532889X_1948-11-04_01_149.tcf.xml-3-7	 	Dabei entschlüpften ihm Tone, die einen Mißklang in die » westdeutsche Propagandamelodie hineinbringen.	40:48	0:103	Dabei entschlüpften ihm Tone , die einen Mißklang in die » westdeutsche Propagandamelodie hineinbringen .	7	0:15	dabei entschlüpfen er Ton , die eine Mißklang in d » westdeutsch Propagandamelodie hineinbringen .	PAV VVFIN PPER NN $, PRELS ART NN APPR ART $( ADJA NN VVINF $.	
Mißklang	NN	1958	2	2532889X_1958-02-05_01_028.tcf.xml-11-16	 	oder eine „gemischte Bekanntschaft Ausdruck eines mangelnden Urteilsvermögens seien, das Leid, Unruhe und Mißklang nach sich ziehe.	106:114	0:131	oder eine „ gemischte Bekanntschaft Ausdruck eines mangelnden Urteilsvermögens seien , das Leid , Unruhe und Mißklang nach sich ziehe .	16	0:21	oder eine „ gemischt Bekanntschaft Ausdruck eine mangelnd Urteilsvermögen sein , d Leid , Unruhe und Mißklang nach sich ziehen .	KON ART $( ADJA NN NN ART ADJA NN VAFIN $, ART NN $, NN KON NN APPR PRF VVFIN $.	
Mißklang	NN	1961	2	2532889X_1961-08-16_01_120.tcf.xml-7-11	 	Doch der Ton, den man angab, war ein arger Mißklang.	43:51	0:52	Doch der Ton , den man angab , war ein arger Mißklang .	11	0:13	doch d Ton , d man angeben , sein eine arg Mißklang .	KON ART NN $, ART PIS VVFIN $, VAFIN ART ADJA NN $.	
Mißklang	NN	1964	2	2532889X_1964-02-01_01_127.tcf.xml-45-1	 	Ein Mißklang zwischen den Signalglocken war nicht zu überhören: die Noten der Kampfrichter.	4:12	0:91	Ein Mißklang zwischen den Signalglocken war nicht zu überhören : die Noten der Kampfrichter .	1	0:15	eine Mißklang zwischen d Signalglocke sein nicht zu überhören : d Note d Kampfrichter .	ART NN APPR ART NN VAFIN PTKNEG PTKZU VVINF $. ART NN ART NN $.	
Mißklang	NN	1964	2	2532889X_1964-10-04_01_105.tcf.xml-25-11	 	Es wäre den Tokioer Spielen zu gönnen, daß ihnen der Mißklang eines solchen Boykotts erspart bliebe.	53:61	0:100	Es wäre den Tokioer Spielen zu gönnen , daß ihnen der Mißklang eines solchen Boykotts erspart bliebe .	11	0:18	es sein d Tokioer Spiel zu gönnen , daß sie d Mißklang eine solch Boykott ersparen bleiben .	PPER VAFIN ART ADJA NN PTKZU VVINF $, KOUS PPER ART NN ART PIAT NN VVPP VVFIN $.	
Mißklang	NN	1965	2	2532889X_1965-04-26_01_156.tcf.xml-23-15	 	Daß sich jedoch die eigentlich zur Neutralität verpflichtete österreichische Regierung zur „Obertragung" dieses Mißklangs hergabi stimmte schon bedenklicher.	112:121	0:157	Daß sich jedoch die eigentlich zur Neutralität verpflichtete österreichische Regierung zur „ Obertragung " dieses Mißklangs hergabi stimmte schon bedenklicher .	15	0:21	daß sich jedoch d eigentlich zur Neutralität verpflichten österreichisch Regierung zur „ Obertragung " diese Mißklang Hergabi stimmen schon bedenklich .	KOUS PRF ADV ART ADV APPRART NN VVFIN ADJA NN APPRART $( NN $( PDAT NN NE VVFIN ADV ADJD $.	
Mißklang	NN	1966	2	2532889X_1966-09-02_01_023.tcf.xml-4-3	 	Dann schrillte ein Mißklang in diese Harmonie, der zunächst nicht anders als ein böser Scherz beurteilt wurde.	19:27	0:110	Dann schrillte ein Mißklang in diese Harmonie , der zunächst nicht anders als ein böser Scherz beurteilt wurde .	3	0:19	dann schrillen eine Mißklang in diese Harmonie , die zunächst nicht anders als eine böse Scherz beurteilen werden .	ADV VVFIN ART NN APPR PDAT NN $, PRELS ADV PTKNEG ADV KOKOM ART ADJA NN VVPP VAFIN $.	
Mißklang	NN	1970	2	2532889X_1970-02-12_01_061.tcf.xml-12-31	 	Doch das ist selbstverständlich Zukunftsmusik, deren Akkorde erst in späteren Jahren in voller Harmonie erklingen können, und bis dahin sind viele Proben zu bestehen, bei denen sich noch Mißklänge einstellen können.	187:196	0:215	Doch das ist selbstverständlich Zukunftsmusik , deren Akkorde erst in späteren Jahren in voller Harmonie erklingen können , und bis dahin sind viele Proben zu bestehen , bei denen sich noch Mißklänge einstellen können .	31	0:35	doch die sein selbstverständlich Zukunftsmusik , die Akkord erst in spät Jahr in voll Harmonie erklingen können , und bis dahin sein viel Probe zu bestehen , bei die sich noch Mißklang einstellen können .	KON PDS VAFIN ADJD NN $, PRELAT NN ADV APPR ADJA NN APPR ADJA NN VVINF VMINF $, KON APPR PAV VAFIN PIAT NN PTKZU VVINF $, APPR PRELS PRF ADV NN VVINF VMINF $.	
Mißklang	NN	1972	2	2532889X_1972-01-08_01_052.tcf.xml-35-13	 	Als er schließlich in tänzerische Bahnen gelenkt wurde, quälte mich bald der Mißklang zwischen dem, was mir als das Ideal von Tanz vorschwebte, und-dem, was als Tanz gelehrt wurde.	77:85	0:180	Als er schließlich in tänzerische Bahnen gelenkt wurde , quälte mich bald der Mißklang zwischen dem , was mir als das Ideal von Tanz vorschwebte , und- dem , was als Tanz gelehrt wurde .	13	0:35	als er schließlich in tänzerisch Bahn lenken werden , quälen ich bald d Mißklang zwischen d , was ich als d Ideal von Tanz vorschweben , und- d , was als Tanz lehren werden .	KOUS PPER ADV APPR ADJA NN VVPP VAFIN $, VVFIN PPER ADV ART NN APPR ART $, PRELS PPER KOUS ART NN APPR NN VVFIN $, TRUNC ART $, PRELS KOUS NN VVPP VAFIN $.	
