identifier	lemma	identifier_sense	comment	annotator
moltke_zustaende_1841-3780-9	Ohrwurm	sense1	 	annotatorA
26120215_1987_12_31_01_267.tcf.xml-6-11	Ohrwurm	sense2	 	annotatorA
blumenbach_naturgeschichte_1825-5793-5	Ohrwurm	sense1	 	annotatorA
26120215_1986_07_31_01_078.tcf.xml-8-3	Ohrwurm	sense2	 	annotatorA
brehm_thierleben06_1869-9905-3	Ohrwurm	sense1	 	annotatorA
2532889X_1990-05-29_01_086.tcf.xml-10-3	Ohrwurm	sense2	 	annotatorA
26120215_1974_09_29_01_351.tcf.xml-4-16	Ohrwurm	sense2	 	annotatorA
brehm_thierleben06_1869-25551-19	Ohrwurm	sense1	 	annotatorA
26120215_1974_11_02_01_287.tcf.xml-18-1	Ohrwurm	None	fehlender Kontext	annotatorA
26120215_1987_08_18_01_335.tcf.xml-12-11	Ohrwurm	sense2	 	annotatorA
blumenbach_naturgeschichte_1815-5519-5	Ohrwurm	None	siehe oben	annotatorA
2532889X_1988-12-27_01_066.tcf.xml-17-1	Ohrwurm	sense2	 	annotatorA
vogt_briefe01_1851-7235-1	Ohrwurm	sense1	 	annotatorA
blumenbach_naturgeschichte_1803-5233-5	Ohrwurm	None	siehe oben	annotatorA
26120215_1982_04_30_01_337.tcf.xml-1-32	Ohrwurm	sense2	 	annotatorA
brehm_thierleben06_1869-9898-7	Ohrwurm	sense1	 	annotatorA
boelsche_liebesleben01_1898-6183-7	Ohrwurm	sense1	 	annotatorA
2532889X_1985-11-21_01_061.tcf.xml-19-29	Ohrwurm	sense2	 	annotatorA
26120215_1984_05_02_01_053.tcf.xml-34-24	Ohrwurm	sense2	 	annotatorA
2532889X_1972-09-07_01_053.tcf.xml-21-5	Ohrwurm	sense2	 	annotatorA
26120215_1982_03_20_01_085.tcf.xml-11-18	Ohrwurm	None	Präferenz für Sense 3 aber folgender Kontext könnte den Sense noch verändern	annotatorA
2532889X_1988-01-05_01_062.tcf.xml-14-25	Ohrwurm	sense2	 	annotatorA
26120215_1990_02_22_01_082.tcf.xml-25-18	Ohrwurm	sense2	 	annotatorA
2532889X_1977-12-20_01_057.tcf.xml-4-29	Ohrwurm	sense2	 	annotatorA
blumenbach_anatomie_1815-1035-1	Ohrwurm	sense1	 	annotatorA
brehm_thierleben06_1869-25551-10	Ohrwurm	None	siehe oben	annotatorA
vogt_briefe01_1851-6563-3	Ohrwurm	sense1	 	annotatorA
brehm_thierleben06_1869-9880-11	Ohrwurm	sense1	 	annotatorA
2532889X_1986-07-29_01_081.tcf.xml-6-12	Ohrwurm	sense2	 	annotatorA
paul_titan01_1800-265-59	Ohrwurm	sense1	 	annotatorA
26120215_1982_09_25_01_107.tcf.xml-45-3	Ohrwurm	sense2	 	annotatorA
2532889X_1973-02-03_01_347.tcf.xml-11-30	Ohrwurm	sense2	 	annotatorA
blumenbach_naturgeschichte_1821-5626-5	Ohrwurm	None	siehe oben	annotatorA
vogt_briefe02_1851-7019-780	Ohrwurm	None	unklar	annotatorA
26120215_1983_04_14_01_329.tcf.xml-23-76	Ohrwurm	None	 	annotatorA
blumenbach_naturgeschichte_1832-6008-5	Ohrwurm	None	siehe oben	annotatorA
druskowitz_religionsersatz_1886-614-18	Ohrwurm	sense1	 	annotatorA
brehm_thierleben06_1869-9873-5	Ohrwurm	sense1	 	annotatorA
2532889X_1969-02-18_01_092.tcf.xml-39-11	Ohrwurm	sense2	 	annotatorA
brehm_thierleben06_1869-25551-1	Ohrwurm	None	siehe oben	annotatorA
brehm_thierleben06_1869-9854-2	Ohrwurm	sense1	 	annotatorA
blumenbach_naturgeschichte_1814-5476-5	Ohrwurm	None	siehe oben	annotatorA
