identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1948-03-25_01_064.tcf.xml-33-25	2532889X_1953-05-22_01_048.tcf.xml-49-11	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	2532889X_1956-03-29_01_132.tcf.xml-11-1	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	2532889X_1960-08-12_01_026.tcf.xml-7-7	inferred	1	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	2532889X_1964-10-20_01_024.tcf.xml-13-20	inferred	1	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	2532889X_1966-10-02_01_199.tcf.xml-23-10	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1949_03_24_01_039.tcf.xml-31-3	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1950_02_07_01_232.tcf.xml-11-5	inferred	1	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1953_11_01_02_360.tcf.xml-46-16	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1956_12_16_02_189.tcf.xml-4-17	inferred	1	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1959_04_08_01_090.tcf.xml-132-15	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1960_02_28_01_505.tcf.xml-41-6	inferred	1	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1961_08_18_01_282.tcf.xml-28-13	inferred	1	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1986_04_22_01_164.tcf.xml-2-49	inferred	1	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	26120215_1988_12_16_01_122.tcf.xml-28-31	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	gerstner_mechanik01_1831-10498-30	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	gerstner_mechanik01_1831-10633-26	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	gerstner_mechanik01_1831-10827-9	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	gerstner_mechanik01_1831-10932-1	inferred	0	 	Schmiere
2532889X_1948-03-25_01_064.tcf.xml-33-25	gerstner_mechanik01_1831-9110-24	inferred	0	 	Schmiere
