lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Schmiere	NN	1948	2	2532889X_1948-03-25_01_064.tcf.xml-33-25	 	Der 19 jährte Gerhard R. versuchte den Kühlwagen BeTlin 16320 eines auf dem Güterbahnhof Neukölln abgestellten Fletschzuges zu bestehlen, während drei Personen am Bahndamm Schmiere standen.	172:180	0:189	Der 19 jährte Gerhard R. versuchte den Kühlwagen BeTlin 16320 eines auf dem Güterbahnhof Neukölln abgestellten Fletschzuges zu bestehlen , während drei Personen am Bahndamm Schmiere standen .	25	0:28	d 19 jähren Gerhard R. versuchen d Kühlwagen Betlin 16320 eine auf d Guterbahnhof Neukölln abgestellt Fletschzug zu bestehlen , während drei Person am Bahndamm Schmiere stehen .	ART CARD VVFIN NE NE VVFIN ART NN NE CARD ART APPR ART NN NE ADJA NN PTKZU VVINF $, KOUS CARD NN APPRART NN NN VVFIN $.	
Schmiere	NN	1953	2	2532889X_1953-05-22_01_048.tcf.xml-49-11	 	„Der Qualm klebt wie eine schlei-¦ nige, fette Schmiere auf der Haut.	47:55	0:69	„ Der Qualm klebt wie eine schlei- ¦ nige , fette Schmiere auf der Haut .	11	0:16	„ d Qualm kleben wie eine schlei- ¦ Nige , fett Schmiere auf d Haut .	$( ART NN VVFIN KOKOM ART TRUNC $( NE $, ADJA NN APPR ART NN $.	
Schmiere	NN	1956	2	2532889X_1956-03-29_01_132.tcf.xml-11-1	 	Das Schmieren der Frontstadtprominenz in den vergangenen Jahren hat Oberjat und seine Komplicen eine größere Stange Geld gekostet als das jetzt festgelegte Strafmandat.	4:13	0:168	Das Schmieren der Frontstadtprominenz in den vergangenen Jahren hat Oberjat und seine Komplicen eine größere Stange Geld gekostet als das jetzt festgelegte Strafmandat .	1	0:24	d Schmiere d Frontstadtprominenz in d vergangen Jahr haben Oberjat und seine Komplice eine groß Stange Geld kosten als d jetzt festgelegt Strafemandat .	ART NN ART NN APPR ART ADJA NN VAFIN NE KON PPOSAT NN ART ADJA NN NN VVPP KOKOM ART ADV ADJA NN $.	
Schmiere	NN	1956	2	2532889X_1956-12-09_01_069.tcf.xml-15-35	 	Man muß dafür sorgen; i Es ist noch nicht ausreichend für den Winter gesorgt i, Wir verstehen nicht", meint z. B; der Schmierer Schulze, „warum wir das Fett zum Schmieren der Aggregate vom Abraumbetrieb und die Waschmittel für uns aus Roitzsch holen müssen.	161:170	0:257	Man muß dafür sorgen; i Es ist noch nicht ausreichend für den Winter gesorgt i , Wir verstehen nicht " , meint z. B ; der Schmierer Schulze , „ warum wir das Fett zum Schmieren der Aggregate vom Abraumbetrieb und die Waschmittel für uns aus Roitzsch holen müssen .	35	0:50	man müssen dafür sorgen; i es sein noch nicht ausreichend für d Winter sorgen i , wir verstehen nicht " , meinen z. B ; d Schmierer Schulze , „ warum wir d Fett zum Schmiere d Aggregat vom Abraumbetrieb und d Waschmittel für wir aus Roitzsch holen müssen .	PIS VMFIN PAV VVFIN PPER PPER VAFIN ADV PTKNEG ADJD APPR ART NN VVPP PPER $, PPER VVFIN PTKNEG $( $, VVFIN APPRART NN $. ART NN NE $, $( PWAV PPER ART NN APPRART NN ART NN APPRART NN KON ART NN APPR PPER APPR NE VVINF VMINF $.	
Schmiere	NN	1958	2	2532889X_1958-04-15_01_080.tcf.xml-16-21	 	Der kapitalistische Konkurrenzkampf verhinderte, daß aus dem alten Magdeburg auch Anlagen geliefert wurden, die zur Produktion hochwertiger öle zum Schmieren von Auto-und Flugzeugmotoren taugten.	148:157	0:195	Der kapitalistische Konkurrenzkampf verhinderte , daß aus dem alten Magdeburg auch Anlagen geliefert wurden , die zur Produktion hochwertiger öle zum Schmieren von Auto- und Flugzeugmotoren taugten .	21	0:28	d kapitalistisch Konkurrenzkampf verhindern , daß aus d alt Magdeburg auch Anlage liefern werden , die zur Produktion hochwertig ölen zum Schmiere von auto- und Flugzeugmotor taugen .	ART ADJA NN VVFIN $, KOUS APPR ART ADJA NE ADV NN VVPP VAFIN $, PRELS APPRART NN ADJA VVFIN APPRART NN APPR TRUNC KON NN VVFIN $.	
Schmiere	NN	1960	2	2532889X_1960-08-12_01_026.tcf.xml-7-7	 	Mutter von vier Kindern, die „Schmiere" stand, erklärte uns:	30:38	0:60	Mutter von vier Kindern , die „ Schmiere " stand , erklärte uns :	7	0:14	Mutter von vier Kind , d „ Schmiere " stehen , erklären wir :	NN APPR CARD NN $, ART $( NN $( VVFIN $, VVFIN PPER $.	
Schmiere	NN	1962	2	2532889X_1962-06-09_01_129.tcf.xml-37-27	 	Man versuchte mich zu trösten und meinte, derlei Austausche von Meinungen seien gang und gäbe, und im Grunde wären sie nur ein wenig öl zum Schmieren des nicht ganz einwandfrei laufenden Getriebes Stahlplatz— Gußputzerei.	140:149	0:221	Man versuchte mich zu trösten und meinte , derlei Austausche von Meinungen seien gang und gäbe , und im Grunde wären sie nur ein wenig öl zum Schmieren des nicht ganz einwandfrei laufenden Getriebes Stahlplatz— Gußputzerei .	27	0:37	man versuchen ich zu trösten und meinen , derlei Austausch von Meinung sein gang und geben , und im Grund sein sie nur eine wenig ölen zum Schmiere d nicht ganz einwandfrei laufend Getriebe stahlplatz— Gußputzerei .	PIS VVFIN PPER PTKZU VVINF KON VVFIN $, PIAT NN APPR NN VAFIN FM KON VVFIN $, KON APPRART NN VAFIN PPER ADV ART PIS VVFIN APPRART NN ART PTKNEG ADV ADJD ADJA NN ADJA NN $.	
Schmiere	NN	1964	2	2532889X_1964-03-12_01_145.tcf.xml-165-4	 	eignen sich besonders zum Schmieren von Ofentüren, Ventilen, Bolzen, Führungszapfen von Kunststoffpressen, Sicherheitszylinderschlössern, Wälz-und Gleitlagern, F 4202.F 4206 und F4256	26:35	0:183	eignen sich besonders zum Schmieren von Ofentüren , Ventilen , Bolzen , Führungszapfen von Kunststoffpressen , Sicherheitszylinderschlössern , Wälz- und Gleitlagern , F 4202.F 4206 und F4256	4	0:27	eignen sich besonders zum Schmiere von Ofentüre , Ventil , Bolzen , Führungszapfen von Kunststoffpresse , Sicherheitszylinderschloß , wälz- und Gleitlager , f 4202.f 4206 und F4256	VVFIN PRF ADV APPRART NN APPR NN $, NN $, NN $, NN APPR NN $, NN $, TRUNC KON NN $, XY CARD CARD KON NE	
Schmiere	NN	1964	2	2532889X_1964-03-29_01_012.tcf.xml-16-7	 	Der Direktor des Frankfurter Kabaretts „Die Schmiere".	44:52	0:54	Der Direktor des Frankfurter Kabaretts „ Die Schmiere " .	7	0:10	d Direktor d Frankfurter Kabarett „ d Schmiere " .	ART NN ART ADJA NN $( ART NN $( $.	
Schmiere	NN	1964	2	2532889X_1964-10-20_01_024.tcf.xml-13-20	 	Die Polizei greift schließlich nicht ein; well jJie selbst in diesen Fall verwickelt ist, weil sie nicht nur Schmiere stand* sondern aktiv rnit Waffen und Funksprechgeräten die Mörder unterstützte.	109:117	0:197	Die Polizei greift schließlich nicht ein ; well jJie selbst in diesen Fall verwickelt ist , weil sie nicht nur Schmiere stand* sondern aktiv rnit Waffen und Funksprechgeräten die Mörder unterstützte .	20	0:32	d Polizei greifen schließlich nicht ein ; well jjie selbst in diese Fall verwickeln sein , weil sie nicht nur Schmiere Stand* sondern aktiv rnit Waffe und Funksprechgerät d Mörder unterstützen .	ART NN VVFIN ADV PTKNEG PTKVZ $. FM FM ADV APPR PDAT NN VVPP VAFIN $, KOUS PPER PTKNEG ADV NN NE KON ADJD ADJA NN KON NN ART NN VVFIN $.	
