lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Seminar	NN	1951	2	2532889X_1951-01-04_01_069.tcf.xml-11-1	 	Diese Seminare, ehe z. B. durch die Kreisleitung einberufen werden / behandeln em bestimmtes ¦ wichtiges politisches, ¦ wirtschaftliches oder kulturelles Problem, woLei das Studium der Parteiarbeit in den betreffenden Betrieben einen breiten Raum einnehmen muß.	6:14	0:261	Diese Seminare , ehe z. B. durch die Kreisleitung einberufen werden / behandeln em bestimmtes ¦ wichtiges politisches , ¦ wirtschaftliches oder kulturelles Problem , woLei das Studium der Parteiarbeit in den betreffenden Betrieben einen breiten Raum einnehmen muß .	1	0:40	diese Seminar , ehe z. B. durch d Kreisleitung einberufen werden / behandeln em bestimmt ¦ wichtig politisch , ¦ wirtschaftlich oder kulturell Problem , Wolei d Studium d Parteiarbeit in d betreffend Betrieb eine breit Raum einnehmen müssen .	PDAT NN $, KOUS APPRART NN APPR ART NN VVPP VAINF $( VVINF XY ADJA $( ADJA ADJA $, $( ADJA KON ADJA NN $, NE ART NN ART NN APPR ART ADJA NN ART ADJA NN VVINF VMFIN $.	
Seminar	NN	1951	2	2532889X_1951-09-04_01_030.tcf.xml-11-12	 	In Oschersleben hat sich die Nationale Front die Aufgabe gestellt, durch Seminare in den MAS und volkseigenen Gütern die Werktätigen mit dem Inhalt des Weißbuches bekannt zu machen.	73:81	0:181	In Oschersleben hat sich die Nationale Front die Aufgabe gestellt , durch Seminare in den MAS und volkseigenen Gütern die Werktätigen mit dem Inhalt des Weißbuches bekannt zu machen .	12	0:30	in Oschersleben haben sich d national Front d Aufgabe stellen , durch Seminar in d Ma und volkseigen Gut d Werktätige mit d Inhalt d Weißbuch bekannt zu machen .	APPR NE VAFIN PRF ART ADJA NN ART NN VVPP $, APPR NN APPR ART NE KON ADJA NN ART NN APPR ART NN ART NN ADJD PTKZU VVINF $.	
Seminar	NN	1952	2	2532889X_1952-09-25_01_058.tcf.xml-13-16	 	Die mängelhafte Beitragskassierung macht eine generelle Kontrolle der Parteidokumente notwendig, die in Verbindung mit einem Seminar über die Bedeutung des Parteidokuments auf der Grundlage des Statuts durchgeführt werden muß.	125:132	0:226	Die mängelhafte Beitragskassierung macht eine generelle Kontrolle der Parteidokumente notwendig , die in Verbindung mit einem Seminar über die Bedeutung des Parteidokuments auf der Grundlage des Statuts durchgeführt werden muß .	16	0:31	d mangelhaft Beitragskassierung machen eine generell Kontrolle d Parteidokument notwendig , die in Verbindung mit eine Seminar über d Bedeutung d Parteidokument auf d Grundlage d Statut durchführen werden müssen .	ART ADJA NN VVFIN ART ADJA NN ART NN ADJD $, PRELS APPR NN APPR ART NN APPR ART NN ART NN APPR ART NN ART NN VVPP VAINF VMFIN $.	
Seminar	NN	1953	2	2532889X_1953-02-28_01_133.tcf.xml-2-19	 	Beginn des Lehrganges im Parteikabinett der Bezirksleitung am Montag, dem 2. März 1953. 8 Uhr. im Seminar 9, Eingang Franzosische Straße 35/39.	98:105	0:143	Beginn des Lehrganges im Parteikabinett der Bezirksleitung am Montag , dem 2. März 1953 . 8 Uhr . im Seminar 9 , Eingang Franzosische Straße 35/39 .	19	0:27	Beginn d Lehrgang im Parteikabinett d Bezirksleitung am Montag , d 2. März 1953 . 8 Uhr . im Seminar 9 , Eingang Franzosische Straße 35/39 .	NN ART NN APPRART NN ART NN APPRART NN $, ART ADJA NN CARD $. CARD NN $. APPRART NN CARD $, NN NE NN CARD $.	
Seminar	NN	1953	2	2532889X_1953-04-22_01_083.tcf.xml-9-3	 	17.30 Uhr: Seminar für Agitationsleiter und Agitationsgruppenleiter im Parteihaus, großer Saal.	11:18	0:95	17.30 Uhr : Seminar für Agitationsleiter und Agitationsgruppenleiter im Parteihaus , großer Saal .	3	0:14	17.30 Uhr : Seminar für Agitationsleiter und Agitationsgruppenleiter im Parteihaus , groß Saal .	CARD NN $. NN APPR NN KON NN APPRART NN $, ADJA NN $.	
Seminar	NN	1955	2	2532889X_1955-03-13_01_096.tcf.xml-5-6	 	Die Teilnehmer die jetzt an dem Seminar für Politökonomie teilnehmen, sind ebenfalls verpflichtet, daran teilzunehmen.	32:39	0:118	Die Teilnehmer die jetzt an dem Seminar für Politökonomie teilnehmen , sind ebenfalls verpflichtet , daran teilzunehmen .	6	0:18	d Teilnehmer d jetzt an d Seminar für Politökonomie teilnehmen , sein ebenfalls verpflichten , daran teilnehmen .	ART NN ART ADV APPR ART NN APPR NN VVINF $, VAFIN ADV VVPP $, PAV VVIZU $.	
Seminar	NN	1971	2	2532889X_1971-11-20_01_261.tcf.xml-99-1	 	Das Seminar war ein großer Erfahrungsaustausch und bereicherte den gemeinsamen Erkenntnissehatz der Partei.	4:11	0:107	Das Seminar war ein großer Erfahrungsaustausch und bereicherte den gemeinsamen Erkenntnissehatz der Partei .	1	0:14	d Seminar sein eine groß Erfahrungsaustausch und bereichern d gemeinsam Erkenntnissehatz d Partei .	ART NN VAFIN ART ADJA NN KON VVFIN ART ADJA NN ART NN $.	
Seminar	NN	1972	2	2532889X_1972-07-22_01_176.tcf.xml-4-11	 	In den Samarkander Instituten wurden wiederholt von der UNO organisierte internationale Seminare über Karakulzucht durchgeführt Wissenschaftler aus Polen, Jugoslawien, Marokko, Afghanistan,. Pakistan, Indien, Äthiopien, Kenia, Iran, der Türkei und anderen Ländern studierten die von den Mitarbeitern des Institutes ausgearbeiteten Methoden der Aufzucht der Tiere und die Prinzipien ihrer Klassifizierung	88:96	0:403	In den Samarkander Instituten wurden wiederholt von der UNO organisierte internationale Seminare über Karakulzucht durchgeführt Wissenschaftler aus Polen , Jugoslawien , Marokko , Afghanistan , . Pakistan , Indien , Äthiopien , Kenia , Iran , der Türkei und anderen Ländern studierten die von den Mitarbeitern des Institutes ausgearbeiteten Methoden der Aufzucht der Tiere und die Prinzipien ihrer Klassifizierung	11	0:59	in d Samarkander Institut werden wiederholt von d Uno organisiert international Seminar über Karakulzucht durchführen Wissenschaftler aus Polen , Jugoslawien , Marokko , Afghanistan , . Pakistan , Indien , Äthiopien , Kenia , Iran , d Türkei und ander Land studieren d von d Mitarbeiter d Institut ausgearbeitet Methode d Aufzucht d Tier und d Prinzip ihr Klassifizierung	APPR ART NN NN VAFIN ADJD APPR ART NN ADJA ADJA NN APPR NE VVPP NN APPR NE $, NE $, NE $, NE $, $. NE $, NE $, NE $, NE $, NE $, ART NE KON ADJA NN VVFIN ART APPR ART NN ART NN ADJA NN ART NN ART NN KON ART NN PPOSAT NN	
Seminar	NN	1976	2	2532889X_1976-01-16_01_029.tcf.xml-3-2	 	An dem Seminar nahmen mehr als 60 kirchliche Amtsträger und engagierte Laien teil, darunter Vertreter des Bundes der Evangelischen Kirchen in der DDR.	7:14	0:150	An dem Seminar nahmen mehr als 60 kirchliche Amtsträger und engagierte Laien teil , darunter Vertreter des Bundes der Evangelischen Kirchen in der DDR .	2	0:25	an d Seminar nehmen mehr als 60 kirchlich Amtsträger und engagiert Laie teilen , darunter Vertreter d Bund d evangelisch Kirche in d DDR .	APPR ART NN VVFIN PIAT KOKOM CARD ADJA NN KON ADJA NN PTKVZ $, PAV NN ART NN ART ADJA NN APPR ART NE $.	
Seminar	NN	1976	2	2532889X_1976-05-29_01_117.tcf.xml-9-4	 	In dem auf dem Seminar angenommenen Aktionsprogramm wird es als dringend notwendig hervorgehoben, wirksame Aktionen der UNO, der Bewegung nichtpaktgebundener Staaten, der Arabischen Liga und aller fortschrittlichen Bewegungen für Freiheit und Menschenwürde der Völker im Süden Afrikas in die Wege zu leiten.	15:22	0:307	In dem auf dem Seminar angenommenen Aktionsprogramm wird es als dringend notwendig hervorgehoben , wirksame Aktionen der UNO , der Bewegung nichtpaktgebundener Staaten , der Arabischen Liga und aller fortschrittlichen Bewegungen für Freiheit und Menschenwürde der Völker im Süden Afrikas in die Wege zu leiten .	4	0:46	in d auf d Seminar angenehmen Aktionsprogramm werden es als dringend notwendig hervorheben , wirksam Aktion d Uno , d Bewegung nichtpaktgebunden Staat , d arabisch Liga und alle fortschrittlich Bewegung für Freiheit und Menschenwürde d Volk im Süden Afrika in d Weg zu leiten .	APPR ART APPR ART NN ADJA NN VAFIN PPER KOUS ADJD ADJD VVPP $, ADJA NN ART NN $, ART NN ADJA NN $, ART ADJA NN KON PIAT ADJA NN APPR NN KON NN ART NN APPRART NN NE APPR ART NN PTKZU VVINF $.	
Seminar	NN	1978	2	2532889X_1978-05-18_01_012.tcf.xml-5-5	 	An den 16 Vorträgen und Seminaren die in jedem Veranstaltungsort durchgeführt wurden, beteiligten sich mehr als 900 USA-Vertreter der Industrie, des Handels, von Banken und der Wissenschaft.	24:33	0:190	An den 16 Vorträgen und Seminaren die in jedem Veranstaltungsort durchgeführt wurden , beteiligten sich mehr als 900 USA- Vertreter der Industrie , des Handels , von Banken und der Wissenschaft .	5	0:32	an d 16 Vortrag und Seminar d in jede Veranstaltungsort durchführen werden , beteiligen sich mehr als 900 usa- Vertreter d Industrie , d Handel , von Bank und d Wissenschaft .	APPR ART CARD NN KON NN ART APPR PIAT NN VVPP VAFIN $, VVFIN PRF PIAT KOKOM CARD TRUNC NN ART NN $, ART NN $, APPR NN KON ART NN $.	
Seminar	NN	1980	2	2532889X_1980-07-19_01_504.tcf.xml-4-28	 	139 Teilnehmer, darunter 19 Gäste aus der UdSSR, aus Polen, Ungarn, Kuba, Belgien und Zypern, hatten sich an den sieben Kursen des Seminars beteiligt.	131:139	0:150	139 Teilnehmer , darunter 19 Gäste aus der UdSSR , aus Polen , Ungarn , Kuba , Belgien und Zypern , hatten sich an den sieben Kursen des Seminars beteiligt .	28	0:31	139 Teilnehmer , darunter 19 Gast aus d UdSSR , aus Polen , Ungarn , Kuba , Belgien und Zypern , haben sich an d sieben Kurs d Seminar beteiligen .	CARD NN $, PAV CARD NN APPR ART NE $, APPR NE $, NE $, NE $, NE KON NE $, VAFIN PRF APPR ART CARD NN ART NN VVPP $.	
Seminar	NN	1980	2	2532889X_1980-08-12_01_171.tcf.xml-11-9	 	Die Kongresse des WGB, seine internationalen Konferenzen und Seminare stehen allen Gewerkschaften offen, auch wenn sie ihm nicht angehören.	61:69	0:139	Die Kongresse des WGB , seine internationalen Konferenzen und Seminare stehen allen Gewerkschaften offen , auch wenn sie ihm nicht angehören .	9	0:22	d Kongreß d WGB , seine international Konferenz und Seminar stehen alle Gewerkschaft offen , auch wenn sie er nicht angehören .	ART NN ART NE $, PPOSAT ADJA NN KON NN VVFIN PIAT NN PTKVZ $, ADV KOUS PPER PPER PTKNEG VVINF $.	
Seminar	NN	1981	2	2532889X_1981-01-03_01_474.tcf.xml-9-16	 	Beim Studium aber wird nicht nur gefordert, den Vorlesungsstoff aktiv aufzunehmen, ihn in den Seminaren anzuwenden und zu vertiefen, sondern vor allem im Selbststudium sein Wissen zu erweitern.	94:103	0:193	Beim Studium aber wird nicht nur gefordert , den Vorlesungsstoff aktiv aufzunehmen , ihn in den Seminaren anzuwenden und zu vertiefen , sondern vor allem im Selbststudium sein Wissen zu erweitern .	16	0:32	beim Studium aber werden nicht nur fordern , d Vorlesungsstoff aktiv aufnehmen , er in d Seminar anwenden und zu vertiefen , sondern vor alle im Selbststudium sein Wissen zu erweitern .	APPRART NN ADV VAFIN PTKNEG ADV VVPP $, ART NN ADJD VVIZU $, PPER APPR ART NN VVIZU KON PTKZU VVINF $, KON APPR PIS APPRART NN PPOSAT NN PTKZU VVINF $.	
Seminar	NN	1983	2	2532889X_1983-06-22_01_205.tcf.xml-12-9	 	Am Nachmittag des ersten Konferenztages trafen die Teilnehmer in Seminaren zusammen.	65:74	0:84	Am Nachmittag des ersten Konferenztages trafen die Teilnehmer in Seminaren zusammen .	9	0:12	am Nachmittag d erst Konferenztag treffen d Teilnehmer in Seminar zusammen .	APPRART NN ART ADJA NN VVFIN ART NN APPR NN PTKVZ $.	
Seminar	NN	1983	2	2532889X_1983-10-04_01_119.tcf.xml-3-16	 	Zyklus: Probleme der Mllitär-Dolitik der SED und der sozialistischen Wehrerziehung Die nächste Veranstaltung (Seminar) findet am Mittwoch, dem 5. Oktober, um 16 Uhr in der Bildungsstätte der SED-Bezirksleitung, Französische Straße 35, statt.	110:117	0:241	Zyklus : Probleme der Mllitär- Dolitik der SED und der sozialistischen Wehrerziehung Die nächste Veranstaltung ( Seminar ) findet am Mittwoch , dem 5. Oktober , um 16 Uhr in der Bildungsstätte der SED-Bezirksleitung , Französische Straße 35 , statt .	16	0:41	Zyklus : Problem d mllitär- dolitik d Sed und d sozialistisch Wehrerziehung d nächst Veranstaltung ( Seminar ) finden am Mittwoch , d 5. Oktober , um 16 Uhr in d Bildungsstätte d Sed-Bezirksleitung , französisch Straße 35 , statt .	NN $. NN ART TRUNC KON ART NE KON ART ADJA NN ART ADJA NN $( NN $( VVFIN APPRART NN $, ART ADJA NN $, APPR CARD NN APPR ART NN ART NN $, ADJA NN CARD $, PTKVZ $.	
Seminar	NN	1987	2	2532889X_1987-05-25_01_114.tcf.xml-2-37	 	Den Ausbau der Zusammenarbeit zwischen dem Weltbund der Demokratischen Jugend (WBDJ) und der Internationalen Union der Sozialistischen Jugend (IUSY) im Kampf für Frieden und sozialen Fortschritt vereinbarten führende Vertreter beider Organisationen auf einem Seminar in Prag.	259:266	0:275	Den Ausbau der Zusammenarbeit zwischen dem Weltbund der Demokratischen Jugend ( WBDJ ) und der Internationalen Union der Sozialistischen Jugend ( IUSY ) im Kampf für Frieden und sozialen Fortschritt vereinbarten führende Vertreter beider Organisationen auf einem Seminar in Prag .	37	0:41	d Ausbau d Zusammenarbeit zwischen d Weltbund d demokratisch Jugend ( WBDJ ) und d international Union d sozialistisch Jugend ( IUSY ) im Kampf für Frieden und sozial Fortschritt vereinbaren führend Vertreter beide Organisation auf eine Seminar in Prag .	ART NN ART NN APPR ART NN ART ADJA NN $( NE $( KON ART ADJA NN ART ADJA NN $( NE $( APPRART NN APPR NN KON ADJA NN VVFIN ADJA NN PIAT NN APPR ART NN APPR NE $.	
