lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Sensation	NN	1957	2	2532889X_1957-10-06_01_008.tcf.xml-6-6	 	Polinowski bezeichnete die TASS-Meldung als größte Sensation der letzten Jahre.	51:60	0:79	Polinowski bezeichnete die TASS-Meldung als größte Sensation der letzten Jahre .	6	0:11	Polinowski bezeichnen d Tass-Meldung als groß Sensation d letzte Jahr .	NE VVFIN ART NN KOUS ADJA NN ART ADJA NN $.	
Sensation	NN	1964	2	2532889X_1964-11-24_01_060.tcf.xml-5-19	 	Die Burger bauten Stadt und Münster wieder auf. neue Industriewerke entstanden, der Reichtum wuchs, doch die Sensation, von der noch die Enkel sprechen würden, blieb aus.	109:118	0:170	Die Burger bauten Stadt und Münster wieder auf . neue Industriewerke entstanden , der Reichtum wuchs , doch die Sensation , von der noch die Enkel sprechen würden , blieb aus .	19	0:32	d Burger bauen Stadt und Münster wieder auf . neu Industriewerk entstehen , d Reichtum wachsen , doch d Sensation , von die noch d Enkel sprechen werden , bleiben aus .	ART NN VVFIN NN KON NE ADV PTKVZ $. ADJA NN VVPP $, ART NN VVFIN $, ADV ART NN $, APPR PRELS ADV ART NN VVINF VAFIN $, VVFIN PTKVZ $.	
Sensation	NN	1967	2	2532889X_1967-08-07_01_047.tcf.xml-2-5	 	Fernsehen: 10.35 Marktplatz der Sensationen: 11.55 Chilenische Impressionen (2): 15.30 Du und dein Haushalt: 16. 00. Meister des Liedes; 16.30 Ferien mit Pfiff: 17.05 Zu zweit kein Problem; 19.00 Die Umschau: 20.00 Chronik armer Liebesleute, Spielfilm; 21.45 Der schwarze Kanal: 22.09 Heute in Bialystok.	32:43	0:304	Fernsehen : 10.35 Marktplatz der Sensationen : 11.55 Chilenische Impressionen ( 2 ) : 15.30 Du und dein Haushalt : 16. 00. Meister des Liedes ; 16.30 Ferien mit Pfiff : 17.05 Zu zweit kein Problem ; 19.00 Die Umschau : 20.00 Chronik armer Liebesleute , Spielfilm ; 21.45 Der schwarze Kanal : 22.09 Heute in Bialystok .	5	0:58	Fernsehen : 10.35 Marktplatz d Sensation : 11.55 chilenisch Impression ( 2 ) : 15.30 du und dein Haushalt : 16. 00. Meister d Lied ; 16.30 Ferien mit Pfiff : 17.05 zu zweit keine Problem ; 19.00 d Umschau : 20.00 Chronik arm Liebesleute , Spielfilm ; 21.45 d schwarz Kanal : 22.09 heute in Bialystok .	NN $. CARD NN ART NN $. CARD ADJA NN $( CARD $( $. CARD PPER KON PPOSAT NN $. ADJA CARD NN ART NN $. CARD NN APPR NN $. CARD APPR ADJD PIAT NN $. CARD ART NN $. CARD NN ADJA NN $, NN $. CARD ART ADJA NN $. CARD ADV APPR NE $.	
Sensation	NN	1970	2	2532889X_1970-03-16_01_139.tcf.xml-8-49	 	Das Endergebnis war dann aber doch eindeutig, weil die Berliner, vor allem Harald Kratzer und Rainer Würdig, kaum Verständnis für die Schweizer Absichten aufbringen wollten, Mit 18: 8 schafften sie sich einen Vorsprung von zehn Toren, und es wäre in Zürich schon eine Sensation zu nennen, wenn Dynamo nicht das Halbfinale erreichen würde, Vor über 2000 Zuschauern	268:277	0:363	Das Endergebnis war dann aber doch eindeutig , weil die Berliner , vor allem Harald Kratzer und Rainer Würdig , kaum Verständnis für die Schweizer Absichten aufbringen wollten , Mit 18 : 8 schafften sie sich einen Vorsprung von zehn Toren , und es wäre in Zürich schon eine Sensation zu nennen , wenn Dynamo nicht das Halbfinale erreichen würde , Vor über 2000 Zuschauern	49	0:65	d Endeergebnis sein dann aber doch eindeutig , weil d Berliner , vor alle Harald Kratzer und Rainer Würdig , kaum Verständnis für d Schweizer Absicht aufbringen wollen , mit 18 : 8 schaffen sie sich eine Vorsprung von zehn Tor , und es sein in Zürich schon eine Sensation zu nennen , wenn Dynamo nicht d Halbfinale erreichen werden , vor über 2000 Zuschauer	ART NN VAFIN ADV ADV ADV ADJD $, KOUS ART ADJA $, APPR PIS NE NE KON NE NE $, ADV NN APPR ART ADJA NN VVINF VMFIN $, APPR CARD $( CARD VVFIN PPER PRF ART NN APPR CARD NN $, KON PPER VAFIN APPR NE ADV ART NN PTKZU VVINF $, KOUS NN PTKNEG ART NN VVINF VAFIN $, APPR APPR CARD NN	
Sensation	NN	1977	2	2532889X_1977-06-09_01_132.tcf.xml-16-44	 	Was die sogenannten sowjetischen Dissidenten betrifft, die in den letzten Jahren in den USA, speziell im Weißen Haus, so viel Aufmerksamkeit finden, so muß das wiederholt werden, was bereits wohlbekannt ist: Diejenigen, die es nach gefälschten antisowjetischen Sensationen gelüstet, können sich auch noch so sehr mühen, das Gewünschte für das Tatsächliche auszugeben und die Dissidenten als eine „innere Opposition" in der UdSSR darzustellen, sie in den Rang von Schriftstellern und Wissenschaftlern zu erheben, die angeblich wegen ihrer Überzeugungen verfolgt werden: Tatsache bleibt, daß es sich dabei um nichts anderes als um ein Häuf ein ehrloser Menschen handelt, die bereit sind, für dreißig Silberlinge oder noch billiger ihre Heimat zu verraten und sich als Agenten bei westlichen Geheimdiensten zu verdingen.	261:272	0:817	Was die sogenannten sowjetischen Dissidenten betrifft , die in den letzten Jahren in den USA , speziell im Weißen Haus , so viel Aufmerksamkeit finden , so muß das wiederholt werden , was bereits wohlbekannt ist : Diejenigen , die es nach gefälschten antisowjetischen Sensationen gelüstet , können sich auch noch so sehr mühen , das Gewünschte für das Tatsächliche auszugeben und die Dissidenten als eine „ innere Opposition " in der UdSSR darzustellen , sie in den Rang von Schriftstellern und Wissenschaftlern zu erheben , die angeblich wegen ihrer Überzeugungen verfolgt werden : Tatsache bleibt , daß es sich dabei um nichts anderes als um ein Häuf ein ehrloser Menschen handelt , die bereit sind , für dreißig Silberlinge oder noch billiger ihre Heimat zu verraten und sich als Agenten bei westlichen Geheimdiensten zu verdingen .	44	0:137	was d sogenannt sowjetisch Dissident betreffen , die in d letzte Jahr in d Usa , speziell im weiß Haus , so viel Aufmerksamkeit finden , so müssen die wiederholt werden , was bereits wohlbekannt sein : diejenige , die es nach gefälscht antisowjetisch Sensation gelüsten , können sich auch noch so sehr mühen , d Gewünschte für d Tatsächliche ausgeben und d Dissident als eine „ inner Opposition " in d UdSSR darstellen , sie in d Rang von Schriftsteller und Wissenschaftler zu erheben , die angeblich wegen ihr Überzeugung verfolgen werden : Tatsache bleiben , daß es sich dabei um nichts andere als um eine Häufen eine ehrelos Mensch handeln , die bereit sein , für dreißig Silberling oder noch billig ihr Heimat zu verraten und sich als Agent bei westlich Geheimdienst zu verdingen .	PWS ART ADJA ADJA NN VVFIN $, PRELS APPR ART ADJA NN APPR ART NE $, ADJD APPRART ADJA NN $, ADV PIAT NN VVINF $, ADV VMFIN PDS ADJD VAINF $, PRELS ADV ADJD VAFIN $. PDS $, PRELS PPER APPR ADJA ADJA NN VVFIN $, VMFIN PRF ADV ADV ADV ADV VVINF $, ART NN APPR ART NN VVIZU KON ART NN KOKOM ART $( ADJA NN $( APPR ART NN VVIZU $, PPER APPR ART NN APPR NN KON NN PTKZU VVINF $, PRELS ADJD APPR PPOSAT NN VVPP VAINF $. NN VVFIN $, KOUS PPER PRF PAV APPR PIS PIS KOKOM APPR ART NN ART ADJA NN VVFIN $, PRELS ADJD VAFIN $, APPR CARD NN KON ADV ADJD PPOSAT NN PTKZU VVPP KON PRF KOUS NN APPR ADJA NN PTKZU VVINF $.	
Sensation	NN	1988	2	2532889X_1988-02-17_01_026.tcf.xml-12-0	 	Sensation, Halbwahrheiten der 20er, 30er und 40er Jahre, das Abgehen von der	0:9	0:76	Sensation , Halbwahrheiten der 20er , 30er und 40er Jahre , das Abgehen von der	0	0:15	Sensation , Halbwahrheit d 20er , 30er und 40er Jahr , d Abgehen von d	NN $, NN ART ADJA $, ADJA KON ADJA NN $, ART NN APPR ART	
Sensation	NN	1949	2	26120215_1949_11_05_01_260.tcf.xml-3-25	 	Es. gibt neben der üblichen Voltige (Helma Ehlemannj, den gelungenen Pferdedressuren und einem exotischen Potpourri (Herrmann Ullmann) vor allem die Sensation im Löwenkäfig, in den hinein Hano Cimarro seinen Todessprung vollführt, eine doppelt tollkühne Angelegenheit, da die Löwinnen, die tragend sind, alles andere als friedlich gesonnen sind.	149:158	0:345	Es . gibt neben der üblichen Voltige ( Helma Ehlemannj , den gelungenen Pferdedressuren und einem exotischen Potpourri ( Herrmann Ullmann ) vor allem die Sensation im Löwenkäfig , in den hinein Hano Cimarro seinen Todessprung vollführt , eine doppelt tollkühne Angelegenheit , da die Löwinnen , die tragend sind , alles andere als friedlich gesonnen sind .	25	0:58	es . geben neben d üblich Voltige ( Helma Ehlemannj , d gelingen Pferdedressur und eine exotisch Potpourri ( Herrmann Ullmann ) vor alle d Sensation im Löwenkäfig , in die hinein Hano Cimarro seine Todessprung vollführen , eine doppelt tollkühn Angelegenheit , da d Löwin , die tragen sein , alle andere als friedlich sinnen sein .	PPER $. VVFIN APPR ART ADJA NN $( NE NE $, ART ADJA NN KON ART ADJA NN $( NE NE $( APPR PIS ART NN APPRART NN $, APPR PRELS ADV NE NE PPOSAT NN VVFIN $, ART ADJD ADJA NN $, KOUS ART NN $, PRELS VVPP VAFIN $, PIS PIS KOKOM ADJD VVPP VAFIN $.	
Sensation	NN	1950	2	26120215_1950_09_06_01_040.tcf.xml-10-13	 	Ehrlicher Wille mag bei der Produktion dieses Streifens geholfen haben, der keineswegs Sensationen bringt.	87:98	0:106	Ehrlicher Wille mag bei der Produktion dieses Streifens geholfen haben , der keineswegs Sensationen bringt .	13	0:16	ehrlich Wille mögen bei d Produktion diese Streifen helfen haben , die keineswegs Sensation bringen .	ADJA NN VMFIN APPR ART NN PDAT NN VVPP VAINF $, PRELS ADV NN VVFIN $.	
Sensation	NN	1951	2	26120215_1951_01_18_01_174.tcf.xml-5-17	 	Auch gestern wurde dem begeisterten Publikum und den Lesern der Westpresse wieder — wie angekündigt — eine Sensation serviert, die es in sich hatte.	107:116	0:148	Auch gestern wurde dem begeisterten Publikum und den Lesern der Westpresse wieder — wie angekündigt — eine Sensation serviert , die es in sich hatte .	17	0:26	auch gestern werden d begeistert Publikum und d Leser d Westenpresse wieder — wie ankündigen — eine Sensation servieren , die es in sich haben .	ADV ADV VAFIN ART ADJA NN KON ART NN ART NN ADV $( PWAV VVPP $( ART NN VVPP $, PRELS PPER APPR PRF VAFIN $.	
Sensation	NN	1951	2	26120215_1951_12_12_01_041.tcf.xml-11-1	 	Die Sensation in der dritten Runde der Berliner Schach-Mannschaftsmeisterschaft brachte die zum großen Teil aus jungen Nachwuchs-^ sPielern bestehende Mannschaft von Union	4:13	0:171	Die Sensation in der dritten Runde der Berliner Schach-Mannschaftsmeisterschaft brachte die zum großen Teil aus jungen Nachwuchs-^ sPielern bestehende Mannschaft von Union	1	0:22	d Sensation in d dritt Runde d berliner Schach-Mannschaftsmeisterschaft bringen d zum groß Teil aus jung Nachwuchs-^ Spielern bestehend Mannschaft von Union	ART NN APPR ART ADJA NN ART ADJA NN VVFIN ART APPRART ADJA NN APPR ADJA NN NE ADJA NN APPR NN	
