identifier	lemma	identifier_sense	comment	annotator
robert_griechische_1881-1366-6	Titel	None	unklar	annotatorA
2532889X_1965-06-18_01_187.tcf.xml-46-46	Titel	sense4	Dominik: moved this comment from headline: Bin nicht sicher, ob ich den Unterschied zwischen C und G verstanden habe, und F verstehe ich nicht. Und ist G auch Name z.B. eines Films/einer Ausstellung?	annotatorA
egger_vater_1895-1217-31	Titel	sense5	 	annotatorA
nn_maehrisches40_1889-79-2	Titel	sense4	 	annotatorA
26120215_1969_03_25_01_101.tcf.xml-12-9	Titel	sense5	 	annotatorA
26120215_1973_09_02_01_116.tcf.xml-26-19	Titel	sense5	 	annotatorA
savigny_system01_1840-2586-21	Titel	sense6	 	annotatorA
26120215_1988_04_02_01_393.tcf.xml-1-14	Titel	sense1	 	annotatorA
kotzebue_kleinstaedter_1803-2568-10	Titel	sense5	 	annotatorA
nn_nrhz133_1848-528-19	Titel	sense5	 	annotatorA
2532889X_1961-03-01_01_115.tcf.xml-19-3	Titel	sense5	 	annotatorA
nn_nrhz117_1848-663-18	Titel	sense5	 	annotatorA
goethe_divan_1819-1436-40	Titel	sense5	 	annotatorA
2532889X_1946-08-14_01_082.tcf.xml-41-19	Titel	sense4	 	annotatorA
2532889X_1985-04-03_01_073.tcf.xml-3-6	Titel	sense4	 	annotatorA
ranke_reformation01_1839-585-20	Titel	sense5	 	annotatorA
nn_nrhz142ii_1848-69-29	Titel	sense5	 	annotatorA
26120215_1990_06_14_01_174.tcf.xml-2-10	Titel	sense4	 	annotatorA
2532889X_1962-09-23_01_096.tcf.xml-8-7	Titel	sense4	 	annotatorA
26120215_1972_01_25_01_112.tcf.xml-31-12	Titel	sense4	 	annotatorA
26120215_1963_12_13_01_118.tcf.xml-28-15	Titel	sense5	 	annotatorA
2532889X_1970-04-15_01_146.tcf.xml-2-19	Titel	sense4	 	annotatorA
buechner_werke_1879-4191-22	Titel	sense1	 	annotatorA
laube_europa0102_1833-240-14	Titel	sense5	 	annotatorA
steub_tirol_1846-6476-16	Titel	sense5	 	annotatorA
26120215_1966_07_27_01_394.tcf.xml-9-7	Titel	None	unklar	annotatorA
nn_nrhz012013_1848-455-21	Titel	sense4	 	annotatorA
26120215_1990_07_21_01_183.tcf.xml-3-9	Titel	sense5	 	annotatorA
munzinger_japaner_1898-4946-19	Titel	sense1	 	annotatorA
nn_nrhz189b_1849-222-76	Titel	sense4	 	annotatorA
laband_staatsrecht01_1876-3007-23	Titel	sense5	 	annotatorA
rein_japan01_1881-4452-28	Titel	sense5	 	annotatorA
nn_maehrisches300_1896-301-19	Titel	sense5	 	annotatorA
klueber_recht_1817-1265-25	Titel	None	unklar	annotatorA
2532889X_1980-08-28_01_138.tcf.xml-4-14	Titel	sense5	 	annotatorA
26120215_1959_03_27_01_277.tcf.xml-2-11	Titel	sense5	 	annotatorA
carus_zoologie_1872-8165-26	Titel	sense4	 	annotatorA
2532889X_1966-05-09_01_147.tcf.xml-3-5	Titel	sense4	 	annotatorA
nn_nrhz231b_1849-54-4	Titel	sense5	 	annotatorA
kuernberger_amerikamuede_1855-1854-14	Titel	sense5	 	annotatorA
2532889X_1955-02-22_01_076.tcf.xml-5-10	Titel	sense5	 	annotatorA
26120215_1968_11_10_01_157.tcf.xml-1-10	Titel	sense5	 	annotatorA
hundtradowsky_judenschule03_1823-927-37	Titel	sense5	 	annotatorA
treitschke_geschichte05_1894-2281-17	Titel	sense5	 	annotatorA
26120215_1967_06_13_01_027.tcf.xml-6-18	Titel	sense5	 	annotatorA
26120215_1961_06_01_01_180.tcf.xml-28-10	Titel	sense5	 	annotatorA
2532889X_1962-02-02_01_083.tcf.xml-25-1	Titel	sense5	 	annotatorA
2532889X_1983-05-16_01_206.tcf.xml-2-11	Titel	sense5	 	annotatorA
2532889X_1950-04-20_01_079.tcf.xml-36-1	Titel	sense4	 	annotatorA
2532889X_1990-08-27_01_097.tcf.xml-12-16	Titel	sense4	 	annotatorA
robert_griechische_1881-1366-6	Titel	sense3	 	annotatorB
2532889X_1965-06-18_01_187.tcf.xml-46-46	Titel	sense4	 	annotatorB
egger_vater_1895-1217-31	Titel	sense5	 	annotatorB
nn_maehrisches40_1889-79-2	Titel	sense4	 	annotatorB
26120215_1969_03_25_01_101.tcf.xml-12-9	Titel	sense0	 	annotatorB
26120215_1973_09_02_01_116.tcf.xml-26-19	Titel	sense0	 	annotatorB
savigny_system01_1840-2586-21	Titel	sense3	 	annotatorB
26120215_1988_04_02_01_393.tcf.xml-1-14	Titel	sense4	 	annotatorB
kotzebue_kleinstaedter_1803-2568-10	Titel	sense5	 	annotatorB
nn_nrhz133_1848-528-19	Titel	sense5	 	annotatorB
2532889X_1961-03-01_01_115.tcf.xml-19-3	Titel	sense0	 	annotatorB
nn_nrhz117_1848-663-18	Titel	sense5	 	annotatorB
goethe_divan_1819-1436-40	Titel	sense5	 	annotatorB
2532889X_1946-08-14_01_082.tcf.xml-41-19	Titel	sense4	 	annotatorB
2532889X_1985-04-03_01_073.tcf.xml-3-6	Titel	sense4	 	annotatorB
ranke_reformation01_1839-585-20	Titel	sense5	 	annotatorB
nn_nrhz142ii_1848-69-29	Titel	sense5	 	annotatorB
26120215_1990_06_14_01_174.tcf.xml-2-10	Titel	sense1	 	annotatorB
2532889X_1962-09-23_01_096.tcf.xml-8-7	Titel	sense4	 	annotatorB
26120215_1972_01_25_01_112.tcf.xml-31-12	Titel	sense4	 	annotatorB
26120215_1963_12_13_01_118.tcf.xml-28-15	Titel	sense0	 	annotatorB
2532889X_1970-04-15_01_146.tcf.xml-2-19	Titel	sense4	 	annotatorB
buechner_werke_1879-4191-22	Titel	sense0	 	annotatorB
laube_europa0102_1833-240-14	Titel	sense5	 	annotatorB
steub_tirol_1846-6476-16	Titel	sense5	 	annotatorB
26120215_1966_07_27_01_394.tcf.xml-9-7	Titel	sense5	 	annotatorB
nn_nrhz012013_1848-455-21	Titel	sense4	 	annotatorB
26120215_1990_07_21_01_183.tcf.xml-3-9	Titel	sense0	 	annotatorB
munzinger_japaner_1898-4946-19	Titel	sense4	 	annotatorB
nn_nrhz189b_1849-222-76	Titel	sense4	 	annotatorB
laband_staatsrecht01_1876-3007-23	Titel	sense5	 	annotatorB
rein_japan01_1881-4452-28	Titel	sense5	 	annotatorB
nn_maehrisches300_1896-301-19	Titel	sense5	 	annotatorB
klueber_recht_1817-1265-25	Titel	sense4	 	annotatorB
2532889X_1980-08-28_01_138.tcf.xml-4-14	Titel	sense2	 	annotatorB
26120215_1959_03_27_01_277.tcf.xml-2-11	Titel	sense0	 	annotatorB
carus_zoologie_1872-8165-26	Titel	sense4	 	annotatorB
2532889X_1966-05-09_01_147.tcf.xml-3-5	Titel	sense4	 	annotatorB
nn_nrhz231b_1849-54-4	Titel	sense5	 	annotatorB
kuernberger_amerikamuede_1855-1854-14	Titel	sense5	 	annotatorB
2532889X_1955-02-22_01_076.tcf.xml-5-10	Titel	sense0	 	annotatorB
26120215_1968_11_10_01_157.tcf.xml-1-10	Titel	sense0	 	annotatorB
hundtradowsky_judenschule03_1823-927-37	Titel	sense5	 	annotatorB
treitschke_geschichte05_1894-2281-17	Titel	sense5	 	annotatorB
26120215_1967_06_13_01_027.tcf.xml-6-18	Titel	sense0	 	annotatorB
26120215_1961_06_01_01_180.tcf.xml-28-10	Titel	sense5	 	annotatorB
2532889X_1962-02-02_01_083.tcf.xml-25-1	Titel	sense0	 	annotatorB
2532889X_1983-05-16_01_206.tcf.xml-2-11	Titel	sense0	 	annotatorB
2532889X_1950-04-20_01_079.tcf.xml-36-1	Titel	sense4	 	annotatorB
2532889X_1990-08-27_01_097.tcf.xml-12-16	Titel	sense4	 	annotatorB
robert_griechische_1881-1366-6	Titel	None	Bedeutung des Wortes geht für mich aus diesem Satz nicht hervor	annotatorC
2532889X_1965-06-18_01_187.tcf.xml-46-46	Titel	sense1	 	annotatorC
egger_vater_1895-1217-31	Titel	sense5	 	annotatorC
nn_maehrisches40_1889-79-2	Titel	sense4	 	annotatorC
26120215_1969_03_25_01_101.tcf.xml-12-9	Titel	sense0	 	annotatorC
26120215_1973_09_02_01_116.tcf.xml-26-19	Titel	sense0	 	annotatorC
savigny_system01_1840-2586-21	Titel	sense3	 	annotatorC
26120215_1988_04_02_01_393.tcf.xml-1-14	Titel	sense4	 	annotatorC
kotzebue_kleinstaedter_1803-2568-10	Titel	sense5	 	annotatorC
nn_nrhz133_1848-528-19	Titel	sense5	 	annotatorC
2532889X_1961-03-01_01_115.tcf.xml-19-3	Titel	sense0	 	annotatorC
nn_nrhz117_1848-663-18	Titel	sense5	 	annotatorC
goethe_divan_1819-1436-40	Titel	sense5	 	annotatorC
2532889X_1946-08-14_01_082.tcf.xml-41-19	Titel	None	Bedeutung lässt sich nicht erschließen	annotatorC
2532889X_1985-04-03_01_073.tcf.xml-3-6	Titel	sense4	 	annotatorC
ranke_reformation01_1839-585-20	Titel	sense5	 	annotatorC
nn_nrhz142ii_1848-69-29	Titel	sense5	 	annotatorC
26120215_1990_06_14_01_174.tcf.xml-2-10	Titel	sense4	 	annotatorC
2532889X_1962-09-23_01_096.tcf.xml-8-7	Titel	sense4	 	annotatorC
26120215_1972_01_25_01_112.tcf.xml-31-12	Titel	sense4	 	annotatorC
26120215_1963_12_13_01_118.tcf.xml-28-15	Titel	sense0	 	annotatorC
2532889X_1970-04-15_01_146.tcf.xml-2-19	Titel	sense4	 	annotatorC
buechner_werke_1879-4191-22	Titel	sense0	 	annotatorC
laube_europa0102_1833-240-14	Titel	sense6	 	annotatorC
steub_tirol_1846-6476-16	Titel	sense5	 	annotatorC
26120215_1966_07_27_01_394.tcf.xml-9-7	Titel	None	Bedeutung geht aus dieser Aufzählung nicht hervor	annotatorC
nn_nrhz012013_1848-455-21	Titel	sense4	 	annotatorC
26120215_1990_07_21_01_183.tcf.xml-3-9	Titel	sense0	 	annotatorC
munzinger_japaner_1898-4946-19	Titel	sense4	 	annotatorC
nn_nrhz189b_1849-222-76	Titel	sense4	 	annotatorC
laband_staatsrecht01_1876-3007-23	Titel	sense5	 	annotatorC
rein_japan01_1881-4452-28	Titel	sense5	 	annotatorC
nn_maehrisches300_1896-301-19	Titel	sense5	 	annotatorC
klueber_recht_1817-1265-25	Titel	sense4	 	annotatorC
2532889X_1980-08-28_01_138.tcf.xml-4-14	Titel	sense0	 	annotatorC
26120215_1959_03_27_01_277.tcf.xml-2-11	Titel	sense0	 	annotatorC
carus_zoologie_1872-8165-26	Titel	sense4	 	annotatorC
2532889X_1966-05-09_01_147.tcf.xml-3-5	Titel	sense4	 	annotatorC
nn_nrhz231b_1849-54-4	Titel	sense6	 	annotatorC
kuernberger_amerikamuede_1855-1854-14	Titel	sense5	 	annotatorC
2532889X_1955-02-22_01_076.tcf.xml-5-10	Titel	sense0	 	annotatorC
26120215_1968_11_10_01_157.tcf.xml-1-10	Titel	sense0	 	annotatorC
hundtradowsky_judenschule03_1823-927-37	Titel	sense5	 	annotatorC
treitschke_geschichte05_1894-2281-17	Titel	sense5	 	annotatorC
26120215_1967_06_13_01_027.tcf.xml-6-18	Titel	sense5	 	annotatorC
26120215_1961_06_01_01_180.tcf.xml-28-10	Titel	sense5	 	annotatorC
2532889X_1962-02-02_01_083.tcf.xml-25-1	Titel	sense0	 	annotatorC
2532889X_1983-05-16_01_206.tcf.xml-2-11	Titel	sense0	 	annotatorC
2532889X_1950-04-20_01_079.tcf.xml-36-1	Titel	sense4	 	annotatorC
2532889X_1990-08-27_01_097.tcf.xml-12-16	Titel	sense4	 	annotatorC
