lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Titel	NN	1946	2	2532889X_1946-08-14_01_082.tcf.xml-41-19	 	EIKE N' Et' E FACHZEITSCHRIFT « M'h' lnt ietrt In der Arheiteseme. nschaft meflianiifcher Ver Wpt mit dem Titel..Zeitschrift für Hie « etamte Med, « in nna Ihre Gr «nr « biet «" Herauaeeber:	106:111	0:190	EIKE N' Et' E FACHZEITSCHRIFT « M'h' lnt ietrt In der Arheiteseme . nschaft meflianiifcher Ver Wpt mit dem Titel ..Zeitschrift für Hie « etamte Med , « in nna Ihre Gr «nr « biet « " Herauaeeber :	19	0:39	Eike N' et' e Fachzeitschrift « M'h' Lnt Ietrt in d Arheiteseme . Nschaft Meflianiifcher Ver Wpt mit d Titel ..zeitschrift für hie « etamte med , « in Nna ihr Gr «nr « bieten « " Herauaeeber :	NE NE XY XY NN $( NE NE NE APPR ART NN $. NE NE PTKVZ NE APPR ART NN NE APPR ADV $( FM FM $, $( APPR NE PPOSAT NN NE $( VVIMP $( $( NE $.	
Titel	NN	1950	2	2532889X_1950-04-20_01_079.tcf.xml-36-1	 	(Titel eines im April 1914 geschriebenen Artikels von Lenin über den Bericht Karl Legiens über seine Amerikareise.)	1:6	0:115	( Titel eines im April 1914 geschriebenen Artikels von Lenin über den Bericht Karl Legiens über seine Amerikareise . )	1	0:20	( Titel eine im April 1914 geschreiben Artikel von Lenin über d Bericht Karl Legien über seine Amerikareise . )	$( NN ART APPRART NN CARD ADJA NN APPR NE APPR ART NN NE NE APPR PPOSAT NN $. $(	
Titel	NN	1955	2	2532889X_1955-02-22_01_076.tcf.xml-5-10	 	Die USA-Imperialisten haben ihnen schon seit Jahrzehnten den hochbezahlten Titel -Retter des Kapitalismus verliehen.	75:80	0:116	Die USA- Imperialisten haben ihnen schon seit Jahrzehnten den hochbezahlten Titel -Retter des Kapitalismus verliehen .	10	0:16	d usa- Imperialist haben sie schon seit Jahrzehnt d hochbezahlt Titel -retter d Kapitalismus verleihen .	ART TRUNC NN VAFIN PPER ADV APPR NN ART ADJA NN TRUNC ART NN VVPP $.	
Titel	NN	1961	2	2532889X_1961-03-01_01_115.tcf.xml-19-3	 	Sie werden den Titel kaum mit Erfolg verteidigen können.	15:20	0:56	Sie werden den Titel kaum mit Erfolg verteidigen können .	3	0:10	sie werden d Titel kaum mit Erfolg verteidigen können .	PPER VAFIN ART NN ADV APPR NN VVINF VMINF $.	
Titel	NN	1962	2	2532889X_1962-02-02_01_083.tcf.xml-25-1	 	Ein Titel aber kann in Schmiedefeld nicht verteidigt werden: der der Nordischen. Kombination.	4:9	0:93	Ein Titel aber kann in Schmiedefeld nicht verteidigt werden : der der Nordischen . Kombination .	1	0:16	eine Titel aber können in Schmiedefeld nicht verteidigen werden : d d Nordische . Kombination .	ART NN ADV VMFIN APPR NN PTKNEG VVPP VAINF $. ART ART NN $. NN $.	
Titel	NN	1962	2	2532889X_1962-09-23_01_096.tcf.xml-8-7	 	„Ach du fröhliche" ist der Titel eines neuen DEFA-Films, der am 11. Oktober im „Babylon*^ uraufgeführt wird.	27:32	0:108	„ Ach du fröhliche " ist der Titel eines neuen DEFA-Films , der am 11. Oktober im „ Babylon*^ uraufgeführt wird .	7	0:22	„ ach du fröhlich " sein d Titel eine neu Defa-Film , die am 11. Oktober im „ Babylon*^ uraufführen werden .	$( ITJ PPER ADJA $( VAFIN ART NN ART ADJA NN $, PRELS APPRART ADJA NN APPRART $( NE VVPP VAFIN $.	
Titel	NN	1965	2	2532889X_1965-06-18_01_187.tcf.xml-46-46	 	Während im Abschnitt 1918 bis 1945 immerhin der Versuch einer Analyse des literarischen Prozesses gemacht wird und Ansätze einer theoretisch-ästhetischen Verallgemeinerung sichtbar sind, wird die Darstellung der Literatur nach 1945 (und zwar für beide deutsche Staaten) immer mehr zu einer bloßen Aufzählung von Titeln, Themen und Problemen, die zum Teil nur lose in einen historisch-chronologischen Rahmen gepreßt sind.	312:318	0:420	Während im Abschnitt 1918 bis 1945 immerhin der Versuch einer Analyse des literarischen Prozesses gemacht wird und Ansätze einer theoretisch-ästhetischen Verallgemeinerung sichtbar sind , wird die Darstellung der Literatur nach 1945 ( und zwar für beide deutsche Staaten ) immer mehr zu einer bloßen Aufzählung von Titeln , Themen und Problemen , die zum Teil nur lose in einen historisch-chronologischen Rahmen gepreßt sind .	46	0:64	während im Abschnitt 1918 bis 1945 immerhin d Versuch eine Analyse d literarisch Prozeß machen werden und Ansatz eine theoretisch-ästhetisch Verallgemeinerung sichtbar sein , werden d Darstellung d Literatur nach 1945 ( und zwar für beide deutsch Staat ) immer mehr zu eine bloß Aufzählung von Titel , Thema und Problem , die zum Teil nur lose in eine historisch-chronologisch Rahmen pressen sein .	KOUS APPRART NN CARD APPR CARD ADV ART NN ART NN ART ADJA NN VVPP VAFIN KON NN ART ADJA NN ADJD VAFIN $, VAFIN ART NN ART NN APPR CARD $( KON ADV APPR PIAT ADJA NN $( ADV ADV APPR ART ADJA NN APPR NN $, NN KON NN $, PRELS APPRART NN ADV ADJA APPR ART ADJA NN VVPP VAFIN $.	
Titel	NN	1966	2	2532889X_1966-05-09_01_147.tcf.xml-3-5	 	lr lieben daa Leben dieser Titel der dem 20. Jahrestag unserer Par-33 tei gewidmeten Kunstausstellung in der Neuen Berliner Galerie berührt die Grundfrage unserer Kunst.	27:32	0:169	lr lieben daa Leben dieser Titel der dem 20. Jahrestag unserer Par- 33 tei gewidmeten Kunstausstellung in der Neuen Berliner Galerie berührt die Grundfrage unserer Kunst .	5	0:27	Lr lieben Daa Leben diese Titel d d 20. Jahrestag unsere par- 33 Tei gewidmet Kunstausstellung in d neu Berliner Galerie berühren d Grundfrage unsere Kunst .	NE VVFIN NE NN PDAT NN ART ART ADJA NN PPOSAT TRUNC CARD NN ADJA NN APPR ART ADJA ADJA NN VVFIN ART NN PPOSAT NN $.	
Titel	NN	1970	2	2532889X_1970-04-15_01_146.tcf.xml-2-19	 	Je ein Exemplar einer von einem DDR-Autorenkollektiv verfaßten Darstellung des vietnamesischen Befreiungskampfes in. Geschichte und Gegenwart mit dem Titel „Stärker als die reißenden Flüsse" wurde am Dienstag in Berlin den Repräsentanten des vietnamesischen Volkes in der DDR ü'berreicht.	150:155	0:288	Je ein Exemplar einer von einem DDR-Autorenkollektiv verfaßten Darstellung des vietnamesischen Befreiungskampfes in . Geschichte und Gegenwart mit dem Titel „ Stärker als die reißenden Flüsse " wurde am Dienstag in Berlin den Repräsentanten des vietnamesischen Volkes in der DDR ü'berreicht .	19	0:42	je eine Exemplar eine von eine Ddr-Autorenkollektiv verfaßt Darstellung d vietnamesisch Befreiungskampf in . Geschichte und Gegenwart mit d Titel „ stark als d reißend Fluß " werden am Dienstag in Berlin d Repräsentant d vietnamesisch Volk in d DDR Ü'berreicht .	ADV ART NN ART APPR ART NN ADJA NN ART ADJA NN APPR $. NN KON NN APPR ART NN $( ADJD KOKOM ART ADJA NN $( VAFIN APPRART NN APPR NE ART NN ART ADJA NN APPR ART NE NE $.	
Titel	NN	1980	2	2532889X_1980-08-28_01_138.tcf.xml-4-14	 	16 weitere Anlagen haben gute Aussichten, daß sie bis Ende des Jahres diesen Titel zuerkannt bekommen.	77:82	0:102	16 weitere Anlagen haben gute Aussichten , daß sie bis Ende des Jahres diesen Titel zuerkannt bekommen .	14	0:18	16 weit Anlage haben gut Aussicht , daß sie bis Ende d Jahr diese Titel zuerkennen bekommen .	CARD ADJA NN VAFIN ADJA NN $, KOUS PPER APPR NN ART NN PDAT NN VVPP VVINF $.	
