lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
abbauen	VVIZU	1959	2	2532889X_1959-03-13_01_104.tcf.xml-29-34	 	Eine große, noch nicht erschlossene Re-; serve in der Verbesserung des Berufsverkehrs besteht daher in einer sinnvollen Arbeitszeitstaffelung aller Betriebe in einem Industriegebiet Oft reichen schon wenige Minuten aus, um Verkehrsspitzen abzubauen.	239:248	0:249	Eine große , noch nicht erschlossene Re- ; serve in der Verbesserung des Berufsverkehrs besteht daher in einer sinnvollen Arbeitszeitstaffelung aller Betriebe in einem Industriegebiet Oft reichen schon wenige Minuten aus , um Verkehrsspitzen abzubauen .	34	0:36	eine groß , noch nicht erschließen re- ; Serve in d Verbesserung d Berufsverkehr bestehen daher in eine sinnvoll Arbeitszeitstaffelung alle Betrieb in eine Industriegebiet oft reichen schon wenige Minute aus , um Verkehrsspitze abbauen .	ART ADJA $, ADV PTKNEG ADJA TRUNC $. NE APPR ART NN ART NN VVFIN PAV APPR ART ADJA NN PIAT NN APPR ART NN ADV VVFIN ADV PIAT NN PTKVZ $, KOUI NN VVIZU $.	
abbauen	VVPP	1963	2	2532889X_1963-03-05_01_016.tcf.xml-3-16	 	Das im Januar entstandene Minus bei nahtlosen Rohren wurde durch Übererfüllung im Februar um 470 Tonnen abgebaut.	104:112	0:113	Das im Januar entstandene Minus bei nahtlosen Rohren wurde durch Übererfüllung im Februar um 470 Tonnen abgebaut .	16	0:18	die im Januar entstehen Minus bei nahtlos Rohr werden durch Übererfüllung im Februar um 470 Tonne abbauen .	PDS APPRART NN ADJA NN APPR ADJA NN VAFIN APPR NN APPRART NN APPR CARD NN VVPP $.	
abbauen	VVPP	1964	2	2532889X_1964-01-31_01_179.tcf.xml-239-7	 	Kämpft Ihr darum, daß der Revanchismus abgebaut wird und normale Beziehungen zwischen unseren Staaten entstehen, dann brauchen wir auch keine Minen mehr zu legen.	39:47	0:162	Kämpft Ihr darum , daß der Revanchismus abgebaut wird und normale Beziehungen zwischen unseren Staaten entstehen , dann brauchen wir auch keine Minen mehr zu legen .	7	0:27	kämpfen sie darum , daß d Revanchismus abbauen werden und normal Beziehung zwischen unsere Staat entstehen , dann brauchen wir auch keine Mine mehr zu legen .	VVFIN PPER PAV $, KOUS ART NN VVPP VAFIN KON ADJA NN APPR PPOSAT NN VVINF $, ADV VVFIN PPER ADV PIAT NN ADV PTKZU VVINF $.	
abbauen	VVIZU	1964	2	2532889X_1964-09-02_01_107.tcf.xml-102-33	 	Wie der Vorsitzende des Staatsrates^ Genosse Walter Ulbricht, in seiner heutigen Erklärung nachdrücklich unterstrich. ist es notwendig, die Beziehungen zwischen beiden deutschen Staaten zu normalisieren und den kalten Krieg endlich abzubauen.	232:241	0:242	Wie der Vorsitzende des Staatsrates^ Genosse Walter Ulbricht , in seiner heutigen Erklärung nachdrücklich unterstrich . ist es notwendig , die Beziehungen zwischen beiden deutschen Staaten zu normalisieren und den kalten Krieg endlich abzubauen .	33	0:35	wie d Vorsitzende d staatsrates^ Genosse Walter Ulbricht , in seine heutig Erklärung nachdrücklich unterstreichen . sein es notwendig , d Beziehung zwischen beide deutsch Staat zu normalisieren und d kalt Krieg endlich abbauen .	PWAV ART NN ART ADJA NN NE NE $, APPR PPOSAT ADJA NN ADJD VVFIN $. VAFIN PPER ADJD $, ART NN APPR PIAT ADJA NN PTKZU VVINF KON ART ADJA NN ADV VVIZU $.	
abbauen	VVIZU	1965	2	2532889X_1965-03-07_01_234.tcf.xml-32-9	 	Statt die Hallstein-Doktrin so unauffällig und rasch wie möglich abzubauen, will" dieser sture Flügel im Bundeskabinett sie verschärfen.	65:74	0:136	Statt die Hallstein-Doktrin so unauffällig und rasch wie möglich abzubauen , will " dieser sture Flügel im Bundeskabinett sie verschärfen .	9	0:21	statt d Hallstein-Doktrin so unauffällig und rasch wie möglich abbauen , wollen " diese stur Flügel im Bundeskabinett sie verschärfen .	APPR ART NN ADV ADJD KON ADJD KOKOM ADJD VVIZU $, VMFIN $( PDAT ADJA NN APPRART NN PPER VVINF $.	
abbauen	VVFIN	1968	2	2532889X_1968-04-03_01_171.tcf.xml-21-18	 	Es handelt sich um einen Schritt, der die wenigen dem westdeutschen Volk noch verbliebenen demokratischen Rechte rigoros abbaut.	121:127	0:128	Es handelt sich um einen Schritt , der die wenigen dem westdeutschen Volk noch verbliebenen demokratischen Rechte rigoros abbaut .	18	0:20	es handeln sich um eine Schritt , die d wenige d westdeutsch Volk noch verbleiben demokratisch Rechte rigoros abbauen .	PPER VVFIN PRF APPR ART NN $, PRELS ART PIAT ART ADJA NN ADV ADJA ADJA NN ADJD VVFIN $.	
abbauen	VVIZU	1969	2	2532889X_1969-09-07_01_200.tcf.xml-37-16	 	Neue Konzernstrukturen werden genutzt, um bereits errungene Mltbestimmungsrechte der Betriebsräte und der Gewerkschaften auszuhöhlen oder abzubauen.	138:147	0:148	Neue Konzernstrukturen werden genutzt , um bereits errungene Mltbestimmungsrechte der Betriebsräte und der Gewerkschaften auszuhöhlen oder abzubauen .	16	0:18	neu Konzernstruktur werden nutzen , um bereits erringen Mltbestimmungsrechte d Betriebsrat und d Gewerkschaft aushöhlen oder abbauen .	ADJA NN VAFIN VVPP $, KOUI ADV ADJA NN ART NN KON ART NN VVIZU KON VVIZU $.	
abbauen	VVPP	1972	2	2532889X_1972-11-27_01_085.tcf.xml-12-5	 	So müßten noch bestehende Disproportionen abgebaut, die Arbeitsproduktivität erhöht und die Kosten gesenkt werden.	42:50	0:114	So müßten noch bestehende Disproportionen abgebaut , die Arbeitsproduktivität erhöht und die Kosten gesenkt werden .	5	0:16	so müssen noch bestehend Disproportion abbauen , d Arbeitsproduktivität erhöhen und d Kosten senken werden .	ADV VMFIN ADV ADJA NN VVPP $, ART NN VVPP KON ART NN VVPP VAINF $.	
abbauen	VVIZU	1976	2	2532889X_1976-11-18_01_091.tcf.xml-47-20	 	Wie hier berichtet wurde, mischt Walterscheid im Gegenteil kräftig mit, wenn es darum geht, Arbeitsplätze für Jugendliche abzubauen.	122:131	0:132	Wie hier berichtet wurde , mischt Walterscheid im Gegenteil kräftig mit , wenn es darum geht , Arbeitsplätze für Jugendliche abzubauen .	20	0:22	wie hier berichten werden , mischen Walterscheid im Gegenteil kräftig mit , wenn es darum gehen , Arbeitsplatz für Jugendliche abbauen .	PWAV ADV VVPP VAFIN $, VVFIN NE APPRART NN ADJD PTKVZ $, KOUS PPER PAV VVFIN $, NN APPR NN VVIZU $.	
abbauen	VVIZU	1977	2	2532889X_1977-08-26_01_087.tcf.xml-25-45	 	Allein 17 neue Industriewerke sind geplant, darunter mehrere Zementwerke, eine Schiffswerft, ein Stahlwerk und vor allem mehrere chemische Unternehmen Nicht zuletzt soll durch die damit verbundene Bereitstellung von etwa 164000 neuen Arbeitsplätzen dazu beigetragen werden, die immer noch vorhandene Arbeitslosigkeit weiter abzubauen.	324:333	0:334	Allein 17 neue Industriewerke sind geplant , darunter mehrere Zementwerke , eine Schiffswerft , ein Stahlwerk und vor allem mehrere chemische Unternehmen Nicht zuletzt soll durch die damit verbundene Bereitstellung von etwa 164000 neuen Arbeitsplätzen dazu beigetragen werden , die immer noch vorhandene Arbeitslosigkeit weiter abzubauen .	45	0:47	allein 17 neu Industriewerk sein planen , darunter mehrere Zementwerk , eine Schiffswerft , eine Stahlwerk und vor alle mehrere chemisch Unternehmen nicht zuletzt sollen durch d damit verbinden Bereitstellung von etwa 164000 neu Arbeitsplatz dazu beitragen werden , die immer noch vorhanden Arbeitslosigkeit weiter abbauen .	ADV CARD ADJA NN VAFIN VVPP $, PAV PIAT NN $, ART NN $, ART NN KON APPR PIS PIAT ADJA NN PTKNEG ADV VMFIN APPR ART PAV ADJA NN APPR ADV CARD ADJA NN PAV VVPP VAINF $, PRELS ADV ADV ADJA NN ADV VVIZU $.	
